create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2022/12/13 14:27:22,6474,세종특별자치시,184848,"오늘(13일) 14시 세종시 대설주의보 발효. 도로교통 안전, 미끄럼 사고 등에 주의하시기 바랍니다.",cbs,세종특별자치시청,13일,,"[('대설주의보 발효', 0.5025)]"
2020/02/02 13:01:37,6474,세종특별자치시,25170,"신종코로나감염예방을 위해 손씻기, 기침예절등 개인수칙 준수와 발열호흡기증상 발생시 1339 또는 보건소 301-2841~3번으로 상담바랍니다.",cbs,세종특별자치시청,,,"[('준수와 발열호흡기증상 발생시', 0.5451)]"
2019/09/28 09:24:10,6474,세종특별자치시,24747,오늘 09:10경 나성동 신동아아파트 건설현장 내 화재 발생. 이 지역을 우회하여 주시고 인근 주민은 안전사고 발생에 유의 바랍니다.,cbs,세종특별자치시청,,,"[('건설현장 화재 발생 지역을', 0.605)]"
2019/03/02 17:26:40,6474,세종특별자치시,24248,"3월3일까지 고농도 미세먼지 비상저감조치 재발령, 외출자제, 미세먼지마스크 착용, 대중교통 이용 바랍니다.",cbs,세종특별자치시청,,,"[('비상저감조치 재발령 외출자제 미세먼지마스크', 0.6573)]"
2019/03/01 17:43:43,6474,세종특별자치시,24241,"고농도 미세먼지 비상저감조치 재발령, 내일까지 외출자제, 미세먼지마스크 착용, 대중교통 이용 바랍니다",cbs,세종특별자치시청,,,"[('착용 대중교통 이용', 0.719)]"
2019/02/22 17:57:37,6474,세종특별자치시,24207,"미세먼지 비상저감조치 재발령 내일(23일) 06~21시, 외출시 보건마스크 착용, 대중교통 이용바랍니다.",cbs,세종특별자치시청,23일,,"[('외출시 보건마스크 착용 대중교통', 0.641)]"
2019/02/21 17:11:33,6474,세종특별자치시,24187,미세먼지 비상저감조치 발령 22일(금) 6~21시 공공기관 차량 2부제(짝수차운행) 시행,cbs,세종특별자치시청,금,,"[('차량 2부제', 0.4733)]"
2019/02/21 07:00:25,6474,세종특별자치시,24184,"21일 04시 세종시 초미세먼지 주의보 발령 어린이, 노약자는 야외활동 자제 등 건강에 유의하시기 바랍니다.",cbs,세종특별자치시청,,,"[('04시 세종시 초미세먼지', 0.48)]"
2019/01/23 12:20:19,6474,세종특별자치시,24121,"23일 12시 세종시 미세먼지 주의보 발령 어린이, 노약자는 야외활동 자제 등 건강에 유의하시기 바랍니다.",cbs,세종특별자치시청,,,"[('발령 어린이', 0.5172)]"
2019/01/19 12:20:33,6474,세종특별자치시,24116,"19일 12시, 세종시 미세먼지 주의보 발령 어린이, 노약자는 야외활동 자제 등 건강에 유의하시기 바랍니다.",cbs,세종특별자치시청,,,"[('발령 어린이', 0.5962)]"
2019/01/14 17:09:56,6474,세종특별자치시,24103,"고농도 미세먼지 비상저감조치 발령 15(화) 6~21시 공공기관 차량 2부제(홀수차운행) 시행, 시민은 자율참여",cbs,세종특별자치시청,화,,"[('홀수차운행 시행', 0.6237)]"
2019/01/13 17:11:10,6474,세종특별자치시,24097,"고농도 미세먼지 비상저감조치 발령 14(월) 6~21시 공공기관 차량 2부제(짝수차운행) 시행, 시민은 자율참여",cbs,세종특별자치시청,월,,"[('시행 시민은 자율참여', 0.5223)]"
2019/01/12 06:34:13,6474,세종특별자치시,24094,"12일 00시, 세종시 미세먼지 주의보 발령 어린이, 노약자는 야외활동 자제 등 건강에 유의하시기 바랍니다.",cbs,세종특별자치시청,,,"[('발령 어린이 노약자는 야외활동', 0.4562)]"
