create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/07/11 18:06:26,154,서울특별시 송파구,196889,"2023년17시50분부로송파구산사태주의보발령. 마천동(천마공원) 인근 지역 방문을 자제, 이지역을이용할경우우회도로를 이용하는등 안전 사고 발생에 유의",cbs,송파구청,천마공원,,"[('인근 지역 방문을 자제', 0.6701)]"
2022/10/30 14:14:07,154,서울특별시 송파구,178956,"용산 이태원 사고 관련 실종자, 인명피해 접수처 안내합니다. 02-2199-8664~8678, 5165~5168(한남동주민센터) / 02-120",cbs,송파구청,한남동주민센터,,"[('이태원 사고 관련 실종자', 0.5064)]"
2022/09/05 22:31:11,154,서울특별시 송파구,171444,"현 시간 한강수위 상승에 따른 풍납토성 나들목을 폐쇄하오니 한강둔치 이용을 자제하시고, 태풍 힌남노 대응 저지대 주택침수 및 강풍피해에 대비 바랍니다",cbs,송파구청,,,"[('나들목을 폐쇄하오니 한강둔치', 0.6719)]"
2022/08/09 07:30:20,154,서울특별시 송파구,166997,"한강 수위상승에 따른 풍납토성나들목, 잠실나루나들목, 잠실나들목, 잠실새내나들목을 폐쇄하오니 안전사고 예방에 적극 협조하여 주시기 바랍니다.",cbs,송파구청,,,"[('한강 수위상승에 따른 풍납토성나들목', 0.716)]"
2021/09/21 18:16:06,154,서울특별시 송파구,123189,"9.18~19 14:50~22:00, 9.20 15:10~20:00 카페테라스(마천로51길38) 방문자는 가까운 선별진료소에서 검사 받으시길 바랍니다.",cbs,송파구청,마천로51길38,,"[('방문자는 가까운', 0.4815)]"
2021/09/17 16:04:38,154,서울특별시 송파구,122590,"9.8~10 10:00~18:30, 9.11 10:00~15:30, 9.14 10:00~19:30 위례별부동산(위례광장로185) 방문자는 검사바랍니다",cbs,송파구청,위례광장로185,,"[('19 30', 0.3658)]"
2021/09/10 15:04:14,154,서울특별시 송파구,121732,9.6(월) 20:00~22:00 송파2동 탁꼬치킨 송파점(가락로 138) 방문자는 가까운 선별진료소에서 검사 받으시길 바랍니다.,cbs,송파구청,월,,"[('방문자는 가까운', 0.5801)]"
2021/09/09 15:52:36,154,서울특별시 송파구,121612,9.4~9.5 잠실본동 및 삼전동 노래방 방문자는 가까운 선별진료소에서 검사 받으시길 바랍니다.,cbs,송파구청,,,"[('받으시길 바랍니다', 0.4721)]"
2021/09/09 15:32:56,154,서울특별시 송파구,121610,9.5 08:48~11:00 풍납2동 석정24시불한증막(토성로 58) 방문자는 가까운 선별진료소에서 검사 받으시길 바랍니다.,cbs,송파구청,토성로 58,,"[('풍납2동 석정24시불한증막 토성로', 0.5751)]"
2021/09/09 15:08:05,154,서울특별시 송파구,121604,"9.6 07:00~07:30, 17:30~18:30, 9.7 07:00~07:30 잠실본동 주막례묵은지김치찌개(백제고분로7길 39)방문자는 검사바랍니다",cbs,송파구청,백제고분로7길 39,,"[('30 07 00 07', 0.4028)]"
