create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/08/10 11:16:29,131,부산광역시 수영구,202679,태풍 카눈으로 인해 광안해변로(언양불고기 삼거리~만남의 광장) 차량 통제가 금일 11시부로 해제되었음을 알려드립니다.,cbs,수영구,언양불고기 삼거리~만남의 광장,,"[('태풍 카눈으로 인해 광안해변로', 0.6006)]"
2023/07/29 16:27:58,131,부산광역시 수영구,200189,7.29.(토) 오늘 17:00~17:30 광안리해변에서 블랙이글스 에어쇼 행사 개최로 항공기 소음이 발생하오니 구민께서는 놀라지 마시기 바랍니다.,cbs,수영구,토,,"[('행사 개최로 항공기', 0.5503)]"
2023/07/29 12:31:41,131,부산광역시 수영구,200154,"7.29.(토) 광안리해변에서 블랙이글스 에어쇼 12시 30분 예행연습, 17시 본행사 개최로 항공기소음이 발생하오니 구민께서는 놀라지마시기 바랍니다.",cbs,수영구,토,,"[('놀라지마시기 바랍니다', 0.5934)]"
2023/07/16 21:15:04,131,부산광역시 수영구,198342,"만조 및 수위 상승으로 수영강변 산책로 출입을 전면 차단하오니, 접근을 자제하여 주시고 위험지역 출입을 삼가바랍니다.",cbs,수영구,,,"[('접근을 자제하여', 0.6349)]"
2023/07/16 19:48:13,131,부산광역시 수영구,198319,"계속되는 비로 지반이 약해져 산사태, 축대 및 담장 붕괴 발생 중, 징후발견 시 안전한 곳으로 대피하시고 즉시 수영구청으로 신고하여 주시기 바랍니다.",cbs,수영구,,,"[('담장 붕괴 발생 징후발견', 0.717)]"
2023/07/13 20:12:20,131,부산광역시 수영구,197166,"오늘 밤부터 부산지역 많은 비가 예상됩니다. 22시부로 수영강변 산책로 출입을 전면 차단하오니, 접근을 자제하여 주시고 위험지역 출입을 삼가바랍니다.",cbs,수영구,,,"[('주시고 위험지역 출입을', 0.6262)]"
2023/07/11 17:29:18,131,부산광역시 수영구,196882,"호우가 잦아져 금일 17시20분부터 수영구 2번 마을버스 정상운행중이며, 침수지역에서는 감전사고 주의하시기 바랍니다.",cbs,수영구,,,"[('잦아져 금일 17시20분부터', 0.737)]"
2023/07/11 16:34:38,131,부산광역시 수영구,196866,"집중호우로 인해 금일 16시25분 현재 수영구 2번 마을버스가 망미고가로, 수영강변3차 e편한세상, 수영교차로 일부 구간 운행이 중단되고 있습니다.",cbs,수영구,,,"[('16시25분 현재 수영구', 0.6947)]"
2023/07/11 15:41:18,131,부산광역시 수영구,196831,현재 수영구지역내 집중호우로 도로침수(주요 침수지 : 망미2동 우리은행) 등이 발생하고 있습니다. 침수도로로 진입하지 마시고 우회하기 바랍니다.,cbs,수영구,주요 침수지 : 망미2동 우리은행,,"[('도로침수 주요', 0.7135)]"
2022/09/06 08:08:58,131,부산광역시 수영구,171663,현 시각부로 '수영구 2번 마을버스' 운행이 '정상재개'되었음을 구민여러분께 알려드리오니 버스 이용에 참고하시기 바랍니다.,cbs,수영구,,,"[('마을버스 운행이 정상재개 되었음을', 0.7259)]"
2022/09/06 06:38:37,131,부산광역시 수영구,171602,"현재 여전히 매우 강한 바람이 지속중이오니 구민께서는 남천방파제, 광안리 해변, 민락방파제, 민락수변공원, 수영강산책로 인근으로 출입하지마시기바랍니다.",cbs,수영구,,,"[('민락방파제 민락수변공원', 0.6061)]"
2022/09/06 04:42:02,131,부산광역시 수영구,171532,"수영강변산책로, 광안리 해변, 민락동 해변로 일원 월파 진행중. 태풍 근접 중이니 절대 외부로 나가지 마시고 안전한 곳(실내)에 머무시기 바랍니다.",cbs,수영구,실내,,"[('해변 민락동 해변로 일원', 0.6685)]"
2022/09/06 01:53:27,131,부산광역시 수영구,171504,"민락항, 민락수변로 일원 월파 급속히 진행중. 인근 아파트 및 상가에서는 각종침수(차량)피해가 없도록 차수판 설치 등 철저히 대비하시기 바랍니다.",cbs,수영구,차량,,"[('설치 철저히', 0.7046)]"
2022/09/06 01:35:08,131,부산광역시 수영구,171502,"남천항, 남천호안도로, 광안리해변, 민락항, 민락수변공원 일원에 월파 가능성이 높습니다. 주변을 지나는 차량 및 인근 주민께서는 접근하지마시기바랍니다.",cbs,수영구,,,"[('남천호안도로 광안리해변 민락항', 0.586)]"
2022/09/05 23:26:50,131,부산광역시 수영구,171475,제11호 태풍 '힌남노' 북상으로 9.6.(화) 6시 첫차부터 오전10시까지 수영구 2번 마을버스 운행이 잠정중단되오니 버스 이용에 참고하시기 바랍니다.,cbs,수영구,화,,"[('오전10시까지 수영구', 0.4888)]"
2022/09/05 23:17:01,131,부산광역시 수영구,171470,민락수변공원에 파도가 매우 거셉니다. 수영강변 및 광안리해변 일원 차량 및 주민 출입을 통제하고있습니다.,cbs,수영구,,,"[('주민 출입을', 0.6668)]"
2021/03/26 13:26:37,131,부산광역시 수영구,99975,"만75세이상(46.12.31.이전출생) 코로나19예방접종관련, 3.31.(수)부터 통장이 가정 방문 또는 관할 동행정복지센터 방문하여 동의서 작성 가능",cbs,수영구,46.12.31.이전출생,75세,"[('또는 관할 동행정복지센터', 0.5861)]"
