create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2020/12/29 10:00:25,34,경기도 수원시,78517,"734번(고등동), 735번(화서1동), 736번(화서2동), 737번(조원2동), 738번(세류1동), 739번(화서2동),",cbs,수원시청-1,고등동,,"[('화서1동 736번', 0.6465)]"
2020/12/28 10:00:03,34,경기도 수원시,78167,"719번(입북동), 720번], 721번(조원1동), 722번(화서2동), 723~724번], 725번(매탄2동),",cbs,수원시청-1,입북동,,"[('725번 매탄2동', 0.6436)]"
2020/12/27 10:00:06,34,경기도 수원시,77860,"712번(권선1동), 713번(조원2동), 714번(입북동), 715번],",cbs,수원시청-1,권선1동,,"[('입북동 715번', 0.6601)]"
2020/12/26 10:02:08,34,경기도 수원시,77509,"704번], 705번(망포1동), 706(원천동), 707번(우만1동),",cbs,수원시청-1,곡반정동,,"[('원천동 707번 우만1동', 0.6897)]"
2020/12/25 10:00:07,34,경기도 수원시,77160,"694번], 695번(관외거주자), 696~697번(인계동), 698번(매탄1동), 699번],",cbs,수원시청-1,오목천동,,"[('매탄1동 699번', 0.6351)]"
2020/12/24 17:00:25,34,경기도 수원시,76959,"686~687번(망포1동), 688번(권선2동), 689번(관외거주자), 690], 691~692번(호매실동),",cbs,수원시청-1,망포1동,,"[('권선2동 689번', 0.6578)]"
2020/12/23 10:40:06,34,경기도 수원시,76316,"666번(세류2동), 667번(인계동), 668번(정자2동), 669번(정자3동), 670번~671번(율천동(율전동)), 672번(지동),",cbs,수원시청-1,세류2동,,"[('671번 율천동', 0.6707)]"
2020/12/22 17:59:19,34,경기도 수원시,76158,"657번~658번(관외거주자), 659번(조원1동), 660번(매탄1동), 661번(금곡동), 662번~663번(호매실동),",cbs,수원시청-1,관외거주자,,"[('660번 매탄1동 661번 금곡동', 0.658)]"
2020/12/22 10:11:54,34,경기도 수원시,75946,"644번(매탄1동), 645번~646번(인계동), 647번(지동), 648번(정자2동), 649번(금곡동), 650번(광교1동),",cbs,수원시청-1,매탄1동,,"[('인계동 647번', 0.686)]"
2020/12/21 10:01:20,34,경기도 수원시,75603,"628번(권선2동), 629번(영화동), 630번(인계동), 631번(영통3동), 632번], 633번(화서2동),",cbs,수원시청-1,권선2동,,"[('631번 영통3동', 0.635)]"
2020/12/20 10:00:05,34,경기도 수원시,75286,"621번~622번(세류2동), 623번(영통1동), 624번(광교2동), 625번], 626번],",cbs,수원시청-1,세류2동,,"[('영통1동 624번 광교2동', 0.6078)]"
2020/12/19 10:00:12,34,경기도 수원시,74927,"607번~609번(호매실동), 610번(금곡동), 611번(관외거주자), 612번(인계동), 613번~614번(광교2동),",cbs,수원시청-1,호매실동,,"[('인계동 613번', 0.6699)]"
2020/12/18 17:30:04,34,경기도 수원시,74764,"599번(인계동), 600번(세류2동), 601번(화서2동), 602번(매탄3동), 603번(매탄4동), 604호(망포1동),",cbs,수원시청-1,인계동,,"[('세류2동 601번', 0.5732)]"
2020/12/18 11:40:12,34,경기도 수원시,74605,"584번(인계동), 585번(금곡동), 586번(호매실동), 587번(관외거주자), 588번], 589~590번(광교2동),",cbs,수원시청-1,인계동,,"[('관외거주자 588번 589', 0.6822)]"
2020/12/16 10:31:06,34,경기도 수원시,73865,"559번(인계동), 560번(연무동), 561~569번], 570번(연무동), 571번~575번(매탄4동),",cbs,수원시청-1,인계동,,"[('연무동 561 569번', 0.6223)]"
2020/12/15 10:30:50,34,경기도 수원시,73481,"545번(인계동), 546~547번], 548번], 549~550번(인계동), 551번(우만2동),",cbs,수원시청-1,인계동,,"[('546 547번', 0.6682)]"
2020/12/14 10:00:35,34,경기도 수원시,73080,"533번(호매실동), 534번(관외거주자), 535번(매탄3동), 536번], 537번(망포1동), 538번(조원1동),",cbs,수원시청-1,호매실동,,"[('535번 매탄3동', 0.6808)]"
2020/12/13 10:00:14,34,경기도 수원시,72755,"523번~525번(관외거주자), 526번(정자2동), 527번(화서1동), 528번(정자2동), 529번(지동), 530번(관외거주자),",cbs,수원시청-1,관외거주자,,"[('527번 화서1동 528번 정자2동', 0.6568)]"
2020/12/12 17:05:11,34,경기도 수원시,72620,"513번(관외거주자), 514번(영화동), 515번(정자2동), 516~517번(금곡동), 518~519번(관외거주자), 520번",cbs,수원시청-1,관외거주자,,"[('515번 정자2동', 0.6659)]"
2020/12/12 10:00:52,34,경기도 수원시,72451,"494번~495번], 496번~498번(조원2동), 499번(관외거주자), 500번~505번(인계동), 506번(세류3동),",cbs,수원시청-1,당수동,,"[('505번 인계동 506번', 0.6652)]"
2020/12/11 10:00:05,34,경기도 수원시,72101,"484번(연무동), 485~486번], 487번(조원2동), 488번(정자1동), 489번(원천동),",cbs,수원시청-1,연무동,,"[('정자1동 489번', 0.6629)]"
2020/12/10 17:00:16,34,경기도 수원시,71972,"477번~479번(송죽동), 480번(연무동), 481번], 482번(화서2동)",cbs,수원시청-1,송죽동,,"[('송죽동 480번 연무동', 0.6586)]"
2020/12/10 10:30:03,34,경기도 수원시,71819,"467번(지동), 468~469번(권선2동), 470~471번], 472번(인계동), 473번], 474번(금곡동),",cbs,수원시청-1,지동,,"[('지동 468 469번', 0.6993)]"
2020/12/09 08:12:16,34,경기도 수원시,71467,"438번~439번(연무동), 440번(율천동(율전동)), 441번(정자2동), 442번(매교동(교동)), 443번(화서1동),444번(관외거주자),",cbs,수원시청-1,연무동,,"[('439번 연무동 440번 율천동', 0.6595)]"
2020/12/08 14:20:13,34,경기도 수원시,71303,"429번(망포1동), 430번(매탄3동), 431번(연무동), 432번(권선1동), 433번(권선2동), 434번],",cbs,수원시청-1,망포1동,,"[('연무동 432번 권선1동', 0.6082)]"
2020/12/08 09:50:51,34,경기도 수원시,71163,"422번(권선2동), 423번(구운동), 424번(영통3동), 425번], 426번(권선1동), 427번(세류3동),",cbs,수원시청-1,권선2동,,"[('영통3동 425번 426번', 0.6622)]"
2020/12/07 08:20:04,34,경기도 수원시,70760,"408번(광교1동), 409번~411번(정자2동), 412번], 413번~415번(호매실동), 416번(영통3동),",cbs,수원시청-1,광교1동,,"[('광교1동 409번 411번', 0.6773)]"
2020/12/06 08:00:26,34,경기도 수원시,70502,"399번~400번(정자2동), 401번(조원1동), 402번(영통1동), 403번], 404번(화서1동), 405번(송죽동),",cbs,수원시청-1,정자2동,,"[('정자2동 401번 조원1동 402번', 0.6168)]"
