create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/11/23 21:00:06,34,경기도 수원시,206953,경진여객 광역버스 11.24.(금) 16:00부터 마지막차 까지 파업. 대체수단 이용 권장. 시 홈페이지 참고. url.kr/1wn5dt,cbs,수원시청,금,,"[('00부터 마지막차 까지', 0.6466)]"
2023/11/21 21:05:41,34,경기도 수원시,206903,경진여객 광역버스 전노선 11.22.(수) 총파업. 대체수단 이용 권장. https://url.kr/1wn5dt,cbs,수원시청,수,,"[('대체수단 이용', 0.5079)]"
2023/11/19 18:00:06,34,경기도 수원시,206876,경진여객 광역버스 11.20.(월) 첫차부터 오전 10:00까지 파업. 대체수단 이용 권장.,cbs,수원시청,월,,"[('20 첫차부터 오전', 0.5895)]"
2023/10/24 18:03:18,34,경기도 수원시,206230,"수원시 광역, 시내버스 총파업 예정 10.26.(목) 첫차부터. 마을버스 정상운행. 세부사항은 수원시 홈페이지를 참조 바랍니다.",cbs,수원시청,목,,"[('10 26 첫차부터 마을버스', 0.5994)]"
2023/08/23 11:10:04,34,경기도 수원시,204137,"8.23.(수) 14:00~14:20 민방위훈련, 산남중삼거리~큰우물사거리, 권선구청삼거리~행정타운사거리, 율전초삼거리~율현중사거리 차량통제 예정",cbs,수원시청,수,,"[('권선구청삼거리 행정타운사거리 율전초삼거리', 0.5144)]"
2023/08/15 14:10:16,34,경기도 수원시,203365,성남시 분당구 수내교가 2023.8.14.(월) 22:00부터 긴급 사용제한(통제) 되오니 수내교를 이용하시는 수원시민들께서는 우회하시기 바랍니다.,cbs,수원시청,월,,"[('우회하시기 바랍니다', 0.6214)]"
2023/08/09 18:25:29,34,경기도 수원시,202162,태풍 카눈의 북상에 따라 오늘 밤부터 많은 비가 예상되어 오늘 18시부터 하천 출입을 통제하오니 하천 산책로 이용을 삼가하여 주시기 바랍니다.,cbs,수원시청,,,"[('카눈의 북상에', 0.6229)]"
2023/08/07 08:29:03,"8358,8370,8387,8410","경기도 수원시 장안구,경기도 수원시 권선구,경기도 수원시 팔달구,경기도 수원시 영통구",201510,"세류지하차도 수원역 방향 교통사고 발생, 차량 통제중이니 우회하고 안전사고 발생에 유의 바랍니다.",cbs,수원시청,,,"[('교통사고 발생 차량', 0.7222)]"
2023/07/30 10:59:09,"8358,8370,8387,8410","경기도 수원시 장안구,경기도 수원시 권선구,경기도 수원시 팔달구,경기도 수원시 영통구",200272,수원지역 폭염주의보 발효중. 고령농업인 및 옥외노동자 등 작업을 자제하여 주시고 충분한 수분섭취와 휴식으로 건강관리에 유의 바랍니다.,cbs,수원시청,,,"[('고령농업인 옥외노동자 작업을 자제하여', 0.705)]"
2023/07/23 12:48:33,34,경기도 수원시,199499,"수원시 전지역 호우주의보 발효중. 하천 산책로 등 위험지역 방문을 금하여 주시고, 지하차도, 저지대, 침수우려지역 등은 안전에 유의 바랍니다.",cbs,수원시청,,,"[('전지역 호우주의보 발효중', 0.7696)]"
