create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/11/05 19:45:08,"8358,8370,8387,8410","경기도 수원시 장안구,경기도 수원시 권선구,경기도 수원시 팔달구,경기도 수원시 영통구",206473,"6일 아침까지 많은 비가 예상되오니 하천변 산책로 출입을 금하시고, 내집 주변 배수구가 낙엽으로 막히지 않도록 사전에 제거하여 주시기 바랍니다.",cbs,수원특례시청,,,"[('금하시고 내집 주변 배수구가', 0.7029)]"
2023/02/10 10:01:24,34,경기도 수원시,192892,"2.10.(금) 0시 기준 신규확진 327명 발생 ▲2.11.(토)부터 코로나19 재난문자 발송중단, 수원시 홈페이지 참조 me2.kr/xSvSA",cbs,수원특례시청,금,,"[('11 부터 코로나19 재난문자', 0.4719)]"
2023/02/09 10:17:18,34,경기도 수원시,192840,"2.9.(목) 0시 기준 신규확진 331명 발생 ▲2.11.(토)부터 코로나19 재난문자 발송중단, 수원시 홈페이지 참조 me2.kr/fbNmi",cbs,수원특례시청,목,,"[('발송중단 수원시 홈페이지', 0.4605)]"
2023/02/08 10:02:01,34,경기도 수원시,192806,동절기 추가접종(2가백신) 사전예약 ncvr.kdca.go.kr ▲2.8.(수) 0시 기준 신규확진 361명 발생 me2.kr/uMIHj,cbs,수원특례시청,2가백신,,"[('동절기 추가접종 2가백신 사전예약', 0.4464)]"
2023/02/07 09:59:13,34,경기도 수원시,192777,동절기 추가접종(2가백신) 사전예약 ncvr.kdca.go.kr ▲2.7.(화) 0시 기준 신규확진 342명 발생 me2.kr/BYFnk,cbs,수원특례시청,2가백신,,"[('신규확진 342명 발생', 0.4803)]"
2023/02/06 09:59:54,34,경기도 수원시,192727,동절기 추가접종(2가백신) 사전예약 ncvr.kdca.go.kr ▲2.6.(월) 0시 기준 신규확진 187명 발생 me2.kr/txRIL,cbs,수원특례시청,2가백신,,"[('동절기 추가접종 2가백신', 0.4598)]"
2023/02/05 10:04:13,34,경기도 수원시,192687,동절기 추가접종(2가백신) 사전예약 ncvr.kdca.go.kr ▲2.5.(일) 0시 기준 신규확진 289명 발생 me2.kr/JOtUN,cbs,수원특례시청,2가백신,,"[('추가접종 2가백신', 0.4745)]"
2023/02/04 10:00:23,34,경기도 수원시,192647,동절기 추가접종(2가백신) 사전예약 ncvr.kdca.go.kr ▲2.4.(토) 0시 기준 신규확진 384명 발생 me2.kr/EjvtD,cbs,수원특례시청,2가백신,,"[('발생 me2 kr', 0.4626)]"
2023/02/03 10:00:10,34,경기도 수원시,192587,동절기 추가접종(2가백신) 사전예약 ncvr.kdca.go.kr ▲2.3.(금) 0시 기준 신규확진 332명 발생 me2.kr/tPtdp,cbs,수원특례시청,2가백신,,"[('0시 기준 신규확진 332명', 0.4445)]"
2023/02/02 10:30:08,34,경기도 수원시,192549,동절기 추가접종(2가백신) 사전예약 ncvr.kdca.go.kr ▲2.2.(목) 0시 기준 신규확진 399명 발생 me2.kr/OxgMi,cbs,수원특례시청,2가백신,,"[('동절기 추가접종 2가백신 사전예약', 0.4643)]"
2023/02/01 10:00:13,34,경기도 수원시,192469,동절기 추가접종(2가백신) 사전예약 ncvr.kdca.go.kr ▲2.1.(수) 0시 기준 신규확진 458명 발생 me2.kr/oUbxU,cbs,수원특례시청,2가백신,,"[('발생 me2 kr oubxu', 0.434)]"
2023/01/31 10:01:57,34,경기도 수원시,192398,동절기 추가접종(2가백신) 사전예약 ncvr.kdca.go.kr ▲1.31.(화) 0시 기준 신규확진 494명 발생 me2.kr/MkGOf,cbs,수원특례시청,2가백신,,"[('신규확진 494명', 0.4704)]"
2023/01/30 10:07:40,34,경기도 수원시,192335,동절기 추가접종(2가백신) 사전예약 ncvr.kdca.go.kr ▲1.30.(월) 0시 기준 신규확진 224명 발생 me2.kr/XFnHs,cbs,수원특례시청,2가백신,,"[('me2 kr xfnhs', 0.4607)]"
2023/01/29 10:00:37,34,경기도 수원시,192250,동절기 추가접종(2가백신) 사전예약 ncvr.kdca.go.kr ▲1.29.(일) 0시 기준 신규확진 537명 발생 me2.kr/HOnTq,cbs,수원특례시청,2가백신,,"[('사전예약 ncvr', 0.4704)]"
2023/01/28 10:04:41,34,경기도 수원시,192174,동절기 추가접종(2가백신) 사전예약 ncvr.kdca.go.kr ▲1.28.(토) 0시 기준 신규확진 596명 발생 me2.kr/yKLFT,cbs,수원특례시청,2가백신,,"[('사전예약 ncvr', 0.4682)]"
2023/01/27 10:07:34,34,경기도 수원시,192049,동절기 추가접종(2가백신) 사전예약 ncvr.kdca.go.kr ▲1.27.(금) 0시 기준 신규확진 838명 발생 me2.kr/PHtwx,cbs,수원특례시청,2가백신,,"[('사전예약 ncvr', 0.4483)]"
2023/01/26 10:00:49,34,경기도 수원시,191927,동절기 추가접종(2가백신) 사전예약 ncvr.kdca.go.kr ▲1.26.(목) 0시 기준 신규확진 816명 발생 me2.kr/gXODu,cbs,수원특례시청,2가백신,,"[('kr 26', 0.4486)]"
2023/01/25 21:45:44,34,경기도 수원시,191871,"내일 강설 및 한파로 인해 도로 결빙 우려가 있으니, 감속운전 및 가급적 대중교통을 이용하시고 미끄럼사고 등 안전에 유의하시기 바랍니다.",cbs,수원특례시청,,,"[('강설 한파로 인해 도로', 0.7402)]"
2023/01/25 09:59:55,34,경기도 수원시,191785,동절기 추가접종(2가백신) 사전예약 ncvr.kdca.go.kr ▲1.25.(수) 0시 기준 신규확진 464명 발생 me2.kr/vnUpb,cbs,수원특례시청,2가백신,,"[('kr 25', 0.4599)]"
2023/01/24 10:00:11,34,경기도 수원시,191592,동절기 추가접종(2가백신) 사전예약 ncvr.kdca.go.kr ▲1. 24.(화) 0시 기준 신규확진 322명 발생 me2.kr/avEuH,cbs,수원특례시청,2가백신,,"[('동절기 추가접종 2가백신', 0.4541)]"
2023/01/23 10:00:27,34,경기도 수원시,191335,동절기 추가접종(2가백신) 사전예약 ncvr.kdca.go.kr ▲1.23.(월) 0시 기준 신규확진 311명 발생 me2.kr/vDjZu,cbs,수원특례시청,2가백신,,"[('추가접종 2가백신', 0.4497)]"
2023/01/22 10:01:04,34,경기도 수원시,191240,동절기 추가접종(2가백신) 사전예약 ncvr.kdca.go.kr ▲1.22.(일) 0시 기준 신규확진 450명 발생 me2.kr/STNII,cbs,수원특례시청,2가백신,,"[('0시 기준 신규확진', 0.4547)]"
2023/01/21 10:00:10,34,경기도 수원시,191139,동절기 추가접종(2가백신) 사전예약 ncvr.kdca.go.kr ▲1.21.(토) 0시 기준 신규확진 677명 발생 me2.kr/qAcLX,cbs,수원특례시청,2가백신,,"[('기준 신규확진 677명', 0.4478)]"
2023/01/20 10:00:19,34,경기도 수원시,190991,동절기 추가접종(2가백신) 사전예약 ncvr.kdca.go.kr ▲1.20.(금) 0시 기준 신규확진 693명 발생 me2.kr/EhNcx,cbs,수원특례시청,2가백신,,"[('추가접종 2가백신', 0.4475)]"
2023/01/19 10:00:01,34,경기도 수원시,190871,동절기 추가접종(2가백신) 사전예약 ncvr.kdca.go.kr ▲1. 19.(목) 0시 기준 신규확진 807명 발생 me2.kr/MOHUc,cbs,수원특례시청,2가백신,,"[('kr 19', 0.4375)]"
2023/01/18 10:00:09,34,경기도 수원시,190743,동절기 추가접종(2가백신) 사전예약 ncvr.kdca.go.kr ▲1.18.(수) 0시 기준 신규확진 903명 발생 me2.kr/Arlif,cbs,수원특례시청,2가백신,,"[('동절기 추가접종 2가백신', 0.453)]"
2023/01/17 10:00:08,34,경기도 수원시,190619,동절기 추가접종(2가백신) 사전예약 ncvr.kdca.go.kr ▲1. 17.(화) 0시 기준 신규확진 920명 발생 me2.kr/RTEYw,cbs,수원특례시청,2가백신,,"[('추가접종 2가백신', 0.4665)]"
2023/01/16 10:09:44,34,경기도 수원시,190497,동절기 추가접종(2가백신) 사전예약 ncvr.kdca.go.kr ▲1. 16.(월) 0시 기준 신규확진 504명 발생 me2.kr/FpuSQ,cbs,수원특례시청,2가백신,,"[('me2 kr', 0.4759)]"
2023/01/15 10:04:32,34,경기도 수원시,190326,동절기 추가접종(2가백신) 사전예약 ncvr.kdca.go.kr ▲1.15.(일) 0시 기준 신규확진 813명 발생 me2.kr/YWJCJ,cbs,수원특례시청,2가백신,,"[('추가접종 2가백신 사전예약', 0.4574)]"
2023/01/14 10:03:50,34,경기도 수원시,190185,"동절기 추가접종(2가백신) 사전예약 ncvr.kdca.go.kr ▲1.14.(토) 0시 기준 신규확진 1,034명 발생 me2.kr/eFCNF",cbs,수원특례시청,2가백신,,"[('kr 14 0시', 0.4577)]"
2023/01/13 10:00:45,34,경기도 수원시,190031,동절기 추가접종(2가백신) 사전예약 ncvr.kdca.go.kr ▲1. 13.(금) 0시 기준 신규확진 934명 발생 me2.kr/dMsKI,cbs,수원특례시청,2가백신,,"[('me2 kr dmski', 0.4512)]"
2023/01/12 10:09:03,34,경기도 수원시,189892,"동절기 추가접종(2가백신) 사전예약 ncvr.kdca.go.kr ▲1. 12.(목) 0시 기준 신규확진 1,272명 발생 url.kr/u6tgxw",cbs,수원특례시청,2가백신,,"[('추가접종 2가백신', 0.448)]"
2023/01/11 10:01:33,34,경기도 수원시,189756,"동절기 추가접종(2가백신) 사전예약 ncvr.kdca.go.kr ▲1. 11.(수) 0시 기준 신규확진 1,441명 발생 me2.kr/hmcMm",cbs,수원특례시청,2가백신,,"[('kr hmcmm', 0.4441)]"
2023/01/10 09:59:29,34,경기도 수원시,189621,"동절기 추가접종(2가백신) 사전예약 ncvr.kdca.go.kr ▲1. 10.(화) 0시 기준 신규확진 1,360명 발생 me2.kr/mwJoM",cbs,수원특례시청,2가백신,,"[('0시 기준 신규확진 360명', 0.4841)]"
2023/01/09 10:00:15,34,경기도 수원시,189498,동절기 추가접종(2가백신) 사전예약 ncvr.kdca.go.kr ▲1. 9.(월) 0시 기준 신규확진 668명 발생 me2.kr/xHyGc,cbs,수원특례시청,2가백신,,"[('0시 기준 신규확진 668명', 0.4815)]"
