create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/02/09 10:03:25,209,전라북도 순창군,192838,"2.9.(목) 10시기준 확진자5명 발생▲실내마스크착용 의무해제(권고)▲단, 의료기관 및 대중교통 등 의무유지(https://url.kr/kbsvy5)",cbs,순창군청,목,,"[('발생 실내마스크착용 의무해제', 0.5587)]"
2023/02/08 10:30:39,209,전라북도 순창군,192808,2.8.(수) 10시기준 확진자7명 발생(전일6명) ▲코로나19 동절기 추가접종(2가백신) 참여바랍니다.(보건의료원 접종시 인센티브 제공합니다),cbs,순창군청,수,,"[('코로나19 동절기 추가접종', 0.5293)]"
2023/02/07 10:07:04,209,전라북도 순창군,192781,"2.7.(화) 10시기준 확진자6명 발생▲실내마스크착용 의무해제(권고)▲단, 의료기관 및 대중교통 등 의무유지(https://url.kr/kbsvy5)",cbs,순창군청,화,,"[('발생 실내마스크착용 의무해제', 0.5324)]"
2023/02/06 10:05:51,209,전라북도 순창군,192729,2.6.(월) 10시기준 확진자2명 발생(전일2명) ▲코로나19 동절기 추가접종(2가백신) 참여바랍니다.(보건의료원 접종시 인센티브 제공합니다),cbs,순창군청,월,,"[('2가백신 참여바랍니다 보건의료원 접종시', 0.59)]"
2023/02/05 10:00:21,209,전라북도 순창군,192685,"2.5.(일) 10시기준 확진자2명 발생▲실내마스크착용 의무해제(권고)▲단, 의료기관 및 대중교통 등 의무유지(https://url.kr/kbsvy5)",cbs,순창군청,일,,"[('권고 의료기관', 0.4944)]"
2023/02/04 09:57:08,209,전라북도 순창군,192646,"2.4.(토) 10시기준 확진자3명 발생▲실내마스크착용 의무해제(권고)▲단, 의료기관 및 대중교통 등 의무유지(https://url.kr/kbsvy5)",cbs,순창군청,토,,"[('발생 실내마스크착용 의무해제', 0.5122)]"
2023/02/03 10:09:39,209,전라북도 순창군,192593,"2.3.(금) 10시기준 확진자6명 발생▲실내마스크착용 의무해제(권고)▲단, 의료기관 및 대중교통 등 의무유지(https://url.kr/kbsvy5)",cbs,순창군청,금,,"[('권고 의료기관', 0.4999)]"
2023/02/02 10:01:47,209,전라북도 순창군,192542,"2.2.(목) 10시기준 확진자4명 발생▲실내마스크착용 의무해제(권고)▲단, 의료기관 및 대중교통 등 의무유지(https://url.kr/kbsvy5)",cbs,순창군청,목,,"[('권고 의료기관', 0.5128)]"
2023/02/01 10:02:39,209,전라북도 순창군,192472,"2.1.(수) 10시기준 확진자 2명발생▲실내마스크착용 의무해제(권고)▲단, 의료기관 및 대중교통 등 의무유지(https://url.kr/kbsvy5)",cbs,순창군청,수,,"[('실내마스크착용 의무해제', 0.5309)]"
2023/01/31 10:02:23,209,전라북도 순창군,192400,"1.31(화) 10시기준 확진자 3명 발생▲실내마스크 착용 의무조정▲단, 의료기관 및 대중교통 등 의무유지(https://url.kr/kbsvy5)",cbs,순창군청,화,,"[('3명 발생', 0.5831)]"
2023/01/30 10:06:31,209,전라북도 순창군,192334,"1.30.(월) 10시기준 확진자 1명 발생▲실내마스크 착용 의무조정▲단, 의료기관 및 대중교통 등 의무유지(https://url.kr/kbsvy5)",cbs,순창군청,월,,"[('의무조정 의료기관', 0.4918)]"
2023/01/29 10:16:38,209,전라북도 순창군,192252,"1.29(일)10시기준 확진자7명발생▲1.30일부터 실내마스크착용의무조정(단,의료기관,약국,대중교통,입소형감염취약시설 의무유지)▲의심증상시 검사바랍니다",cbs,순창군청,일,,"[('실내마스크착용의무조정 의료기관 약국 대중교통', 0.6009)]"
2023/01/28 10:02:32,209,전라북도 순창군,192172,1.28.(토) 10시기준 확진자 5명 발생(전일4명)▲코로나19 동절기 추가접종(2가백신) 참여바랍니다.(보건의료원 접종시 인센티브 제공합니다.),cbs,순창군청,토,,"[('5명 발생 전일4명 코로나19', 0.584)]"
2023/01/27 10:09:52,209,전라북도 순창군,192050,1.27.(금) 10시기준 확진자 4명 발생(전일6명)▲코로나19 동절기 추가접종(2가백신) 참여바랍니다.(보건의료원 접종시 인센티브 제공합니다.).,cbs,순창군청,금,,"[('4명 발생 전일6명 코로나19', 0.5471)]"
2023/01/27 06:00:50,209,전라북도 순창군,192002,"도로 결빙(블랙 아이스)으로 인한 차량운행 주의 및 감속운행 바라며, 노약자는 외출을 자제하여 주시기 바랍니다.",cbs,순창군청,블랙 아이스,,"[('주시기 바랍니다', 0.7258)]"
2023/01/26 10:05:25,209,전라북도 순창군,191930,1.26.(목) 10시기준 확진자 6명 발생(전일7명)▲코로나19 동절기 추가접종(2가백신) 참여바랍니다.(보건의료원 접종시 인센티브 제공합니다.),cbs,순창군청,목,,"[('6명 발생', 0.5793)]"
2023/01/25 10:06:52,209,전라북도 순창군,191792,1.25.(수) 10시기준 확진자 7명 발생(전일8명)▲코로나19 동절기 추가접종(2가백신) 참여바랍니다.(보건의료원 접종시 인센티브 제공합니다.),cbs,순창군청,수,,"[('발생 전일8명 코로나19', 0.5573)]"
2023/01/24 10:15:23,209,전라북도 순창군,191600,"1.24.(화)10시기준 확진자 8명발생(전일1명)▲명절기간 병원,약국등 의료기관 운영현황 참고하시기 바랍니다.https://url.kr/piy68x",cbs,순창군청,화,,"[('명절기간 병원 약국등 의료기관', 0.5442)]"
2023/01/24 06:45:52,209,전라북도 순창군,191530,"한파·대설주의보 발효 중으로 기온 강하와 많은 눈이 예상됨. 강풍 피해, 농작물 피해, 수도동파, 한랭질환 유의, 화재예방 등 피해에 주의 바랍니다.",cbs,순창군청,,,"[('눈이 예상됨 강풍', 0.6605)]"
2023/01/23 17:25:58,209,전라북도 순창군,191451,내일새벽부터 기온이 큰폭으로 떨어져 매우춥고 또한 눈까지 예상되니 수도관 및 보일러 동파방지 등 시설물 피해가 발생하지 않도록 각별히 주의하시기바랍니다,cbs,순창군청,,,"[('내일새벽부터 기온이', 0.6825)]"
2023/01/23 10:02:05,209,전라북도 순창군,191341,"1.23.(월)10시기준 확진자 1명발생(전일5명)▲명절기간 병원,약국등 의료기관 운영현황 참고하시기 바랍니다.https://url.kr/piy68x",cbs,순창군청,월,,"[('병원 약국등 의료기관', 0.5262)]"
2023/01/22 10:07:47,209,전라북도 순창군,191249,"1.22.(일)10시기준 확진자 5명발생(전일6명)▲명절기간 병원,약국등 의료기관 운영현황 참고하시기 바랍니다.https://url.kr/piy68x",cbs,순창군청,일,,"[('병원 약국등', 0.4702)]"
2023/01/21 10:06:37,209,전라북도 순창군,191146,"1.21.(토)10시기준 확진자 6명발생(전일9명)▲명절기간 병원,약국등 의료기관 운영현황 참고하시기 바랍니다.https://url.kr/piy68x",cbs,순창군청,토,,"[('6명발생 전일9명 명절기간 병원', 0.5347)]"
2023/01/20 10:13:33,209,전라북도 순창군,191000,1.20.(금) 10시기준 확진자 9명 발생(전일16명)▲코로나19 동절기 추가접종(2가백신) 참여바랍니다.(보건의료원 접종시 인센티브 제공합니다.),cbs,순창군청,금,,"[('발생 전일16명 코로나19', 0.5414)]"
2023/01/19 10:02:08,209,전라북도 순창군,190877,"1.19.(목) 10시 기준 확진자 16명 발생 (전일7명) ▲실내 마스크 착용, 손씻기, 주기적 환기 등 개인생활 방역수칙 준수바랍니다.",cbs,순창군청,목,,"[('손씻기 주기적 환기 개인생활', 0.5815)]"
2023/01/18 10:07:17,209,전라북도 순창군,190757,1.18.(수) 10시 기준 확진자 7명 발생(전일22명) ▲재택치료자 및 동거인 행동 요령 안내 https://c11.kr/wpv5,cbs,순창군청,수,,"[('동거인 행동 요령 안내', 0.4638)]"
