create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2021/02/16 10:11:47,209,전라북도 순창군,92253,"사회적거리두기 1.5단계에 따라 보건의료원 선별진료소에서는 코로나19 관련 유증상자, 역학적역관성 있는 대상자만 무료검사 가능합니다.",cbs,순창군청1,,,"[('사회적거리두기 5단계에 따라 보건의료원', 0.6157)]"
2020/12/16 14:02:54,209,전라북도 순창군,73958,"순창군 4번 확진자 동선을 모두 파악하여 접촉자 전원 검사와 소독을 완료하였으며, 추가 동선 및 접촉자 없습니다.",cbs,순창군청1,,,"[('소독을 완료하였으며 추가 동선', 0.6956)]"
2020/12/11 10:50:24,209,전라북도 순창군,72124,"전북480, 481, 428번 확진자 외 추가 확진자는 없으며, 계속해서 역학조사와 검사가 이루어지고 있습니다.",cbs,순창군청1,,,"[('확진자 추가 확진자는', 0.593)]"
2020/12/07 18:20:24,209,전라북도 순창군,71028,"12.8일 0시부터 거리두기 2단계시행.유흥시설 및 100인이상 집합금지,노래방·실내체육시설 21시이후 운영중단,종교시설 좌석수의 20%이내 인원제한",cbs,순창군청1,,,"[('실내체육시설 21시이후 운영중단 종교시설', 0.5834)]"
2020/09/22 09:31:35,209,전라북도 순창군,58205,"독감예방접종백신의 유통과정 문제로 9/22 인플루엔자(어린이 및 임신부) 접종 잠정중단, 접종 재개일은 정부 방침에 따라 추후 안내드리겠습니다.",cbs,순창군청1,어린이 및 임신부,,"[('어린이 임신부 접종', 0.6135)]"
2020/07/06 20:37:49,209,전라북도 순창군,39815,"7.1(수)~7.2(목) 10시 광주고시학원 (예술길31-16,4층,대의동)방문자는 보건의료원 신고 바랍니다.",cbs,순창군청1,수,,"[('4층 대의동', 0.5397)]"
2020/07/05 17:50:48,209,전라북도 순창군,39705,"6.27~7.5 기간 중 광주 확진자 77명, 전남 다수 발생. 외출 시 마스크 착용은 필수이며 타 지역 방문 자제 바랍니다.",cbs,순창군청1,,,"[('착용은 필수이며', 0.6594)]"
2020/07/04 16:55:33,209,전라북도 순창군,39589,"코로나19확진자 관련시설 방문하신 분은 외출을 자제하시고, 보건의료원에 신고하여 주시기 바랍니다.①6.27(토)~6.28(일)광주북구 일곡중앙교회",cbs,순창군청1,토,,"[('관련시설 방문하신', 0.6087)]"
2020/07/04 14:26:25,209,전라북도 순창군,39566,"6.23(화)13:30~17:00광주북구 천주의성요한병원, 6.29(월)19:30~20:30 담양 수북면단청(구감나무집)",cbs,순창군청1,화,,"[('19 30', 0.3178)]"
2020/07/02 12:17:20,209,전라북도 순창군,39290,최근 광주 코로나19 확진자와 관련하여 아래의 시설을 방문하신 분은 외출을 자제하고 보건의료원(063-650-5265)에 신고하여 주시기 바랍니다.,cbs,순창군청1,063-650-5265,,"[('아래의 시설을', 0.6411)]"
2020/06/29 10:49:25,209,전라북도 순창군,39004,"코로나19 확진자가 광주3명,전주1명 추가 발생, 감염병예방을 위해 마스크착용, 개인위생관리, 종교활동 및 모임자제, 다중이용시설 방역수칙 준수바라며",cbs,순창군청1,,,"[('확진자가 광주3명', 0.7404)]"
2020/06/28 15:36:06,209,전라북도 순창군,38931,"금일 코로나19 확진자가 광주4명,전남3명 추가 발생,감염예방을 위해 마스크 착용,개인위생철저,종교활동및 모임자제,다중이용시설 방역수칙 준수 바라며",cbs,순창군청1,,,"[('다중이용시설 방역수칙 준수', 0.6768)]"
2020/06/19 09:45:19,209,전라북도 순창군,38107,전주확진자경로6.14(일)14:58~17:58조이룸카페(객사)/19:58~20:19ABC마트(객사)/6.15(월)14:00~14:50두끼떡볶이(객사),cbs,순창군청1,일,,"[('20 19abc마트 객사', 0.5836)]"
2020/06/18 15:58:55,209,전라북도 순창군,38069,전주확진자경로6.14(일)14:58~17:58조이룸카페(객사)/19:58~20:19ABC마트(객사)/6.15(월)14:00~14:50두끼떡볶이(객사),cbs,순창군청1,일,,"[('20 19abc마트 객사', 0.5836)]"
2020/03/25 09:54:25,209,전라북도 순창군,31206,"코로나19 긴급지원금신청안내 종교시설(신천지제외)-읍개발계,면총무계/pc방,노래방,영화관-문화관광과/무도장,무도학원,체력단련장,체육도장-체육진흥사업소",cbs,순창군청1,신천지제외,,"[('긴급지원금신청안내 종교시설 신천지제외', 0.522)]"
2020/03/24 13:37:49,209,전라북도 순창군,31120,"코로나19 긴급지원금 신청안내 종교시설-각읍면총무계/pc방,노래방,영화관-문화관광과/무도장,무도학원,체력단련장,체육도장-체육진흥사업소/유흥주점-민원과",cbs,순창군청1,,,"[('긴급지원금 신청안내', 0.5366)]"
