create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/09/16 15:09:06,190,전라남도 순천시,205211,"순천시 호우주의보 발효 중▲호우 및 낙뢰 피해 우려▲야외활동 자제 및 위험지역 대피▲하천변 산책로, 둔치주차장 접근금지▲지하차도 이용 주의바랍니다.",cbs,순천시,,,"[('접근금지 지하차도', 0.8035)]"
2023/08/30 07:00:00,190,전라남도 순천시,204599,순천시 호우주의보 발효중▲집중호우 시 논 물꼬 작업 등 외출자제▲하천변 산책로 및 둔치주차장 접근 금지▲산사태우려지역 등 사전대피▲지하차도 이용주의,cbs,순천시,,,"[('순천시 호우주의보', 0.7625)]"
2023/08/24 16:46:08,190,전라남도 순천시,204378,순천시 호우주의보 발효중▲집중호우 시 논 물꼬 작업 등 외출자제▲하천변 산책로 및 둔치주차장 접근 금지▲산사태우려지역 등 사전대피▲지하차도 이용주의,cbs,순천시,,,"[('순천시 호우주의보', 0.7625)]"
2023/08/18 11:01:25,190,전라남도 순천시,203593,폭염경보 연일 지속 및 온열질환자 급증▲수분섭취▲충분한 휴식▲농사일 등 야외활동 자제▲실외작업 안전수칙(시간당 15분 휴식)준수 등 건강관리 유의하세요,cbs,순천시,시간당 15분 휴식,,"[('온열질환자 급증', 0.7584)]"
2023/08/17 11:00:48,190,전라남도 순천시,203508,폭염경보 연일 지속 및 온열질환자 급증▲수분섭취▲충분한 휴식▲농사일 등 야외활동 자제▲실외작업 안전수칙(시간당 15분 휴식)준수 등 건강관리 유의하세요,cbs,순천시,시간당 15분 휴식,,"[('온열질환자 급증', 0.7584)]"
2023/08/15 17:17:40,190,전라남도 순천시,203392,순천시 호우주의보 발효중▲강우 시 논 물꼬 작업 등 외출자제▲하천변 산책로 및 주차장 접근 금지▲위험징후 발견시 사전대피▲지하차도 이용주의,cbs,순천시,,,"[('주차장 접근', 0.7177)]"
2023/08/10 06:11:32,190,전라남도 순천시,202314,태풍 접근중 강풍과 많은 비 예보▲눈 물꼬 작업등 외출 자제▲하천변 접금 금지▲위험징후 발견시 사전대피▲지하차도 이용 주의,cbs,순천시,,,"[('발견시 사전대피', 0.5496)]"
2023/08/09 17:55:19,190,전라남도 순천시,202137,태풍주의보 발효 중 ▲시설물 고정 ▲하천변 산책로 접근금지 ▲논 물꼬작업 등 외출 자제 ▲위험지역 거주자 사전대피에 적극 동참하여 주시기 바랍니다.,cbs,순천시,,,"[('산책로 접근금지 물꼬작업 외출', 0.7411)]"
2023/08/09 10:41:08,190,전라남도 순천시,201895,태풍으로 9일 오후부터 10일 오후까지 강풍 및 집중호우 대비▲간판·비닐하우스·축사 고정▲배수로 정비▲하천변 산책로·논 물꼬작업 등 외출 자제바랍니다.,cbs,순천시,,,"[('정비 하천변 산책로 물꼬작업', 0.609)]"
2023/08/08 11:00:18,190,전라남도 순천시,201698,"태풍예비특보 발표. 주변 축대, 배수로, 지붕 등을 점검하시고 바람에 날아갈 위험이 있는 간판, 화분 등은 고정해주시기 바랍니다.",cbs,순천시,,,"[('위험이 있는 간판 화분', 0.6888)]"
2023/08/08 10:49:32,190,전라남도 순천시,201694,폭염경보 연일 지속 및 온열질환자 급증▲수분섭취▲충분한 휴식▲농사일 등 야외활동 자제▲실외작업 안전수칙(시간당 15분 휴식)준수 등 건강관리 유의하세요,cbs,순천시,시간당 15분 휴식,,"[('온열질환자 급증', 0.7584)]"
2023/08/07 11:07:13,190,전라남도 순천시,201550,폭염경보 연일 지속 및 온열질환자 급증▲수분섭취▲충분한 휴식▲농사일 등 야외활동 자제▲실외작업 안전수칙(시간당 15분 휴식)준수 등 건강관리 유의하세요,cbs,순천시,시간당 15분 휴식,,"[('온열질환자 급증', 0.7584)]"
2023/08/05 12:28:57,190,전라남도 순천시,201225,폭염경보 연일 지속 및 온열질환자 급증▲수분섭취▲충분한 휴식▲농사일 등 야외활동 자제▲실외작업 안전수칙(시간당 15분 휴식)준수 등 건강관리 유의하세요,cbs,순천시,시간당 15분 휴식,,"[('온열질환자 급증', 0.7584)]"
2023/07/18 08:28:39,190,전라남도 순천시,198557,"호우경보 발효에 따른 하천 수위 급상승 중으로 옥천, 동천변 등 하천변 산책로 출입을 금지하여 주시기 바랍니다.",cbs,순천시,,,"[('산책로 출입을', 0.7707)]"
2023/04/03 15:32:59,190,전라남도 순천시,194097,"오늘 13:02경 송광면 봉산리 산179-3번지 산불 확산 중. 평촌마을, 산척마을 주민 및 인근 지역 시민은 즉시 안전한 장소로 대피하시기 바랍니다.",cbs,순천시,,,"[('시민은 즉시 안전한 장소로', 0.6097)]"
2023/04/03 14:16:23,190,전라남도 순천시,194087,"오늘 13:02경 송광면 봉산리 산179-3번지 산불 발생, 인근 주민 및 입산객은 안전한 장소로 대피하여 주시기 바랍니다.",cbs,순천시,,,"[('대피하여 주시기 바랍니다', 0.5887)]"
2023/04/03 13:42:41,190,전라남도 순천시,194085,강풍과 건조한 날씨로 산불 발생 증가 ▲입산 시 화기 소지 금지 ▲산림 주변 논·밭두렁 태우기 등 불법 소각행위 일절 금지 바랍니다.,cbs,순천시,,,"[('산림 주변 밭두렁 태우기', 0.4716)]"
2022/12/23 07:05:48,190,전라남도 순천시,186824,기상상황으로 순천지역 시내 버스는 07시 30분부터 운행 재개하니 참고하시기 바랍니다. 시내 전 도로 결빙 우려가 있으니 서행운전 하시기 바랍니다.,cbs,순천시,,,"[('바랍니다 시내', 0.6611)]"
2021/05/13 13:06:55,190,전라남도 순천시,105224,"√사회적거리두기 2단계격상,5.13.(14:00)~5.23.(24:00)√5인이상사적모임금지, 유흥5종집합금지,√식당카페22시~익일5시까지포장배달만허용",cbs,순천시,14:00,,"[('23 24 00', 0.2358)]"
2021/05/11 09:00:54,190,전라남도 순천시,104925,"√5.11(화)10시~16시, 조례호수공원원형광장 이동선별검사소운영 √해성사우나(동외동) 5.7(금)15시~19시, 5.9(일)05시~07시 여탕만검사",cbs,순천시,화,,"[('조례호수공원원형광장 이동선별검사소운영 해성사우나', 0.4099)]"
