create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/08/06 11:00:08,190,전라남도 순천시,201383,폭염경보 연일 지속 및 온열질환자 급증▲수분섭취▲충분한휴식▲농사일 등 야외활동 자제▲실외작업 안전수칙(시간당 15분 휴식)준수 등 건강관리 유의하세요,cbs,순천시청,시간당 15분 휴식,,"[('준수 건강관리 유의하세요', 0.7814)]"
2023/08/04 11:12:33,190,전라남도 순천시,201033,폭염경보 연일 지속 및 온열질환자 급증▲수분섭취▲충분한휴식▲농사일 등 야외활동 자제▲실외작업 안전수칙(시간당 15분 휴식)준수 등 건강관리 유의하세요,cbs,순천시청,시간당 15분 휴식,,"[('준수 건강관리 유의하세요', 0.7814)]"
2023/08/03 10:46:14,190,전라남도 순천시,200862,폭염경보 지속 발효 및 온열질환자 급증▲수분섭취▲충분한휴식▲농사일 등 야외활동 자제▲실외작업 안전수칙(시간당 15분 휴식)준수 등 건강관리 유의하세요,cbs,순천시청,시간당 15분 휴식,,"[('온열질환자 급증 수분섭취', 0.7839)]"
2023/08/02 10:58:06,190,전라남도 순천시,200738,폭염경보 지속 발효 및 온열질환자 급증○수분섭취○충분한휴식○농사일 등 야외활동 자제○실외작업 안전수칙(시간당 15분 휴식)준수 등 건강관리 유의하세요,cbs,순천시청,시간당 15분 휴식,,"[('온열질환자 급증 수분섭취', 0.7839)]"
2023/08/01 11:03:00,190,전라남도 순천시,200600,"폭염경보 발효 및 온열질환자 급증√수분섭취√충분한 휴식√논·밭 작업 등 야외활동 자제√실외작업장 안전수칙(물,그늘,휴식)준수 등 건강관리에 유의하세요.",cbs,순천시청,"물,그늘,휴식",,"[('온열질환자 급증 수분섭취', 0.7232)]"
2023/07/31 10:20:34,190,전라남도 순천시,200429,"폭염경보 발효 및 온열질환자 급증√수분섭취√충분한 휴식√논·밭 작업 등 야외활동 자제√실외작업장 안전수칙(물,그늘,휴식)준수 등 건강관리에 유의하세요.",cbs,순천시청,"물,그늘,휴식",,"[('온열질환자 급증 수분섭취', 0.7232)]"
2023/07/26 06:41:16,190,전라남도 순천시,199787,"순천시 호우주의보 발령 및 낙뢰로 위험하오니 하천변 산책로, 저지대, 산사태 우려지역 등 위험지역 방문 및 야외활동을 자제 하여 주시기 바랍니다.",cbs,순천시청,,,"[('우려지역 위험지역 방문', 0.7474)]"
2023/07/17 17:05:05,190,전라남도 순천시,198437,"호우경보 발효에 따른 집중호우 기간 동안 서천, 옥천변, 동천변 등에서 자전거 타기, 산책 등을 금지하여 주시기 바랍니다.",cbs,순천시청,,,"[('따른 집중호우 기간 동안', 0.787)]"
2023/07/16 21:17:31,190,전라남도 순천시,198343,연일 계속된 집중호우로 산사태우려지역·급경사지·지하차도·하천변 산책로·농수로 등 위험지역은 접근하지 마시고 노약자는 외출을 자제하시기 바랍니다.,cbs,순천시청,,,"[('연일 계속된 집중호우로', 0.7161)]"
2023/05/05 17:03:51,190,전라남도 순천시,194892,"많은 비가 내리고 있으니 위험상황 발생 시 안전한 곳으로 즉시 대피하여 주시기 바라며, 하천·계곡 등 위험지역 접근을 자제하시기 바랍니다.",cbs,순천시청,,,"[('안전한 곳으로 즉시', 0.7308)]"
2023/03/18 23:31:40,190,전라남도 순천시,193630,"오늘 21:20경 별량 금치리 산137 산불 확산 중. 대치, 금동, 과동, 진치마을 주민은 각 마을회관으로 즉시 대피하시기 바랍니다.",cbs,순천시청,,,"[('주민은 마을회관으로 즉시 대피하시기', 0.6338)]"
2023/03/18 22:42:37,190,전라남도 순천시,193629,3.18.(토) 21:20경 별량면 금치리 산137 산불 발생. 대치마을 등 인근 주민은 안전한 곳으로 즉시 대피하시기 바랍니다.,cbs,순천시청,토,,"[('주민은 안전한', 0.5526)]"
2023/03/03 17:02:42,190,전라남도 순천시,193273,"오늘 14:32경 순천시 월등면 망용리 산15 산불 진화 중. 인근 주민(황전 백야마을, 용암마을)은 가까운 마을회관 등으로 대피하시기 바랍니다.",cbs,순천시청,"황전 백야마을, 용암마을",,"[('망용리 산15', 0.6282)]"
2023/03/03 15:30:14,190,전라남도 순천시,193269,오늘 14:32경 순천시 월등면 망용리 산15 인근 산불 발생. 입산을 자제하고 인근 주민과 등산객은 안전사고 발생에 주의하시기 바랍니다.,cbs,순천시청,,,"[('입산을 자제하고 인근 주민과', 0.6149)]"
2023/01/24 14:12:03,190,전라남도 순천시,191653,"한파 및 강풍 특보 발효중으로 저녁부터 강풍 동반 기온 급하강으로 피해가 우려되니 실외활동자제, 수도관 동파, 농축산물 피해에 주의하시기 바랍니다.",cbs,순천시청,,,"[('동파 농축산물', 0.716)]"
2023/01/23 21:15:40,190,전라남도 순천시,191516,"내일(24일)최저기온-10도 예보, 한파 피해 우려, 외출 자제 등 건강관리, 수도관,계량기,보일러 동파, 농축산물 냉해 피해에 주의하시기 바랍니다.",cbs,순천시청,24일,,"[('외출 자제 건강관리 수도관', 0.5938)]"
2023/01/23 17:01:15,190,전라남도 순천시,191438,"23일(월)21시 한파특보 발령 및 기온 급하강 예상, 개인 보온에 유의하시고 수도관 동파, 미끄럼 주의, 화재예방 등 안전에 주의해 주시기 바랍니다.",cbs,순천시청,월,,"[('유의하시고 수도관', 0.5552)]"
2023/01/01 05:59:45,190,전라남도 순천시,188262,해맞이 방문객을 비롯한 시민들께서는 ▲외출 시 방한용품 착용 ▲다중운집 시 안전거리유지 ▲보행 시 낙상주의 등 안전사고에 유의하시기 바랍니다.,cbs,순천시청,,,"[('보행 낙상주의', 0.7091)]"
2022/12/31 16:04:02,190,전라남도 순천시,188218,"연말연시 해넘이, 해맞이 장소를 방문하는 시민들께서는 다중운집 시 충분한 거리를 확보하여 주시고, 각종 안전사고에 유의하시기 바랍니다.",cbs,순천시청,,,"[('충분한 거리를 확보하여', 0.6366)]"
2022/12/24 13:44:17,190,전라남도 순천시,187203,▲승주~낙안(율치재) ▲용수동~삼산동(조비골) 차량 운행 가능합니다. 순천시 간선도로 전 구간 소통 가능합니다. 안전 운행하시기 바랍니다.,cbs,순천시청,율치재,,"[('승주 낙안', 0.6866)]"
2022/12/24 08:37:58,190,전라남도 순천시,187106,제설작업으로▲상사~낙안(불재)▲승주~주암(접치재)▲낙안~외서(빈계재) 차량 소통 가능합니다. 안전운행 하시기 바랍니다.,cbs,순천시청,불재,,"[('낙안 불재 승주', 0.691)]"
2022/12/23 19:03:20,190,전라남도 순천시,187069,낮 동안 간선도로 제설작업 완료. 저녁 기온하강으로 도로 재결빙 우려▲차량운전시 절대감속▲야외활동 자제▲빙판길 조심등 안전사고에 유의하시기 바랍니다.,cbs,순천시청,,,"[('간선도로 제설작업', 0.7065)]"
2022/12/23 17:07:50,190,전라남도 순천시,187014,"시내버스 5번,14번,56번 및 상사,낙안,별량,승주,월등,황전,주암,해룡 노선 우회 운행 중. 야간 교통상황은 순천교통관제센터에서 확인 바랍니다.",cbs,순천시청,,,"[('낙안 별량 승주', 0.6074)]"
2022/12/23 13:46:36,190,전라남도 순천시,186980,"시내버스 5번,14번,56번 및 상사,낙안,별량,승주,월등,황전,주암,해룡 노선 단축운행중. 실시간 교통상황은 순천시버스정보시스템에서 확인바랍니다.",cbs,순천시청,,,"[('5번 14번 56번', 0.5496)]"
2022/12/23 10:39:16,190,전라남도 순천시,186951,"시내권 주요 결빙구간(NC백화점, 풍전주유소, 이수중학교, 월전사거리, 신대향매 지하차도) 제설 작업 완료. 차량 통행시 안전운전하시기 바랍니다.",cbs,순천시청,"NC백화점, 풍전주유소, 이수중학교, 월전사거리, 신대향매 지하차도",,"[('결빙구간 nc백화점', 0.6295)]"
2022/12/23 09:42:25,190,전라남도 순천시,186904,"도로 결빙구간(해룡 신대 향매 지하차도, 해룡 월전사거리 오르막길)을 알려드리니 시민들께서는 안전운행하시기 바랍니다.",cbs,순천시청,"해룡 신대 향매 지하차도, 해룡 월전사거리 오르막길",,"[('향매 지하차도 해룡', 0.7509)]"
