create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/10/20 15:33:59,"8695,8696,8697,8702,8703,8704,11314,11315,11316","전라남도 신안군,전라남도 신안군,전라남도 신안군,전라남도 신안군,전라남도 신안군,전라남도 신안군,전라남도 신안군,전라남도 신안군,전라남도 신안군",206149,20일 자은 피아노의 날 행사는 강풍으로 인해 전면 취소되었으며 21일 토요일 행사는 정상적으로 진행합니다.,cbs,신안군,,,"[('취소되었으며 21일', 0.5797)]"
2023/08/23 14:13:57,191,전라남도 신안군,204210,"호우경보 발효 중. 하천변, 급경사지 등 위험지역 접근금지, 외출자제, 긴급상황 시 사전대피 해주시기 바랍니다.",cbs,신안군,,,"[('사전대피 해주시기 바랍니다', 0.7574)]"
2023/08/22 14:00:09,191,전라남도 신안군,203960,"폭염주의보 발효 중. 야외활동 및 작업을 자제하여 주시고 충분한 수분 섭취, 그늘 및 무더위 쉼터 등을 이용하여 주시기 바랍니다.",cbs,신안군,,,"[('야외활동 작업을 자제하여', 0.7506)]"
2023/08/22 10:00:50,191,전라남도 신안군,203934,"폭염주의보 발효 중. 야외활동 및 작업을 자제하여 주시고 충분한 수분 섭취, 그늘 및 무더위 쉼터 등을 이용하여 주시기 바랍니다.",cbs,신안군,,,"[('야외활동 작업을 자제하여', 0.7506)]"
2023/08/21 14:00:33,191,전라남도 신안군,203899,"폭염주의보 발효 중. 야외활동 및 작업을 자제하여 주시고 충분한 수분 섭취, 그늘 및 무더위 쉼터 등을 이용하여 주시기 바랍니다.",cbs,신안군,,,"[('야외활동 작업을 자제하여', 0.7506)]"
2023/08/21 10:00:20,191,전라남도 신안군,203854,"폭염주의보 발효 중. 야외활동 및 작업을 자제하여 주시고 충분한 수분 섭취, 그늘 및 무더위 쉼터 등을 이용하여 주시기 바랍니다.",cbs,신안군,,,"[('야외활동 작업을 자제하여', 0.7506)]"
2023/08/19 14:03:22,191,전라남도 신안군,203708,"폭염주의보 발효 중. 야외활동 및 작업을 자제하여 주시고 충분한 수분 섭취, 그늘 및 무더위 쉼터 등을 이용하여 주시기 바랍니다.",cbs,신안군,,,"[('야외활동 작업을 자제하여', 0.7506)]"
2023/08/19 10:00:40,191,전라남도 신안군,203671,"폭염주의보 발효 중. 야외활동 및 작업을 자제하여 주시고 충분한 수분 섭취, 그늘 및 무더위 쉼터 등을 이용하여 주시기 바랍니다.",cbs,신안군,,,"[('야외활동 작업을 자제하여', 0.7506)]"
2023/08/18 14:03:04,191,전라남도 신안군,203623,"폭염주의보 발효 중. 야외활동 및 작업을 자제하여 주시고 충분한 수분 섭취, 그늘 및 무더위 쉼터 등을 이용하여 주시기 바랍니다.",cbs,신안군,,,"[('야외활동 작업을 자제하여', 0.7506)]"
2023/08/18 10:00:32,191,전라남도 신안군,203582,"폭염주의보 발효 중. 야외활동 및 작업을 자제하여 주시고 충분한 수분 섭취, 그늘 및 무더위 쉼터 등을 이용하여 주시기 바랍니다.",cbs,신안군,,,"[('야외활동 작업을 자제하여', 0.7506)]"
2023/08/17 14:00:09,191,전라남도 신안군,203529,"폭염주의보 발효 중. 야외활동 및 작업을 자제하여 주시고 충분한 수분섭취, 그늘 및 무더위 쉼터 등을 이용하여 주시기 바랍니다.",cbs,신안군,,,"[('폭염주의보 발효 야외활동', 0.7501)]"
2023/08/17 10:00:10,191,전라남도 신안군,203489,"폭염주의보 발효 중. 야외활동 및 작업을 자제하여 주시고 충분한 수분 섭취, 그늘 및 무더위 쉼터 등을 이용하여 주시기 바랍니다.",cbs,신안군,,,"[('야외활동 작업을 자제하여', 0.7506)]"
2023/08/17 10:00:10,191,전라남도 신안군,203490,"폭염주의보 발효 중. 야외활동 및 작업을 자제하여 주시고 충분한 수분 섭취, 그늘 및 무더위 쉼터 등을 이용하여 주시기 바랍니다.",cbs,신안군,,,"[('야외활동 작업을 자제하여', 0.7506)]"
