create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/09/27 17:10:41,231,충청남도 아산시,205752,"추석 연휴 병원, 약국 운영현황 안내드립니다. https://blog.naver.com/asanstory/223218533745",cbs,아산시청,,,"[('blog naver', 0.2213)]"
2023/09/15 10:38:30,231,충청남도 아산시,205112,둔포면 신남리 34번국도 유류차 전복사고 차량 견인 작업 중. 운행에 주의 바랍니다.,cbs,아산시청,,,"[('차량 견인 작업', 0.6525)]"
2023/09/15 08:21:24,231,충청남도 아산시,205108,"아산시 둔포면 신남리 1489-1, 34번국도 유류차 교통사고로 도로가 미끄러우니 안전운행 바랍니다.",cbs,아산시청,,,"[('유류차 교통사고로 도로가', 0.5845)]"
2023/07/22 08:54:37,231,충청남도 아산시,199246,"최근 대전,충북등지에서 미확인 국제 우편물에 의한 호흡곤란등의 사례 발생, 수상할 경우 개봉하지 말고 112나 119에 즉시 신고하시기 바랍니다.",cbs,아산시청,,,"[('발생 수상할 경우 개봉하지', 0.7081)]"
2023/04/03 10:28:39,231,충청남도 아산시,194074,"야외활동(산행, 캠핌 등)시 화기사용 및 불씨 관리주의, 쓰레기 소각과 논밭태우기 및 흡연금지 등 산불예방에 각별히 유의바랍니다.",cbs,아산시청,"산행, 캠핌 등",,"[('쓰레기 소각과', 0.5031)]"
2023/03/28 07:28:18,231,충청남도 아산시,193857,"3월27일 16:13 둔포면 신남리 야적장 화재 발생. 화재로 매연, 냄새가 발생되니, 인근주민은 안전사고 등에 유의바랍니다. 화재 진화 중.",cbs,아산시청,,,"[('화재로 매연 냄새가 발생되니', 0.6418)]"
2023/03/24 09:15:08,231,충청남도 아산시,193776,"봄 행락철을 맞이하여, 안전사고가 발생하고 있습니다. 등산 및 레저 등 외부활동 시 안전사고에 각별히 유의하시고, 안전수칙 준수 바랍니다.",cbs,아산시청,,,"[('각별히 유의하시고 안전수칙 준수', 0.7918)]"
2023/03/17 08:05:48,231,충청남도 아산시,193577,"43번 국도 평택/수원 방면 트럭 충돌사고로 정체 중. 실시간 교통정보를 확인하시고, 삼태교차로에서 우회바랍니다.",cbs,아산시청,,,"[('평택 수원 방면', 0.7561)]"
2023/03/17 07:18:46,231,충청남도 아산시,193576,"43번 국도 평택/수원 방면 트럭 충돌사고로 정체 중. 교통정보 확인 및 북수교차로, 삼태교차로 진입 전 우회 바랍니다.",cbs,아산시청,,,"[('트럭 충돌사고로 정체 교통정보', 0.7559)]"
2023/03/03 09:55:20,231,충청남도 아산시,193253,"43번국도 평택/수원방면 화물차 4중 추돌사고로 정체중 교통정보 확인 및 북수교차로, 삼태교차로 진입 전 우회 바랍니다.",cbs,아산시청,,,"[('화물차 4중 추돌사고로', 0.7128)]"
