create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/02/03 22:46:25,85,경상북도 안동시,192633,금일 10시 22분경 풍천면 도양리 맑은누리파크 화재 발생 ▲ 인근 주민들은 이 지역을 우회하여 주시고 인근 주민들은 대피하여 주시기 바랍니다.,cbs,안동시청,,,"[('대피하여 주시기', 0.6853)]"
2023/01/27 08:15:34,85,경상북도 안동시,192014,오늘 07:00경 안동시 남선면 현내리673 유은복지재단 화재발생. 검은연기가 많이 발생하오니 이 지역을 우회바라며 인근주민은 안전사고에 유의바랍니다.,cbs,안동시청,,,"[('현내리673 유은복지재단 화재발생 검은연기가', 0.6704)]"
2023/01/05 14:00:22,85,경상북도 안동시,188925,"만12세이상 기초접종완료자(1차, 2차)는 2가백신 동절기 코로나19 추가접종에 참여하여 주시기 바랍니다.☏840-6245,5965,6814,5968",cbs,안동시청,"1차, 2차",12세,"[('코로나19 추가접종에', 0.6221)]"
2022/11/25 14:17:09,85,경상북도 안동시,182333,동절기 코로나19추가접종 집중접종기간(11.21~12.18)▲60세이상적극참여권고▲의료기관당일접종가능☎840-6245~6▲ ncvr.kdca.go.kr,cbs,안동시청,11.21~12.18,60세,"[('12 18 60세이상적극참여권고 의료기관당일접종가능', 0.3555)]"
2022/11/18 10:21:18,85,경상북도 안동시,181405,"만 18세 이상 기초접종완료자 동절기 코로나19 2가 백신 추가접종 실시 ▲예약 ☎840-6245,6246,5965,5968,6814,5943☎1339",cbs,안동시청,,18세,"[('기초접종완료자 동절기', 0.5498)]"
2022/09/05 22:41:46,85,경상북도 안동시,171451,태풍 북상에 따라 6일 많은 비와 강풍이 예상되오니▲외출자제▲저지대침수 및 낙하물주의▲하천산책로 출입금지▲위험 상황 시 안전한 곳으로 대피 바랍니다.,cbs,안동시청,,,"[('비와 강풍이 예상되오니 외출자제', 0.5524)]"
2022/09/05 15:18:41,85,경상북도 안동시,171177,"태풍 힌남노 북상에 따라 침수피해가 발생하지 않도록 강변둔치에 주차하신 차량,카라반,건설기계 등을 안전한 장소로 이동조치하시고, 둔치 출입자제 바랍니다",cbs,안동시청,,,"[('침수피해가 발생하지 않도록', 0.7245)]"
2022/09/05 10:34:35,85,경상북도 안동시,171051,"태풍 힌남노 북상에 따라 침수피해가 발생하지 않도록 강변둔치에 주차하신 차량,카라반,건설기계 등을 안전한 장소로 이동조치하시고, 둔치 출입자제 바랍니다",cbs,안동시청,,,"[('침수피해가 발생하지 않도록', 0.7245)]"
2022/09/01 14:00:04,85,경상북도 안동시,170363,"50세이상 코로나19 4차접종 실시(확진이력 있어도 본인희망시 접종가능) ▲전화예약 보건소 ☏054-840-5965, 6245, 6246, 5943)",cbs,안동시청,확진이력 있어도 본인희망시 접종가능,50세,"[('있어도 본인희망시', 0.5646)]"
2022/07/29 14:40:23,85,경상북도 안동시,165488,"코로나19 4차접종 확대 실시 ▲대상 ①50세 이상②18~49세기저질환자 등 ▲전화 예약 보건소(☎ 054-840-5965,5961,5943,6814)",cbs,안동시청,"☎ 054-840-5965,5961,5943,6814",50세,"[('보건소 054', 0.6352)]"
2022/07/15 14:47:19,85,경상북도 안동시,163669,"60세 이상 코로나19 4차접종 실시(확진이력 있어도 접종 가능) ▲전화 예약 보건소(☎ 054-840-5965, 5961, 5943, 6814)",cbs,안동시청,확진이력 있어도 접종 가능,60세,"[('보건소 054', 0.4873)]"
2022/07/01 13:55:46,85,경상북도 안동시,161941,"60세 이상 코로나19 4차접종 실시(확진이력 있어도 접종 가능) ▲전화 예약 보건소(☎ 054-840-5965, 5961, 5943, 6814)",cbs,안동시청,확진이력 있어도 접종 가능,60세,"[('보건소 054', 0.4873)]"
2022/04/09 14:52:23,85,경상북도 안동시,151220,"오후들어 바람이 점차 강하게 불고있어 산불발생위험이 높습니다. 산림인접지소각금지,재처리주의,입산시 화기물소지 및 흡연금지등 산불예방에 적극협조바랍니다.",cbs,안동시청,,,"[('산불예방에 적극협조바랍니다', 0.7365)]"
2022/04/07 14:04:03,85,경상북도 안동시,150881,"금일 오후에 바람이 강하게 불고 있습니다. 산림 가까운 곳에서 소각금지, 입산 시 화기물 소지 및 흡연 금지 등 산불예방에 협조 바랍니다.",cbs,안동시청,,,"[('바람이 강하게 불고', 0.7472)]"
2022/04/06 14:01:54,85,경상북도 안동시,150735,"금일 한식을 맞아 오후에 바람이 강하게 불고 있습니다. 산림 가까운 곳에서 소각금지, 입산 시 화기물 소지 및 흡연 금지 등 산불예방에 협조 바랍니다.",cbs,안동시청,,,"[('바람이 강하게 불고 있습니다', 0.7321)]"
2022/04/05 15:03:29,85,경상북도 안동시,150594,"청명.한식은 건조한 날씨와 강한 바람으로 산불발생 위험이 높습니다. 산림인접지역에서 소각 금지, 입산시 화기물소지 금지 등 산불예방에 협조 바랍니다.",cbs,안동시청,,,"[('높습니다 산림인접지역에서 소각 금지', 0.5993)]"
2022/03/11 14:31:55,85,경상북도 안동시,146964,"건조한 날씨와 강한바람으로 산불발생 위험률이 높습니다. 산림 가까운 곳에서 소각금지, 입산 시 화기물소지, 흡연 금지 등 산불 예방에 협조 바랍니다.",cbs,안동시청,,,"[('가까운 곳에서 소각금지 입산', 0.5194)]"
2022/03/09 13:00:47,85,경상북도 안동시,146649,"관내 건조경보가 발효되어 이로 인한 산불발생 위험이 매우 높습니다. 산림인접지 소각금지, 재처리주의, 입산자제 등 산불예방에 적극 협조 바랍니다.",cbs,안동시청,,,"[('입산자제 산불예방에 적극', 0.6872)]"
2022/03/08 13:43:49,85,경상북도 안동시,146495,"관내 강한 바람으로 인해 대형 산불 발생 위험이 매우 높습니다. 산림 인접지 소각금지, 재처리주의, 입산 시 흡연 금지 등 산불예방에 협조 바랍니다.",cbs,안동시청,,,"[('높습니다 산림 인접지', 0.6372)]"
