create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/08/07 20:03:49,36,경기도 안산시,201651,"호우경보 발효중입니다. 반지하 주택등에 물이 차오르거나 하수역류시 즉시 대피바라며, 해안 및 하천가 출입을 금지하여 주시기 바랍니다.",cbs,안산시,,,"[('주택등에 물이 차오르거나 하수역류시', 0.7152)]"
2023/07/13 20:57:21,36,경기도 안산시,197186,"21시 호우경보, 강풍주의보 발효. 저지대, 반지하 주택 등이 침수되거나 하수역류시 즉시 대피바라며, 해안 및 하천가 출입을 금하여 주시기 바랍니다.",cbs,안산시,,,"[('대피바라며 해안 하천가', 0.6578)]"
2020/09/25 17:33:18,36,경기도 안산시,58824,코로나19 확산방지를 위해 9.30~10.4.안산시 공설묘지 미운영▲미리성묘기간9.21~29일▲명절후성묘기간10.5~8일▲온라인성묘 적극이용 바랍니다.,cbs,안산시,,,"[('미운영 미리성묘기간9 21', 0.5506)]"
2020/09/08 11:22:27,36,경기도 안산시,55494,"최근 가족모임, 친구모임등 소모임에서 확진자가 다수 발생하고 있습니다. 9월말까지 모임자제. 거리두기, 손소독, 마스크 바르게 착용바랍니다. -안산시장-",cbs,안산시,,,"[('가족모임 친구모임등 소모임에서', 0.7423)]"
2020/08/22 16:13:34,36,경기도 안산시,47915,"금일 확진자는 병원격리 2명, 타지역 확진자 접촉 3명으로, 대인 접촉 시 반드시 마스크를 착용하여 주시고, 타 지역 방문을 자제바랍니다. -안산시장-",cbs,안산시,,,"[('착용하여 주시고', 0.6869)]"
2020/06/14 17:44:50,36,경기도 안산시,37800,'20.6.6.(일) 12시~14시 안산시 고잔동 소재 더파티움 이용자 중 유증상자는 가까운 보건소에서 검사받으시기 바랍니다.,cbs,안산시,일,,"[('안산시 고잔동', 0.5678)]"
2020/06/14 10:52:54,36,경기도 안산시,37766,"서울 명성하우징 방문 접촉 후 확진자 발생 21번 22번(원곡동) 거주지 소독 및 접촉자 격리. 역학조사 후 시 홈페이지, SNS에 동선 공개하겠습니다.",cbs,안산시,원곡동,,"[('방문 접촉 확진자 발생', 0.5873)]"
2020/06/13 11:59:32,36,경기도 안산시,37679,서울시 확진자 접촉 후 확진자(여/64세)발생(원곡동). 거주지 소독완료 및 접촉자 격리. 역학조사후 동선은 시 홈페이지나 SNS를 통해 공개하겠습니다.,cbs,안산시,여/64세,64세,"[('홈페이지나 sns를 통해 공개하겠습니다', 0.688)]"
2020/06/13 09:42:57,36,경기도 안산시,37660,안산시는 시민 여러분의 협조와 철저한 방역으로 방역 모범 시입니다. 코로나가 다수 발생한 타 지역 방문을 자제 바랍니다. -안산시장-,cbs,안산시,,,"[('다수 발생한 지역', 0.6532)]"
2020/06/11 10:03:15,36,경기도 안산시,37484,안산시는 시민 여러분의 협조와 철저한 방역으로 방역 모범 시입니다. 코로나가 다수 발생한 타 지역 방문을 자제 바랍니다. -안산시장-,cbs,안산시,,,"[('다수 발생한 지역', 0.6532)]"
2020/06/11 09:46:19,36,경기도 안산시,37480,인천 방문 후 확진자 접촉으로 확진자 발생(사동). 거주지 소독완료 및 관내 이동경로 없음. 자세한 사항은 시 홈페이지나 SNS를 통해 공개하겠습니다.,cbs,안산시,사동,,"[('관내 이동경로 없음 자세한', 0.6942)]"
2020/06/04 10:45:44,36,경기도 안산시,36989,서울시 확진자 접촉추정 확진자(여/57세)발생(선부동). 거주지 소독완료 및 접촉자 격리. 역학조사후 동선은 시 홈페이지나 SNS를 통해 공개하겠습니다.,cbs,안산시,여/57세,57세,"[('홈페이지나 sns를 통해', 0.6923)]"
2020/06/03 21:14:25,36,경기도 안산시,36969,서울시 확진자 접촉추정 확진자(남/83세)발생(사사동). 거주지 소독완료 및 접촉자 격리. 역학조사후 동선은 시 홈페이지나 SNS를 통해 공개하겠습니다.,cbs,안산시,남/83세,83세,"[('역학조사후 동선은', 0.6678)]"
2020/04/28 09:18:25,36,경기도 안산시,34152,"재난기본소득 신청안내, 4.27~5.3 → 3인가구만 신청, 접수처(동사무소), 5부제 준수/온라인 신청 7.31까지.(문의:1666-1234)",cbs,안산시,동사무소,,"[('동사무소 5부제 준수 온라인', 0.5587)]"
2020/04/27 10:21:38,36,경기도 안산시,34122,"사회적 거리두기가 실시되는 5월5일까지 모임, 행사, 여행 등을 자제해주시기 바랍니다.",cbs,안산시,,,"[('행사 여행', 0.6153)]"
2020/04/24 13:58:54,36,경기도 안산시,33953,"신규 확진자는 감소하고 있지만 무증상 감염자를 통한 전파위험은 여전히 남아있으니, 5월 5일까지 연장된 ‘사회적 거리두기’에 적극 동참해 주시기 바랍니다",cbs,안산시,,,"[('거리두기 적극', 0.6822)]"
2020/04/20 08:12:23,36,경기도 안산시,33741,"사회적 거리두기 5월 5일까지 연장. 방역수칙을 준수하고, 다중이 이용하는 장소 방문 및 단체활동을 자제하여 주시기 바랍니다.",cbs,안산시,,,"[('연장 방역수칙을 준수하고 다중이', 0.7259)]"
2020/04/18 12:00:05,36,경기도 안산시,33665,사회적 거리두기가 힘들 때 진료현장에서 헌신하는 의료진을 떠올려주시고 집단감염 예방을 위하여 단체 활동은 자제해 주시길 바랍니다.,cbs,안산시,,,"[('거리두기가 힘들', 0.6996)]"
2020/04/10 15:00:00,36,경기도 안산시,33100,"코로나19 확산 방지를 위해 사전투표 시 마스크 착용, 앞사람과 1m 이상 거리두기 등 예방수칙 준수바랍니다.",cbs,안산시,,,"[('사전투표 마스크', 0.6766)]"
2020/04/01 11:35:07,36,경기도 안산시,32157,역학조사 후 이동동선을 안산시 홈페이지에 공개하겠습니다. 031-481-2162.,cbs,안산시,,,"[('홈페이지에 공개하겠습니다', 0.3559)]"
2020/04/01 11:34:55,36,경기도 안산시,32156,안산시 추가 확진자 발생(본오동). 해외입국 전수조사 대상자로 자가격리 중 확진. 거주지 및 인근지역 방역 완료.,cbs,안산시,본오동,,"[('해외입국 전수조사 대상자로', 0.7912)]"
2020/03/29 13:54:01,36,경기도 안산시,31811,역학조사 후 이동동선을 안산시 홈페이지에 공개하겠습니다. 031-481-2162.,cbs,안산시,,,"[('홈페이지에 공개하겠습니다', 0.3559)]"
2020/03/29 13:53:49,36,경기도 안산시,31810,안산시 추가 확진자 발생(선부동). 화성시 거주 확진자 접촉자로 자가격리 중 확진. 거주지 및 인근지역 방역 완료.,cbs,안산시,선부동,,"[('추가 확진자 발생 선부동', 0.8184)]"
2020/03/28 10:38:08,36,경기도 안산시,31600,코로나19 확산방지를 위해 적극 동참해주시고 증상이 발현되면 1339나 가까운 보건소로 문의하시기 바랍니다.031-481-2162,cbs,안산시,,,"[('동참해주시고 증상이 발현되면', 0.6073)]"
2020/03/28 10:37:57,36,경기도 안산시,31599,코로나19는 젊은층도 감염될 수 있습니다. 발열 또는 호흡기 증상이 있을 때는 이동을 자제하고 집에서 휴식하시기 바랍니다.,cbs,안산시,,,"[('이동을 자제하고', 0.5663)]"
2020/03/28 10:37:41,36,경기도 안산시,31598,거주지 및 인근지역 방역 완료. 역학조사 후 이동동선을 안산시 홈페이지에 공개하겠습니다. 031-481-2162.,cbs,안산시,,,"[('안산시 홈페이지에 공개하겠습니다', 0.5578)]"
2020/03/28 10:37:27,36,경기도 안산시,31597,"안산시 추가 확진자 발생(신길동 1명:화성시 거주 확진자와 간접 접촉, 사사동 1명:귀국 비행기내에서 확진자 접촉)",cbs,안산시,"신길동 1명:화성시 거주 확진자와 간접 접촉, 사사동 1명:귀국 비행기내에서 확진자 접촉",,"[('확진자 접촉', 0.7802)]"
2020/03/27 13:38:30,36,경기도 안산시,31477,역학조사 후 이동동선을 안산시 홈페이지에 공개하겠습니다. 031-481-2162.,cbs,안산시,,,"[('홈페이지에 공개하겠습니다', 0.3559)]"
