create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/06/01 10:00:12,37,경기도 안성시,195322,"선별진료소 위치 변경 안내 ▲장소: 안성시보건소 주차장 ▲기간: 6.1.(목)~ ▲시간: 평일 9시~18시, 일요일 9시~13시 (토요일 미운영)",cbs,안성시청,목,,"[('안성시보건소 주차장', 0.6654)]"
2023/05/31 11:01:31,37,경기도 안성시,195307,"선별진료소 위치 변경 안내 ▲장소: 안성시보건소 주차장 ▲기간: 6.1.(목)~ ▲시간: 평일 9시~18시, 일요일 9시~13시 (토요일 미운영)",cbs,안성시청,목,,"[('안성시보건소 주차장', 0.6654)]"
2023/02/06 18:05:33,37,경기도 안성시,192758,▲2. 6. 코로나 확진자 74명 발생 ▲코로나19 확진자 문자알림 종료 ▲안성시청 홈페이지에서 확인가능,cbs,안성시청,,,"[('74명 발생 코로나19', 0.6424)]"
2023/02/04 18:01:34,37,경기도 안성시,192675,▲2. 4. 코로나 확진자 30명 발생 ▲코로나19 동절기추가접종(2가백신) 사전예약☞ ncvr.kdca.go.kr,cbs,안성시청,2가백신,,"[('30명 발생 코로나19 동절기추가접종', 0.4566)]"
2023/02/03 18:14:50,37,경기도 안성시,192630,▲2. 3. 코로나 확진자 45명 발생 ▲코로나19 동절기추가접종(2가백신) 사전예약☞ ncvr.kdca.go.kr,cbs,안성시청,2가백신,,"[('45명 발생', 0.4229)]"
2023/02/02 18:04:27,37,경기도 안성시,192572,▲2. 2. 코로나 확진자 36명 발생 ▲코로나19 동절기추가접종(2가백신) 사전예약☞ ncvr.kdca.go.kr,cbs,안성시청,2가백신,,"[('2가백신 사전예약', 0.4039)]"
2023/02/01 18:10:20,37,경기도 안성시,192519,▲2. 1. 코로나 확진자 70명 발생 ▲코로나19 동절기추가접종(2가백신) 사전예약☞ ncvr.kdca.go.kr,cbs,안성시청,2가백신,,"[('코로나 확진자 70명 발생', 0.4443)]"
2023/01/31 18:04:50,37,경기도 안성시,192439,▲1. 31. 코로나 확진자 53명 발생 ▲코로나19 동절기추가접종(2가백신) 사전예약☞ ncvr.kdca.go.kr,cbs,안성시청,2가백신,,"[('53명 발생 코로나19 동절기추가접종', 0.4464)]"
2023/01/30 18:10:54,37,경기도 안성시,192374,▲1. 30. 코로나 확진자 91명 발생 ▲코로나19 동절기추가접종(2가백신) 사전예약☞ ncvr.kdca.go.kr,cbs,안성시청,2가백신,,"[('91명 발생 코로나19 동절기추가접종', 0.449)]"
2023/01/28 18:00:07,37,경기도 안성시,192219,▲1. 28. 코로나 확진자 59명 발생 ▲코로나19 동절기추가접종(2가백신) 사전예약☞ ncvr.kdca.go.kr,cbs,안성시청,2가백신,,"[('59명 발생 코로나19', 0.4414)]"
2023/01/27 18:13:43,37,경기도 안성시,192126,▲1. 27. 코로나 확진자 75명 발생 ▲코로나19 동절기추가접종(2가백신) 사전예약☞ ncvr.kdca.go.kr,cbs,안성시청,2가백신,,"[('확진자 75명 발생', 0.4716)]"
2023/01/26 18:04:56,37,경기도 안성시,191993,▲1. 26. 코로나 확진자 101명 발생 ▲코로나19 동절기추가접종(2가백신) 사전예약☞ ncvr.kdca.go.kr,cbs,안성시청,2가백신,,"[('26 코로나 확진자 101명', 0.4481)]"
2023/01/25 18:03:15,37,경기도 안성시,191848,▲1. 25. 코로나 확진자 121명 발생 ▲코로나19 동절기추가접종(2가백신) 사전예약☞ ncvr.kdca.go.kr,cbs,안성시청,2가백신,,"[('121명 발생', 0.4596)]"
2023/01/24 18:14:08,37,경기도 안성시,191711,▲1.24. 코로나 확진자 61명 발생 ▲코로나19 동절기추가접종(2가백신) 사전예약 ncvr.kdca.go.kr,cbs,안성시청,2가백신,,"[('61명 발생', 0.4371)]"
2023/01/23 18:07:51,37,경기도 안성시,191468,▲1. 23. 코로나 확진자 28명 발생 ▲코로나19 동절기 추가접종(2가백신) 사전예약☞ ncvr.kdca.go.kr,cbs,안성시청,2가백신,,"[('28명 발생 코로나19', 0.495)]"
2023/01/22 17:26:41,37,경기도 안성시,191299,▲1. 22. 코로나 확진자 27명 발생 ▲코로나19 동절기추가접종(2가백신) 사전예약☞ ncvr.kdca.go.kr,cbs,안성시청,2가백신,,"[('27명 발생 코로나19', 0.4592)]"
2023/01/21 18:03:08,37,경기도 안성시,191206,▲1. 21. 코로나 확진자 45명 발생 ▲코로나19 동절기추가접종(2가백신) 사전예약☞ ncvr.kdca.go.kr,cbs,안성시청,2가백신,,"[('45명 발생', 0.4492)]"
2023/01/20 18:08:34,37,경기도 안성시,191083,▲1. 20. 코로나 확진자 90명 발생 ▲코로나19 동절기추가접종(2가백신) 사전예약☞ ncvr.kdca.go.kr,cbs,안성시청,2가백신,,"[('90명 발생', 0.4587)]"
2023/01/19 18:09:42,37,경기도 안성시,190937,▲1. 19. 코로나 확진자 89명 발생 ▲코로나19 동절기추가접종(2가백신) 사전예약☞ ncvr.kdca.go.kr,cbs,안성시청,2가백신,,"[('89명 발생', 0.4022)]"
2023/01/18 18:10:12,37,경기도 안성시,190818,▲1. 18. 코로나 확진자 87명 발생 ▲코로나19 동절기추가접종(2가백신) 사전예약☞ ncvr.kdca.go.kr,cbs,안성시청,2가백신,,"[('87명 발생', 0.4388)]"
2023/01/17 18:08:07,37,경기도 안성시,190693,▲1. 17. 코로나 확진자 111명 발생 ▲코로나19 동절기추가접종(2가백신) 사전예약☞ ncvr.kdca.go.kr,cbs,안성시청,2가백신,,"[('확진자 111명', 0.4618)]"
2023/01/16 18:06:48,37,경기도 안성시,190563,▲1. 16. 코로나 확진자 155명 발생 ▲코로나19 동절기추가접종(2가백신) 사전예약☞ ncvr.kdca.go.kr,cbs,안성시청,2가백신,,"[('16 코로나 확진자 155명', 0.4269)]"
2023/01/13 18:14:49,37,경기도 안성시,190118,▲1. 13. 코로나 확진자 156명 발생 ▲코로나19 동절기추가접종(2가백신) 사전예약☞ ncvr.kdca.go.kr,cbs,안성시청,2가백신,,"[('확진자 156명 발생', 0.458)]"
2023/01/12 17:59:51,37,경기도 안성시,189948,▲1. 12. 코로나 확진자 127명 발생 ▲코로나19 동절기추가접종(2가백신) 사전예약☞ ncvr.kdca.go.kr,cbs,안성시청,2가백신,,"[('확진자 127명 발생', 0.415)]"
2023/01/11 17:54:52,37,경기도 안성시,189820,▲1. 11. 코로나 확진자 137명 발생 ▲코로나19 동절기추가접종(2가백신) 사전예약☞ ncvr.kdca.go.kr,cbs,안성시청,2가백신,,"[('동절기추가접종 2가백신', 0.4584)]"
2023/01/10 18:01:16,37,경기도 안성시,189695,▲1. 10. 코로나 확진자 180명 발생 ▲코로나19 동절기추가접종(2가백신) 사전예약☞ ncvr.kdca.go.kr,cbs,안성시청,2가백신,,"[('180명 발생', 0.4931)]"
2023/01/09 18:01:28,37,경기도 안성시,189568,▲1. 9. 코로나 확진자 221명 발생 ▲코로나19 동절기추가접종(2가백신) 사전예약☞ ncvr.kdca.go.kr,cbs,안성시청,2가백신,,"[('221명 발생', 0.4672)]"
2023/01/07 17:55:59,37,경기도 안성시,189284,▲1. 7. 코로나 확진자 130명 발생 ▲코로나19 동절기추가접종(2가백신) 사전예약☞ ncvr.kdca.go.kr,cbs,안성시청,2가백신,,"[('코로나 확진자 130명 발생', 0.4506)]"
2023/01/06 18:26:55,37,경기도 안성시,189125,1. 6. 코로나 확진자 207명 발생 코로나19 동절기추가접종(2가백신) 사전예약☞ ncvr.kdca.go.kr,cbs,안성시청,2가백신,,"[('확진자 207명 발생 코로나19', 0.4625)]"
