create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/11/24 06:55:22,8,강원특별자치도 양구군,206962,"새벽 급격한 기온 강하로 도로 결빙이 예상되오니 서행 및 안전 운전하시기 바라며, 한파 대비 보온 철저, 미끄럼 사고에 각별히 유의하시기 바랍니다.",cbs,양구군,,,"[('급격한 기온 강하로 도로', 0.7424)]"
2023/11/23 18:05:47,8,강원특별자치도 양구군,206943,"오늘 밤 기온이 급격히 떨어질 것으로 예상되므로 노약자 외출자제 건강유의, 동파방지, 화재예방 등 피해에 주의하시기 바랍니다.",cbs,양구군,,,"[('건강유의 동파방지 화재예방 피해에', 0.688)]"
2023/11/06 18:17:32,8,강원특별자치도 양구군,206588,"금일 밤 사이 강한 바람이 예상되오니 간판 등 부착물 고정, 선박 묶기, 비닐하우스 등 시설물 피해 주의, 위험지역 접근 금지 등 안전에 주의 바랍니다.",cbs,양구군,,,"[('간판 부착물 고정', 0.7041)]"
2023/11/06 08:49:54,8,강원특별자치도 양구군,206522,오늘 양구군에 많은 비와 강한 돌풍 등으로 인한 시설물 피해와 안전사고가 예상되오니 각별히 유의하시기 바랍니다.,cbs,양구군,,,"[('많은 비와 강한 돌풍', 0.6673)]"
2023/10/26 18:32:16,8,강원특별자치도 양구군,206287,"오늘 저녁 번개를 동반한 호우가 예상됩니다. 비가 그칠 때 까지 외출을 자제해 주시고, 나무 밑이나 암벽 근처에서 최대한 멀리 떨어지시기 바랍니다.",cbs,양구군,,,"[('비가 그칠 까지 외출을', 0.6957)]"
2023/09/02 16:01:16,8,강원특별자치도 양구군,204836,화천군 해산터널~평화의댐구간 낙석으로 인하여 양방향 전면 교통통제 중입니다. 화천방향으로 통행 불가하니 춘천방향으로 우회하여 주시기 바랍니다.,cbs,양구군,,,"[('춘천방향으로 우회하여 주시기 바랍니다', 0.6647)]"
2023/08/23 17:15:39,8,강원특별자치도 양구군,204258,"오늘 내일 많은 비 예상. 하천변, 상습 침수 구역 출입 금지 등 비 피해가 발생하지 않도록 각별히 주의하시기 바랍니다.",cbs,양구군,,,"[('침수 구역 출입', 0.6783)]"
2023/08/23 11:47:42,8,강원특별자치도 양구군,204159,"오늘(23일) 14시부터 20분간 공습 대비 민방위 훈련 실시, 차량이동통제구간(양구군민공원-양구군농협군지부)",cbs,양구군,23일,,"[('훈련 실시', 0.6065)]"
2023/08/22 17:31:10,8,강원특별자치도 양구군,204003,"밤사이 많은 비 예상. 하천 주변, 상습 침수 지역, 저지대 위험 지역 출입 금지. 계곡 물놀이, 야영객 대피 등 안전에 유의하시기 바랍니다.",cbs,양구군,,,"[('침수 지역', 0.6842)]"
2023/08/21 08:08:36,8,강원특별자치도 양구군,203847,"폭염 지속. 낮 시간 동안 논, 밭, 비닐하우스, 건설 현장, 노약자 야외 활동 자제 등 건강에 유의하시기 바랍니다.",cbs,양구군,,,"[('동안 비닐하우스 건설 현장', 0.692)]"
