create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/06/10 17:24:45,8,강원도 양구군,195492,"내일까지 많은 비와 바람으로 농작물 및 시설물 피해가 예상되므로, 하천변 차량 및 야영객은 안전한 곳으로 이동바라며 피해 예방 및 안전에 유의바랍니다",cbs,양구군청,,,"[('비와 바람으로 농작물', 0.7608)]"
2023/02/03 18:46:13,8,강원도 양구군,192632,정부방침에 따라 2.4.(토)부터 코로나발생 문자전송을 중단하며 발생현황은 군홈페이지에서 확인가능합니다. 방역조치 변경 등 안내가 필요한 경우 발송예정,cbs,양구군청,토,,"[('문자전송을 중단하며 발생현황은', 0.5878)]"
2023/02/03 08:57:42,8,강원도 양구군,192579,"2.3(금) 0시기준 확진자 13명발생(관내13 관외0명)▲감염취약시설, 의료기관, 약국, 대중교통수단 실내마스크 의무 착용, 그 외 시설 자율적 착용",cbs,양구군청,금,,"[('실내마스크 의무 착용', 0.539)]"
2023/02/02 08:51:39,8,강원도 양구군,192530,"2.2(목) 0시기준 확진자 3명발생(관내3 관외0명)▲ 감염취약시설, 의료기관, 약국, 대중교통수단 실내마스크 의무 착용, 그 외 시설 자율적 착용",cbs,양구군청,목,,"[('실내마스크 의무 착용 시설', 0.5361)]"
2023/02/01 08:40:27,8,강원도 양구군,192447,"2.1(수) 0시기준 확진자 7명발생(관내7 관외0명)▲ 감염취약시설, 의료기관, 약국, 대중교통수단 실내마스크 의무 착용, 그 외 시설 자율적 착용",cbs,양구군청,수,,"[('착용 시설', 0.4577)]"
2023/01/31 08:55:02,8,강원도 양구군,192380,"1.31(화) 0시기준 확진자 5명발생(관내4 관외1명)▲12세이상 코로나 동절기추가접종▲사전예약 ncvr.kdca.go.kr, ☎480-2742",cbs,양구군청,화,12세,"[('관내4 관외1명', 0.4451)]"
2023/01/30 08:54:49,8,강원도 양구군,192312,"1.30(월) 0시기준 확진자 3명발생(관내3 관외0명)▲12세이상 코로나 동절기추가접종▲사전예약 ncvr.kdca.go.kr, ☎480-2742",cbs,양구군청,월,12세,"[('동절기추가접종 사전예약', 0.4551)]"
2023/01/29 19:21:27,8,강원도 양구군,192303,밤사이 내리는 눈으로 도로 곳곳이 얼어붙을 수 있으니 운전 시 감속 운행 및 미끄럼 사고에 주의 바랍니다.,cbs,양구군청,,,"[('있으니 운전', 0.6741)]"
2023/01/29 08:33:54,8,강원도 양구군,192227,"1.29(일) 0시기준 확진자 6명발생(관내6 관외0명)▲12세이상 코로나 동절기추가접종▲사전예약 ncvr.kdca.go.kr, ☎480-2742",cbs,양구군청,일,12세,"[('사전예약 ncvr', 0.4879)]"
2023/01/28 09:34:39,8,강원도 양구군,192161,"1.28(금) 0시기준 확진자 6명발생(관내5 관외1명)▲12세이상 코로나 동절기추가접종▲사전예약 ncvr.kdca.go.kr, ☎480-2742",cbs,양구군청,금,12세,"[('관외1명 12세이상 코로나', 0.4721)]"
