create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/07/20 13:24:55,63,경상남도 양산시,199057,"폭염주의보 발효 중입니다. 낮 시간대 야외활동을 자제하여 주시고 폭염 대비 건강수칙(물,그늘,휴식)으로 온열질환을 예방합시다.",cbs,양산시,"물,그늘,휴식",,"[('자제하여 주시고 폭염 대비', 0.7026)]"
2023/07/02 11:45:03,63,경상남도 양산시,196335,"폭염주의보 발효에 따라 외출 및 야외 작업을 자제하여 주시고 충분한 휴식, 폭염 안전수칙(물,그늘, 휴식)준수 등 안전관리에 유의 바랍니다.",cbs,양산시,"물,그늘, 휴식",,"[('충분한 휴식 폭염 안전수칙', 0.7295)]"
2023/06/28 06:31:30,63,경상남도 양산시,196044,밤사이 내린 많은 비로 도로변 갓길 물웅덩이 등 유의하시고 빗길에 천천히 운전하시기 바랍니다.,cbs,양산시,,,"[('비로 도로변 갓길', 0.578)]"
2023/06/27 23:31:41,63,경상남도 양산시,196001,오늘 22시 40분 양산시 호우주의보 발효. 저지대 등 침수위험지역에서는 안전에 유의하시고 빗길 안전에 주의하시기 바랍니다.,cbs,양산시,,,"[('40분 양산시 호우주의보', 0.6707)]"
2023/05/06 09:42:37,63,경상남도 양산시,194927,지방도 1077호선 사송육교 웅상방향 차량 통행 가능합니다.,cbs,양산시,,,"[('웅상방향 차량', 0.1996)]"
2023/05/06 09:12:51,63,경상남도 양산시,194925,지방도 1077호선 사송육교 하부 영천방향 침수로 차량 통제 중이므로 웅상방향 차량은 노포 방향 직진 후 유턴하여 주시기 바랍니다.,cbs,양산시,,,"[('차량 통제 중이므로', 0.621)]"
2022/12/21 08:41:56,63,경상남도 양산시,186273,(정정)동원과기대 사거리 ~ 법기터널 방면 진출입로 구간 결빙으로 교통통제 중입니다.,cbs,양산시,정정,,"[('결빙으로 교통통제', 0.6911)]"
2022/12/21 08:33:24,63,경상남도 양산시,186269,동원과기대 사거리 ~ 법기터널 방면 진출입로 구간 교통통제 해제되었음을 알려드립니다.,cbs,양산시,,,"[('구간 교통통제', 0.6495)]"
2022/12/21 07:30:12,63,경상남도 양산시,186237,새벽부터 내린 비로 도로결빙이 우려되오니 출근길 서행운전 및 안전사고에 유의바랍니다.,cbs,양산시,,,"[('내린 비로', 0.4909)]"
2022/12/21 07:25:29,63,경상남도 양산시,186235,동원과기대 ~ 법기터널 진출입로 교통통제중입니다. 우회하시기 바랍니다.,cbs,양산시,,,"[('법기터널 진출입로', 0.5884)]"
2017/06/12 09:28:27,63,경상남도 양산시,2478,"5.22 이후 시장(양산,서창,노포,언양,남창)에서 살아있는 병아리를 구입한 경우 시청(392-5391~3)으로 신고 바랍니다.",cbs,양산시,"양산,서창,노포,언양,남창",,"[('남창 에서 살아있는 병아리를', 0.6345)]"
2017/06/04 14:27:37,63,경상남도 양산시,2425,양산 원동면 화제리 가금류 농에서 AI 의심축 발생되어 방역조치 중. 인근 가금사육농가 방문 자제 바랍니다.,cbs,양산시,,,"[('원동면 화제리 가금류 농에서', 0.5125)]"
