create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/11/06 18:05:13,9,강원특별자치도 양양군,206584,"내일까지 강한 바람 지속. 간판 등 부착물 고정, 선박 묶기, 비닐하우스 등 시설물 피해 주의, 해안 접근 금지 등 안전에 주의 바랍니다.",cbs,양양군,,,"[('접근 금지 안전에 주의', 0.7156)]"
2023/11/06 14:46:01,9,강원특별자치도 양양군,206546,"오늘과 내일 사이 강한 바람이 예상되오니, 낙하물 안전사고에 유의하시고 옥외광고물, 선박 결박, 비닐하우스 등 시설물은 고정 조치하여 주시기 바랍니다.",cbs,양양군,,,"[('낙하물 안전사고에', 0.6647)]"
2023/11/03 16:17:16,9,강원특별자치도 양양군,206420,"금일 대기불안정으로 낙뢰 발생이 우려되오니 등산, 해안가 산책 등 야외활동 자제 및 낙뢰 발생 시 즉시 실내이동 등 안전에 유의하여주시기 바랍니다.",cbs,양양군,,,"[('발생이 우려되오니 등산', 0.6914)]"
2023/09/13 07:54:30,9,강원특별자치도 양양군,205070,"번개를 동반한 많은 비가 내리고 있으니 해안가ㆍ하천주변 등 야외 활동을 자제하여 주시고, 빗길 안전에 주의하시기 바랍니다.",cbs,양양군,,,"[('주의하시기 바랍니다', 0.7224)]"
2023/08/30 14:39:49,9,강원특별자치도 양양군,204670,"만조 시간대 폭풍 해일에 의한 피해가 우려되오니 해안가 저지대, 방파제 이용자 및 행락객은 월파 피해에 각별히 유의하시기 바랍니다.",cbs,양양군,,,"[('행락객은 월파 피해에', 0.7074)]"
2023/08/13 09:34:39,9,강원특별자치도 양양군,203109,강원 동해안에 강한 너울성 파도가 해안가로 계속 밀려와 매우 위험하오니 해안가 접근을 자재하여 주시고 안전사고에 각별히 주의하시기 바랍니다.,cbs,양양군,,,"[('접근을 자재하여', 0.7281)]"
2023/08/12 19:03:45,9,강원특별자치도 양양군,203101,강원동해안에 강한 너울성 파도가 해안가로 계속 밀려와 매우 위험하오니 해안가 접근을 자재하여 주시고 안전사고에 각별히 주의하시기 바랍니다.,cbs,양양군,,,"[('접근을 자재하여', 0.7229)]"
2023/08/10 17:13:10,9,강원특별자치도 양양군,202961,태풍으로 인해 금일 대중교통 운행이 18시에 종료되오니 외출 자제 등 안전에 유의바랍니다.,cbs,양양군,,,"[('18시에 종료되오니', 0.5541)]"
2023/08/10 15:36:54,9,강원특별자치도 양양군,202906,현북면 및 현남면 도로침수로 인하여 대중교통 운행을 일시중지하오니 안전에 유의바랍니다.,cbs,양양군,,,"[('인하여 대중교통 운행을', 0.5748)]"
2023/08/10 15:01:41,9,강원특별자치도 양양군,202879,현재 양양군 산사태경보 발령중. 많은 비로 지반이 약한상태이므로 산림 주변 접근 금지 및 유사시 대피장소나 안전지대로 즉시 대피하시기 바랍니다.,cbs,양양군,,,"[('산사태경보 발령중 많은', 0.7536)]"
2023/08/10 14:43:26,9,강원특별자치도 양양군,202864,현남면 창리 ~ 죽정자리 구간 7번국도 밑 지하차도가 침수로 통제 중이오니 안전에 유의하시기 바랍니다.,cbs,양양군,,,"[('통제 중이오니', 0.6371)]"
2023/08/10 14:35:13,9,강원특별자치도 양양군,202858,현북면 잔교리 일원 폭우로 인해 대부분 도로가 통제되고 있으니 외출을 자제하여 주시고 교통통제에 협조하여 주시기 바랍니다.,cbs,양양군,,,"[('인해 대부분 도로가 통제되고', 0.7296)]"
2023/08/10 14:27:52,9,강원특별자치도 양양군,202854,양양읍 조산리 434-13번지 회전교차교 ~ 광장주차장 일원 침수로 통행이 불가하오니 우회하시기 바랍니다.,cbs,양양군,,,"[('회전교차교 광장주차장 일원', 0.552)]"
