create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/11/07 09:35:45,39,경기도 양주시,206605,"전지역 한파주의보 발효 중입니다. 노약자 외출자제 및 건강에 유의하시고, 농작물이 냉해피해를 입지 않도록 주의하시기 바랍니다.",cbs,양주시,,,"[('않도록 주의하시기', 0.6467)]"
2023/11/05 20:20:55,39,경기도 양주시,206474,"호우예비특보 및 강풍주의보 발표, 매우 강한 비바람이 예상되니 하천변 등 위험지역 출입을 삼가시고 강풍으로 인한 간판,낙하물 안전사고에 주의바랍니다.",cbs,양주시,,,"[('강한 비바람이 예상되니 하천변', 0.7056)]"
2023/11/05 10:02:11,39,경기도 양주시,206455,"호우,강풍 예비특보 발표, 강한 비바람이 예상되니 하천변 산책로, 계곡 등의 출입을 삼가시고 강풍으로 인한 간판,낙하물 등 안전사고에 주의바랍니다.",cbs,양주시,,,"[('강한 비바람이 예상되니 하천변', 0.7148)]"
2023/09/06 12:41:58,39,경기도 양주시,204934,"현재 양주시 폭염특보 발효중입니다. 물 충분히 마시기, 무더위 쉼터 이용, 실외 작업장 폭염 안전수칙(물, 그늘, 휴식) 지키기 등 안전에 유의바랍니다.",cbs,양주시,"물, 그늘, 휴식",,"[('폭염 안전수칙 그늘 휴식', 0.6349)]"
2023/09/05 11:08:05,39,경기도 양주시,204897,"현재 양주시 폭염특보 발효중입니다. 물 충분히 마시기, 무더위 쉼터 이용, 실외 작업장 폭염 안전수칙(물, 그늘, 휴식) 지키기 등 안전에 유의바랍니다.",cbs,양주시,"물, 그늘, 휴식",,"[('폭염 안전수칙 그늘 휴식', 0.6349)]"
2023/08/23 13:47:52,"9675,9676","경기도 양주시,경기도 양주시",204201,"남면, 은현면 지역 많은 비로 산사태 주의보 발령. 산림 주변 위험지역 통행 금지 및 대피명령 있을 시 대피장소나 안전지대로 반드시 대피 바랍니다.",cbs,양주시,,,"[('산림 주변 위험지역 통행', 0.7059)]"
2023/08/23 11:48:48,39,경기도 양주시,204162,"양주 전 지역 호우특보 발효 중으로 국지적 폭우가 예상됩니다. 하천변, 등산로, 계곡 등 위험지역 접근을 삼가시고 안전사고 예방에 주의하시기 바랍니다.",cbs,양주시,,,"[('예방에 주의하시기 바랍니다', 0.7609)]"
2023/08/23 10:25:41,39,경기도 양주시,204112,금일 14시부터 15분간 민방위 훈련실시로 회정삼거리에서 덕계공원사거리 구간 차량이 통제됩니다. 차량통제구간은 행정안전부 홈페이지에서 확인 가능합니다.,cbs,양주시,,,"[('민방위 훈련실시로 회정삼거리에서 덕계공원사거리', 0.6266)]"
2023/08/22 19:56:15,39,경기도 양주시,204029,"저녁부터 국지적으로 강한 비가 예상됩니다. 하천변 산책로 및 계곡, 급경사지 등의 출입을 삼가시고 안전에 유의하시기 바랍니다.",cbs,양주시,,,"[('하천변 산책로 계곡', 0.6978)]"
2023/08/21 10:24:20,39,경기도 양주시,203866,"현재 양주시 전역 폭염주의보입니다. 물 충분히 마시기, 무더위 쉼터 이용, 실외 작업장 폭염 안전수칙(물, 그늘, 휴식) 지키기 등 안전에 유의바랍니다.",cbs,양주시,"물, 그늘, 휴식",,"[('양주시 전역 폭염주의보입니다 충분히', 0.6928)]"
2023/08/20 10:48:32,39,경기도 양주시,203755,"현재 양주시 전역 폭염주의보입니다. 물 충분히 마시기, 무더위 쉼터 이용, 실외 작업장 폭염 안전수칙(물, 그늘, 휴식) 지키기 등 안전에 유의바랍니다.",cbs,양주시,"물, 그늘, 휴식",,"[('양주시 전역 폭염주의보입니다 충분히', 0.6928)]"
2023/08/19 11:44:57,39,경기도 양주시,203694,"현재 양주시 전지역 폭염경보입니다. 물 충분히 마시기, 무더위 쉼터 이용, 실외 작업장 폭염 안전수칙(물, 그늘, 휴식) 지키기 등 안전에 유의바랍니다.",cbs,양주시,"물, 그늘, 휴식",,"[('폭염경보입니다 충분히', 0.6576)]"
2023/08/18 10:14:43,39,경기도 양주시,203588,"현재 양주시 전지역 폭염경보입니다. 물 충분히 마시기, 무더위 쉼터 이용, 실외 작업장 폭염 안전수칙(물, 그늘, 휴식) 지키기 등 안전에 유의바랍니다.",cbs,양주시,"물, 그늘, 휴식",,"[('폭염경보입니다 충분히', 0.6576)]"
2023/08/17 10:11:23,39,경기도 양주시,203496,"현재 양주시 전지역 폭염경보입니다. 물 충분히 마시기, 무더위 쉼터 이용, 실외 작업장 폭염 안전수칙(물, 그늘, 휴식) 지키기 등 안전에 유의바랍니다.",cbs,양주시,"물, 그늘, 휴식",,"[('폭염경보입니다 충분히', 0.6576)]"
2023/08/16 10:49:24,39,경기도 양주시,203420,"현재 양주시 전지역 폭염경보입니다. 물 충분히 마시기, 무더위 쉼터 이용, 실외 작업장 폭염 안전수칙(물, 그늘, 휴식) 지키기 등 안전에 유의바랍니다.",cbs,양주시,"물, 그늘, 휴식",,"[('폭염경보입니다 충분히', 0.6576)]"
2023/08/15 09:49:16,39,경기도 양주시,203297,"양주시 현재 전지역 폭염경보입니다. 물 충분히 마시기, 무더위 쉼터 이용, 실외 작업장 폭염 안전수칙(물, 그늘, 휴식) 지키기 등 안전에 유의바랍니다.",cbs,양주시,"물, 그늘, 휴식",,"[('폭염경보입니다 충분히 마시기', 0.6642)]"
2023/08/14 10:25:05,39,경기도 양주시,203214,"현재 양주시 폭염주의보입니다. 물 충분히 마시기, 무더위쉼터 이용, 실외 작업장 및 농촌 지역 온열질환 예방(물, 그늘, 휴식)등 안전에 유의바랍니다.",cbs,양주시,"물, 그늘, 휴식",,"[('마시기 무더위쉼터', 0.6354)]"
2023/08/13 10:59:43,39,경기도 양주시,203126,"양주지역 폭염주의보 발효. 물 충분히 마시기, 무더위쉼터 이용, 실외 작업장 및 농촌지역 온열질환 예방(물, 그늘, 휴식) 등 안전에 유의 바랍니다.",cbs,양주시,"물, 그늘, 휴식",,"[('폭염주의보 발효', 0.5917)]"
2023/08/10 12:43:33,39,경기도 양주시,202760,"태풍(카눈) 북상중. 외출을 절대 자제하시고, 저지대나 상습침수지역, 지하공간, 붕괴 우려 있는 건물 등에 있는 주민은 안전한 곳으로 이동바랍니다.",cbs,양주시,카눈,,"[('북상중 외출을 절대', 0.6119)]"
2023/08/09 13:46:51,39,경기도 양주시,201975,양주 지역 태풍 대비 조치로 하천변 산책로와 둔치주차장 등 사전통제하고 있으니 출입을 삼가시고 안전사고에 유의하시기 바랍니다.,cbs,양주시,,,"[('있으니 출입을 삼가시고 안전사고에', 0.7188)]"
2023/08/08 12:08:07,39,경기도 양주시,201711,"현재 양주시 전지역 폭염경보입니다. 물 충분히 마시기, 무더위 쉼터 이용, 실외 작업장 폭염 안전수칙(물, 그늘, 휴식) 지키기 등 안전에 유의바랍니다.",cbs,양주시,"물, 그늘, 휴식",,"[('폭염경보입니다 충분히', 0.6576)]"
2023/08/07 09:57:37,39,경기도 양주시,201528,"현재 양주시 전지역 폭염경보입니다. 물 충분히 마시기, 무더위 쉼터 이용, 실외 작업장 폭염 안전수칙(물, 그늘, 휴식) 지키기 등 안전에 유의바랍니다.",cbs,양주시,"물, 그늘, 휴식",,"[('폭염경보입니다 충분히', 0.6576)]"
2023/08/06 09:54:15,39,경기도 양주시,201342,"현재 양주시 전지역 폭염경보입니다. 물 충분히 마시기, 무더위 쉼터 이용, 실외 작업장 폭염 안전수칙(물, 그늘, 휴식) 지키기 등 안전에 유의바랍니다.",cbs,양주시,"물, 그늘, 휴식",,"[('폭염경보입니다 충분히', 0.6576)]"
2023/08/05 10:29:38,39,경기도 양주시,201181,"현재 양주시 전지역 폭염경보입니다. 물 충분히 마시기, 무더위 쉼터 이용, 실외 작업장 폭염 안전수칙(물, 그늘, 휴식) 지키기 등 안전에 유의바랍니다.",cbs,양주시,"물, 그늘, 휴식",,"[('폭염경보입니다 충분히', 0.6576)]"
2023/08/04 09:23:11,39,경기도 양주시,200997,"현재 양주시 전지역 폭염경보입니다. 물 충분히 마시기, 무더위 쉼터 이용, 실외 작업장 폭염 안전수칙(물, 그늘, 휴식) 지키기 등 안전에 유의바랍니다.",cbs,양주시,"물, 그늘, 휴식",,"[('폭염경보입니다 충분히', 0.6576)]"
2023/08/03 09:38:32,39,경기도 양주시,200835,"현재 양주시 전지역 폭염경보입니다. 물 충분히 마시기, 무더위 쉼터 이용, 실외 작업장 폭염 안전수칙(물,그늘,휴식) 지키기 등 안전에 유의 바랍니다.",cbs,양주시,"물,그늘,휴식",,"[('폭염경보입니다 충분히', 0.6502)]"
2023/07/30 20:25:49,39,경기도 양주시,200405,"현재 양주시 전지역 폭염경보입니다. 물 충분히 마시기, 무더위 쉼터 이용, 실외 작업장 폭염 안전수칙(물, 그늘, 휴식) 지키기 등 안전에 유의바랍니다.",cbs,양주시,"물, 그늘, 휴식",,"[('폭염경보입니다 충분히', 0.6576)]"
2023/07/30 20:03:56,39,경기도 양주시,200404,"양주지역 저녁부터 국지적으로 강한 비가 예상됩니다. 하천변 산책로 및 계곡, 급경사지 등의 출입을 삼가시고 안전에 유의하시기 바랍니다.",cbs,양주시,,,"[('등의 출입을 삼가시고', 0.7138)]"
2023/07/29 11:04:06,39,경기도 양주시,200135,"현재 양주 전지역 폭염경보입니다. 물 충분히 마시기, 무더위 쉼터 이용, 실외 작업장 폭염 안전수칙(물, 그늘, 휴식) 지키기 등 안전에 유의바랍니다.",cbs,양주시,"물, 그늘, 휴식",,"[('폭염경보입니다 충분히', 0.6576)]"
2023/07/23 09:51:35,39,경기도 양주시,199465,"양주시 전역 호우주의보 발효중으로 많은 비가 예상되오니 하천변, 등산로 및 계곡 등 위험지역에 접근하지 마시고, 안전사고 예방에 주의하시기 바랍니다.",cbs,양주시,,,"[('하천변 등산로 계곡 위험지역에', 0.7644)]"
