create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/11/16 17:27:20,40,경기도 양평군,206744,"17일 새벽까지 눈·비가 내리고 기온이 급강하 됨으로 인해 도로결빙이 우려되오니, 도로 미끄럼 사고와 보행안전에 유의하여 주시기 바랍니다.",cbs,양평군,,,"[('기온이 급강하 됨으로', 0.6075)]"
2023/11/06 18:13:12,40,경기도 양평군,206586,"21시 한파주의보 발효 예정, 기온이 급강하함에 따라 농작물 냉해 피해 예방조치, 노약자 야외 외출 자제 및 건강관리 등 안전수칙을 준수 바랍니다.",cbs,양평군,,,"[('예정 기온이 급강하함에', 0.5934)]"
2023/11/06 17:16:32,40,경기도 양평군,206571,"강풍으로 인한 강한 바람이 예상되니 문과 창문을 잘닫아 움직이지 않도록 하고 옥외간판, 비닐하우스 등 시설물을 보강·고정하는 등 안전에 유의바랍니다.",cbs,양평군,,,"[('시설물을 보강', 0.6852)]"
2023/09/06 10:56:04,40,경기도 양평군,204931,"폭염주의보 발효 중, 온열질환 예방을 위해 낮시간 야외활동 자제, 충분한 수분섭취와 휴식, 주변 노약자분들께 안부전화 등 안전수칙을 준수바랍니다.",cbs,양평군,,,"[('자제 충분한 수분섭취와', 0.6848)]"
2023/08/26 10:58:30,40,경기도 양평군,204465,"폭염주의보 발효 중, 온열질환 예방을 위해 낮시간 야외활동 자제, 충분한 수분섭취와 휴식, 주변 노약자분들께 안부전화 등 안전수칙을 준수바랍니다.",cbs,양평군,,,"[('자제 충분한 수분섭취와', 0.6848)]"
2023/08/25 11:02:19,40,경기도 양평군,204442,"폭염주의보 발효 중, 온열질환 예방을 위해 낮시간 야외활동 자제, 충분한 수분섭취와 휴식, 주변 노약자분들께 안부전화 등 안전수칙을 준수바랍니다.",cbs,양평군,,,"[('자제 충분한 수분섭취와', 0.6848)]"
2023/08/23 13:15:31,40,경기도 양평군,204188,"호우주의보 발효중. 하천변 산책로, 산사태 및 침수우려지역, 급경사지 등 위험지역 접근 금지바라며, 인근 주민들은 위험징후 발견 즉시 대피 바랍니다.",cbs,양평군,,,"[('금지바라며 인근 주민들은 위험징후', 0.7045)]"
2023/08/23 11:48:38,40,경기도 양평군,204161,금일(23일) 14시 전국 민방위 훈련으로 20분간 일부도로 차량통제(양평군청 삼거리(강변로)~갈산삼거리~양평군청 사거리)예정이오니 협조 바랍니다.,cbs,양평군,23일,,"[('차량통제 양평군청 삼거리 강변로', 0.7283)]"
2023/08/22 18:15:12,40,경기도 양평군,204015,"금일 밤부터 많은 강수가 예상되니 하천·계곡 등 접근 금지하시고, 산사태, 침수지역 등 재해취약지역 인근 주민들은 피해 사전대비 및 안전에 유의바랍니다.",cbs,양평군,,,"[('산사태 침수지역 재해취약지역', 0.7308)]"
2023/08/22 11:07:47,40,경기도 양평군,203944,"폭염주의보 발효 중, 온열질환 예방을 위해 낮시간 야외활동 자제, 충분한 수분섭취와 휴식, 주변 노약자분들께 안부전화 등 안전수칙을 준수바랍니다.",cbs,양평군,,,"[('자제 충분한 수분섭취와', 0.6848)]"
2023/08/21 13:26:32,40,경기도 양평군,203893,"폭염주의보 발효 중, 온열질환 예방을 위해 낮시간 야외활동 자제, 충분한 수분섭취와 휴식, 주변 노약자분들께 안부전화 등 안전수칙을 준수바랍니다.",cbs,양평군,,,"[('자제 충분한 수분섭취와', 0.6848)]"
2023/08/20 11:10:15,40,경기도 양평군,203760,"폭염주의보 발효 중, 온열질환 예방을 위해 낮시간 야외활동 자제, 충분한 수분섭취와 휴식, 주변 노약자분들께 안부전화 등 안전수칙을 준수바랍니다.",cbs,양평군,,,"[('자제 충분한 수분섭취와', 0.6848)]"
2023/08/19 11:18:49,40,경기도 양평군,203687,"폭염경보 발효 중, 온열질환 예방을 위해 낮시간 야외활동 자제, 충분한 수분섭취와 휴식, 주변 노약자분들께 안부전화 등 안전수칙을 준수바랍니다.",cbs,양평군,,,"[('야외활동 자제 충분한', 0.7029)]"
