create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/02/03 17:59:18,40,경기도 양평군,192627,2.3.(금) 확진자 23명 ▶2월 4일부터 코로나19 확진자 수 문자 발송 중단 ▶관련 현황은 양평군청 홈페이지를 참고해 주시기 바랍니다.,cbs,양평군청,금,,"[('홈페이지를 참고해 주시기 바랍니다', 0.4766)]"
2023/02/02 17:03:37,40,경기도 양평군,192567,"▲2월2일(목) 17시 기준 코로나19 신규확진자 21명(누적: 61,913명)▲코로나19 동절기 추가접종 예약 ncvr.kdca.go.kr",cbs,양평군청,목,,"[('21명 누적 61 913명', 0.4889)]"
2023/02/01 17:40:42,40,경기도 양평군,192515,"▲2월1일(수) 17시 기준 코로나19 신규확진자 22명(누적: 61,892명)▲코로나19 동절기 추가접종 예약 ncvr.kdca.go.kr",cbs,양평군청,수,,"[('22명 누적 61 892명', 0.475)]"
2023/01/31 17:03:53,40,경기도 양평군,192432,"▲1월31일(화) 17시 기준 코로나19 신규확진자 31명(누적: 61,870명)▲코로나19 동절기 추가접종 예약 ncvr.kdca.go.kr",cbs,양평군청,화,,"[('ncvr kdca', 0.4882)]"
2023/01/30 17:06:39,40,경기도 양평군,192368,"▲1월30일(월) 17시 기준 코로나19 신규확진자22명(누적:61,839명)▲코로나19 동절기 추가접종 예약 ncvr.kdca.go.kr",cbs,양평군청,월,,"[('누적 61', 0.4475)]"
2023/01/29 17:06:25,40,경기도 양평군,192294,"▲1월29일(일) 17시 기준 코로나19 신규확진자9명(누적:61,817명)▲코로나19 동절기 추가접종 예약 ncvr.kdca.go.kr",cbs,양평군청,일,,"[('코로나19 신규확진자9명', 0.4643)]"
2023/01/28 17:00:51,40,경기도 양평군,192213,"▲1월28일(토) 17시 기준 코로나19 신규확진자30명(누적:61,808명)▲코로나19 동절기 추가접종 예약 ncvr.kdca.go.kr",cbs,양평군청,토,,"[('kdca kr', 0.4857)]"
2023/01/27 17:05:11,40,경기도 양평군,192102,"▲1월27일(금) 17시 기준 코로나19 신규확진자31명(누적:61,778명)▲코로나19 동절기 추가접종 예약 ncvr.kdca.go.kr",cbs,양평군청,금,,"[('코로나19 동절기', 0.4793)]"
2023/01/26 17:08:15,40,경기도 양평군,191978,"▲1월26일(목) 17시 기준 코로나19 신규확진자51명(누적:61,747명)▲코로나19 동절기 추가접종 예약 ncvr.kdca.go.kr",cbs,양평군청,목,,"[('누적 61', 0.4786)]"
2023/01/25 17:24:41,40,경기도 양평군,191838,"▲1월25일(수) 17시 기준 코로나19 신규확진자73명(누적:61,696명)▲코로나19 동절기 추가접종 예약 ncvr.kdca.go.kr",cbs,양평군청,수,,"[('신규확진자73명 누적 61 696명', 0.5164)]"
2023/01/24 17:32:10,40,경기도 양평군,191695,"▲1월24일(화) 17시 기준 코로나19 신규확진자12명(누적:61,623명)▲코로나19 동절기 추가접종 예약 ncvr.kdca.go.kr",cbs,양평군청,화,,"[('동절기 추가접종 예약', 0.4908)]"
2023/01/23 17:02:38,40,경기도 양평군,191440,"▲1월23일(월) 17시 기준 코로나19 신규확진자19명(누적:61,611명)▲코로나19 동절기 추가접종 예약 ncvr.kdca.go.kr",cbs,양평군청,월,,"[('611명 코로나19', 0.4621)]"
2023/01/22 17:22:22,40,경기도 양평군,191298,"▲1월22일(일) 17시 기준 코로나19 신규확진자25명(누적:61,592명)▲코로나19 동절기 추가접종 예약 ncvr.kdca.go.kr",cbs,양평군청,일,,"[('신규확진자25명 누적', 0.4736)]"
2023/01/21 17:02:58,40,경기도 양평군,191197,"▲1월21일(토) 17시 기준 코로나19 신규확진자17명(누적:61,567명)▲코로나19 동절기 추가접종 예약 ncvr.kdca.go.kr",cbs,양평군청,토,,"[('누적 61 567명 코로나19', 0.5028)]"
2023/01/20 17:03:04,40,경기도 양평군,191065,"▲1월20일(금) 17시 기준 코로나19 신규확진자68명(누적:61,550명)▲코로나19 동절기 추가접종 예약 ncvr.kdca.go.kr",cbs,양평군청,금,,"[('기준 코로나19 신규확진자68명 누적', 0.4947)]"
2023/01/19 17:24:58,40,경기도 양평군,190929,"▲1월19일(목) 17시 기준 코로나19 신규확진자48명(누적:61,482명)▲코로나19 동절기 추가접종 예약 ncvr.kdca.go.kr",cbs,양평군청,목,,"[('누적 61 482명', 0.4765)]"
2023/01/18 17:04:36,40,경기도 양평군,190807,"▲1월18일(수) 17시 기준 코로나19 신규확진자53명(누적:61,434명)▲코로나19 동절기 추가접종 예약 ncvr.kdca.go.kr",cbs,양평군청,수,,"[('434명 코로나19 동절기', 0.4734)]"
2023/01/17 17:19:04,40,경기도 양평군,190684,"▲1월17일(화) 17시 기준 코로나19 신규확진자78명(누적:61,381명)▲코로나19 동절기 추가접종 예약 ncvr.kdca.go.kr",cbs,양평군청,화,,"[('신규확진자78명 누적 61 381명', 0.4917)]"
2023/01/16 17:06:41,40,경기도 양평군,190548,"▲1월16일(월) 17시 기준 코로나19 신규확진자93명(누적:61,303명)▲코로나19 동절기 추가접종 예약 ncvr.kdca.go.kr",cbs,양평군청,월,,"[('코로나19 신규확진자93명 누적 61', 0.4807)]"
2023/01/15 17:07:32,40,경기도 양평군,190410,"▲1월15일(일) 17시 기준 코로나19 신규확진자16명(누적:61,210명)▲코로나19 동절기 추가접종 예약 ncvr.kdca.go.kr",cbs,양평군청,일,,"[('코로나19 신규확진자16명 누적 61', 0.483)]"
2023/01/14 17:15:28,40,경기도 양평군,190252,"▲1월14일(토) 17시 기준 코로나19 신규확진자68명(누적:61,194명)▲코로나19 동절기 추가접종 예약 ncvr.kdca.go.kr",cbs,양평군청,토,,"[('61 194명 코로나19 동절기', 0.4942)]"
2023/01/13 17:46:24,40,경기도 양평군,190110,"▲1월13일(금) 17시 기준 코로나19 신규확진자73명(누적:61,126명)▲코로나19 동절기 추가접종 예약 ncvr.kdca.go.kr",cbs,양평군청,금,,"[('코로나19 신규확진자73명 누적', 0.5042)]"
2023/01/12 17:05:09,40,경기도 양평군,189938,"▲1월12일(목) 17시 기준 코로나19 신규확진자91명(누적:61,053명)▲코로나19 동절기 추가접종 예약 ncvr.kdca.go.kr",cbs,양평군청,목,,"[('누적 61 053명', 0.4887)]"
2023/01/11 17:45:23,40,경기도 양평군,189818,"▲ 1월11일(수) 17시 기준 코로나19 신규확진자91명(누적:60,908명)▲코로나19 동절기 추가접종 예약 ncvr.kdca.go.kr",cbs,양평군청,수,,"[('코로나19 신규확진자91명 누적', 0.5448)]"
2023/01/10 17:09:06,40,경기도 양평군,189686,"▲1월10일(화) 17시 기준 코로나19 신규확진자116명(누적:60,871명)▲코로나19 동절기 추가접종 예약 ncvr.kdca.go.kr",cbs,양평군청,화,,"[('누적 60', 0.4875)]"
2023/01/09 17:17:50,40,경기도 양평군,189556,"▲1월9일(월) 17시 기준 코로나19 신규확진자139명(누적:60,755명)▲코로나19 동절기 추가접종 예약 ncvr.kdca.go.kr",cbs,양평군청,월,,"[('kdca kr', 0.4683)]"
2023/01/08 16:44:57,40,경기도 양평군,189420,"▲1월8일(일) 17시 기준 코로나19 신규확진자43명(누적:60,616명)▲코로나19 동절기 추가접종 예약 ncvr.kdca.go.kr",cbs,양평군청,일,,"[('동절기 추가접종', 0.4671)]"
2023/01/07 18:01:53,40,경기도 양평군,189288,"▲1월7일(토) 17시 기준 코로나19 신규확진자97명(누적:60,573명)▲코로나19 동절기 추가접종 예약 ncvr.kdca.go.kr",cbs,양평군청,토,,"[('코로나19 신규확진자97명 누적', 0.4951)]"
2023/01/06 17:31:32,40,경기도 양평군,189101,"▲1월6일(금) 17시 기준 코로나19 신규확진자136명(누적60,476명)▲코로나19 동절기 추가접종 예약 ncvr.kdca.go.kr",cbs,양평군청,금,,"[('476명 코로나19 동절기', 0.5041)]"
2023/01/05 18:04:40,40,경기도 양평군,188963,"▲1월5일(목) 17시 기준 코로나19 신규확진자123명(누적60,340명)▲코로나19 동절기 추가접종 예약 ncvr.kdca.go.kr",cbs,양평군청,목,,"[('340명 코로나19 동절기', 0.4997)]"
2023/01/04 18:06:01,40,경기도 양평군,188820,"▲1월4일(수) 17시 기준 코로나19 신규확진자149명(누적60,217명)▲코로나19 동절기 추가접종 예약 ncvr.kdca.go.kr",cbs,양평군청,수,,"[('신규확진자149명 누적60 217명', 0.4865)]"
2023/01/03 17:21:56,40,경기도 양평군,188668,"▲1월3일(화) 17시 기준 코로나19 신규확진자172명(누적:60,096명)▲코로나19 동절기 추가접종 예약 ncvr.kdca.go.kr",cbs,양평군청,화,,"[('17시 기준 코로나19', 0.4895)]"
2023/01/02 17:56:00,40,경기도 양평군,188535,"▲1월2일(월) 17시 기준 코로나19 신규확진자222명(누적:59,897명)▲코로나19 동절기 추가접종 예약 ncvr.kdca.go.kr",cbs,양평군청,월,,"[('897명 코로나19 동절기', 0.4415)]"
2023/01/01 17:19:31,40,경기도 양평군,188395,"▲1월1일(일) 17시 기준 코로나19 신규확진자44명(누적:59,675명)▲코로나19 동절기 추가접종 예약 ncvr.kdca.go.kr",cbs,양평군청,일,,"[('동절기 추가접종', 0.4612)]"
2022/12/31 18:08:49,40,경기도 양평군,188241,"▲12월31일(토) 17시 기준 코로나19 신규확진자164명(누적:59,631명)▲코로나19 동절기 추가접종 예약 ncvr.kdca.go.kr",cbs,양평군청,토,,"[('동절기 추가접종 예약', 0.5149)]"
2022/12/30 17:07:58,40,경기도 양평군,188081,"▲12월30일(금) 17시 기준 코로나19 신규확진자165명(누적:59,467명)▲코로나19 동절기 추가접종 예약 ncvr.kdca.go.kr",cbs,양평군청,금,,"[('kdca kr', 0.4848)]"
2022/12/29 17:34:57,40,경기도 양평군,187945,"▲12월29일(목) 17시 기준 코로나19 신규확진자184명(누적:59,302명)▲코로나19 동절기 추가접종 예약 ncvr.kdca.go.kr",cbs,양평군청,목,,"[('동절기 추가접종 예약', 0.5069)]"
2022/12/28 18:03:02,40,경기도 양평군,187810,"▲12월28일(수) 17시 기준 코로나19 신규확진자170명(누적:59,118명)▲코로나19 동절기 추가접종 예약 ncvr.kdca.go.kr",cbs,양평군청,수,,"[('코로나19 신규확진자170명 누적', 0.5185)]"
2022/12/27 17:31:32,40,경기도 양평군,187655,"▲12월27일(화) 17시 기준 코로나19 신규확진자198명(누적:58,948명)▲코로나19 동절기 추가접종 예약 ncvr.kdca.go.kr",cbs,양평군청,화,,"[('ncvr kdca', 0.4793)]"
2022/12/26 17:49:20,40,경기도 양평군,187518,"▲12월26일(월) 17시 기준 코로나19 신규확진자211명(누적:58,750명)▲코로나19 동절기 추가접종 예약 ncvr.kdca.go.kr",cbs,양평군청,월,,"[('기준 코로나19 신규확진자211명 누적', 0.486)]"
2022/12/25 17:15:52,40,경기도 양평군,187378,"▲12월25일(일) 17시 기준 코로나19 신규확진자50명(누적:58,539명)▲코로나19 동절기 추가접종 예약 ncvr.kdca.go.kr",cbs,양평군청,일,,"[('코로나19 동절기', 0.4885)]"
2022/12/23 18:17:06,40,경기도 양평군,187061,"▲12월23일(금) 17시 기준 코로나19 신규확진자138명(누적:58,344명)▲코로나19 동절기 추가접종 예약 ncvr.kdca.go.kr",cbs,양평군청,금,,"[('신규확진자138명 누적', 0.489)]"
2022/12/22 18:01:53,40,경기도 양평군,186715,"▲12월22일(목) 17시 기준 코로나19 신규확진자152명(누적:58,206명)▲코로나19 동절기 추가접종 예약 ncvr.kdca.go.kr",cbs,양평군청,목,,"[('신규확진자152명 누적', 0.5372)]"
2022/12/21 17:41:55,40,경기도 양평군,186435,"▲12월21일(수) 17시 기준 코로나19 신규확진자136명(누적:58,054명)▲코로나19 동절기 추가접종 예약 ncvr.kdca.go.kr",cbs,양평군청,수,,"[('신규확진자136명 누적 58 054명', 0.5201)]"
2022/12/20 17:07:11,40,경기도 양평군,186159,"▲12월20일(화) 17시 기준 코로나19 신규확진자201명(누적:57,918명)▲코로나19 동절기 추가접종 예약 ncvr.kdca.go.kr",cbs,양평군청,화,,"[('누적 57', 0.4772)]"
2022/12/19 18:09:44,40,경기도 양평군,186032,"▲12월19일(월) 17시 기준 코로나19 신규확진자197명(누적:57,717명)▲코로나19 동절기 추가접종 예약 ncvr.kdca.go.kr",cbs,양평군청,월,,"[('누적 57', 0.4494)]"
2022/12/18 17:02:08,40,경기도 양평군,185878,"▲12월18일(일) 17시 기준 코로나19 신규확진자45명(누적:57,520명)▲코로나19 동절기 추가접종 예약 ncvr.kdca.go.kr",cbs,양평군청,일,,"[('kdca kr', 0.4659)]"
2022/12/17 17:10:13,40,경기도 양평군,185680,"▲12월17일(토) 17시 기준 코로나19 신규확진자131명(누적:57,475명)▲코로나19 동절기 추가접종 예약 ncvr.kdca.go.kr",cbs,양평군청,토,,"[('475명 코로나19 동절기 추가접종', 0.5227)]"
2022/12/16 18:05:11,40,경기도 양평군,185490,"▲12월16일(금) 17시 기준 코로나19 신규확진자183명(누적:57,344명)▲코로나19 동절기 추가접종 예약 ncvr.kdca.go.kr",cbs,양평군청,금,,"[('코로나19 신규확진자183명 누적 57', 0.4891)]"
2022/12/15 18:09:27,40,경기도 양평군,185326,"▲12월15일(목) 17시 기준 코로나19 신규확진자167명(누적:57,161명)▲코로나19 동절기 추가접종 예약 ncvr.kdca.go.kr",cbs,양평군청,목,,"[('코로나19 신규확진자167명 누적 57', 0.5008)]"
2022/12/14 17:22:29,40,경기도 양평군,185112,"▲12월14일(수) 17시 기준 코로나19 신규확진자190명(누적:56,995명)▲코로나19 동절기 추가접종 예약 ncvr.kdca.go.kr",cbs,양평군청,수,,"[('코로나19 신규확진자190명', 0.5213)]"
2022/12/13 18:14:05,40,경기도 양평군,184930,"▲12월13일(화) 17시 기준 코로나19 신규확진자214명(누적:56,805명)▲코로나19 동절기 추가접종 예약 ncvr.kdca.go.kr",cbs,양평군청,화,,"[('누적 56 805명 코로나19', 0.4877)]"
2022/12/12 17:36:52,40,경기도 양평군,184709,"▲12월12일(월) 17시 기준 코로나19 신규확진자213명(누적:56,591명)▲코로나19 동절기 추가접종 예약 ncvr.kdca.go.kr",cbs,양평군청,월,,"[('591명 코로나19 동절기', 0.4781)]"
2022/12/11 17:04:11,40,경기도 양평군,184583,"▲12월11일(일) 17시 기준 코로나19 신규확진자36명(누적:56,378명)▲코로나19 동절기 추가접종 예약 ncvr.kdca.go.kr",cbs,양평군청,일,,"[('코로나19 신규확진자36명', 0.4483)]"
2022/12/10 17:07:14,40,경기도 양평군,184459,"▲12월10일(토) 17시 기준 코로나19 신규확진자127명(누적:56,342명)▲코로나19 동절기 추가접종 예약 ncvr.kdca.go.kr",cbs,양평군청,토,,"[('신규확진자127명 누적', 0.5018)]"
2022/12/09 18:05:16,40,경기도 양평군,184335,"▲12월9일(금) 17시 기준 코로나19 신규확진자154명(누적:56,215명)▲코로나19 동절기 추가접종 예약 ncvr.kdca.go.kr",cbs,양평군청,금,,"[('누적 56 215명 코로나19', 0.5148)]"
2022/12/08 17:57:56,40,경기도 양평군,184200,"▲12월8일(목) 17시 기준 코로나19 신규확진자187명(누적:56,061명)▲코로나19 동절기 추가접종 예약 ncvr.kdca.go.kr",cbs,양평군청,목,,"[('061명 코로나19 동절기 추가접종', 0.4883)]"
2022/12/07 18:03:40,40,경기도 양평군,184070,"▲12월7일(수) 17시 기준 코로나19 신규확진자138명(누적:55,874명)▲코로나19 동절기 추가접종 예약 ncvr.kdca.go.kr",cbs,양평군청,수,,"[('동절기 추가접종 예약', 0.5067)]"
2022/12/06 18:02:56,40,경기도 양평군,183935,"▲12월6일(화) 17시 기준 코로나19 신규확진자191명(누적:55,736명)▲코로나19 동절기 추가접종 예약 ncvr.kdca.go.kr",cbs,양평군청,화,,"[('신규확진자191명 누적 55 736명', 0.4885)]"
2022/12/05 18:09:54,40,경기도 양평군,183803,"▲12월5일(월) 17시 기준 코로나19 신규확진자228명(누적:55,545명)▲코로나19 동절기 추가접종 예약 ncvr.kdca.go.kr",cbs,양평군청,월,,"[('추가접종 예약', 0.4528)]"
2022/12/04 17:00:25,40,경기도 양평군,183669,"▲12월4일(일) 17시 기준 코로나19 신규확진자 51명(누적:55,317명)▲코로나19 동절기 추가접종 예약 ncvr.kdca.go.kr",cbs,양평군청,일,,"[('신규확진자 51명 누적', 0.5018)]"
