create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/11/18 08:42:06,192,전라남도 여수시,206848,이순신대교 도로 제설작업이 완료되어 정상 운행 중입니다. 차량 운행시 저속운전 하시고 안전사고에 유의바랍니다.,cbs,여수시,,,"[('운행시 저속운전 하시고 안전사고에', 0.5194)]"
2023/11/18 07:14:21,192,전라남도 여수시,206832,"이순신대교 결빙으로 긴급통제 중으로 우회 바라며, 안전운행하시기바랍니다.",cbs,여수시,,,"[('중으로 우회', 0.5133)]"
2023/10/27 21:42:09,192,전라남도 여수시,206317,"여수시 신월로 국동→웅천방향 도로 통행 재개되었으며, 웅천→국동 방향은 오늘 자정까지 복구 작업이 예상되오니 가급적 우회 도로를 이용하여 주시기 바랍니다",cbs,여수시,,,"[('자정까지 복구 작업이', 0.7129)]"
2023/10/27 20:25:36,192,전라남도 여수시,206314,여수시 신월로(신월금호아파트 앞) 교통사고로 양방향 도로 통제중이니 차량을 우회하여 주시기 바랍니다,cbs,여수시,신월금호아파트 앞,,"[('통제중이니 차량을 우회하여', 0.6865)]"
2023/08/28 07:06:08,7585,전라남도 여수시,204511,"여수시 거문도,초도지역 호우주의보. 저지대, 침수 우려지역 등 위험지역에서는 가족, 이웃과 정보를 공유하고 안전한 곳으로 대피하시기 바랍니다",cbs,여수시,,,"[('공유하고 안전한 곳으로', 0.7561)]"
2023/08/24 17:30:02,192,전라남도 여수시,204391,"호우주의보 발효, 오늘 밤 많은 비가 예상되오니 하천변, 산책로, 해안가, 급경사지, 지하차도 등 위험지역 출입을 삼가하여 주시기 바랍니다.",cbs,여수시,,,"[('오늘 많은 비가', 0.7325)]"
2023/08/23 17:06:22,192,전라남도 여수시,204254,"오늘 17:00 호우주의보 발효. 저지대, 침수 우려지역 등 위험지역에서는 가족, 이웃과 정보를 공유하고 안전한 곳으로 대피하시기 바랍니다",cbs,여수시,,,"[('침수 우려지역', 0.578)]"
2023/08/19 06:56:40,192,전라남도 여수시,203664,"오늘 여수시 호우주의보 발효. 저지대, 침수 우려지역 등 위험지역에서는 가족, 이웃과 정보를 공유하고 안전한 곳으로 대피하시기 바랍니다",cbs,여수시,,,"[('공유하고 안전한', 0.6832)]"
2023/08/09 23:01:25,192,전라남도 여수시,202262,"오늘 여수시 태풍 경보(23:00). 태풍 관련 정보를 공유하고, 하천, 해안가 등 위험지역 접근금지, 논밭 관리행위 자제 등 안전에 주의 바랍니다.",cbs,여수시,23:00,,"[('자제 안전에 주의', 0.6067)]"
2023/08/09 20:13:02,192,전라남도 여수시,202201,"오늘 전남동부남해앞바다 태풍 경보(22:00 발효) 하천, 해안가 등 위험지역 접근금지, 논밭 관리행위 자제 등 안전에 주의 바랍니다.",cbs,여수시,22:00 발효,,"[('하천 해안가', 0.6537)]"
2023/08/09 16:59:21,192,전라남도 여수시,202099,"오늘 여수시 태풍 주의보. 태풍 관련 정보를 공유하고, 하천, 해안가 등 위험지역 접근금지, 논밭 관리행위 자제 등 안전에 주의 바랍니다.",cbs,여수시,,,"[('해안가 위험지역 접근금지', 0.6353)]"
2023/07/18 18:01:00,192,전라남도 여수시,198772,"연이은 집중호우로 인한 도로 부분 파손, 비탈면 유실 및 도로 침수 발생으로 야간 운행을 피하고 안전운전 하시기 바랍니다.",cbs,여수시,,,"[('비탈면 유실 도로', 0.7656)]"
2023/07/18 16:00:00,192,전라남도 여수시,198714,"16시 이후 여수지역에 많은 비가 예상되오니, 야외활동을 자제하여 주시고 하천변, 저지대 등 위험지역 접금을 금하여 주시기 바랍니다.",cbs,여수시,,,"[('주시고 하천변', 0.6492)]"
2021/01/06 18:43:09,192,전라남도 여수시,81677,"1.10.까지 한파 예보 강추위 예상, 노약자 등 외출자제, 시설물(수도계량기) 보온조치 강화, 농축산물 등 피해가 없도록 주의하시기 바랍니다.",cbs,여수시,수도계량기,,"[('한파 예보 강추위 예상', 0.6311)]"
