create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/11/25 21:50:20,"9458,9459,9460,9464","경기도 여주시,경기도 여주시,경기도 여주시,경기도 여주시",207004,"여주시 중앙동 일부지역 정전이 발생되어 한전에서 복구 중이니, 전기기기의 모든 전원을 끄고 손전등을 사용하는 등 안전사고 발생에 유의하시기 바랍니다.",cbs,여주시,,,"[('전기기기의 모든 전원을 끄고', 0.6231)]"
2023/11/16 17:38:27,41,경기도 여주시,206745,"17일 기온 급강하로 도로, 교량, 고갯길 결빙 예상되니 안전사고와 보행에 유의하여 주시기 바랍니다.",cbs,여주시,,,"[('급강하로 도로 교량 고갯길', 0.5871)]"
2023/11/05 22:16:31,41,경기도 여주시,206488,"내일(6일)까지 많은 비와 강풍이 예상되오니 하천변 산책로 출입 자제 및 배수로 사전점검하시고, 낙하물로 인한 안전사고에 유의하시기 바랍니다.",cbs,여주시,6일,,"[('강풍이 예상되오니 하천변', 0.6855)]"
2023/11/05 20:53:51,41,경기도 여주시,206476,"6일 오전까지 많은 비가 예상되오니 하천변, 산책로 출입을 금하시고, 내집 주변 배수구가 낙엽으로 막히지 않도록 사전에 제거하여 주시기 바랍니다.",cbs,여주시,,,"[('낙엽으로 막히지', 0.6846)]"
2023/09/20 14:02:34,41,경기도 여주시,205393,"돌풍·번개를 동반한 많은 비가 예상됩니다. 하천,계곡등 접근을 금지하시고 산사태,침수지역,반지하주택 등 인근주민들은 사전대비 및 안전에 유의 바랍니다.",cbs,여주시,,,"[('금지하시고 산사태 침수지역', 0.6912)]"
2023/09/06 14:12:33,41,경기도 여주시,204940,"폭염특보 발효 중. 낮시간 야외활동(논,밭,공사장) 자제, 충분한 수분섭취와 휴식, 주변 노약자분들께 안부전화 등 건강관리에 유의 바랍니다.",cbs,여주시,"논,밭,공사장",,"[('주변 노약자분들께 안부전화', 0.6113)]"
2023/09/05 14:40:14,41,경기도 여주시,204908,"폭염특보 발효 중. 낮시간 야외활동(논,밭,공사장) 자제, 충분한 수분섭취와 휴식, 주변 노약자분들께 안부전화 등 건강관리에 유의 바랍니다.",cbs,여주시,"논,밭,공사장",,"[('주변 노약자분들께 안부전화', 0.6113)]"
2023/08/29 15:37:33,41,경기도 여주시,204554,"관내 전지역에 호우가 확산되고 있습니다. 하천,계곡등 접근을 금지하시고 산사태,침수지역등 재해취약지역 인근주민들은 사전대비 및 안전에 유의 바랍니다.",cbs,여주시,,,"[('산사태 침수지역등', 0.6463)]"
2023/08/29 10:41:34,41,경기도 여주시,204537,"오늘(29일)부터 소나기와 낙뢰, 돌풍이 예상되므로 지하차도,저지대,하천변 등 위험지역은 접근하지 마시고 하천,계곡에서 야영을 금지하여 주시기바랍니다.",cbs,여주시,29일,,"[('접근하지 마시고 하천', 0.6773)]"
2023/08/24 20:12:49,41,경기도 여주시,204415,"현재 호우주의보가 발효되었으니 하천,계곡 등 접근 금지하시고, 산사태, 침수지역 등 재해취약지역 인근 주민들은 사전대비 및 안전에 유의바랍니다.",cbs,여주시,,,"[('접근 금지하시고 산사태 침수지역', 0.7455)]"
