create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/11/06 12:21:56,41,경기도 여주시,206539,"오늘 21시 여주시 전역 한파주의보 발효. 내일 아침 급격한 기온하락이 예상되니 노약자 체온유지, 야외활동 자제, 도로결빙 등 안전에 유의 바랍니다",cbs,여주시청,,,"[('안전에 유의', 0.623)]"
2023/08/13 13:46:48,41,경기도 여주시,203153,"여주시 폭염특보 발효중. 고령농업인, 건설야외근로자 등 작업 자제하시고 충분한 수분섭취를 통해 건강관리 유의 바랍니다.",cbs,여주시청,,,"[('폭염특보 발효중', 0.7373)]"
2023/08/09 10:33:30,41,경기도 여주시,201892,"여주시 폭염특보 발효중. 고령농업인, 건설야외근로자 등 작업 자제하시고 충분한 수분섭취를 통해 건강관리 유의 바랍니다.",cbs,여주시청,,,"[('폭염특보 발효중', 0.7373)]"
2023/08/08 10:57:38,41,경기도 여주시,201697,"여주시 폭염경보 발효중. 고령농업인, 건설야외근로자 등 작업 자제하시고 충분한 수분섭취를 통해 건강관리 유의 바랍니다.",cbs,여주시청,,,"[('여주시 폭염경보', 0.7558)]"
2023/08/07 10:44:55,41,경기도 여주시,201542,"여주시 폭염경보 발효중. 고령농업인, 건설야외근로자 등 작업 자제하시고 충분한 수분섭취를 통해 건강관리 유의 바랍니다.",cbs,여주시청,,,"[('여주시 폭염경보', 0.7558)]"
2023/08/06 14:58:11,41,경기도 여주시,201469,"여주시 폭염경보 발효중. 고령농업인, 건설야외근로자 등 작업 자제하시고 충분한 수분섭취를 통해 건강관리 유의 바랍니다.",cbs,여주시청,,,"[('여주시 폭염경보', 0.7558)]"
2023/08/06 11:04:22,41,경기도 여주시,201390,"여주시 폭염경보 발효중. 고령농업인, 건설야외근로자 등 작업 자제하시고 충분한 수분섭취를 통해 건강관리 유의 바랍니다.",cbs,여주시청,,,"[('여주시 폭염경보', 0.7558)]"
2023/08/05 15:22:37,41,경기도 여주시,201296,"여주시 폭염경보 발효중. 고령농업인, 건설야외근로자 등 작업 자제하시고 충분한 수분섭취를 통해 건강관리 유의 바랍니다.",cbs,여주시청,,,"[('여주시 폭염경보', 0.7558)]"
2023/08/05 10:08:22,41,경기도 여주시,201168,"여주시 폭염경보 발효중. 고령농업인, 건설야외근로자 등 작업 자제하시고 충분한 수분섭취를 통해 건강관리 유의 바랍니다.",cbs,여주시청,,,"[('여주시 폭염경보', 0.7558)]"
2023/08/04 11:16:51,41,경기도 여주시,201034,"여주시 폭염경보 발효중. 고령농업인, 건설야외근로자 등 작업 자제하시고 충분한 수분섭취를 통해 건강관리 유의 바랍니다.",cbs,여주시청,,,"[('여주시 폭염경보', 0.7558)]"
2023/08/02 15:10:51,41,경기도 여주시,200807,"여주시 폭염경보 발효중. 고령농업인, 건설야외근로자 등 작업 자제하시고 충분한 수분섭취를 통해 건강관리 유의 바랍니다.",cbs,여주시청,,,"[('여주시 폭염경보', 0.7558)]"
2023/08/02 10:49:31,41,경기도 여주시,200732,"여주시 폭염경보 발효중. 고령농업인, 건설야외근로자 등 작업 자제하시고 충분한 수분섭취를 통해 건강관리 유의 바랍니다.",cbs,여주시청,,,"[('여주시 폭염경보', 0.7558)]"
2023/07/31 11:23:56,41,경기도 여주시,200463,"여주시 폭염경보 발효중. 고령농업인, 건설야외근로자 등 작업 자제하시고 충분한 수분섭취를 통해 건강관리 유의 바랍니다.",cbs,여주시청,,,"[('여주시 폭염경보', 0.7558)]"
2023/07/30 10:01:19,41,경기도 여주시,200240,"여주시 폭염경보 발효중. 고령농업인, 건설야외근로자 등 작업 자제하시고 충분한 수분섭취를 통해 건강관리 유의 바랍니다.",cbs,여주시청,,,"[('여주시 폭염경보', 0.7558)]"
2023/07/13 08:39:11,41,경기도 여주시,196972,13일부터 호우특보 발효 예정으로 남한강 소양천 복하천 청미천 등 하천변 출입을 금하시고 저지대 침수우려지역은 위험시 마을회관으로 즉시 대피바랍니다,cbs,여주시청,,,"[('소양천 복하천 청미천', 0.6158)]"
2023/07/08 12:23:23,41,경기도 여주시,196619,"현재 여주시 전역에 폭염특보 발효 중, 한낮(오후2-5시) 논밭 등 야외활동을 자제하여 주시고 충분한 수분 섭취 등 건강관리에 유의하시기 바랍니다.",cbs,여주시청,오후2-5시,,"[('발효 한낮 오후2', 0.5472)]"
2023/07/06 14:04:54,41,경기도 여주시,196531,"현재 여주시 전역에 폭염특보 발효 중, 한낮(오후2-5시) 논밭 등 야외활동을 자제하여 주시고 충분한 수분 섭취 등 건강관리에 유의하시기 바랍니다.",cbs,여주시청,오후2-5시,,"[('발효 한낮 오후2', 0.5472)]"
2023/07/03 12:37:23,41,경기도 여주시,196372,"현재 여주시 전역에 폭염특보 발효 중, 한낮(오후2-5시) 논밭 등 야외활동을 자제하여 주시고 충분한 수분 섭취 등 건강관리에 유의하시기 바랍니다.",cbs,여주시청,오후2-5시,,"[('발효 한낮 오후2', 0.5472)]"
2023/07/01 10:36:35,41,경기도 여주시,196263,"현재 폭염특보 발효 중으로 논밭 등 야외작업 자제, 온열질환 예방 등 건강관리에 유의하시기 바랍니다.",cbs,여주시청,,,"[('현재 폭염특보', 0.6783)]"
2023/06/11 14:10:17,41,경기도 여주시,195526,"관내 강풍으로 인한 안전사고가 우려됩니다. 가급적 외출을 자제하시고, 낙하물에 의한 2차 사고 피해에 유의하시기 바랍니다.",cbs,여주시청,,,"[('가급적 외출을 자제하시고 낙하물에', 0.6494)]"
2023/02/01 17:30:03,41,경기도 여주시,192513,"2023년 2월 1일 확진자 42명 발생(누적:60,447명) △ 12세 이상 코로나19 추가접종 예약 ☞ ncvr.kdca.go.kr",cbs,여주시청,"누적:60,447명",12세,"[('60 447명 12세', 0.5314)]"
2023/01/31 16:45:13,41,경기도 여주시,192427,"2023년 1월 31일 확진자 35명 발생(누적:60,405명) △ 12세 이상 코로나19 추가접종 예약 ☞ ncvr.kdca.go.kr",cbs,여주시청,"누적:60,405명",12세,"[('확진자 35명 발생', 0.5657)]"
