create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/11/07 17:17:35,132,부산광역시 연제구,206609,"금일 17시경 거제동 거제청구하이츠아파트 인근 멧돼지가 출몰하였다는 신고가 있으니, 인근을 지나는 주민께서는 안전에 유의하시기 바랍니다.",cbs,연제구청,,,"[('거제동 거제청구하이츠아파트', 0.6373)]"
2023/09/20 23:03:28,132,부산광역시 연제구,205586,가족이나 지인이 장전동역 온천장 지하철역 인근으로 가셨다가 연락이 안되시거나 이를 목격하신 분은 119로 신고해 주시면 감사하겠습니다.,cbs,연제구청,,,"[('분은 119로 신고해', 0.7392)]"
2023/09/20 23:02:58,132,부산광역시 연제구,205585,"오늘 17:48분경 금정구 온천장 지하철역 인근 온천천에서 30대 전후 여성으로 상의 연분홍색 남방, 하의 곤색바지 착용으로 추정되는 여성 실종상태임",cbs,연제구청,,,"[('17 48분경 금정구', 0.7294)]"
2023/08/09 15:25:08,132,부산광역시 연제구,202031,태풍 카눈 북상에 따라 온천천 산책로 전 구간을 출입통제하오니 접근을 삼가주시기 바랍니다.,cbs,연제구청,,,"[('태풍 카눈 북상에 따라', 0.6559)]"
2023/08/09 15:13:29,132,부산광역시 연제구,202023,태풍 카눈 북상에 따라 관내 등산로 등 숲길이 8. 9.(수) 15:00부터 전면 폐쇄되오니 등산로 이용을 금지하여 주시기 바랍니다.,cbs,연제구청,수,,"[('전면 폐쇄되오니 등산로', 0.5662)]"
2023/07/18 13:10:14,132,부산광역시 연제구,198634,오늘 낮부터 많은 비가 예상되어 온천천 산책로 출입을 전면 통제하오니 접근을 삼가주시기 바랍니다.,cbs,연제구청,,,"[('오늘 낮부터 많은 비가', 0.6209)]"
2023/07/16 19:35:17,132,부산광역시 연제구,198316,"금일 매우 강한 비와 20시경 만조위 예정으로 온천천변 접근을 삼가해주시고, 인근 주민께서는 기상정보에 유의하시기 바랍니다.",cbs,연제구청,,,"[('인근 주민께서는 기상정보에', 0.7151)]"
2023/06/28 01:36:28,132,부산광역시 연제구,196020,집중호우로 온천천 산책로 전 구간 통제중이오니 이용을 자제하여 주시기 바랍니다,cbs,연제구청,,,"[('자제하여 주시기', 0.61)]"
2023/05/05 21:20:30,132,부산광역시 연제구,194912,"온천천남로(연산9동 대영해수탕-한양1차,3차사이) 구간 도로통제(5.6. 01~10시)하오니 우회바랍니다.",cbs,연제구청,"연산9동 대영해수탕-한양1차,3차사이",,"[('구간 도로통제 01', 0.542)]"
2023/04/05 15:49:12,132,부산광역시 연제구,194190,집중호우로 온천천 산책로 전 구간 통제중이오니 이용을 자제하여 주시기 바랍니다.,cbs,연제구청,,,"[('자제하여 주시기', 0.6179)]"
2023/01/23 17:23:09,132,부산광역시 연제구,191449,내일 새벽부터 영하의 날씨로 수도계량기 동파와 도로 살얼음 미끄럼 사고에 유의하시기 바랍니다.,cbs,연제구청,,,"[('동파와 도로 살얼음 미끄럼', 0.5398)]"
2023/01/13 10:23:05,132,부산광역시 연제구,190043,"금일10시 호우주의보가 발령되었사오니, 구민께서는 온천천 출입을 자제하시는 등 안전에 유의하시기 바랍니다.",cbs,연제구청,,,"[('구민께서는 온천천', 0.6343)]"
2022/12/20 11:41:45,132,부산광역시 연제구,186125,"12세이상 2차접종완료자, 코로나19 2가백신(효과2배) 예약없이 접종가능합니다. ☎1339, 665-5321",cbs,연제구청,효과2배,12세,"[('접종가능합니다 1339 665', 0.6239)]"
2022/11/29 11:50:14,132,부산광역시 연제구,182881,"급격한 기온 하강으로 21:00 한파 경보 발효예정 ▲체온유지, 야외활동 자제 ▲보일러, 수도계량기, 수도관 등 시설점검 등 한파에 대비 바랍니다.",cbs,연제구청,,,"[('한파에 대비', 0.6393)]"
2022/09/18 17:22:00,132,부산광역시 연제구,173477,"9월18일 21시 태풍경보 발효에 따른 호우,강풍 예상되오니 저지대 주차차량 이동, 시설물 고정, 온천천 등 위험지역 출입을 자제해 주시기 바랍니다.",cbs,연제구청,,,"[('저지대 주차차량 이동 시설물', 0.5856)]"
2022/09/06 09:39:10,132,부산광역시 연제구,171729,연제구 마을버스 9:40분부터 모든 노선 정상 운행합니다.,cbs,연제구청,,,"[('모든 노선', 0.3314)]"
2022/09/05 21:44:13,132,부산광역시 연제구,171422,9.5.(월)~(화) 태풍 영향권을 벗어날 때까지 연제구 온천천 시민공원 전 구간 출입이 불가함을 알려드립니다. 안전에 항상 주의하시기 바랍니다.,cbs,연제구청,월,,"[('때까지 연제구 온천천 시민공원', 0.5242)]"
2022/09/05 15:50:12,132,부산광역시 연제구,171192,"태풍 힌남노 내습시 신금로 등 저지대에 주차된 차량은 안전한 장소로 이동 바라며 창문,간판 등은 고정해주시고, 산림 인근 지역방문을 자제부탁드립니다.",cbs,연제구청,,,"[('창문 간판 등은', 0.6879)]"
2022/09/03 17:26:34,132,부산광역시 연제구,170703,"9.5~6경 제11호 태풍 힌남노 북상으로 많은 비와 강풍이 예상됩니다. 태풍 대비(지붕·간판 결박, 유리창 고정 등) 및 기상상황에 유의 바랍니다.",cbs,연제구청,"지붕·간판 결박, 유리창 고정 등",,"[('대비 지붕 간판', 0.6409)]"
2022/08/16 17:52:54,132,부산광역시 연제구,168250,"오늘밤 많은 비가 예보되어 있습니다. 차수판 설치, 저지대 차량 이동 주차 등 침수 및 안전에 유의하시기 바랍니다.",cbs,연제구청,,,"[('주차 침수 안전에', 0.7307)]"
2022/04/25 23:29:38,132,부산광역시 연제구,153610,"부산버스 임금협상 난항으로4.26.(화)첫차부터 운행 중단에 따른 불편예상. 대체차량운행 문의)구홈페이지, 교통행정과(051-665-4551~4555)",cbs,연제구청,화,,"[('대체차량운행 문의 구홈페이지 교통행정과', 0.5119)]"
2022/03/25 16:30:01,132,부산광역시 연제구,149018,"오늘밤~내일새벽 강풍(최대순간풍속90km/h이상)및 호우예상,온천천주변 저지대 침수예방조치,간판 등 시설물 추락예방초치로 피해발생치않도록 유의바랍니다.",cbs,연제구청,최대순간풍속90km/h이상,,"[('간판 시설물 추락예방초치로', 0.5744)]"
2022/01/07 17:09:09,132,부산광역시 연제구,137282,"재난긴급생활지원금 1인5만원 22.1.28.까지 지급 ▲21.12.1.기준 연제구민 ▲주말은 1.8.(토)만 가능 ▲문의,방문수령:주소지 동 주민센터",cbs,연제구청,토,,"[('가능 문의 방문수령', 0.5967)]"
2021/11/30 11:58:34,132,부산광역시 연제구,131570,▲집중호우로 인한 수위 상승으로 위험하오니 온천천 산책로 출입을 삼가시기 바랍니다. ▲철저한 방역수칙 준수와 백신접종으로 우리의 일상을 지켜나갑시다.,cbs,연제구청,,,"[('철저한 방역수칙', 0.6495)]"
