create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/11/17 18:49:41,193,전라남도 영광군,206794,자정부터 새벽까지 영광군 일대에 1~5cm가량의 적설 예상. 도로 결빙으로 미끄럼 사고가 우려되니 저속 운행 등 안전운전 하시기 바랍니다.,cbs,영광군,,,"[('새벽까지 영광군 일대에', 0.7283)]"
2023/09/20 14:15:29,193,전라남도 영광군,205399,"호우주의보 발효 불갑산 등산로, 산책로, 해안가, 하천변, 산사태 우려지역 등 재해취약지역 출입자제 안전에 주의바랍니다.",cbs,영광군,,,"[('안전에 주의바랍니다', 0.7481)]"
2023/08/27 14:58:25,193,전라남도 영광군,204495,연일 우리 지역에 폭염주의보 발효 중입니다. 낮 시간대(14~17시) 야외활동과 실외작업을 자제하고 충분한 수분 섭취와 휴식 등 건강에 유의 바랍니다.,cbs,영광군,14~17시,,"[('실외작업을 자제하고 충분한', 0.5616)]"
2023/08/26 15:03:41,193,전라남도 영광군,204470,"현재 관내에 폭염주의보 발효 중▲낮시간대 야외활동(논,밭,비닐하우스,공사장 등) 자제▲충분한 수분섭취▲무더위쉼터 이용 등 건강관리에 유의하시기 바랍니다.",cbs,영광군,"논,밭,비닐하우스,공사장 등",,"[('무더위쉼터 이용', 0.599)]"
2023/08/23 15:29:52,193,전라남도 영광군,204228,"현재 호우경보 발효. 저지대, 하천, 해안가 등 위험지역 접근금지 및 외출자제, 안전사고에 주의하시기 바랍니다.",cbs,영광군,,,"[('위험지역 접근금지 외출자제 안전사고에', 0.7389)]"
2023/08/22 21:03:10,193,전라남도 영광군,204042,"호우경보 발효중. 강하고 많은 비가 예상되니 하천, 해안가 등 위험지역 접근금지, 외출 자제 등 안전사고에 주의하시기 바랍니다.",cbs,영광군,,,"[('하천 해안가', 0.7282)]"
2023/08/16 13:59:34,193,전라남도 영광군,203452,"폭염주의보 지속 발효중▲낮시간 외출 및 야외활동자제(논,밭,공사장 등)▲무더위쉼터 이용▲폭염안전수칙(물,그늘,휴식) 준수 등 건강 관리에 유의바랍니다.",cbs,영광군,"논,밭,공사장 등",,"[('지속 발효중', 0.603)]"
2023/08/15 11:33:29,193,전라남도 영광군,203333,"폭염주의보 발효중. 온열질환이 발생하지 않도록 취약시간대 논·밭/야외 작업자제, 무더위쉼터 이용, 안전수칙(물,그늘,휴식) 준수바랍니다",cbs,영광군,"물,그늘,휴식",,"[('발효중 온열질환이 발생하지 않도록', 0.6646)]"
2023/08/13 10:36:17,193,전라남도 영광군,203122,"폭염주의보 발효중입니다. 논,밭 등 야외 활동을 자제하여 주시고, 마을회관이나 무더위 쉼터 등 안전한 곳에서 휴식을 취하시기 바랍니다",cbs,영광군,,,"[('쉼터 안전한 곳에서', 0.6315)]"
2023/08/09 11:15:21,193,전라남도 영광군,201916,"태풍 북상 중▲금일 밤부터 강한 바람과 호우 예상▲배수로 점검 등 사전대비 철저▲비닐하우스, 간판 등 위험시설물 고정ㆍ결박▲위험지역 방문 자제 바랍니다",cbs,영광군,,,"[('태풍 북상', 0.6764)]"
