create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/08/08 10:41:37,86,경상북도 영덕군,201691,"8.7(월)~ 태풍 간접 영향으로 인해 물놀이객 안전사고 인명피해 우려, 낚시·야영·방문객 등 안전에 주의 바랍니다.(054-502-2348)",cbs,영덕군청,월,,"[('영향으로 인해 물놀이객', 0.6392)]"
2023/07/13 18:00:57,86,경상북도 영덕군,197115,"7.14(금)~16(일) 연안사고 주의보 발령. 해안가 너울 파도로 인명피해 우려, 물놀이·낚시활동 등 안전에 주의 바랍니다.(054-502-2348)",cbs,영덕군청,금,,"[('인명피해 우려 물놀이', 0.696)]"
2023/05/04 17:30:05,86,경상북도 영덕군,194840,"5.4.(금)~5.8.(월)연안사고 주의보 발령.해안가 너울 파도로 인명 피해 우려,낚시·야영·방문객등 안전에 주의 바랍니다.(054-502-2348)",cbs,영덕군청,금,,"[('인명 피해', 0.6196)]"
2023/04/28 18:01:00,86,경상북도 영덕군,194737,"4.29(토)~30(일)연안사고 주의보 발령. 해안가 너울 파도로 인명 피해 우려, 낚시,야영,방문객등 안전에 주의 바랍니다.(054-502-2348)",cbs,영덕군청,토,,"[('안전에 주의', 0.6935)]"
2023/04/20 17:33:54,86,경상북도 영덕군,194556,"4.21(금)~4.23(일)연안사고 주의보 발령. 해안가 너울 파도 인명 피해 우려, 낚시·야영·방문객등 안전에 주의바랍니다.(054-502-2348)",cbs,영덕군청,금,,"[('인명 피해 우려 낚시', 0.6949)]"
2023/04/18 14:16:53,86,경상북도 영덕군,194510,"4.18.(화)~4.19.(수)연안사고주의보 발령. 해안가 너울 파도로 인명피해 우려,낚시·야영·방문객등 안전에 주의바랍니다.(054-502-2348)",cbs,영덕군청,화,,"[('파도로 인명피해 우려 낚시', 0.633)]"
2023/04/11 11:11:31,86,경상북도 영덕군,194337,"관내 건조주의보, 강풍경보. 산림부근 금연, 화기 소지 및 취사 금지, 폐기물 소각 금지. 가연성 물질 취급주의 등 화재 방지에 각별히 주의 바랍니다.",cbs,영덕군청,,,"[('소각 금지 가연성 물질', 0.6521)]"
2023/04/11 10:46:39,86,경상북도 영덕군,194334,"관내 건조주의보, 강풍경보. 산림부근 금연, 화기 소지 및 취사 금지, 폐기물 소각 금지. 가연성 물질 취급주의등 화재 방지에 각별히 주의 바랍니다.",cbs,영덕군청,,,"[('강풍경보 산림부근 금연 화기', 0.637)]"
2023/04/10 18:18:08,86,경상북도 영덕군,194294,"4.11.(화)~4.12.(수)연안사고 주의보 발령. 해안가 파도로 인명 피해 우려,낚시·야영·방문객등 안전에 주의바랍니다.(054-502-2348)",cbs,영덕군청,화,,"[('안전에 주의바랍니다', 0.6438)]"
2023/04/04 18:22:50,86,경상북도 영덕군,194159,"4.5(수)~4.8(토) 연안사고 주의보 발령. 해안가 너울파도로 인명피해 우려, 낚시·야영·방문객 등 안전에 주의 바랍니다(054-502-2348)",cbs,영덕군청,수,,"[('안전에 주의', 0.5989)]"
2023/04/03 16:16:48,86,경상북도 영덕군,194102,오늘 15:16분경 영덕군 창수면 인천리 산148 인근 산불 발생. 입산을 자제하고 인근 주민과 등산객은 안전사고 발생에 주의하시기 바랍니다.,cbs,영덕군청,,,"[('안전사고 발생에 주의하시기', 0.6047)]"
2023/03/23 11:48:03,86,경상북도 영덕군,193760,"3.23.(목)~3.25.(토)연안사고 주의보 발령. 해안가 파도로 인명 피해 우려, 낚시·야영·방문객등 안전에 주의바랍니다.(054-502-2348)",cbs,영덕군청,목,,"[('파도로 인명 피해 우려', 0.6668)]"
