create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/01/23 20:03:47,133,부산광역시 영도구,191488,"내일 새벽부터 강추위가 예상되오니 수도계량기 동파방지, 온열기화재예방, 미끄럼 사고 주의 등 안전에 유의하시기 바랍니다.",cbs,영도구청,,,"[('새벽부터 강추위가 예상되오니', 0.6665)]"
2022/09/18 16:43:54,133,부산광역시 영도구,173466,"태풍 난마돌 북상으로 호우와 강풍이 예상되니 해안가 주차 차량 이동 및 통행금지, 시설물 고정 등 철저한 대비를 당부드립니다.",cbs,영도구청,,,"[('태풍 난마돌 북상으로 호우와', 0.693)]"
2022/09/06 14:02:17,133,부산광역시 영도구,171799,태풍 힌남로 피해로 인해 정비기간 중 절영해안산책로 전구간 출입이 통제 됨을 알려드립니다.,cbs,영도구청,,,"[('전구간 출입이', 0.6186)]"
2022/09/06 08:15:01,133,부산광역시 영도구,171670,"9. 6.(화) 8시부터 영도구 마을버스(1번, 2번, 5번, 7번) 정상 운행함을 알려드립니다.",cbs,영도구청,화,,"[('영도구 마을버스 1번 2번', 0.5306)]"
2022/09/06 05:56:01,133,부산광역시 영도구,171572,"태풍으로 인해 9.6.(화) 마을버스(1번,2번,5번,7번)의 운행이 잠정중단되었습니다. 운행개시 여부는 기상상황에 따라 즉시 안내하겠습니다.",cbs,영도구청,화,,"[('1번 2번 5번', 0.6222)]"
2022/09/05 13:30:48,133,부산광역시 영도구,171128,"태풍 북상으로 많은 비와 강풍 예상됨, 해안가 등 침수 위험 지역의 주차 차량은 9.5.(월) 17:00까지 안전한 곳으로 이동조치 하시기 바랍니다.",cbs,영도구청,월,,"[('북상으로 많은 비와 강풍', 0.6184)]"
2022/09/05 11:06:55,133,부산광역시 영도구,171079,태풍 힌남노 북상으로 인한 쓰레기 배출자 및 수거원 안전을 위해 오늘(9월5일) 쓰레기 수거를 중단하오니 태풍이 지난 후 배출해 주시기 바랍니다.,cbs,영도구청,9월5일,,"[('태풍 힌남노', 0.6497)]"
2022/09/04 13:14:51,133,부산광역시 영도구,170836,"9.5~6 태풍 힌남노 북상으로 많은 비와 강풍이 예상되므로 해안가통행 자제, 지붕·간판결박, 유리창고정 등 피해가 최소화 될수 있도록 주의바랍니다.",cbs,영도구청,,,"[('예상되므로 해안가통행 자제 지붕', 0.6554)]"
2022/01/16 07:35:50,133,부산광역시 영도구,138380,"오늘 5시30분경 봉래동4가 266-2, 봉래산 초입(호국관음사 인근)에서 산불 발생. 화재 진압중 051-419-4222",cbs,영도구청,호국관음사 인근,,"[('인근 에서 산불 발생', 0.4596)]"
2022/01/03 10:31:35,133,부산광역시 영도구,136703,일상회복지원금 지급 안내 ▲신청기간: 22.1.3.~2.11. ▲대상: 21.11.30.기준 영도구민 ▲관할 동사무소 신청 ☎419-6323,cbs,영도구청,,,"[('동사무소 신청', 0.5759)]"
2021/12/05 14:03:15,133,부산광역시 영도구,132333,"12.5.(일)0시기준 확진자 36명 발생. 최근 어린이·학생 감염 증가, 야외활동·이동을 최소화하고 마스크착용 등 개인방역수칙을 철저히 준수바랍니다.",cbs,영도구청,일,,"[('이동을 최소화하고 마스크착용 개인방역수칙을', 0.4688)]"
2021/09/03 17:31:16,133,부산광역시 영도구,120834,코로나 상생 국민지원금은 9.6(월)부터 온라인신청 가능합니다. ▷https://blog.naver.com/yeongdonews/222493476100,cbs,영도구청,월,,"[('naver com yeongdonews', 0.3023)]"
2021/08/25 19:09:41,133,부산광역시 영도구,119494,오늘 18:50부로 영도구 산사태 주의보발령. 산림에 인접한 주민과 방문객은 산에서 안전한 곳으로 대피바랍니다.,cbs,영도구청,,,"[('산에서 안전한', 0.5452)]"
2021/08/25 18:36:41,133,부산광역시 영도구,119487,금일 오후6시30분부로 GS25 영도한진점에서 청학119 안전센터 앞 도로통제 해제함을 알려드립니다.,cbs,영도구청,,,"[('청학119 안전센터 도로통제 해제함을', 0.5242)]"
2021/08/25 18:11:41,133,부산광역시 영도구,119478,현재 GS25 영도한진점에서 청학 119 안전센터 앞 도로 침수로 교통통제 중이오니 통행차량은 즉시 우회 하여 주시기 바랍니다.,cbs,영도구청,,,"[('영도한진점에서 청학', 0.4864)]"
2021/08/06 10:20:04,133,부산광역시 영도구,116144,7.29(목)~8.5(목) 대진탕 여탕(영도구 영봉길 75)이용자는 인근 보건소에서 검사받으시길 바랍니다.(소독완료),cbs,영도구청,목,,"[('보건소에서 검사받으시길', 0.5167)]"
2021/07/19 17:59:48,133,부산광역시 영도구,113448,53~54세(67~68년생) 7.19(월) 20시부터온라인(ncvr.kdca.go.kr)백신예약(콜센터평일 09~18시운영 051-419-6251~9),cbs,영도구청,67~68년생,54세,"[('54세 67 68년생', 0.5393)]"
2021/07/14 17:45:27,133,부산광역시 영도구,112624,55~59세 코로나19예방접종 7.14.(수)20시부터 사전예약①온라인 ncvr.kdca.go.kr ②콜센터 1339 ③영도구051-419-6251~9,cbs,영도구청,수,59세,"[('사전예약①온라인 ncvr kdca', 0.5078)]"
2021/05/24 13:57:35,133,부산광역시 영도구,106707,"(1)온라인 ncvr.kdca.go.kr(본인/대리 가능) (2)콜센터(본인) 419-6256∼8, (3)동주민센터(전화,방문)",cbs,영도구청,1,,"[('콜센터 본인', 0.3985)]"
2021/05/24 13:54:32,133,부산광역시 영도구,106706,60세~74세(47년~61년생) 6/3(목)까지 코로나19 백신 사전예약바랍니다.,cbs,영도구청,47년~61년생,60세,"[('백신 사전예약바랍니다', 0.452)]"
2021/04/30 18:12:39,133,부산광역시 영도구,103779,"내일 새벽(5월1일) 부산지역 강풍 예비특보 발효. 어선 결박 및 강풍 취약시설 점검, 낙하피해 주의, 야외활동 자제 등 안전 관리에 유의바랍니다.",cbs,영도구청,5월1일,,"[('결박 강풍 취약시설', 0.6943)]"
