create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/11/10 14:33:06,242,충청북도 영동군,206652,"11월10일 11시00분 한파주의보가 발표되었습니다. 각 가정에서는 난방유지, 계량기 동파에 유의하시고 도로 결빙이 예상되니 대중교통을 이용해주세요.",cbs,영동군,,,"[('한파주의보가 발표되었습니다 가정에서는', 0.5238)]"
2023/09/20 22:02:24,242,충청북도 영동군,205565,산사태주의보 발령. 산림주변 위험지 접근 자제 및 유사시 마을회관 등 안전한 곳으로 대피해주시기 바랍니다.,cbs,영동군,,,"[('대피해주시기 바랍니다', 0.6827)]"
2023/08/24 09:24:35,242,충청북도 영동군,204339,"국도4호선 양방향 통제중이던 주곡교차로, 가리교차로 현재 통행이 가능하오니 참고하시기 바랍니다.",cbs,영동군,,,"[('국도4호선 양방향 통제중이던 주곡교차로', 0.6699)]"
2023/08/23 11:57:01,242,충청북도 영동군,204164,"오늘 14시부터 20분간 민방위훈련 실시, 차량 이동 통제 구간은 군청-현대아파트사거리-회동교 회전교차로입니다. 협조바랍니다.",cbs,영동군,,,"[('실시 차량 이동', 0.6091)]"
2023/08/23 10:31:09,242,충청북도 영동군,204114,영동읍 가리 4번국도 낙석에 따라 부용리 남성대 교차로부터 가리 교차로까지 양방향 교통통제 중입니다. 군도24호선 우회도로를 이용해주세요.,cbs,영동군,,,"[('남성대 교차로부터 가리', 0.7134)]"
2023/08/23 09:10:30,242,충청북도 영동군,204080,"영동읍 가리 4번 국도 낙석 발생에 따라 김천방향 주곡교차로부터 교통 통제 중입니다. 교통정보를 미리 확인하시고, 우회도로를 이용해주세요.",cbs,영동군,,,"[('주곡교차로부터 교통', 0.6816)]"
2023/08/10 16:59:38,242,충청북도 영동군,202953,오늘 영동군 지역 많은 비로 산사태 경보 발령. 산림 주변 위험지역 통행 금지 및 대피장소(마을회관 등)로 반드시 대피 바랍니다.,cbs,영동군,마을회관 등,,"[('금지 대피장소 마을회관', 0.6001)]"
2023/08/10 12:31:30,242,충청북도 영동군,202751,"많은 비가 예보되어 있습니다. 침수 및 산사태 위험지역에서는 기상 및 주변 상황을 수시로 확인하시고, 위험 징후가 보이면 즉시 대피하세요.",cbs,영동군,,,"[('침수 산사태 위험지역에서는 기상', 0.7753)]"
2023/08/10 12:05:37,242,충청북도 영동군,202729,"12시부로 황간면 소계삼거리 ~ 매곡면 내장교삼거리 국지도 49호선 양방향 교통통제 중입니다. 교통정보를 미리 확인하시고, 우회도로를 이용해주세요.",cbs,영동군,,,"[('양방향 교통통제 중입니다', 0.7225)]"
2023/08/10 07:54:16,242,충청북도 영동군,202417,"오늘 영동군에 태풍 북상으로 인한, 많은 비바람으로 산사태 주의보 발령. 산림 주변위험지역 접근금지 및 가까운 대피장소(마을회관 등)로 대피 바랍니다.",cbs,영동군,마을회관 등,,"[('비바람으로 산사태', 0.61)]"
2023/07/21 19:54:02,242,충청북도 영동군,199205,대만발송 유해물질로 의심되는 해외 우편물을 수령하였을 경우 개봉하지 말고 즉시 112 또는 119로 신고하여 주시기 바랍니다.,cbs,영동군,,,"[('신고하여 주시기', 0.6475)]"
2023/06/20 17:32:36,242,충청북도 영동군,195741,"치매노인 발생, 박상준(73세,남) 영동읍 배회 추정. 키 173 보통체격 검정색 상하의 운동복. 지팡이 이용. 영동경찰서 043-740-5329",cbs,영동군,"73세,남",73세,"[('영동읍 배회 추정', 0.7294)]"
