create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/09/16 14:21:39,194,전라남도 영암군,205206,"호우주의보 발효 중, 위험지역(하천변 산책로, 급경사지, 산사태 위험지역 등) 접근 금지 및 위험 징후 발견 시 즉시 대피 바랍니다.",cbs,영암군,"하천변 산책로, 급경사지, 산사태 위험지역 등",,"[('산책로 급경사지 산사태', 0.7365)]"
2023/09/16 10:55:48,194,전라남도 영암군,205162,"금일 12:00 호우주의보 발효. 위험지역(하천변 산책로, 급경사지, 산사태 위험지역 등) 접근 금지 및 위험 징후 발견 시 즉시 대피 바랍니다.",cbs,영암군,"하천변 산책로, 급경사지, 산사태 위험지역 등",,"[('발견 즉시', 0.6213)]"
2023/09/07 09:47:19,194,전라남도 영암군,204951,"폭염주의보 발효 중, 논밭 및 공사장 등 야외활동 자제, 충분한 수분 섭취, 무더위 쉼터 이용 등 건강관리에 각별히 유의하시기 바랍니다.",cbs,영암군,,,"[('자제 충분한 수분', 0.6899)]"
2023/09/06 14:13:29,194,전라남도 영암군,204941,"폭염주의보 발효 중, 논밭 및 공사장 등 야외활동 자제, 충분한 수분 섭취, 무더위 쉼터 이용 등 건강관리에 각별히 유의하시기 바랍니다.",cbs,영암군,,,"[('자제 충분한 수분', 0.6899)]"
2023/09/06 09:30:41,194,전라남도 영암군,204927,"폭염주의보 발효 중, 논밭 및 공사장 등 야외활동 자제, 충분한 수분 섭취, 무더위 쉼터 이용 등 건강관리에 각별히 유의하시기 바랍니다.",cbs,영암군,,,"[('자제 충분한 수분', 0.6899)]"
2023/09/05 13:13:55,194,전라남도 영암군,204903,"폭염주의보 발효 중, 논밭 및 공사장 등 야외활동 자제, 충분한 수분 섭취, 무더위 쉼터 이용 등 건강관리에 각별히 유의하시기 바랍니다.",cbs,영암군,,,"[('자제 충분한 수분', 0.6899)]"
2023/09/04 13:00:08,194,전라남도 영암군,204869,"폭염주의보 발효 중, 논밭 및 공사장 등 야외활동 자제, 충분한 수분 섭취, 무더위 쉼터 이용 등 건강관리에 각별히 유의하시기 바랍니다.",cbs,영암군,,,"[('자제 충분한 수분', 0.6899)]"
2023/09/04 10:11:02,194,전라남도 영암군,204861,"10:00 폭염주의보 발효. 논밭 및 공사장 등 야외활동 자제, 충분한 수분 섭취, 무더위 쉼터 이용 등 건강관리에 각별히 유의하시기 바랍니다.",cbs,영암군,,,"[('발효 논밭 공사장 야외활동', 0.6828)]"
2023/09/01 14:41:30,194,전라남도 영암군,204774,"폭염주의보 발효 중, 논밭 공사장 등 야외활동 자제, 충분한 수분 섭취, 무더위 쉼터 이용 등 건강관리에 각별히 유의하시기 바랍니다.",cbs,영암군,,,"[('자제 충분한 수분', 0.6828)]"
2023/09/01 10:03:27,194,전라남도 영암군,204764,"10:00 폭염주의보 발효. 논밭 및 공사장 등 야외활동 자제, 충분한 수분 섭취, 무더위 쉼터 이용 등 건강관리에 각별히 유의하시기 바랍니다.",cbs,영암군,,,"[('발효 논밭 공사장 야외활동', 0.6828)]"
2023/08/30 11:16:24,194,전라남도 영암군,204647,나주호 방류 계획 알림(2023년. 08. 31. 11:00~09. 02. 24:00) 하천 수위 상승으로 피해가 우려되니 하천변 통행을 자제바랍니다.,cbs,영암군,2023년. 08. 31. 11:00~09. 02. 24:00,,"[('상승으로 피해가', 0.6642)]"
2023/08/30 10:17:37,194,전라남도 영암군,204637,"호우주의보 발효 중. 위험지역(산사태, 급경사지, 하천변 산책로 등) 접근금지, 위험 징후 발견 시 즉시 안전한 곳으로 대피하시기 바랍니다.",cbs,영암군,"산사태, 급경사지, 하천변 산책로 등",,"[('접근금지 위험 징후 발견', 0.708)]"
