create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/11/16 17:39:57,10,강원특별자치도 영월군,206746,"오늘 밤까지 비가 계속해서 내리는 지역이 있으며, 비가 그친 후 도로결빙이 우려되오니 차량 감속 운행 및 미끄럼 사고에 주의바랍니다.",cbs,영월군,,,"[('차량 감속 운행', 0.6311)]"
2023/08/31 08:02:58,10,강원특별자치도 영월군,204712,오늘 07:06경 영월읍 팔괴리 1280 농공3단지 공장에서 화재 발생. 이 지역을 우회하여 주시고 인근 주민은 안전사고 발생에 유의 바랍니다.,cbs,영월군,,,"[('화재 발생 지역을', 0.6185)]"
2023/08/10 15:48:13,10,강원특별자치도 영월군,202915,"금일 영월군 상동읍 지역에 많은 비로 산사태 발생이 우려되오니, 산림주변 야외활동 자제, 산에 있을 경우 산림 밖으로 신속히 대피하여 주시기 바랍니다.",cbs,영월군,,,"[('산에 있을 경우 산림', 0.7293)]"
2023/08/10 09:31:36,10,강원특별자치도 영월군,202530,"금일 태풍의 직접영향권으로 간판, 비닐하우스, 축사 등 시설물 사전점검, 외출 자제 및 야영과 산간 계곡 출입을 금지하여 주시기 바랍니다.",cbs,영월군,,,"[('산간 계곡 출입을', 0.6896)]"
2023/08/09 09:31:50,10,강원특별자치도 영월군,201850,"태풍 북상으로 강한 바람과 호우가 예상 됩니다. 간판,비닐하우스,축사 등 시설물 사전점검, 외출 및 산간계곡의 출입과 야영을 자제하여 주시기 바랍니다.",cbs,영월군,,,"[('축사 시설물 사전점검', 0.7001)]"
2023/07/15 07:17:57,10,강원특별자치도 영월군,197735,"오늘 영월군 많은 비로 산사태 발생이 우려되오니, 산림인근 주택 거주민은 위험징후 즉시 신속하게 안전한 마을회관 등으로 대피하여주시기 바랍니다.",cbs,영월군,,,"[('발생이 우려되오니 산림인근 주택', 0.6326)]"
2023/07/14 22:01:46,10,강원특별자치도 영월군,197606,"오늘 영월군(상동읍, 무릉도원면, 북면) 많은 비로 산사태 발생 우려되오니, 산림 주변 야외활동 자제, 산에 있을 경우 산림 밖으로 신속히 대피바랍니다",cbs,영월군,"상동읍, 무릉도원면, 북면",,"[('비로 산사태 발생 우려되오니', 0.5935)]"
2023/07/09 15:19:24,10,강원특별자치도 영월군,196687,"오늘 15시 영월지역 호우주의보 발효. 하천, 계곡, 산사태 우려지역 등 위험지역에 대해서는 접근을 금지하고, 빗길 안전에 주의하시기 바랍니다.",cbs,영월군,,,"[('대해서는 접근을 금지하고', 0.6514)]"
2023/06/29 21:39:41,10,강원특별자치도 영월군,196188,"금일 많은 양의 비로 인해 산사태 발생이 우려되므로, 산사태 피해우려지역 등 산림인근 주민은 유사시 안전한 곳으로 신속히 대피하여주시기 바랍니다.",cbs,영월군,,,"[('신속히 대피하여주시기', 0.7643)]"
2020/08/15 13:55:16,10,강원도 영월군,44700,"오늘 14:00 영월군 산사태 주의보 발령. 산사태취약지역 주민, 방문객 등 위험지역에 계신 분들은 유사 시 안전한 곳으로 대피 바랍니다.",cbs,영월군,,,"[('계신 분들은 유사 안전한', 0.5998)]"
