create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/07/19 10:09:07,88,경상북도 영주시,198975,"농어촌공사 5개 저수지(풍기 삼가, 부석, 단산, 순흥, 장수 성곡) 방류 시작, 저수지 하류 지역에서는 하천변 출입 금지 등 안전에 유의 바랍니다.",cbs,영주시청,"풍기 삼가, 부석, 단산, 순흥, 장수 성곡",,"[('5개 저수지 풍기', 0.7033)]"
2023/07/17 11:14:29,88,경상북도 영주시,198394,"집중호우로 기차 선로가 유실되어 경북선(7일), 영동선 및 충북선(2개월), 중앙선(일시중단) 열차 운행이 잠정 중단되었음을 알려드립니다.",cbs,영주시청,7일,,"[('집중호우로 기차 선로가 유실되어', 0.6671)]"
2023/07/16 17:13:23,88,경상북도 영주시,198283,"내일 새벽 또다시 많은 비가 예상됩니다. 산비탈, 축대 등 붕괴 우려시에는 신속하게 경로당(마을회관), 친척집 등 안전한 곳으로 대피바랍니다.",cbs,영주시청,마을회관,,"[('내일 새벽 또다시', 0.6862)]"
2023/07/15 02:26:59,88,경상북도 영주시,197643,오늘 02:20 서천 영주시(월호교) 지점 홍수주의보 발령. 이지역 주변에 거주하시는 주민들은 하천 범람으로 인한 피해 없도록 주의하시기 바랍니다.,cbs,영주시청,월호교,,"[('주민들은 하천 범람으로', 0.6504)]"
2023/07/15 00:48:44,88,경상북도 영주시,197628,"밤사이 시간 당 30mm이상의 강한 비가 예상되오니, 급경사지, 저지대 침수지역, 하천변 등 위험지역 주민들은 안전에 유의하시기 바랍니다.",cbs,영주시청,,,"[('침수지역 하천변 위험지역 주민들은', 0.5578)]"
2023/07/14 18:08:03,88,경상북도 영주시,197525,"밤사이 많은 비가 예상됩니다. 현재 하천 수위가 많이 상승하여 침수 피해가 우려되니, 외출자제, 하천변 등 위험지역 접근 금지, 안전에 유의바랍니다.",cbs,영주시청,,,"[('외출자제 하천변 위험지역', 0.7227)]"
2023/07/14 07:54:46,88,경상북도 영주시,197303,"영주시(순흥, 단산, 부석) 산사태 주의보 발령. 산림 및 급경사지 등 위험지역 주변 접근 금지. 주민, 방문객은 유사시 안전한 곳으로 대피바랍니다.",cbs,영주시청,"순흥, 단산, 부석",,"[('접근 금지 주민 방문객은', 0.7335)]"
2023/07/14 05:53:43,88,경상북도 영주시,197255,"지속된 비로 인해 하천 수위가 많이 상승하고 있습니다. 하천 둔치에 주차한 차량은 즉시 이동 주차 해주시고, 하천 주변 접근을 삼가주시기 바랍니다.",cbs,영주시청,,,"[('하천 주변 접근을', 0.78)]"
2023/07/04 22:14:12,88,경상북도 영주시,196495,"우리 지역에 내일(7.5.) 새벽까지 많게는 시간당 30~50mm강한 비가 올 것으로 예상됩니다. 산사태, 침수 등 호우 피해에 주의하시기 바랍니다.",cbs,영주시청,7.5.,,"[('우리 지역에 내일', 0.4378)]"
2023/07/04 21:37:02,88,경상북도 영주시,196486,"오늘 21시 30분 우리시 호우주의보 발효. 밤사이 많은 비가 예상되니 하천, 경사지, 저지대 등 취약지역 주변 주민들은 안전에 유의하시기 바랍니다.",cbs,영주시청,,,"[('발효 밤사이 많은 비가', 0.6393)]"
2023/06/30 08:39:25,88,경상북도 영주시,196222,"금일 강우로 인해 영동선(영주~동해 구간) 열차의 운행이 일시 중단되었으니, 해당 노선을 이용하려는 시민들께서는 다른 교통수단을 이용하시기 바랍니다.",cbs,영주시청,영주~동해 구간,,"[('다른 교통수단을 이용하시기', 0.7377)]"
2023/06/30 00:29:28,88,경상북도 영주시,196203,"오늘 00:10 서천 영주시(월호교교)지점 홍수주의보 발령. 방송 등을 통해 홍수상황을 확인하시고, 하천변 이용을 자제하시기 바랍니다.",cbs,영주시청,월호교교,,"[('홍수상황을 확인하시고 하천변 이용을', 0.5613)]"
2023/06/29 23:15:57,88,경상북도 영주시,196194,"영주세무서 오거리 양방향 및 원당로 인근도로 전면 차량 통제 중, 교통정보 확인 및 우회 바랍니다.",cbs,영주시청,,,"[('통제 교통정보 확인 우회', 0.6134)]"
2023/06/29 23:05:18,88,경상북도 영주시,196193,"영주시 호우경보 발효. 축대,옹벽 붕괴 및 침수가 예상되는 지역은 접근 금지하시고 하천 저지대 침수 피해에 대비하여 사전대피등 안전에 유의바랍니다.",cbs,영주시청,,,"[('옹벽 붕괴 침수가', 0.7327)]"
2022/09/06 10:15:02,88,경상북도 영주시,171762,태풍으로 인해 영주시 일부지역 정전피해 발생/한국전력공사 매뉴얼에 따라 우선순위대로 복구할 예정이오니 시민들께서는 양해하여주시기 바랍니다.,cbs,영주시청,,,"[('인해 영주시', 0.6626)]"
2022/09/06 06:28:40,88,경상북도 영주시,171591,"태풍 '힌남노' 영향으로 오늘 강풍 피해 예상/외출자제 및 기상정보 수시 확인/강풍, 산사태 대비 피해 최소화/대피장소 확인 및 안전수칙 준수바람",cbs,영주시청,,,"[('확인 강풍 산사태', 0.6245)]"
2022/09/05 16:07:05,88,경상북도 영주시,171204,"태풍영향으로 오늘 밤~내일오전 강풍,호우예상/외출자제 및 기상정보 수시확인/강변둔치 또는 저지대 주차차량 이동조치/대피장소 확인 및 안전수칙 준수바람",cbs,영주시청,,,"[('강풍 호우예상 외출자제 기상정보', 0.752)]"
2022/07/23 19:53:41,88,경상북도 영주시,164733,영주시 일부 지역 단전 문제가 조치 완료되었습니다.,cbs,영주시청,,,"[('조치 완료되었습니다', 0.6006)]"
2022/07/23 19:13:24,88,경상북도 영주시,164732,현재 영주시 일부지역 단전으로 인해 한국전력 영주지사에서 조치중임을 알려드립니다.,cbs,영주시청,,,"[('인해 한국전력', 0.6967)]"
2022/04/22 13:40:21,88,경상북도 영주시,153117,오늘 13시26분경 봉화군 봉화읍 적덕리 산121-5번지(이산면 신암리 경계)에 산불발생. 주민들은 안전에 유의하시기 바랍니다.,cbs,영주시청,이산면 신암리 경계,,"[('13시26분경 봉화군', 0.5707)]"
