create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/11/15 07:39:57,89,경상북도 영천시,206722,11월14일14:47경 발생한 대창면 사리리 공장화재가 아직 진화되지 않아 많은 연기가 확산중이니 인근주민은 창문을 닫는 등 안전에 유의하기 바랍니다.,cbs,영천시청,,,"[('11월14일14 47경 발생한', 0.6464)]"
2023/11/14 17:34:20,89,경상북도 영천시,206721,금일 14:47경 대창면 사리리 공장 화재 발생. 검은 연기가 다량 발생하여 확산 중이니 인근 주민은 창문을 닫는 등 안전에 유의하시기 바랍니다.,cbs,영천시청,,,"[('닫는 안전에 유의하시기', 0.6555)]"
2023/09/20 19:51:34,89,경상북도 영천시,205516,"오늘 19시10분 호우주의보 발효, 저지대ㆍ산사태위험ㆍ상습침수 등 위험지역 접근을 삼가주시고 외출 자제 및 안전에 주의 바랍니다.",cbs,영천시청,,,"[('삼가주시고 외출 자제', 0.7112)]"
2023/08/30 15:36:55,89,경상북도 영천시,204677,"현재 호우주의보가 발효중이오니 야외활동 및 외출자제, 하천저지대·산사태 우려지역 등 위험지역 접근을 금지하시고 안전에 유의하시기 바랍니다.",cbs,영천시청,,,"[('야외활동 외출자제 하천저지대', 0.6529)]"
2023/08/22 13:31:43,89,경상북도 영천시,203957,"폭염경보 발효중. 논·밭 영농작업 및 야외활동 자제, 실외작업장 폭염 안전수칙(물, 그늘, 휴식)지키기 등 건강에 유의하시기 바랍니다.",cbs,영천시청,"물, 그늘, 휴식",,"[('발효중 영농작업 야외활동', 0.7011)]"
2023/08/20 13:30:25,89,경상북도 영천시,203787,"폭염경보 발효 중. 야외활동(논, 밭, 공사장 등)을 자제하여 주시고, 무더위쉼터 이용과 충분한 수분 섭취 및 휴식으로 건강에 유의 바랍니다.",cbs,영천시청,"논, 밭, 공사장 등",,"[('자제하여 주시고 무더위쉼터 이용과', 0.7323)]"
2023/08/10 11:03:03,89,경상북도 영천시,202652,현재 태풍 카눈으로 인하여 하천 범람하는 곳이 속출하고 있으니 하천 인근 저지대 주민은 지대가 높은 곳 등 안전한 곳으로 즉시 대피하시기 바랍니다.,cbs,영천시청,,,"[('인하여 하천', 0.7214)]"
2023/08/10 09:05:17,89,경상북도 영천시,202499,"현재 태풍 경보 발효 중. 많은 비가 내리고있으니 하천변, 산간계곡, 저지대 등 위험지역 출입금지 및 외출자제 등 안전에 각별히 유의하시기 바랍니다.",cbs,영천시청,,,"[('출입금지 외출자제 안전에', 0.697)]"
2023/08/09 15:15:53,89,경상북도 영천시,202025,"제6호 태풍 카눈 북상에 따라 금일 밤부터 많은 비바람이 예상되오니 간판, 창문 등은 미리 고정하여 주시고 위험지역 접근을 자제하여 주시기 바랍니다.",cbs,영천시청,,,"[('제6호 태풍 카눈 북상에', 0.6562)]"
2023/08/06 13:28:05,89,경상북도 영천시,201433,"폭염경보 발효중. 무더위시간대(14~17시) 야외활동(논밭, 옥외공사장 등) 자제. 폭염안전수칙(물, 그늘, 휴식) 지키기 등 건강에 유의 바랍니다.",cbs,영천시청,14~17시,,"[('발효중 무더위시간대 14 17시', 0.561)]"
