create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/11/16 17:41:01,90,경상북도 예천군,206747,"금일 내린 비로 도로 결빙이 우려됩니다. 가급적 대중교통을 이용하시고, 운전 시 거리 유지 및 감속 운행하여 미끄럼 사고에 유의 바랍니다.",cbs,예천군,,,"[('감속 운행하여', 0.7646)]"
2023/11/10 16:15:17,90,경상북도 예천군,206658,"오늘 21시부로 예천지역 한파주의보 발효, 야외활동을 자제하시고, 가정 내 보온 유지와 계량기 동파방지, 보행 시 미끄럼 사고에 유의바랍니다.",cbs,예천군,,,"[('야외활동을 자제하시고 가정 보온', 0.6253)]"
2023/09/21 15:23:22,90,경상북도 예천군,205622,금일 23시부터 댐 수위 조절을 위한 영주댐 방류로 인해 하천 수위 상승이 예상됨에 따라 하천변 출입을 금지하여 주시기 바랍니다.,cbs,예천군,,,"[('하천 수위 상승이', 0.7079)]"
2023/09/21 09:41:26,90,경상북도 예천군,205611,"임하댐,영주댐 등 강우로 인한 수위 상승으로, 댐 수위 조절을 위한 방류를 계속하고 있으니 하천변 출입을 금지하여 주시기 바랍니다.",cbs,예천군,,,"[('금지하여 주시기 바랍니다', 0.7229)]"
2023/09/20 20:47:12,90,경상북도 예천군,205546,"산림주변 접근금지, 산림 인근 주민들은 대피장소(마을회관,학교 등)나 안전지대로 반드시 대피 바랍니다.",cbs,예천군,"마을회관,학교 등",,"[('접근금지 산림 인근 주민들은', 0.7581)]"
2023/09/20 16:38:48,90,경상북도 예천군,205429,"예천지역 호우예비특보 발령. 밤사이 많은 비가 예상되오니 저지대, 상습침수지역 등 주민께서는 대피 장소를 미리 파악하는 등 호우에 대비하시기 바랍니다.",cbs,예천군,,,"[('장소를 미리', 0.6858)]"
2023/08/30 11:41:02,90,경상북도 예천군,204649,"예천지역 호우주의보 발효 중. 저지대, 침수 우려지역 등 피해에 유의하시고 한천 둔치주차장 주차 차량은 침수 우려가 있으니 즉시 이동주차 바랍니다.",cbs,예천군,,,"[('우려지역 피해에 유의하시고 한천', 0.7492)]"
2023/08/30 09:14:59,90,경상북도 예천군,204623,"예천 양수발전소,임하댐,영주댐 등 강우로 인한 수위 상승으로, 수위조절을 위한 방류하고 있으니,하천변 출입금지 및 둔치주차장 주차차량은 이동주차바랍니다.",cbs,예천군,,,"[('출입금지 둔치주차장', 0.7276)]"
2023/08/30 05:59:29,90,경상북도 예천군,204588,"금일06:00 산사태 주의보 발령. 산림주변, 등산로 등 출입금지, 산림 인근 주민들은 신속히 대피장소(마을회관 등)나 안전지대로 반드시 대피바랍니다.",cbs,예천군,마을회관 등,,"[('신속히 대피장소 마을회관 안전지대로', 0.6584)]"
2023/08/29 19:58:17,90,경상북도 예천군,204580,"금일19:40 호우주의보 발효중 사면붕괴, 산사태, 낙석, 저지대침수 등 위험지역에 접근을 자제하고 기상상황을 예의주시, 안전에 유의바랍니다.",cbs,예천군,,,"[('자제하고 기상상황을 예의주시', 0.6906)]"
2023/08/24 17:10:06,90,경상북도 예천군,204384,8월24일17시부터 임하댐 최대초당200톤이내 방류시행으로 하천수위상승이 예상됩니다. 하천 주변에 계신 경우 안전한 곳으로 대피 및 접근금지바랍니다.,cbs,예천군,,,"[('대피 접근금지바랍니다', 0.571)]"
2023/08/24 16:01:52,90,경상북도 예천군,204370,"금일15:40예천군 호우주의보 발효 사면붕괴, 산사태, 낙석,저지대침수 등 위험지역에 접근을 자제하고 기상상황을 예의주시, 안전에 유의 하시기 바랍니다.",cbs,예천군,,,"[('위험지역에 접근을 자제하고 기상상황을', 0.7052)]"
2023/08/24 15:59:02,90,경상북도 예천군,204369,"산사태 주의보 발령. 산림주변, 임도 등산로, 공원 등 출입금지, 산림인근 주민들은 유사시 대피장소(마을회관 등)나 안전지대로 반드시 대피 바랍니다.",cbs,예천군,마을회관 등,,"[('임도 등산로', 0.6727)]"
2023/08/21 14:55:03,90,경상북도 예천군,203916,"폭염경보 발효 중. 낮시간 영농활동을 자제하여 주시고, 실외작업장, 야외활동자 등 폭염 안전수칙(물,그늘,휴식) 지키기 등 안전에 유의 바랍니다.",cbs,예천군,"물,그늘,휴식",,"[('안전에 유의', 0.6495)]"
2023/08/17 14:33:27,90,경상북도 예천군,203534,"폭염주의보 발효 중. 낮시간 영농활동을 자제하여 주시고, 실외작업장, 야외활동자 등 폭염 안전수칙(물,그늘,휴식) 지키기 등 안전에 유의 바랍니다.",cbs,예천군,"물,그늘,휴식",,"[('폭염주의보 발효', 0.6545)]"
2023/08/16 14:15:35,90,경상북도 예천군,203456,"폭염주의보 발효 중. 낮시간 영농활동을 자제하여 주시고, 실외작업장, 야외활동자 등 폭염 안전수칙(물,그늘,휴식) 지키기 등 안전에 유의 바랍니다.",cbs,예천군,"물,그늘,휴식",,"[('폭염주의보 발효', 0.6545)]"
