create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/09/09 17:45:35,43,경기도 오산시,205003,"금일 16:19경 수원메탈 제2공장에서 발생한 사고 관련, 소방서 유해가스 검사결과 안전(0퍼센트)함을 알려드립니다.",cbs,오산시,0퍼센트,,"[('발생한 사고 관련', 0.6117)]"
2023/08/23 13:49:48,43,경기도 오산시,204203,"금일(23일) 14시부터 20분간 민방위 훈련실시, 오산시 차량통제구간] 차량통제는 15분간 실시합니다.",cbs,오산시,23일,,"[('훈련실시 오산시 차량통제구간', 0.6193)]"
2023/08/23 10:08:50,43,경기도 오산시,204107,"08시 호우주의보 발효. 오후부터 많은 비가 예상됩니다. 하천변산책로, 급경사지 등 위험지역 출입을 금지하며 집중호우에 대비 안전에 유의하시기 바랍니다.",cbs,오산시,,,"[('대비 안전에 유의하시기 바랍니다', 0.7176)]"
2023/08/23 10:05:25,43,경기도 오산시,204104,"금일(23일) 14시부터 민방위 훈련 실시, 오산시 차량통제구간안내 ] 차량통제 15분간 실시합니다.",cbs,오산시,23일,,"[('실시 오산시 차량통제구간안내 차량통제', 0.568)]"
2023/08/11 05:49:14,43,경기도 오산시,203028,금일 05:30부터 오산천 세월교(평택시 진위면 야막리 159) 양방향 통행 재개하오니 해당구간 정상통행 가능합니다.,cbs,오산시,평택시 진위면 야막리 159,,"[('세월교 평택시 진위면 야막리', 0.5573)]"
2023/08/10 18:07:08,43,경기도 오산시,202985,"태풍(카눈) 북상 중. 바람에 날아갈 위험이 있는 간판, 현수막, 천막 등을 미리 결박하여 강풍으로 인한 피해를 입지 않게 주의하여 주시기 바랍니다.",cbs,오산시,카눈,,"[('않게 주의하여 주시기 바랍니다', 0.607)]"
2023/08/10 16:40:17,43,경기도 오산시,202936,"태풍(카눈) 북상 중. 아파트, 주택등 창문은 창틀에 단단하게 테이프로 고정하시고 건물의 출입문은 닫아서 파손되지 않게 안전조치 하여주시기 바랍니다.",cbs,오산시,카눈,,"[('창문은 창틀에', 0.6557)]"
2023/08/10 16:39:58,43,경기도 오산시,202935,"태풍(카눈) 북상 중. 바람에 날아갈 위험이 있는 간판, 현수막, 천막 등을 미리 결박하여 강풍으로 인한 피해를 입지 않게 주의하여 주시기 바랍니다.",cbs,오산시,카눈,,"[('않게 주의하여 주시기 바랍니다', 0.607)]"
2023/08/10 13:31:07,43,경기도 오산시,202796,태풍 북상으로 인한 침수우려에 따라 13:30분부터 오산천 세월교(평택시 진위면 야막리 159)를 통제하오니 우회하여 주시기 바랍니다,cbs,오산시,평택시 진위면 야막리 159,,"[('태풍 북상으로 인한', 0.5322)]"
2023/08/10 13:28:17,43,경기도 오산시,202794,"태풍(카눈)북상 중. 오산천 통행 주의, 낙하물 위험조심, 가게 앞 안내간판 즉시 이동조치, 주민은 안전한 곳으로 이동하여 주시기 바랍니다.",cbs,오산시,카눈,,"[('북상 오산천', 0.6298)]"
2023/08/10 12:37:09,43,경기도 오산시,202755,"태풍(카눈) 북상중. 외출을 절대 자제하시고, 저지대나 상습침수지역, 지하공간, 붕괴 우려 있는 건물 등에 있는 주민은 안전한 곳으로 이동바랍니다.",cbs,오산시,카눈,,"[('북상중 외출을 절대', 0.6119)]"
2023/07/28 10:10:08,43,경기도 오산시,200013,"10시 폭염경보 발효. 외출 및 야외 작업을 자제하여 주시고 충분한 휴식, 폭염 안전수칙(물, 그늘, 휴식)준수 등 안전관리에 유의 바랍니다.",cbs,오산시,"물, 그늘, 휴식",,"[('자제하여 주시고 충분한', 0.7023)]"
2023/07/28 09:35:14,43,경기도 오산시,200004,"폭염주의보가 지속되고 있습니다. 물 충분히 마시기, 무더위 쉼터 이용, 실외 작업장 폭염 안전수칙(물, 그늘, 휴식) 지키기 등 안전에 유의바랍니다.",cbs,오산시,"물, 그늘, 휴식",,"[('폭염주의보가 지속되고 있습니다 충분히', 0.711)]"
2023/07/26 19:44:16,43,경기도 오산시,199909,"18시50분 호우주의보 발효. 하천수위상승 및 지반 약화로 하천변 산책로, 급경사지등 위험지역 출입을 금지하며 집중호우에 대비 안전에 유의하시기 바랍니다",cbs,오산시,,,"[('출입을 금지하며 집중호우에', 0.6907)]"
2023/07/23 06:09:00,43,경기도 오산시,199407,"06시 호우주의보 발효. 하천 수위 상승 및 지반 약화로 하천변 산책로, 급경사지 등 위험지역 출입을 금지하며 집중호우에 대비 안전에 유의하시기 바랍니다",cbs,오산시,,,"[('금지하며 집중호우에 대비', 0.7361)]"
2023/07/22 19:33:38,43,경기도 오산시,199381,"금일 저녁부터 내일 오후까지 많은 비가 예상됩니다. 하천변 산책로는 출입을 금지하며 저지대 침수와 하천범람, 급류에 각별히 유의하시기 바랍니다.",cbs,오산시,,,"[('저지대 침수와 하천범람 급류에', 0.6718)]"
2023/07/16 09:25:28,43,경기도 오산시,198182,금일 09:15부터 오산천 누읍동 잠수교 양방향은 통제에서 해제하오니 해당구간 정상통행 가능합니다.,cbs,오산시,,,"[('누읍동 잠수교 양방향은 통제에서', 0.6276)]"
2023/07/15 19:21:54,43,경기도 오산시,198022,7. 15.(토) 19시부터 호우예비특보로 인한 침수 피해 우려에 따라 오산천 누읍동 잠수교를 통제하오니 우회하여 주시기 바랍니다.,cbs,오산시,토,,"[('15 19시부터 호우예비특보로', 0.5851)]"
2023/07/14 09:22:54,43,경기도 오산시,197335,금일 09:20부터 누읍동 잠수교의 통제를 해제하여 해당구간의 정상통행이 가능합니다.,cbs,오산시,,,"[('금일 09 20부터', 0.6477)]"
2023/07/14 08:33:19,43,경기도 오산시,197314,금일 08:30부터 오산철교 하상도로 양방향은 통제에서 해제하오니 해당구간 정상통행 가능합니다.,cbs,오산시,,,"[('해제하오니 해당구간', 0.6019)]"
2023/07/14 07:37:43,43,경기도 오산시,197296,"금일 07:30부터 금오대교 하상도로, 탑동대교 하상도로 좌우안을 통제에서 해제하오니 해당구간 정상통행 가능합니다.",cbs,오산시,,,"[('통제에서 해제하오니', 0.6762)]"
2023/07/14 07:14:17,43,경기도 오산시,197285,"남촌대교에서 오산철교 방향 좌회전 통제, 오산대교에서 오산철교 방향 우회전 통제중이오니 우회하시기 바랍니다.",cbs,오산시,,,"[('통제 오산대교에서 오산철교', 0.7432)]"
