create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/09/21 07:02:14,243,충청북도 옥천군,205605,군도12호선 옥천군 군서면 금산리 금산천1교~금산천2교 구간 교통 통제 해제하였습니다.,cbs,옥천군,,,"[('군서면 금산리', 0.5643)]"
2023/09/20 22:53:00,243,충청북도 옥천군,205584,군도12호선 옥천군 군서면 금산리 금산천1교~금산천2교 구간/군도5호선 청성면 장수리 353-1 세월교 침수로 교통 통제하오니 우회하여 주시기 바랍니다.,cbs,옥천군,,,"[('장수리 353', 0.5669)]"
2023/09/20 22:12:13,243,충청북도 옥천군,205569,옥천읍 장천교(충북도립대 입구) 도로 통제 해제하오니 안전에 유의하여 서행운전하시기 바랍니다.,cbs,옥천군,충북도립대 입구,,"[('도로 통제 해제하오니 안전에', 0.7198)]"
2023/09/20 20:28:45,243,충청북도 옥천군,205535,오늘 옥천군 지역 많은 비로 산사태 주의보 발령. 산림 주변 위험지역 통행 금지 및 대피명령 있을 시 대피장소나 안전지대로 반드시 대피 바랍니다.,cbs,옥천군,,,"[('산사태 주의보 발령 산림', 0.6279)]"
2023/09/20 19:51:03,243,충청북도 옥천군,205515,"충북도립대 앞 장찬교 월류위험으로 차량 통제 중, 매화리 보금자리 노인전문요양원부근 고속도로 통로박스 침수로 통제중이오니 우회하여주시기 바랍니다.",cbs,옥천군,,,"[('고속도로 통로박스 침수로', 0.6644)]"
2023/09/20 17:45:49,243,충청북도 옥천군,205462,"금강수력발전소 고무(라바)댐 9월20일22시경 방류예정알림/집중호우로 하천 수위상승이 우려되오니 하천변 산책로, 야영장 등 위험지역 접근 자제바랍니다.",cbs,옥천군,라바,,"[('하천변 산책로', 0.7064)]"
2023/09/16 17:59:25,243,충청북도 옥천군,205242,"하천변 산책로, 계곡, 저지대, 산사태우려지역 등 위험지역 접근금지 및 외출자재 등 안전에 유의해 주시기 바랍니다.",cbs,옥천군,,,"[('외출자재 안전에 유의해', 0.7236)]"
2023/09/06 12:35:20,243,충청북도 옥천군,204933,"현재 폭염주의보 발효중. 논밭작업, 공사현장 등 야외활동을 자제하여 주시고 충분한 수분 섭취, 그늘휴식, 양산착용 등 건강관리에 유의하시기 바랍니다.",cbs,옥천군,,,"[('논밭작업 공사현장', 0.7238)]"
2023/09/05 11:21:49,243,충청북도 옥천군,204902,"현재 폭염주의보 발효중. 농사일, 건설현장작업 등과 같은 야외활동 시 충분한 물 섭취와 그늘휴식, 주변노약자분들께는 안부확인 등 건강관리에 유의바랍니다",cbs,옥천군,,,"[('폭염주의보 발효중 농사일', 0.7314)]"
2023/09/04 16:27:38,243,충청북도 옥천군,204872,"폭염주의보 발효중. 낮시간 야외활동(논,밭,공사장) 자제, 충분한 수분섭취와 휴식, 주변 노약자분들께 안부전화 등 건강관리에 유의바랍니다.",cbs,옥천군,"논,밭,공사장",,"[('수분섭취와 휴식 주변 노약자분들께', 0.6052)]"
2023/08/30 18:14:40,243,충청북도 옥천군,204689,금강수력발전소 고무(라바)댐 방류알림/8월30일 18시경/금강 상류 호우로 강수위 상승 및 댐방류. 강수위가 상승하오니 강가 출입자제 및 안전 주의 요망,cbs,옥천군,라바,,"[('상승 댐방류', 0.6479)]"
2023/08/30 10:18:07,243,충청북도 옥천군,204638,"코로나19 4급전환 관련 8.31.부터 선별진료소 운영시간 변동(평일 9시~16시,토요일 9시-12시,일요일 미운영)",cbs,옥천군,"평일 9시~16시,토요일 9시-12시,일요일 미운영",,"[('9시 16시 토요일 9시', 0.7125)]"
