create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/11/21 23:29:55,"8116,8117","인천광역시 옹진군,인천광역시 옹진군",206905,"북 주장 군사정찰위성 위험범위 이탈, 23:24 부 백령·대청(소청)지역 주민들은 일상으로 복귀 바랍니다.",cbs,옹진군,소청,,"[('일상으로 복귀', 0.5374)]"
2023/11/21 22:51:57,"8116,8117","인천광역시 옹진군,인천광역시 옹진군",206904,"22:44경 북한이 서해 상공으로 북 주장 군사정찰위성 발사, 백령, 대청(소청) 지역 주민들은 낙하물 유의 및 야외활동을 자제 바랍니다.",cbs,옹진군,소청,,"[('군사정찰위성 발사 백령', 0.5796)]"
2023/09/29 16:47:58,177,인천광역시 옹진군,205795,"9.30.(토)~10.2.(월) 해수면의 수위차가 큰 대조기입니다. 해안가 침수, 범람 등의 우려가 있으니 안전에 유의하시기 바랍니다.(저지대주차금지)",cbs,옹진군,토,,"[('30 10 해수면의 수위차가', 0.568)]"
2023/08/31 16:54:21,177,인천광역시 옹진군,204725,9.1(금)~9.3(일) 해수면의 수위차가 큰 대조기(백중사리)입니다. 안전에 유의하시기 바랍니다.(해안가저지대 접근자제 및 차량주차금지 등),cbs,옹진군,금,,"[('대조기 백중사리 입니다 안전에', 0.4857)]"
2023/08/13 06:13:14,177,인천광역시 옹진군,203105,오늘 05:25경 북도면 모도리 폐교 화재 사고 발생. 인근 주민은 외출을 자제하는 등 안전사고 발생에 유의 바랍니다,cbs,옹진군,,,"[('발생 인근 주민은 외출을', 0.6942)]"
2023/08/10 14:23:23,177,인천광역시 옹진군,202850,"전 지역 태풍의 영향권에 있습니다. 불필요한 외출을 삼가주시고, 하천, 해안가 등 위험지역 접근금지, 논밭 관리행위 자제 등 안전에 주의 바랍니다.",cbs,옹진군,,,"[('외출을 삼가주시고 하천', 0.7364)]"
2023/07/28 20:21:23,177,인천광역시 옹진군,200103,국사봉 산불은 실제가 아닌 훈련상황메세지이오니 착오없으시기 바랍니다. 심려끼쳐 드려 죄송합니다.,cbs,옹진군,,,"[('산불은 실제가', 0.5298)]"
2023/07/28 20:06:36,177,인천광역시 옹진군,200102,오늘 20시 인천광역시 옹진군 영흥면 국사봉 산불 발생. 입산을 자제하고 인근 주민과 등산객은 안전사고 발생에 주의하시기 바랍니다.,cbs,옹진군,,,"[('주민과 등산객은', 0.6578)]"
2023/07/21 19:36:26,177,인천광역시 옹진군,199195,대만 등 해외발송 유해물질로 의심되는 해외 우편물을 수령하였을 경우 개봉하지 마시고 즉시 112 또는 119로 신고하여 주시기 바랍니다.,cbs,옹진군,,,"[('대만 해외발송 유해물질로 의심되는', 0.6394)]"
2020/09/06 18:03:44,177,인천광역시 옹진군,54653,"태풍 하이선 9.7. 새벽~오전 북상예정. 강풍 및 집중호우가 예상되오니 시설물결속, 위험물 안전조치 등 피해 없도록 안전에 유의하시기 바랍니다.",cbs,옹진군,,,"[('안전조치 피해 없도록', 0.6358)]"
2020/08/08 18:00:17,177,인천광역시 옹진군,43359,인천 금일 19시 호우주의보 발효로 산사태 취약지역 등 위험지역 거주민은 안전한 장소로 대피 준비하여 주시기 바랍니다.,cbs,옹진군,,,"[('호우주의보 발효로 산사태 취약지역', 0.6486)]"
