create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/09/16 13:42:02,195,전라남도 완도군,205195,"완도군 현재 호우경보.발령 저지대, 침수 우려지역 및 산사태 등 위험지역에서는 안전한 곳으로 대피하시기 바랍니다",cbs,완도군,,,"[('침수 우려지역', 0.7671)]"
2023/08/23 11:04:49,195,전라남도 완도군,204135,오늘 오후 2시부터 20분간 민방위 훈련으로 완도항 여객선터미널 ~ 완도군청 구간 교통 통제되니 해당 구간 통행 시 우회 바랍니다.,cbs,완도군,,,"[('민방위 훈련으로 완도항', 0.6571)]"
2023/08/09 09:03:30,195,전라남도 완도군,201838,"태풍이 북상 중으로, 해안가에 높은 파도가 예상됩니다. 간이 해수욕장, 방파제, 갯바위 등 위험 지역 출입 자제 바랍니다.",cbs,완도군,,,"[('해수욕장 방파제 갯바위 위험', 0.7247)]"
2023/08/08 16:17:02,195,전라남도 완도군,201793,"제6호 태풍 카눈 북상▲9일~10일 강풍과 많은 비 예상 ▲선박이나 어망, 어구 등 사전 결박 ▲강풍 대비 간판, 창문은 미리 고정해 주시기 바랍니다.",cbs,완도군,,,"[('사전 결박 강풍 대비', 0.6755)]"
2023/08/02 08:54:03,195,전라남도 완도군,200690,"현재 폭염 경보 발효 중으로 충분한 수분 섭취, 야외활동 자제, 실외 작업장 폭염 안전수칙(물, 그늘, 휴식)지키기 등 안전에 유의하시기 바랍니다.",cbs,완도군,"물, 그늘, 휴식",,"[('중으로 충분한', 0.7139)]"
2023/08/01 15:11:36,195,전라남도 완도군,200670,"폭염 경보 발효 중, 온열질환 예방을 위해 낮시간 야외활동 자제, 충분한 수분 섭취와 휴식, 주변 노약자 분들께 안부전화 등 안전수칙을 준수 바랍니다.",cbs,완도군,,,"[('야외활동 자제 충분한', 0.7167)]"
2023/07/31 09:12:07,195,전라남도 완도군,200415,"우리 지역에 10:00 폭염 경보가 발효됩니다. 야외활동 자제하시고, 충분한 물 섭취 등 건강에 유의하시기 바랍니다.",cbs,완도군,,,"[('건강에 유의하시기', 0.6424)]"
2023/07/22 17:42:47,195,전라남도 완도군,199357,출처불명 해외배송 우편물은 절대 개봉하지 마시고 경찰서(112) 및 소방서(119)에 신고하여 주시기 바랍니다.,cbs,완도군,112,,"[('소방서 119', 0.6988)]"
2023/06/27 16:24:59,195,전라남도 완도군,195932,"오늘 밤부터 낙뢰를 동반한 많은비가 예상됩니다▲산간계곡, 하천변 접근금지▲해안가, 갯바위 등 낚시금지▲야영장, 저지대 등은 안전에 유의 바랍니다",cbs,완도군,,,"[('등은 안전에 유의', 0.7214)]"
2023/05/04 09:38:21,195,전라남도 완도군,194821,기상악화로 인해 5.4(목) 장보고수산물축제 및 전라남도정원폐스티벌 행사장이 해변공원에서 청해진스포츠센터로 변경되니 군민들께서는 혼동 없으시기 바랍니다,cbs,완도군,목,,"[('기상악화로 인해', 0.6594)]"
2023/01/24 12:00:19,195,전라남도 완도군,191631,현재 폭설로 인한 도로결빙으로 군내버스 정상운행이 어려워 낮12시부터 운행이 중단됨을 알려 드립니다. 도로사정 호전 시 운행재개 예정입니다.,cbs,완도군,,,"[('낮12시부터 운행이 중단됨을 알려', 0.5941)]"
2022/12/23 10:59:57,195,전라남도 완도군,186958,현재 폭설로 인한 도로결빙으로 군내버스 정상운행이 어려워 도로사정 호전 시 운행재개 예정입니다. 눈길 안전에 유의하시기 바랍니다.,cbs,완도군,,,"[('도로결빙으로 군내버스 정상운행이', 0.656)]"
2022/12/21 18:02:14,195,전라남도 완도군,186448,"내일 많은 눈이 예상되니 안전운전(안전거리 확보) 및 눈길 미끄럼주의, 집앞 눈치우기, 농축산물 냉해피해 등 각별히 유의바랍니다.",cbs,완도군,안전거리 확보,,"[('집앞 눈치우기 농축산물 냉해피해', 0.7287)]"
2022/11/29 13:27:49,195,전라남도 완도군,182892,한파주의보 발표/수도계량기 및 보일러 동파 피해 방지/한랭질환자 외출자제/도로 살얼음 주의/양식장관리 철저/농축산물 냉해피해 등 주의 바랍니다,cbs,완도군,,,"[('피해 방지 한랭질환자 외출자제', 0.6762)]"
2021/06/01 10:25:50,195,전라남도 완도군,107731,"코로나19 예방접종(얀센백신) 선착순 사전예약 안내(30세이상 민방위대원, 6/1~11,온라인만 가능), 예방접종 사전예약 ncvr.kdca.go.kr",cbs,완도군,얀센백신,30세,"[('가능 예방접종 사전예약', 0.6554)]"
2021/03/05 13:27:32,195,전라남도 완도군,96071,"완도군 긴급재난지원금 신청이 오늘로 마감되며, 상품권을 미수령한 세대는 3.8(월)까지 금융기관에서 수령바라며, 마스크 착용 등 방역수칙 준수바랍니다.",cbs,완도군,월,,"[('신청이 오늘로 마감되며 상품권을', 0.6021)]"
