create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/06/12 09:40:16,195,전라남도 완도군,195546,"대기 불안정으로 전국적인 낙뢰 발생이 우려되니 등산, 해안가 산책 등 야외활동 자제 및 낙뢰 발생 시 즉시 실내이동 등 안전에 주의바랍니다.",cbs,완도군청,,,"[('대기 불안정으로 전국적인', 0.6989)]"
2022/12/24 07:10:58,195,전라남도 완도군,187094,"최근 많은 눈으로 인한 도로 결빙구간 안전운전 ▲내 집 앞, 내 점포 눈 치우기 ▲비닐하우스 눈 치우기 ▲ 보행 시 빙판길 미끄럼사고에 유의바랍니다",cbs,완도군청,,,"[('많은 눈으로 인한 도로', 0.7016)]"
2022/12/23 17:38:40,195,전라남도 완도군,187033,"내린 눈으로 퇴근길 도로가 매우 미끄러우니 안전운전하시고, 보행 시 낙상사고 등 유의하시기 바랍니다.",cbs,완도군청,,,"[('퇴근길 도로가 매우', 0.6665)]"
2022/12/23 06:54:25,195,전라남도 완도군,186814,"밤사이 폭설로 인해 제설작업 중이나, 도로 곳곳 결빙으로 가급적 차량운행을 자제해 주시기 바라며, 차량운행 시 안전운전 하시기 바랍니다.",cbs,완도군청,,,"[('주시기 바라며', 0.6776)]"
2022/12/22 17:33:32,195,전라남도 완도군,186695,대설주의보 발효중입니다. 내일까지 많은 눈이 예상되니 ▲안전거리 확보 운행 ▲내 집앞 눈치우기 ▲야외활동 자제 등 안전사고에 유의하시기 바랍니다.,cbs,완도군청,,,"[('눈이 예상되니 안전거리', 0.6561)]"
2022/12/18 15:06:13,195,전라남도 완도군,185859,"영하의 날씨로 내린 눈이 얼어 도로가 미끄럽습니다. 외출자제 및 안전운전 하시고,수도관·계량기 동파방지, 농축산물·양식장 냉해에 각별히 유의바랍니다.",cbs,완도군청,,,"[('미끄럽습니다 외출자제 안전운전 하시고', 0.4815)]"
2022/12/18 07:47:32,195,전라남도 완도군,185744,밤사이 내린 눈으로 인하여 도로 결빙 구간 안전운전 ▲비닐하우스 눈 치우기 ▲내 집 앞 눈 치우기 ▲보행시 낙상사고 등 주의하시기 바랍니다.,cbs,완도군청,,,"[('눈으로 인하여 도로 결빙', 0.7191)]"
2022/12/17 15:35:16,195,전라남도 완도군,185653,"대설주의보 발효 ▲눈길 안전 운전 ▲수산물 동상 피해 방지 ▲ 비닐하우스 눈 치우기 ▲수도관, 계량기 동파 방지 등 관리에 유의하시기 바랍니다.",cbs,완도군청,,,"[('수산물 동상 피해', 0.7484)]"
2022/12/16 15:55:33,195,전라남도 완도군,185449,"주말 영하권 날씨예보 ▲한랭질환자, 노약자 외출 자제 ▲농작물 냉해 피해방지 ▲수산물 동상 피해방지 등 ▲예방에 유의하여 주시기 바랍니다.",cbs,완도군청,,,"[('예방에 유의하여 주시기 바랍니다', 0.7121)]"
2022/11/30 10:45:53,195,전라남도 완도군,183062,"한파주의보 발효 ▲노약자 외출자제 ▲농작물 냉해·양식어류 동사 방지 ▲계량기, 수도관 동파 방지 등 유의하여 주시기 바랍니다.",cbs,완도군청,,,"[('동파 방지', 0.6953)]"
2022/09/18 15:02:47,195,전라남도 완도군,173436,"태풍 「난마돌」영향으로 오늘밤부터 강풍, 너울 등 예상▼저지대해안가, 방파제 접근금지▼옥외간판 고정▼선박결박 및 출항자제 등 안전에 주의바랍니다.",cbs,완도군청,,,"[('영향으로 오늘밤부터 강풍 너울', 0.6469)]"
2022/09/05 16:05:47,195,전라남도 완도군,171203,"오늘 완도군 태풍주의보 발표 ▲산사태위험지역 주민들은 사전에 대피완료▲논 물꼬 관리, 선박 결박 작업 금지 등 외출을 자제하여 주시기 바랍니다.",cbs,완도군청,,,"[('자제하여 주시기', 0.6505)]"
2022/09/05 08:55:31,195,전라남도 완도군,170980,"오늘 밤부터 내일 오전까지 우리지역 태풍 영향 최대 예상. 주변 배수로, 창문 점검, 방파제, 저지대 해안가 등 접근금지 및 외출 자제등 안전에 주의",cbs,완도군청,,,"[('저지대 해안가 접근금지 외출', 0.7571)]"
2022/09/04 14:52:52,195,전라남도 완도군,170859,"내일 완도군 태풍 직접영향 예정. 창문, 낙하물 고정, 저지대 해안가 접근금지, 비닐하우스 고정 및 수산증양식 비상시설물 점검 등. 안전 주의바랍니다.",cbs,완도군청,,,"[('해안가 접근금지', 0.7029)]"
2022/09/02 09:25:36,195,전라남도 완도군,170431,"제11호 태풍 ""힌남노"" 북상으로 강한 돌풍과 많은 비 예상. ▼사전 어선·선박 육상 인양 및 결박 고정 등 사전 조치 바랍니다.",cbs,완도군청,,,"[('강한 돌풍과 많은 예상', 0.4622)]"
2022/08/30 09:14:10,195,전라남도 완도군,170034,"8.30.(화) 0시기준 확진자 96명 발생(확진자접촉49, 경로불분명46, 타지역접촉1)▶손씻기, 자주 환기하기, 실내마스크 착용 등 방역수칙 준수",cbs,완도군청,화,,"[('30 0시기준 확진자', 0.5427)]"
2022/08/29 09:17:00,195,전라남도 완도군,169902,"8.29.(월) 0시기준 확진자 36명 발생(확진자접촉11, 경로불분명24, 타지역접촉1)▶손씻기, 자주 환기하기, 실내마스크 착용등 방역수칙 준수",cbs,완도군청,월,,"[('36명 발생', 0.5897)]"
2022/08/28 10:13:52,195,전라남도 완도군,169803,"8.28.(일)0시기준 확진자 66명 발생(확진자접촉27,경로불분명34,타지역접촉4, 해외입국1)▶손씻기,자주 환기하기,실내마스크 착용등 방역수칙 준수",cbs,완도군청,일,,"[('확진자접촉27 경로불분명34 타지역접촉4 해외입국1', 0.5734)]"
2022/08/27 09:26:32,195,전라남도 완도군,169649,"8.27.(토) 0시기준 확진자 89명 발생(확진자접촉41, 경로불분명43, 타지역접촉5)▶손씻기, 자주 환기하기, 실내마스크 착용등 방역수칙 준수",cbs,완도군청,토,,"[('타지역접촉5 손씻기', 0.5757)]"
2022/08/26 09:41:42,195,전라남도 완도군,169530,"8.26.(금) 0시기준 확진자 100명 발생(확진자접촉58, 경로불분명41, 타지역접촉1)▶손씻기, 자주 환기하기, 실내마스크 착용등 방역수칙 준수",cbs,완도군청,금,,"[('발생 확진자접촉58 경로불분명41', 0.5858)]"
2022/08/25 09:18:59,195,전라남도 완도군,169394,"8.25.(목) 0시기준 확진자 100명 발생(확진자접촉32, 경로불분명59, 타지역접촉9)▶백신접종 적극 동참, 손씻기, 마스크 착용등 방역수칙 준수",cbs,완도군청,목,,"[('경로불분명59 타지역접촉9 백신접종', 0.5336)]"
2022/08/24 09:58:48,195,전라남도 완도군,169284,"8.24.(수) 0시기준 확진자 133명 발생(확진자접촉45, 경로불분명74, 타지역접촉14)▶손씻기, 자주 환기하기, 실내마스크 착용등 방역수칙 준수",cbs,완도군청,수,,"[('경로불분명74 타지역접촉14 손씻기', 0.5756)]"
2022/08/23 09:20:59,195,전라남도 완도군,169137,"8.23.(화) 0시기준 확진자 150명 발생(확진자접촉58, 경로불분명75, 타지역접촉17)▶손씻기, 자주 환기하기, 실내마스크 착용등 방역수칙 준수",cbs,완도군청,화,,"[('방역수칙 준수', 0.5653)]"
2022/08/22 12:37:49,195,전라남도 완도군,169062,"8.22.(월) 0시기준 확진자 52명 발생(확진자접촉21, 경로불분명30, 타지역접촉1)▶ 백신접종, 손씻기, 실내마스크 착용 등 방역수칙 준수",cbs,완도군청,월,,"[('발생 확진자접촉21', 0.561)]"
2022/08/21 09:39:42,195,전라남도 완도군,168880,"8.21.(일) 0시기준 확진자 84명 발생(확진자접촉53, 경로불분명22, 타지역접촉9)▶사적모임 자제하기, 실내마스크 착용 등 방역수칙 준수",cbs,완도군청,일,,"[('발생 확진자접촉53', 0.5576)]"
2022/08/20 09:21:40,195,전라남도 완도군,168740,"8.20.(토) 0시기준 확진자 95명 발생(확진자접촉38, 경로불분명50, 타지역접촉7)▶사적모임 자제하기, 실내마스크 착용 등 방역수칙 준수",cbs,완도군청,토,,"[('자제하기 실내마스크 착용 방역수칙', 0.5294)]"
2022/08/19 09:06:25,195,전라남도 완도군,168594,"8.19.(금) 0시기준 확진자 111명 발생(확진자접촉34, 경로불분명63, 타지역접촉14)▶사적모임 자제하기, 실내마스크 착용 등 방역수칙 준수",cbs,완도군청,금,,"[('타지역접촉14 사적모임 자제하기 실내마스크', 0.5273)]"
2022/08/18 08:57:46,195,전라남도 완도군,168443,"8.18.(목) 0시기준 확진자 146명 발생(확진자접촉52, 경로불분명75, 타지역접촉19)▶사적모임 최소화, 주기적 환기, 마스크 착용 등 준수",cbs,완도군청,목,,"[('주기적 환기 마스크 착용', 0.5242)]"
2022/08/17 09:53:37,195,전라남도 완도군,168317,"8.17.(수) 0시기준 확진자 120명 발생(확진자접촉35, 경로불명75, 타지역접촉10)▶실내마스크 착용,손씻기,하루3번 환기 등 방역수칙 준수",cbs,완도군청,수,,"[('17 0시기준 확진자', 0.5762)]"
2022/08/16 16:13:12,195,전라남도 완도군,168230,"오늘 밤부터 많은 비 예상▲하천, 갯바위, 방파제 등 접근금지▲농축수산 시설물 축대 점검▲산사태, 상습침수 위험지역 대피 등 안전에 주의바랍니다.",cbs,완도군청,,,"[('산사태 상습침수 위험지역', 0.663)]"
2022/08/01 13:12:50,195,전라남도 완도군,165886,"태풍의 영향으로 비를 동반한 강풍이 예상되니▲상왕산 등 입산 자제▲ 갯바위 및 저지대 해안가 접근 자제, 각종 입·간판 고정 등 안전에 주의바랍니다.",cbs,완도군청,,,"[('상왕산 입산', 0.7086)]"
