create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/02/25 10:05:08,210,전라북도 완주군,193170,"2.25(토)0시기준확진자28명(~56,820번)▲실내마스크착용권고(단,의료기관,약국,대중교통,입소형감염취약시설의무▲백신예약ncvr.kdca.go.kr",cbs,완주군청,토,,"[('820번 실내마스크착용권고 의료기관', 0.4529)]"
2023/02/09 10:16:45,210,전라북도 완주군,192839,"2.9(목)0시기준 확진자32명▲실내마스크 착용 권고(단, 의료기관,약국,대중교통,입소형감염취약시설 의무)▲코로나 백신예약 ncvr.kdca.go.kr",cbs,완주군청,목,,"[('권고 의료기관 약국', 0.4429)]"
2023/02/08 10:34:51,210,전라북도 완주군,192809,"2.8(수)0시기준 확진자29명▲실내마스크 착용 권고(단, 의료기관,약국,대중교통,입소형감염취약시설 의무)▲코로나 백신예약 ncvr.kdca.go.kr",cbs,완주군청,수,,"[('의료기관 약국 대중교통 입소형감염취약시설', 0.3922)]"
2023/02/07 09:59:14,210,전라북도 완주군,192778,"2.7(화) 0시기준 확진자 46명▲실내마스크 착용 권고(단, 의료기관,약국,대중교통,입소형 감염취약시설 의무)▲코로나19의심 증상 시 검사",cbs,완주군청,화,,"[('대중교통 입소형', 0.4478)]"
2023/02/06 09:52:03,210,전라북도 완주군,192726,"2.6(월) 0시기준 확진자 7명▲실내 마스크착용 권고(단, 의료기관,약국,대중교통,입소형 감염취약시설 의무)▲코로나19 의심 증상 시 검사",cbs,완주군청,월,,"[('약국 대중교통', 0.5132)]"
2023/02/05 09:36:38,210,전라북도 완주군,192683,"2.5.(일) 0시기준 확진자 37명▲실내마스크 착용 권고(단, 의료기관,약국,대중교통,입소형 감염취약시설 의무)▲개인 방역수칙 준수",cbs,완주군청,일,,"[('개인 방역수칙 준수', 0.4613)]"
2023/02/04 09:23:13,210,전라북도 완주군,192638,"2.4.(토) 0시기준 확진자 31명▲실내마스크 착용 권고(단, 의료기관,약국,대중교통,입소형 감염취약시설 의무)▲개인 방역수칙 준수",cbs,완주군청,토,,"[('0시기준 확진자 31명 실내마스크', 0.4767)]"
2023/02/03 14:13:02,210,전라북도 완주군,192610,"2.3(금) 0시기준 확진자 31명▲실내마스크 착용 권고(단, 의료기관,약국,대중교통,입소형 감염취약시설 의무)▲개인 방역수칙 준수",cbs,완주군청,금,,"[('31명 실내마스크 착용 권고', 0.4792)]"
2023/02/02 10:04:03,210,전라북도 완주군,192544,"2.2(목)0시기준 확진자31명▲실내마스크 착용 권고(단,의료기관,약국,대중교통,입소형 감염취약시설 의무)▲코로나백신예약 ncvr.kdca.go.kr",cbs,완주군청,목,,"[('권고 의료기관 약국 대중교통', 0.4009)]"
2023/02/01 09:56:58,210,전라북도 완주군,192466,"2.1(수)0시기준 확진자36명▲실내마스크착용 권고(단, 의료기관,약국,대중교통,입소감염취약시설 의무 유지)▲코로나백신예약ncvr.kdca.go.kr",cbs,완주군청,수,,"[('의료기관 약국 대중교통', 0.3685)]"
2023/01/31 09:46:59,210,전라북도 완주군,192390,"1.31.(화)0시기준 확진자37명▲1.30부터 실내마스크 착용 권고(단, 의료기관,약국,대중교통,입소형감염취약시설 의무 유지)▲코로나 의심증상시 검사",cbs,완주군청,화,,"[('코로나 의심증상시', 0.5248)]"
2023/01/30 09:52:12,210,전라북도 완주군,192327,"1.30.(월)0시기준 확진자 5명▲1.30부터 실내마스크 착용 권고(단, 의료기관,약국,대중교통,입소형감염취약시설 의무 유지)▲개인 방역수칙 준수",cbs,완주군청,월,,"[('권고 의료기관 약국', 0.4615)]"
2023/01/29 10:29:24,210,전라북도 완주군,192255,"1.29.(일)0시기준 확진자 42명▲1.30부터 실내마스크 착용 권고(단, 의료기관,약국,대중교통,입소형감염취약시설 의무 유지)▲개인 방역수칙 준수",cbs,완주군청,일,,"[('권고 의료기관', 0.5897)]"
2023/01/28 15:20:11,210,전라북도 완주군,192201,"1.28(토) 0시 기준 확진자48명▲1.30일부터 실내마스크 착용 의무조정(단,의료기관,약국,대중교통,입소형감염취약시설 의무 유지)▲의심증상 시 검사",cbs,완주군청,토,,"[('착용 의무조정 의료기관 약국', 0.5774)]"
2023/01/25 10:11:39,210,전라북도 완주군,191794,"1.25(수) 0시 기준 확진자 33명(~55,927번)▲완주군 선별진료소 운영(9시~18시)▲코로나19 백신예약 ncvr.kdca.go.kr",cbs,완주군청,수,,"[('ncvr kdca kr', 0.4861)]"
