create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/07/23 14:56:56,"9176,9194,9213","경기도 용인시 처인구,경기도 용인시 기흥구,경기도 용인시 수지구",199521,"7월 22일부터 계속되는 호우로 인하여 지반이 약해져 수목 전도, 낙석 등 위험이 있으니 보행 및 차량주차시 주의하여 주시기 바랍니다.",cbs,용인시,,,"[('수목 전도 낙석 위험이', 0.5669)]"
2023/07/23 09:33:49,"9176,9194,9213","경기도 용인시 처인구,경기도 용인시 기흥구,경기도 용인시 수지구",199456,"현재 호우주의보 발효로 오전 중 많은 비가 예상되오니 하천변 산책로, 산사태위험지역, 상습침수지역 등 위험지역 접근을 금지하여 주시기 바랍니다.",cbs,용인시,,,"[('접근을 금지하여', 0.7485)]"
2023/07/22 21:12:33,"9176,9194,9213","경기도 용인시 처인구,경기도 용인시 기흥구,경기도 용인시 수지구",199397,오늘부터 많은 비가 내릴것으로 예보되어 있습니다. 관내 하천변 산책로를 통제하오니 하천내 출입을 금하여 주시기 바랍니다.,cbs,용인시,,,"[('오늘부터 많은 비가', 0.692)]"
2023/07/21 18:10:14,"9176,9194,9213","경기도 용인시 처인구,경기도 용인시 기흥구,경기도 용인시 수지구",199151,대만발송 유해물질로 의심되는 해외 우편물을 수령하였을 경우 개봉하지 말고 즉시 112 또는 119로 신고하여 주시기 바랍니다.,cbs,용인시,,,"[('신고하여 주시기', 0.6475)]"
2023/07/21 14:14:28,"9176,9194,9213","경기도 용인시 처인구,경기도 용인시 기흥구,경기도 용인시 수지구",199107,폭염주의보 발효에 따라 야외활동을 자제하여 주시고 충분한 휴식과 수분섭취로 건강 및 안전관리에 유의 바랍니다.,cbs,용인시,,,"[('폭염주의보 발효에 따라 야외활동을', 0.7345)]"
2023/07/18 10:30:21,"9176,9194,9213","경기도 용인시 처인구,경기도 용인시 기흥구,경기도 용인시 수지구",198590,"현재 호우경보 발효중, 많은 비가 예상되오니 상습침수지역, 하천변 산책로, 산사태위험지역 등 위험지역 접근을 금지하여 주시기 바랍니다.",cbs,용인시,,,"[('산책로 산사태위험지역 위험지역 접근을', 0.7772)]"
2023/07/17 22:54:20,"9176,9194,9213","경기도 용인시 처인구,경기도 용인시 기흥구,경기도 용인시 수지구",198521,"현재 호우주의보 발효중, 많은 비가 예상되오니 상습침수지역, 하천변 산책로, 산사태위험지역 등 위험지역 접근을 금지하여 주시기 바랍니다.",cbs,용인시,,,"[('산사태위험지역 위험지역 접근을 금지하여', 0.7542)]"
2023/07/17 22:08:54,"9176,9194,9213","경기도 용인시 처인구,경기도 용인시 기흥구,경기도 용인시 수지구",198514,20시 30분 호우주의보 발효에 따라 상습침수도로를 22시 10분에 차단하오니 도로이용객은 우회하시기 바랍니다.,cbs,용인시,,,"[('따라 상습침수도로를', 0.6295)]"
2023/07/17 21:09:58,"9176,9194,9213","경기도 용인시 처인구,경기도 용인시 기흥구,경기도 용인시 수지구",198498,"20:30 호우주의보 발효에 따라 하천변, 계곡 등 위험지역 방문을 자제하여 주시고, 반지하, 저지대, 침수 우려지역 등은 안전에 유의 바랍니다.",cbs,용인시,,,"[('안전에 유의 바랍니다', 0.6185)]"
2023/07/16 10:48:55,"9176,9194,9213","경기도 용인시 처인구,경기도 용인시 기흥구,경기도 용인시 수지구",198203,13일부터 비가 많이 내려 산사태가 우려됩니다. 19일까지 비가 예상되오니 산과 인접해 거주하시는 시민은 친인척 집 등 안전한 곳으로 대피하시기 바랍니다,cbs,용인시,,,"[('친인척 안전한', 0.5929)]"
2023/07/15 21:21:16,"9176,9194,9213","경기도 용인시 처인구,경기도 용인시 기흥구,경기도 용인시 수지구",198091,"15일 저녁부터 16일까지 시간당 30~60mm 호우가 예상되오니 하천산책로, 세월교 등 침수위험지역에는 접근하지 마시길 바랍니다.",cbs,용인시,,,"[('예상되오니 하천산책로 세월교 침수위험지역에는', 0.4739)]"
