create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/10/25 23:58:48,"9176,9194,9213","경기도 용인시 처인구,경기도 용인시 기흥구,경기도 용인시 수지구",206266,"26일 예고되었던 경기도 버스 파업이 철회되어 광역버스, 시내버스, 마을버스 모든 노선이 정상 운행합니다. 이용에 참고하시길 바랍니다.",cbs,용인시청,,,"[('철회되어 광역버스 시내버스', 0.4871)]"
2023/08/23 11:00:42,"9176,9194,9213","경기도 용인시 처인구,경기도 용인시 기흥구,경기도 용인시 수지구",204129,"금일 민방위 훈련으로 일부구간(용인시청앞~통일공원, 풍덕고 사거리~수지구청 사거리) 14:00~14:15 차량 이동 통제하오니 훈련에 협조 바랍니다.",cbs,용인시청,"용인시청앞~통일공원, 풍덕고 사거리~수지구청 사거리",,"[('훈련으로 일부구간', 0.6389)]"
2023/08/22 23:35:53,"9177,9189,9190,9191","경기도 용인시 처인구,경기도 용인시 처인구,경기도 용인시 처인구,경기도 용인시 처인구",204054,오늘 21:31경 처인구 이동읍 송전리 폐기물재활용공장 화재 발생. 인근 주민은 창문을 닫아 연기 흡입 등 안전사고 발생에 유의하시기 바랍니다.,cbs,용인시청,,,"[('31경 처인구', 0.5308)]"
2023/08/22 22:22:47,"9189,9190,9191","경기도 용인시 처인구,경기도 용인시 처인구,경기도 용인시 처인구",204047,"오늘 22:00경 용인시 이동읍 송전리 폐기물재활용공장 화재 발생, 이 지역을 우회하여 주시고 인근 주민은 안전사고 발생에 유의 바랍니다.",cbs,용인시청,,,"[('화재 발생 지역을', 0.6303)]"
2023/08/15 15:22:07,"9176,9194,9213","경기도 용인시 처인구,경기도 용인시 기흥구,경기도 용인시 수지구",203374,성남시 분당구 수내교가 2023.8.14.(월) 22:00부터 통제중이오니 수내교를 이용하시는 용인시민들께서는 우회하시기 바랍니다.,cbs,용인시청,월,,"[('용인시민들께서는 우회하시기 바랍니다', 0.5992)]"
2022/09/12 11:00:00,44,경기도 용인시,172610,9월12일 0시 기준 확진자 761명(처인185 기흥308 수지268) 백신접종 참여와 마스크착용 등 개인방역수칙을 준수하여 주시기 바랍니다.,cbs,용인시청,처인185 기흥308 수지268,,"[('개인방역수칙을 준수하여', 0.6261)]"
2022/09/04 10:31:21,44,경기도 용인시,170791,"9월4일 0시 기준 확진자 1,379명(처인341 기흥507 수지531) 백신접종 참여와 마스크착용 등 개인방역수칙을 준수하여 주시기 바랍니다.",cbs,용인시청,처인341 기흥507 수지531,,"[('개인방역수칙을 준수하여 주시기', 0.5497)]"
2022/09/03 11:00:06,44,경기도 용인시,170626,"9월 3일 0시 기준 확진자 1,761명(처인414 기흥717 수지630) 백신접종 참여와 마스크 착용 등 개인 방역수칙을 준수하여 주시기 바랍니다.",cbs,용인시청,처인414 기흥717 수지630,,"[('방역수칙을 준수하여 주시기', 0.5387)]"
2022/09/02 11:00:00,44,경기도 용인시,170481,"9월 2일 0시 기준 확진자 1,832명(처인545 기흥723 수지564) 백신접종 참여와 마스크 착용 등 개인방역 수칙을 준수하여 주시기 바랍니다.",cbs,용인시청,처인545 기흥723 수지564,,"[('착용 개인방역 수칙을 준수하여', 0.534)]"
2022/09/01 10:59:56,44,경기도 용인시,170347,"9월 1일 0시 기준 확진자 1,915명(처인454 기흥828 수지633) 백신접종 참여와 마스크 착용 등 개인방역 수칙을 준수하여 주시기 바랍니다.",cbs,용인시청,처인454 기흥828 수지633,,"[('수지633 백신접종', 0.5443)]"
2022/08/31 11:00:20,44,경기도 용인시,170212,"8월 31일 0시 기준 확진자 2,186명(처인513 기흥940 수지733) 백신접종 참여와 마스크 착용 등 개인 방역수칙을 준수하여 주시기 바랍니다.",cbs,용인시청,처인513 기흥940 수지733,,"[('기흥940 수지733 백신접종', 0.6391)]"
2022/08/30 10:59:56,44,경기도 용인시,170077,"8월 30일 0시 기준 확진자 2,754명(처인779 기흥1130 수지845) 백신접종 참여와 마스크 착용등 개인방역 수칙을 준수하여 주시기 바랍니다.",cbs,용인시청,처인779 기흥1130 수지845,,"[('30일 0시 기준 확진자', 0.595)]"
2022/08/29 10:59:51,44,경기도 용인시,169947,"8월 29일 0시 기준 확진자 1,106명(처인238 기흥561 수지307) 백신접종 참여와 마스크 착용 등 개인 방역수칙을 준수하여 주시기 바랍니다.",cbs,용인시청,처인238 기흥561 수지307,,"[('착용 개인 방역수칙을 준수하여', 0.6187)]"
2022/08/28 10:30:01,44,경기도 용인시,169810,"8월 28일 0시 기준 확진자 1,453명(처인342 기흥537 수지574) 백신접종 참여와 마스크 착용 등 개인방역 수칙을 준수하여 주시기 바랍니다.",cbs,용인시청,처인342 기흥537 수지574,,"[('28일 0시 기준', 0.5666)]"
2022/08/27 11:00:03,44,경기도 용인시,169694,"8월27일 0시 기준 확진자 1,952명(처인528 기흥811 수지613), 백신접종 참여와 마스크착용 등 개인방역수칙을 준수하여 주시기 바랍니다.",cbs,용인시청,처인528 기흥811 수지613,,"[('수지613 백신접종 참여와', 0.6223)]"
2022/08/26 10:59:58,44,경기도 용인시,169569,"8월 26일 0시 기준 확진자 2,188명(처인564 기흥936 수지688) 백신접종 참여와 마스크 착용 등 개인 방역수칙을 준수하여 주시기 바랍니다.",cbs,용인시청,처인564 기흥936 수지688,,"[('착용 개인 방역수칙을', 0.6476)]"
2022/08/25 10:59:55,44,경기도 용인시,169438,"8월 25일 0시 기준 확진자 2,377명(처인637 기흥1023 수지717) 백신접종 참여와 마스크 착용등 개인방역 수칙을 준수하여 주시기 바랍니다.",cbs,용인시청,처인637 기흥1023 수지717,,"[('처인637 기흥1023 수지717', 0.612)]"
2022/08/24 10:59:57,44,경기도 용인시,169309,"8월 24일 0시 기준 확진자 2,921명(처인689 기흥1329 수지903) 백신접종 참여와 마스크 착용등 개인방역 수칙을 준수하여 주시기 바랍니다.",cbs,용인시청,처인689 기흥1329 수지903,,"[('개인방역 수칙을 준수하여', 0.609)]"
2022/08/23 11:00:37,44,경기도 용인시,169182,"8월23일 0시기준 확진자 3,199명(처인882 기흥1,264 수지1,053) 백신접종 참여와 마스크 착용 등 개인방역수칙을 준수하여 주시기바랍니다.",cbs,용인시청,"처인882 기흥1,264 수지1,053",,"[('마스크 착용 개인방역수칙을', 0.5774)]"
2022/08/22 10:59:59,44,경기도 용인시,169052,"8월 22일 0시 기준 확진자 1,328명(처인304 기흥662 수지362) 백신접종 참여와 마스크 착용 등 개인방역 수칙을 준수하여 주시기 바랍니다.",cbs,용인시청,처인304 기흥662 수지362,,"[('수지362 백신접종 참여와', 0.5806)]"
2022/08/21 10:30:01,44,경기도 용인시,168913,"8월 21일 0시 기준 확진자 1,943명(처인461 기흥747 수지735) 백신접종 참여와 마스크 착용 등 개인방역수칙을 준수하여 주시기 바랍니다.",cbs,용인시청,처인461 기흥747 수지735,,"[('8월 21일 0시 기준', 0.63)]"
2022/08/20 11:00:08,44,경기도 용인시,168793,"8월20일 0시기준 확진자 2,473명(처인614 기흥1,091 수지768) 백신접종 참여와 마스크 착용 등 개인 방역수칙을 준수하여 주시기 바랍니다.",cbs,용인시청,"처인614 기흥1,091 수지768",,"[('기흥1 091 수지768 백신접종', 0.6403)]"
2022/08/19 11:00:09,44,경기도 용인시,168645,"8월19일 0시기준 확진자 2,806명(처인648 기흥1,246 수지912) 백신접종 참여와 마스크 착용 등 개인 방역수칙을 준수하여 주시기 바랍니다.",cbs,용인시청,"처인648 기흥1,246 수지912",,"[('개인 방역수칙을 준수하여 주시기', 0.6302)]"
2022/08/18 10:59:57,44,경기도 용인시,168506,"8월 18일 0시기준 확진자 3,764명(처인850 기흥1622 수지1292) 백신접종 참여와 마스크 착용등 개인방역 수칙을 준수하여 주시기 바랍니다.",cbs,용인시청,처인850 기흥1622 수지1292,,"[('개인방역 수칙을 준수하여', 0.6354)]"
2022/08/17 10:59:56,44,경기도 용인시,168352,"8월17일 0시기준 확진자 4,252명(처인1075 기흥1859 수지1318) 백신접종 참여와 마스크 착용 등 개인방역수칙을 준수하여 주시기 바랍니다.",cbs,용인시청,처인1075 기흥1859 수지1318,,"[('개인방역수칙을 준수하여 주시기', 0.615)]"
2022/08/16 10:59:59,44,경기도 용인시,168202,"8월 16일 0시 기준 확진자 1,595명(처인345 기흥568 수지682) 백신접종 참여와 마스크 착용 등 개인 방역수칙을 준수하여 주시기 바랍니다.",cbs,용인시청,처인345 기흥568 수지682,,"[('기흥568 수지682', 0.6226)]"
2022/08/15 11:00:02,44,경기도 용인시,168030,"8월15일 0시 기준 확진자 1,411명(처인298 기흥692 수지421) 백신접종 참여와 마스크착용 등 개인방역수칙을 준수하여 주시기 바랍니다.",cbs,용인시청,처인298 기흥692 수지421,,"[('마스크착용 개인방역수칙을 준수하여 주시기', 0.6154)]"
2022/08/14 10:30:05,44,경기도 용인시,167895,"8월 14일 0시기준 확진자 2,080명(처인463 기흥744 수지873) 백신접종 참여와 마스크 착용 등 개인 방역수칙을 준수하여 주시기 바랍니다.",cbs,용인시청,처인463 기흥744 수지873,,"[('8월 14일 0시기준', 0.6728)]"
2022/08/13 11:02:08,44,경기도 용인시,167747,"8월 13일 0시 기준 확진자 2,648명(처인608 기흥1125 수지915) 백신접종 참여와 마스크 착용 등 개인방역수칙을 준수하여 주시기 바랍니다.",cbs,용인시청,처인608 기흥1125 수지915,,"[('착용 개인방역수칙을 준수하여 주시기', 0.5905)]"
