create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/02/03 10:59:59,44,경기도 용인시,192598,2월 3일 0시 기준 확진자 315명. ▲ 18세 이상 마지막 접종 90일 경과자 동절기 개량백신 접종 안내 url.kr/1ojrd2,cbs,용인특례시청,,18세,"[('315명 18세', 0.4331)]"
2023/02/02 10:59:56,44,경기도 용인시,192554,2월 2일 0시 기준 확진자 341명. ▲ 18세 이상 마지막 접종 90일 경과자 동절기 개량백신 접종 안내 url.kr/1ojrd2,cbs,용인특례시청,,18세,"[('이상 마지막 접종 90일', 0.4203)]"
2023/02/01 11:01:55,44,경기도 용인시,192489,2월 1일 0시 기준 확진자 333명. ▲ 18세 이상 마지막 접종 90일 경과자 동절기 개량백신 접종 안내 url.kr/1ojrd2,cbs,용인특례시청,,18세,"[('333명 18세', 0.4327)]"
2023/01/31 10:59:55,44,경기도 용인시,192411,1월 31일 0시 기준 확진자 397명. ▲ 18세 이상 마지막 접종 90일 경과자 동절기 개량백신 접종 안내 url.kr/1ojrd2,cbs,용인특례시청,,18세,"[('안내 url kr', 0.4229)]"
2023/01/30 10:59:53,44,경기도 용인시,192345,1월 30일 0시 기준 확진자 213명. ▲ 18세 이상 마지막 접종 90일 경과자 동절기 개량백신 접종 안내 url.kr/1ojrd2,cbs,용인특례시청,,18세,"[('18세 이상 마지막 접종', 0.4551)]"
2023/01/29 10:29:46,44,경기도 용인시,192256,1월 29일 0시 기준 확진자 336명. ▲ 18세 이상 마지막 접종 90일 경과자 동절기 개량백신 접종 안내 url.kr/1ojrd2,cbs,용인특례시청,,18세,"[('336명 18세', 0.4589)]"
2023/01/28 11:02:08,44,경기도 용인시,192187,1월 28일 0시 기준 확진자 476명. ▲ 18세 이상 마지막 접종 90일 경과자 동절기 개량백신 접종 안내 url.kr/1ojrd2,cbs,용인특례시청,,18세,"[('476명 18세', 0.446)]"
2023/01/27 10:59:57,44,경기도 용인시,192067,1월 27일 0시 기준 확진자 651명. ▲ 18세 이상 마지막 접종 90일 경과자 동절기 개량백신 접종 안내 url.kr/1ojrd2,cbs,용인특례시청,,18세,"[('접종 안내 url', 0.4846)]"
2023/01/26 10:59:55,44,경기도 용인시,191946,1월 26일 0시 기준 확진자 801명. ▲ 18세 이상 마지막 접종 90일 경과자 동절기 개량백신 접종 안내 url.kr/1ojrd2,cbs,용인특례시청,,18세,"[('접종 90일', 0.4518)]"
2023/01/25 10:59:48,44,경기도 용인시,191807,1월 25일 0시 기준 확진자 360명. ▲ 18세 이상 마지막 접종 90일 경과자 동절기 개량백신 접종 안내 url.kr/1ojrd2,cbs,용인특례시청,,18세,"[('동절기 개량백신 접종', 0.4768)]"
2023/01/24 11:05:05,44,경기도 용인시,191621,1월 24일 0시 기준 확진자 246명. ▲ 18세 이상 마지막 접종 90일 경과자 동절기 개량백신 접종 안내 url.kr/1ojrd2,cbs,용인특례시청,,18세,"[('246명 18세', 0.4975)]"
2023/01/23 11:00:06,44,경기도 용인시,191367,1월 23일 0시 기준 확진자 217명. ▲ 18세 이상 마지막 접종 90일 경과자 동절기 개량백신 접종 안내 url.kr/1ojrd2,cbs,용인특례시청,,18세,"[('안내 url kr', 0.4662)]"
2023/01/22 10:30:13,44,경기도 용인시,191257,1월 22일 0시 기준 확진자 317명 ▲ 18세 이상 마지막 접종 90일 경과자 동절기 개량백신 접종 안내 url.kr/1ojrd2,cbs,용인특례시청,,18세,"[('1월 22일', 0.4483)]"
2023/01/21 11:00:10,44,경기도 용인시,191158,1월 21일 0시 기준 확진자 584명. ▲ 18세 이상 마지막 접종 90일 경과자 동절기 개량백신 접종 안내 url.kr/1ojrd2,cbs,용인특례시청,,18세,"[('안내 url kr', 0.4547)]"
2023/01/20 11:00:28,44,경기도 용인시,191021,1월 20일 0시 기준 확진자 571명. ▲ 18세 이상 마지막 접종 90일 경과자 동절기 개량백신 접종 안내 url.kr/1ojrd2,cbs,용인특례시청,,18세,"[('571명 18세', 0.4648)]"
2023/01/19 11:00:12,44,경기도 용인시,190896,1월 19일 0시 기준 확진자 728명. ▲ 18세 이상 마지막 접종 90일 경과자 동절기 개량백신 접종 안내 url.kr/1ojrd2,cbs,용인특례시청,,18세,"[('확진자 728명', 0.4416)]"
2023/01/18 10:59:55,44,경기도 용인시,190773,1월 18일 0시 기준 확진자 895명. ▲ 18세 이상 마지막 접종 90일 경과자 동절기 개량백신 접종 안내 url.kr/1ojrd2,cbs,용인특례시청,,18세,"[('마지막 접종 90일', 0.4866)]"
2023/01/17 10:59:56,44,경기도 용인시,190648,1월 17일 0시 기준 확진자 850명. ▲ 18세 이상 마지막 접종 90일 경과자 동절기 개량백신 접종 안내 url.kr/1ojrd2,cbs,용인특례시청,,18세,"[('확진자 850명 18세 이상', 0.4743)]"
2023/01/16 10:59:51,44,경기도 용인시,190515,1월 16일 0시 기준 확진자 411명. ▲ 18세 이상 마지막 접종 90일 경과자 동절기 개량백신 접종 안내 url.kr/1ojrd2,cbs,용인특례시청,,18세,"[('기준 확진자 411명', 0.4634)]"
2023/01/15 10:30:04,44,경기도 용인시,190339,1월 15일 0시 기준 확진자 583명. ▲ 18세 이상 마지막 접종 90일 경과자 동절기 개량백신 접종 안내 url.kr/1ojrd2,cbs,용인특례시청,,18세,"[('동절기 개량백신 접종', 0.4709)]"
2023/01/14 11:00:02,44,경기도 용인시,190205,1월 14일 0시 기준 확진자 822명 ▲ 18세 이상 마지막 접종 90일 경과자 동절기 개량백신 접종 안내 url.kr/1ojrd2,cbs,용인특례시청,,18세,"[('확진자 822명', 0.4544)]"
2023/01/13 11:00:01,44,경기도 용인시,190058,1월 13일 0시 기준 확진자 844명. ▲ 18세 이상 마지막 접종 90일 경과자 동절기 개량백신 접종 안내 url.kr/1ojrd2,cbs,용인특례시청,,18세,"[('844명 18세 이상', 0.4225)]"
2023/01/12 10:59:56,44,경기도 용인시,189909,1월 12일 0시 기준 확진자 987명. ▲ 18세 이상 마지막 접종 90일 경과자 동절기 개량백신 접종 안내 url.kr/1ojrd2,cbs,용인특례시청,,18세,"[('987명 18세', 0.4329)]"
2023/01/11 10:59:57,44,경기도 용인시,189778,"1월 11일 0시 기준 확진자 1,188명. ▲ 18세 이상 마지막 접종 90일 경과자 동절기 개량백신 접종 안내 url.kr/1ojrd2",cbs,용인특례시청,,18세,"[('마지막 접종 90일 경과자', 0.4305)]"
2023/01/10 10:59:49,44,경기도 용인시,189650,"1월 10일 0시 기준 확진자 1,317명 ▲ 18세 이상 마지막 접종 90일 경과자 동절기 개량백신 접종 안내 url.kr/1ojrd2",cbs,용인특례시청,,18세,"[('마지막 접종 90일 경과자', 0.4441)]"
2023/01/09 10:59:51,44,경기도 용인시,189520,1월 9일 0시 기준 확진자 617명. ▲ 18세 이상 마지막 접종 90일 경과자 동절기 개량백신 접종 안내 url.kr/1ojrd2,cbs,용인특례시청,,18세,"[('확진자 617명 18세', 0.4571)]"
2023/01/08 10:30:04,44,경기도 용인시,189365,1월 8일 0시 기준 확진자 871명. ▲ 18세 이상 마지막 접종 90일 경과자 동절기 개량백신 접종 안내 url.kr/1ojrd2,cbs,용인특례시청,,18세,"[('1월 8일', 0.4533)]"
