create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/11/20 18:53:06,167,울산광역시 중구,206891,"중구에서 배회중인 최용길씨(남,74세)를 찾습니다 -163cm,58kg,초록색점퍼,검정바지,흰색운동화 vo.la/fKEFE / ☎182",cbs,울산경찰청,"남,74세",74세,"[('검정바지 흰색운동화 vo', 0.4391)]"
2023/11/20 18:52:36,163,울산광역시 남구,206890,"남구에서 실종된 최용길씨(남,74세)를 찾습니다 -163cm,58kg,초록색점퍼,검정바지,흰색운동화 vo.la/fKEFE / ☎182",cbs,울산경찰청,"남,74세",74세,"[('흰색운동화 vo', 0.4413)]"
2023/11/15 08:32:07,165,울산광역시 북구,206724,"북구에서 배회중인 김선자씨(여, 79세)를 찾습니다 -160cm,50kg, 빨간체크무늬티셔츠,검정바지,안경착용 vo.la/TDLfg / ☎182",cbs,울산경찰청,"여, 79세",79세,"[('찾습니다 160cm 50kg 빨간체크무늬티셔츠', 0.505)]"
2023/11/15 08:31:37,167,울산광역시 중구,206723,"중구에서 실종된 김선자씨(여, 79세)를 찾습니다 -160cm,50kg, 빨간체크무늬티셔츠, 검정바지, 안경착용 vo.la/TDLfg / ☎182",cbs,울산경찰청,"여, 79세",79세,"[('160cm 50kg 빨간체크무늬티셔츠', 0.503)]"
2023/11/12 15:34:29,163,울산광역시 남구,206692,"남구에서 실종된 우용암씨(여, 95세)를 찾습니다 -156cm, 45kg, 손수레, 빨간티, 검정바지, 검정신발 vo.la/haBax / ☎182",cbs,울산경찰청,"여, 95세",95세,"[('손수레 빨간티 검정바지', 0.475)]"
2023/11/10 19:59:05,165,울산광역시 북구,206674,"북구에서 목격된 김남수씨(여,84세)를 찾습니다-160cm,45kg,갈색파마머리,보라색잠바,진밤색바지,검정운동화 vo.la/R5ewS / ☎182",cbs,울산경찰청,"여,84세",84세,"[('갈색파마머리 보라색잠바', 0.4244)]"
2023/11/10 18:23:12,163,울산광역시 남구,206672,"남구에서 배회중인 김남수씨(여,84세)를 찾습니다-160cm,45kg,갈색파마머리,보라색잠바,진밤색바지,검정운동화 vo.la/R5ewS / ☎182",cbs,울산경찰청,"여,84세",84세,"[('갈색파마머리 보라색잠바 진밤색바지', 0.4285)]"
2023/11/10 18:03:40,167,울산광역시 중구,206670,"중구에서 실종된 김남수씨(여,84세)를 찾습니다-160cm,45kg,갈색파마머리,보라색잠바,진밤색바지,검정운동화 vo.la/R5ewS / ☎182",cbs,울산경찰청,"여,84세",84세,"[('갈색파마머리 보라색잠바', 0.4239)]"
2023/11/08 16:23:35,165,울산광역시 북구,206619,"북구에서 실종된 노윤씨(여,67세)를 찾습니다 -148cm,43kg,흰색털점퍼,검정바지,리본벙거지모자 vo.la/2Ciy4 / ☎182",cbs,울산경찰청,"여,67세",67세,"[('la 2ciy4 182', 0.4209)]"
2023/11/05 18:42:09,167,울산광역시 중구,206469,"중구에서 실종된 최동목씨(남, 85세)를 찾습니다 -164cm,61kg,회색점퍼,검정긴바지,검정신발 vo.la/B8xSn / ☎182",cbs,울산경찰청,"남, 85세",85세,"[('회색점퍼 검정긴바지 검정신발', 0.4379)]"
2023/10/29 15:52:46,163,울산광역시 남구,206354,"남구에서 배회중인 손우전씨(남, 63세)를 찾습니다 - 178cm, 70kg, 남색잠바, 베이지색바지, 검정운동화 vo.la/yevaf / ☎182",cbs,울산경찰청,"남, 63세",63세,"[('찾습니다 178cm 70kg', 0.4679)]"
2023/10/29 15:52:16,167,울산광역시 중구,206353,"중구에서 실종된 손우전씨(남, 63세)를 찾습니다 - 178cm, 70kg, 남색잠바, 베이지색바지, 검정운동화 vo.la/yevaf / ☎182",cbs,울산경찰청,"남, 63세",63세,"[('남색잠바 베이지색바지 검정운동화 vo', 0.4521)]"
2023/10/22 16:48:16,163,울산광역시 남구,206181,"경찰은 남구에서 실종된 심규호씨(남, 80세)를 찾고 있습니다 - 170cm, 70kg, 회색패딩조끼, 회색바지 vo.la/Sq74p / ☎182",cbs,울산경찰청,"남, 80세",80세,"[('70kg 회색패딩조끼 회색바지 vo', 0.4823)]"
2023/10/19 19:47:33,163,울산광역시 남구,206141,"남구에서 배회중인 김근식씨(남, 82세)를 찾습니다 - 160cm,50kg,밤색모자,남색잠바,검정긴바지,검정운동화 vo.la/fseeR / ☎182",cbs,울산경찰청,"남, 82세",82세,"[('검정긴바지 검정운동화 vo la', 0.5028)]"
2023/10/19 19:45:59,167,울산광역시 중구,206140,"중구에서 실종된 김근식씨(남, 82세)를 찾습니다 -160cm,50kg, 밤색모자,남색잠바, 검정긴바지,검정운동화 vo.la/fseeR / ☎182",cbs,울산경찰청,"남, 82세",82세,"[('찾습니다 160cm 50kg', 0.4912)]"
2023/10/19 17:48:42,163,울산광역시 남구,206138,"남구에서 배회중인 제태권씨(남, 81세)를 찾습니다 - 160cm,민트색모자,이름표목걸이,파란색잠바,회색긴바지, vo.la/E5xMv / ☎182",cbs,울산경찰청,"남, 81세",81세,"[('파란색잠바 회색긴바지', 0.4675)]"
2023/10/19 17:47:53,167,울산광역시 중구,206137,"중구에서 실종된 제태권씨(남, 81세)를 찾습니다 -160cm, 민트색모자, 이름표목걸이, 파랑잠바, 회색긴바지, vo.la/E5xMv / ☎182",cbs,울산경찰청,"남, 81세",81세,"[('민트색모자 이름표목걸이', 0.4595)]"
2023/10/19 14:01:25,164,울산광역시 동구,206136,"동구에서 실종된 강영희씨(여, 75세)를 찾습니다 -150cm,백발머리, 검정긴팔상의, 검정계열하의, 검정계열단화 vo.la/gBfbd / ☎182",cbs,울산경찰청,"여, 75세",75세,"[('백발머리 검정긴팔상의', 0.4729)]"
2023/10/15 16:51:56,163,울산광역시 남구,206071,"남구에서 배회중인 서동열씨(남, 82세)를 찾습니다 -165cm,60kg,백발,회색긴팔과 정장바지,허리가 굽음 vo.la/KnYnj / ☎182",cbs,울산경찰청,"남, 82세",82세,"[('백발 회색긴팔과 정장바지 허리가', 0.4679)]"
2023/10/15 16:49:43,167,울산광역시 중구,206070,"중구에서 실종된 서동열씨(남, 82세)를 찾습니다 -165cm,60kg,백발,회색긴팔과 정장바지,허리가 굽음 vo.la/KnYnj / ☎182",cbs,울산경찰청,"남, 82세",82세,"[('정장바지 허리가', 0.4618)]"
