create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/11/18 06:29:02,162,울산광역시 전체,206823,"밤사이 내린 눈으로 도로 결빙이 예상됩니다. 터널, 교량, 그늘진 곳은 위험하오니 안전운행하시기 바라며 고갯길 통행을 자제(우회)하여 주시기 바랍니다",cbs,울산광역시,우회,,"[('곳은 위험하오니 안전운행하시기', 0.6664)]"
2023/09/20 17:41:55,162,울산광역시 전체,205459,"오늘 밤부터 많은 비가 예상되어 하천변 산책로, 징검다리, 둔치 등을 통제하고 있으니 호우 종료시까지 출입을 삼가해 주시기 바랍니다.",cbs,울산광역시,,,"[('예상되어 하천변 산책로', 0.7004)]"
2023/09/17 07:39:56,162,울산광역시 전체,205281,금일 호우에 따른 아산로 동구진입 방향 통제중으로 차량 이용자는 우회 하시기 바랍니다.,cbs,울산광역시,,,"[('호우에 따른 아산로', 0.5836)]"
2023/09/16 11:49:30,162,울산광역시 전체,205177,"현재 울산지역에 천둥, 번개를 동반한 많은 비가 내리고 있습니다. 외출을 자제하시고 불가피한 야외 활동 시 안전에 각별히 유의하시기 바랍니다.",cbs,울산광역시,,,"[('외출을 자제하시고 불가피한 야외', 0.7553)]"
2023/09/01 19:59:45,162,울산광역시 전체,204809,"현재 울산지역 많은 비가 예상됨에 따라 하천 및 계곡, 해안가 등 저지대 침수피해가 우려되므로 안전에 주의하시기 바랍니다.",cbs,울산광역시,,,"[('해안가 저지대', 0.7409)]"
2023/08/31 20:25:24,162,울산광역시 전체,204735,"20시 현재 울산지역 많은 비가 예상됨에 따라 하천 및 계곡, 해안가 등 저지대 침수피해가 우려되므로 안전에 주의하시기 바랍니다.",cbs,울산광역시,,,"[('울산지역 많은 비가', 0.6908)]"
2023/08/24 03:56:23,162,울산광역시 전체,204304,"현재 많은 비가 내리고 있습니다. ▲하천변, 논두렁 등 위험지역 접근금지 ▲외출 자제 ▲대피명령 시 즉시 대피 등 안전에 주의 바랍니다.",cbs,울산광역시,,,"[('현재 많은 비가', 0.731)]"
2023/08/23 13:30:13,162,울산광역시 전체,204194,"금일 민방위훈련으로 14:00~14:15(15분간) 번영로, 삼산로, 방어진순환도로, 화산중앙로, 반구대로 일부 구간을 통제하오니 참고 바랍니다.",cbs,울산광역시,15분간,,"[('일부 구간을 통제하오니', 0.6305)]"
2023/08/23 10:06:21,162,울산광역시 전체,204105,"금일 민방위훈련으로 14:00~14:15(15분간) 번영로, 삼산로, 방어진순환도로, 화산중앙로, 반구대로 일부 구간을 통제하오니 참고 바랍니다.",cbs,울산광역시,15분간,,"[('일부 구간을 통제하오니', 0.6305)]"
2023/08/18 07:54:15,162,울산광역시 전체,203562,"오늘 오전에 많은 비가 내릴 것으로 예상됩니다. 하천변 산책로, 계곡, 저지대 등 위험 지역에는 접근하지 마시고, 대피 명령 시 즉시 대피하세요.",cbs,울산광역시,,,"[('접근하지 마시고 대피 명령', 0.7361)]"
2023/08/10 10:32:56,162,울산광역시 전체,202618,"태풍으로 강풍이 불고 있어 가로수 전도, 낙하물로 인한 안전사고가 연이어 발생하고 있으니, 외출 자제를 적극 권고합니다.",cbs,울산광역시,,,"[('있어 가로수 전도 낙하물로', 0.7171)]"
2023/08/10 10:28:56,162,울산광역시 전체,202609,"태풍 카눈으로 발생된 강한 바람으로 울산대교를 전면 통제함에 따라 동구 진입차량은 아산로로, 장생포 진입차량은 산업로로 우회하시기 바랍니다.",cbs,울산광역시,,,"[('동구 진입차량은 아산로로', 0.6921)]"
2023/08/10 08:11:07,162,울산광역시 전체,202437,"태풍으로 인한 119신고전화가 폭주 중이니 비긴급재난신고는 110번, 긴급재난신고는 119번으로 신고 바랍니다.",cbs,울산광역시,,,"[('폭주 중이니 비긴급재난신고는', 0.7135)]"
2023/08/10 07:30:03,162,울산광역시 전체,202381,"태풍의 근접으로 많은 비와 강풍이 불고 있어 외출자제, 낙하물, 가로수 전도, 도로침수 등에 유의하여 출근길 안전 확보를 당부드립니다.",cbs,울산광역시,,,"[('태풍의 근접으로', 0.6929)]"
2023/08/10 06:32:47,162,울산광역시 전체,202322,동구 방어동 해양사업부 낙석으로 문현삼거리에서 예전IC 방향 도로 통제 중입니다. 교통정보를 미리 확인하시고 우회바랍니다.,cbs,울산광역시,,,"[('문현삼거리에서 예전ic 방향 도로', 0.7116)]"
2023/08/09 18:02:35,162,울산광역시 전체,202146,"태풍으로 많은 비와 강풍이 불고있어 외출자제, 해안, 하천, 지하공간 접근을 금하고 절개지 등 위험지역 거주자는 마을회관 등으로 사전대피 바랍니다.",cbs,울산광역시,,,"[('강풍이 불고있어 외출자제 해안', 0.7036)]"
2023/08/09 09:30:20,162,울산광역시 전체,201849,"태풍 북상으로 금일 오후부터 강한 비와 강풍 예상. 시민들께서는 외출자제와 비탈면, 옹벽 인근 거주자는 마을회관, 행정복지센터 등으로 대피 바랍니다",cbs,울산광역시,,,"[('오후부터 강한 비와', 0.6964)]"
2023/08/06 13:00:21,162,울산광역시 전체,201422,"울산지역 폭염으로 물 충분히 마시기, 무더위 쉼터 이용, 실외 작업장 폭염 안전 수칙(물, 그늘, 휴식) 지키기 등 안전에 유의 바랍니다.",cbs,울산광역시,"물, 그늘, 휴식",,"[('울산지역 폭염으로', 0.6699)]"
2023/08/05 13:00:52,162,울산광역시 전체,201234,"울산지역 폭염으로 물 충분히 마시기, 무더위 쉼터 이용, 실외 작업장 폭염 안전 수칙(물, 그늘, 휴식) 지키기 등 안전에 유의 바랍니다.",cbs,울산광역시,"물, 그늘, 휴식",,"[('울산지역 폭염으로', 0.6699)]"
2023/08/04 13:13:01,162,울산광역시 전체,201058,"울산지역 폭염으로 물 충분히 마시기, 무더위 쉼터 이용, 실외 작업장 폭염 안전 수칙(물, 그늘, 휴식) 지키기 등 안전에 유의 바랍니다.",cbs,울산광역시,"물, 그늘, 휴식",,"[('울산지역 폭염으로', 0.6699)]"
2023/08/03 13:00:14,162,울산광역시 전체,200903,"울산지역 폭염으로 물 충분히 마시기, 무더위 쉼터 이용, 실외 작업장 폭염 안전 수칙(물, 그늘, 휴식) 지키기 등 안전에 유의 바랍니다.",cbs,울산광역시,"물, 그늘, 휴식",,"[('울산지역 폭염으로', 0.6699)]"
2023/08/02 13:04:18,162,울산광역시 전체,200767,"울산지역 폭염으로 물 충분히 마시기, 무더위 쉼터 이용, 실외 작업장 폭염 안전 수칙(물, 그늘, 휴식) 지키기 등 안전에 유의 바랍니다.",cbs,울산광역시,"물, 그늘, 휴식",,"[('울산지역 폭염으로', 0.6699)]"
2023/08/01 20:53:24,7706,울산광역시 울주군,200687,"웅촌면 곡천리 일대 상수관 복구작업이 완료됐습니다. 흐린물 제거 후 수돗물 공급 예정이며, 흐린물을 충분히 흘려보내신 후 사용하시기 바랍니다.",cbs,울산광역시,,,"[('흐린물 제거 수돗물 공급', 0.6977)]"
2023/08/01 13:43:38,162,울산광역시 전체,200639,"울산지역 폭염으로 물 충분히 마시기, 무더위 쉼터 이용, 실외 작업장 폭염 안전 수칙(물, 그늘, 휴식) 지키기 등 안전에 유의 바랍니다",cbs,울산광역시,"물, 그늘, 휴식",,"[('작업장 폭염 안전', 0.6857)]"
2023/07/31 13:04:14,162,울산광역시 전체,200477,"울산지역 폭염으로 물 충분히 마시기, 무더위 쉼터 이용, 실외 작업장 폭염 안전 수칙(물, 그늘, 휴식) 지키기 등 안전에 유의 바랍니다.",cbs,울산광역시,"물, 그늘, 휴식",,"[('울산지역 폭염으로', 0.6699)]"
2023/07/30 13:02:12,162,울산광역시 전체,200313,"울산지역 폭염으로 물 충분히 마시기, 무더위 쉼터 이용, 실외 작업장 폭염 안전 수칙(물, 그늘, 휴식) 지키기 등 안전에 유의 바랍니다.",cbs,울산광역시,"물, 그늘, 휴식",,"[('울산지역 폭염으로', 0.6699)]"
2023/07/29 13:01:25,162,울산광역시 전체,200158,"울산지역 폭염으로 물 충분히 마시기, 무더위 쉼터 이용, 실외 작업장 폭염 안전 수칙(물, 그늘, 휴식) 지키기 등 안전에 유의 바랍니다.",cbs,울산광역시,"물, 그늘, 휴식",,"[('울산지역 폭염으로', 0.6699)]"
2023/07/28 13:00:22,162,울산광역시 전체,200056,"울산지역 폭염으로 물 충분히 마시기, 무더위 쉼터 이용, 실외 작업장 폭염 안전 수칙(물, 그늘, 휴식) 지키기 등 안전에 유의 바랍니다.",cbs,울산광역시,"물, 그늘, 휴식",,"[('울산지역 폭염으로', 0.6699)]"
2023/07/27 10:36:45,162,울산광역시 전체,199941,울산지역 한낮 체감온도가 뜨거워져 온열질환 위험이 매우 높습니다. 낮 시간대 외출을 피하시고 충분한 수분 섭취와 휴식 등으로 대비하시기 바랍니다.,cbs,울산광역시,,,"[('등으로 대비하시기', 0.7032)]"
2023/07/21 19:20:01,162,울산광역시 전체,199183,"대만발 유해물질로 의심되는 우편물이 발견됨, 발신인이 불분명한 우편물 발견시 개봉하지 마시고 경찰(112), 소방(119)에 신고하여 주시기 바람",cbs,울산광역시,112,,"[('소방 119 신고하여 주시기', 0.7111)]"
2023/07/18 20:38:16,162,울산광역시 전체,198867,"금일 밤부터 내일까지 많은 비가 예상되오니, 외출을 자제하시고 산사태 위험지역 및 비탈면, 하천변, 저지대 등 출입을 자제하여 주시기 바랍니다.",cbs,울산광역시,,,"[('출입을 자제하여', 0.7577)]"
