create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/11/17 18:15:03,92,경상북도 울진군,206789,"현재 금강송면,온정면 눈이 내리고 있으며 밤사이 기온이 영하로 내려가 도로가 어는곳이 있겠습니다. 되도록 대중교통 이용, 운전시 서행하여주시기 바랍니다.",cbs,울진군,,,"[('운전시 서행하여주시기', 0.7277)]"
2023/11/03 18:02:34,92,경상북도 울진군,206425,"11.4(토)~11.8(수) 연안사고 주의보 발령. 해안가 너울파도로 인명피해우려, 낚시·야영·방문객 등 안전에 주의 바랍니다.(054-502-2348)",cbs,울진군,토,,"[('안전에 주의', 0.6119)]"
2023/09/21 17:52:03,92,경상북도 울진군,205631,"군도20호선(울진읍 온양리 산6-4) 양방향 전면 교통 통제, 작업 완료시까지 7번국도 우회 바랍니다.(054-789-6970~4)",cbs,울진군,울진읍 온양리 산6-4,,"[('양방향 전면 교통 통제', 0.5716)]"
2023/09/20 23:32:28,92,경상북도 울진군,205594,"군도20호선(울진읍 온양2리 산6-4) 도로사태 발생 양방향 전면 교통 통제, 작업 완료시까지 7번국도 우회 바랍니다.(054-789-6970~4)",cbs,울진군,울진읍 온양2리 산6-4,,"[('바랍니다 054 789', 0.5697)]"
2023/09/20 22:10:38,92,경상북도 울진군,205567,오늘 21:54경 울진군 산사태 경보 발령으로 피해가 우려되니 위험지역 주민은 마을회관 등 안전지역으로 대피하여 주시기 바랍니다.,cbs,울진군,,,"[('발령으로 피해가 우려되니', 0.6175)]"
2023/09/20 15:49:48,92,경상북도 울진군,205417,"현재 호우경보 발효, 하천변산책로, 산사태 위험지와 저지대 침수우려지역 접근금지, 위험징후 발견 시 즉시 가까운 마을회관으로 대피하시기 바랍니다.",cbs,울진군,,,"[('저지대 침수우려지역 접근금지', 0.7787)]"
2023/09/20 13:50:51,92,경상북도 울진군,205391,"현재 호우주의보 발효중으로 하천변산책로, 산사태 위험지와 저지대 침수우려지역 접근금지, 위험징후 발견 시 즉시 가까운 마을회관으로 대피하시기 바랍니다.",cbs,울진군,,,"[('접근금지 위험징후 발견 즉시', 0.788)]"
2023/09/05 17:09:14,92,경상북도 울진군,204915,"9.5(화)~9.10(일) 연안사고 주의보 발령. 해안가 너울파도로 인명피해우려, 낚시·야영·방문객 등 안전에 주의 바랍니다.(054-502-2348)",cbs,울진군,화,,"[('안전에 주의 바랍니다', 0.6186)]"
2023/08/24 23:29:04,92,경상북도 울진군,204428,"현재 평해읍,기성면(시간당 60㎜이상) 중심으로 많은 비가 내리고있습니다. 위험징후 인지 즉시 가까운 마을회관으로 즉시 대피하시기 바랍니다.",cbs,울진군,시간당 60㎜이상,,"[('평해읍 기성면 시간당', 0.6859)]"
2023/08/24 18:20:33,92,경상북도 울진군,204400,"17:50 울진평지 호우주의보 발효. 산사태 상승침수 등 위험지역 대피, 외출자제 등 안전에 주의하시기 바립니다.",cbs,울진군,,,"[('외출자제 안전에 주의하시기', 0.509)]"
