create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/10/06 11:39:07,"9536,9537","강원특별자치도 원주시,강원특별자치도 원주시",205887,"원주시 개운동 힐스테이트 아파트 화재 발생, 진화중임, 인근 주민은 안전한 곳으로 대피하시고 연기흡입으로 인한 안전에 주의하시기 바랍니다.",cbs,원주시,,,"[('힐스테이트 아파트 화재 발생', 0.6906)]"
2023/07/22 17:17:06,11,강원특별자치도 원주시,199350,오늘 원주시 곳곳에서 출처가 불분명한 해외우편물 수령신고가 있었습니다. 의심스러운 해외우편물은 열지마시고 즉시 112나 119에 신고해 주시기 바랍니다,cbs,원주시,,,"[('곳곳에서 출처가 불분명한 해외우편물', 0.7163)]"
2023/07/18 10:45:52,11,강원특별자치도 원주시,198596,"현재 호우주의보 유지 중, 상습 침수지역, 하천변 산책로, 산사태 위험지역 등 위험지역 접근을 자제하여 주시기 바랍니다.",cbs,원주시,,,"[('위험지역 접근을 자제하여', 0.7566)]"
2023/07/15 16:28:04,11,강원특별자치도 원주시,197930,"충주댐 오후 4시부터 초당 6천톤 방류. 부론면 일대 침수피해 발생, 인근 주민들께서는 하천 및 침수위험 지역에 접근을 금지하여 주시기 바랍니다.",cbs,원주시,,,"[('하천 침수위험 지역에 접근을', 0.6647)]"
2023/07/15 15:43:10,9552,강원특별자치도 원주시,197920,횡성댐 방류로 저지대 침수 우려되오니 인근주민께서는 위험시 지대가 높은 안전한 곳으로 대피하시고 침수위험지역 통행차량은 우회하여 주시기 바랍니다.,cbs,원주시,,,"[('높은 안전한 곳으로', 0.6963)]"
2023/07/15 15:38:33,9554,강원특별자치도 원주시,197917,남한강 수위 상승으로 저지대 침수 우려되오니 인근주민께서는 위험시 지대가 높은 안전한 곳으로 대피하시고 침수위험지역 통행차량은 우회하여 주시기 바랍니다,cbs,원주시,,,"[('높은 안전한 곳으로', 0.6871)]"
2023/07/15 09:00:16,9554,강원특별자치도 원주시,197780,"충주댐 방류 증가, 남한강 수위 상승에 따른 저지대 침수 우려되오니 인근주민께서는 위험시 지대가 높은 안전한 곳으로 대피바랍니다.",cbs,원주시,,,"[('증가 남한강 수위 상승에', 0.6812)]"
2023/07/15 00:43:30,9554,강원특별자치도 원주시,197627,"충주댐 초당 1,500톤 방류. 남한강 수위 상승에 따른 저지대 침수 우려되오니 인근주민께서는 위험시 지대가 높은 안전한 곳으로 대피바랍니다.",cbs,원주시,,,"[('위험시 지대가 높은 안전한', 0.6338)]"
2023/07/14 20:52:54,11,강원특별자치도 원주시,197587,원주지역 많은 비로 침수 및 하천범람 위험. 하천변이나 저지대에 계신 주민께서는 안전한 높은 곳으로 대피바랍니다.,cbs,원주시,,,"[('원주지역 많은 비로', 0.6984)]"
2023/07/14 18:11:34,11,강원특별자치도 원주시,197527,"오늘 원주시 산사태 주의보 발령. 집중호우로 산사태 발생이 우려되므로 산림주변 야외활동을 자제하시고, 입산금지 등 안전에 유의하시기 바랍니다.",cbs,원주시,,,"[('입산금지 안전에 유의하시기', 0.6502)]"
2023/07/14 18:09:59,11,강원특별자치도 원주시,197526,원주시 계속되는 강우로 하천 수위상승. 저지대 및 둔치주차장 등 침수우려되오니 하천주변에 계신분들은 안전한 곳으로 대피바랍니다.,cbs,원주시,,,"[('계신분들은 안전한 곳으로 대피바랍니다', 0.7734)]"
2023/07/14 01:51:00,11,강원특별자치도 원주시,197214,현재 원주시 산사태 주의보 발령. 산사태취약지역 및 산림 인근에 주민과 방문객은 산에서 떨어진 안전한 곳으로 대피하여 주시기 바랍니다.,cbs,원주시,,,"[('대피하여 주시기', 0.7573)]"
2023/07/13 18:32:22,"9550,9552,9553,9554","강원특별자치도 원주시,강원특별자치도 원주시,강원특별자치도 원주시,강원특별자치도 원주시",197126,"횡성댐, 충주댐 방류로 인하여 남한강 및 섬강 수위 상승이 예상되므로, 하천주변 차량은 이동주차하여 주시고, 하천주변에 계신 분은 대피 바랍니다.",cbs,원주시,,,"[('방류로 인하여 남한강', 0.7711)]"
2023/07/11 13:09:31,11,강원특별자치도 원주시,196787,"11일 16시부터 충주댐 초당 2,000톤 수문방류. 원주시 섬강주변 수위 상승예상. 둔치차량 이동주차 바라며, 하천 주변에 계신 분들은 대피 바랍니다.",cbs,원주시,,,"[('주변에 계신 분들은 대피', 0.5758)]"
2023/07/11 11:16:23,11,강원특별자치도 원주시,196771,원주시 산사태주의보 발령. 집중호우로 산사태 발생이 우려되므로 산림 주변 야외활동을 자제하시고 산에 있을 경우 산림 밖으로 피하시기 바랍니다.,cbs,원주시,,,"[('주변 야외활동을 자제하시고', 0.7233)]"
2023/07/11 10:12:18,11,강원특별자치도 원주시,196760,"오늘 원주지역 짧은 시간 많은 비 예상. 둔치주차장 주차차량은 이동주차, 저지대주민께서는 침수우려시 인근마을회관이나 경로당으로 대피바랍니다",cbs,원주시,,,"[('주차차량은 이동주차 저지대주민께서는', 0.7427)]"
2023/06/26 20:04:04,11,강원특별자치도 원주시,195912,원주시 산사태 주의보 발령. 많은 비가 예상되니 산사태취약지역 인근 주민은 산에서 떨어진 안전한 곳으로 대피바라며 하천변 주차차량은 이동주차 바랍니다.,cbs,원주시,,,"[('곳으로 대피바라며 하천변 주차차량은', 0.7387)]"
2023/04/23 10:20:16,11,강원도 원주시,194620,오늘 09:42경 원주시 소초면 간촌길 108 인근 산불 발생. 인근 주민과 등산객은 안전사고 발생에 주의하시기 바랍니다.,cbs,원주시,,,"[('09 42경 원주시 소초면', 0.6641)]"
2023/03/31 15:42:51,11,강원도 원주시,193959,오늘 14시 46분 원주시 봉산동 산38-2번지(개륜마을) 산불 발생. 인근 주민과 등산객은 안전사고 발생에 주의하시기 바랍니다.,cbs,원주시,개륜마을,,"[('오늘 14시 46분', 0.5476)]"
2023/02/03 17:48:35,11,강원도 원주시,192625,2월 3일 이후로 코로나19 확진자 수 문자안내 중단합니다. 원주시청-코로나19 현황 홈페이지 c11.kr/168ij 참고해주세요.,cbs,원주시,,,"[('2월 3일 이후로 코로나19', 0.6521)]"
2023/02/03 09:11:48,11,강원도 원주시,192581,2.2.(목) 신규확진 112명 c11.kr/168ij ▲12세이상 동절기 추가접종(2가백신) 예약 ncvr.kdca.go.kr ☎1339,cbs,원주시,목,12세,"[('동절기 추가접종 2가백신 예약', 0.4829)]"
2023/02/02 09:14:50,11,강원도 원주시,192534,"2.1.(수) 신규확진 94명 c11.kr/168ij ▲ 마스크 착용, 손씻기, 기침예절 준수 등 기본방역수칙 생활화",cbs,원주시,수,,"[('착용 손씻기 기침예절 준수', 0.275)]"
2023/02/01 09:18:11,11,강원도 원주시,192457,1.31.(화) 신규확진 112명 c11.kr/168ij ▲12세이상 동절기 추가접종(2가백신) 예약 ncvr.kdca.go.kr ☎1339,cbs,원주시,화,12세,"[('2가백신 예약 ncvr', 0.5219)]"
2023/01/31 09:25:24,11,강원도 원주시,192387,"1.30.(월) 신규확진 123명 c11.kr/168ij ▲ 마스크 착용, 손씻기, 기침예절 준수 등 기본방역수칙 생활화",cbs,원주시,월,,"[('kr 168ij 마스크 착용', 0.3518)]"
2023/01/30 09:17:37,11,강원도 원주시,192319,1.29.(일) 신규확진 65명 c11.kr/168ij ▲18세이상 동절기 추가접종(2가백신) 예약 ncvr.kdca.go.kr ☎1339,cbs,원주시,일,18세,"[('2가백신 예약 ncvr', 0.5277)]"
2023/01/27 09:18:54,11,강원도 원주시,192030,1.26.(목) 신규확진 169명 c11.kr/168ij ▲18세이상 동절기 추가접종(2가백신) 예약 ncvr.kdca.go.kr ☎1339,cbs,원주시,목,18세,"[('kdca kr', 0.5424)]"
2023/01/26 09:03:34,11,강원도 원주시,191901,"1.25.(수) 신규확진 201명 c11.kr/168ij ▲마스크 착용, 손씻기, 기침예절 준수 등 기본방역수칙 생활화",cbs,원주시,수,,"[('kr 168ij 마스크 착용', 0.3568)]"
2023/01/25 09:30:48,11,강원도 원주시,191779,1.24.(화) 신규확진 105명 c11.kr/168ij ▲18세이상 동절기 추가접종(2가백신) 예약 ncvr.kdca.go.kr ☎1339,cbs,원주시,화,18세,"[('kdca kr 1339', 0.536)]"
2023/01/23 11:29:32,11,강원도 원주시,191375,지정면 안창리 일대 수도관 동파 복구작업 완료되었습니다.,cbs,원주시,,,"[('일대 수도관', 0.4152)]"
2023/01/23 11:12:42,11,강원도 원주시,191373,오전 10시부터 지정면 안창리 일대 한파로 인한 수도관 동파 수리 중입니다. 소요시간 2시간정도 예상됩니다.,cbs,원주시,,,"[('일대 한파로 인한', 0.6887)]"
2023/01/22 09:40:06,11,강원도 원주시,191230,"1.21.(토) 신규확진 115명 ▲ 설연휴(1.21.~24.) 선별진료소 연장 운영(9시~15시), 소독시간(12시~13시), c11.kr/168ij",cbs,원주시,토,,"[('15시 소독시간 12시', 0.5756)]"
2023/01/21 09:37:14,11,강원도 원주시,191127,"1.20.(금) 신규확진 181명 ▲설 연휴(1.21.~24.) 선별진료소 연장 운영(9시~15시) ,소독시간(12시~13시), c11.kr/168ij",cbs,원주시,금,,"[('24 선별진료소', 0.5682)]"
