create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/11/06 18:25:53,158,서울특별시 은평구,206591,"강풍으로 인한 간판, 현수막 등 낙하물 사고에 유의하여 주시고, 공사장 인근으로의 접근 자제 및 위험 징후 감지 시 안전한 실내로 대피하시기 바랍니다.",cbs,은평구,,,"[('인근으로의 접근 자제', 0.6881)]"
2023/08/11 11:02:49,158,서울특별시 은평구,203051,잼버리 콘서트 관련 금일 14시부터 월드컵경기장 일대 전면 교통통제(구룡사거리~경기장사거리). 교통혼잡이 예상되므로 우회 및 안전사고에 유의 바랍니다.,cbs,은평구,구룡사거리~경기장사거리,,"[('경기장사거리 교통혼잡이 예상되므로 우회', 0.7137)]"
2023/08/10 13:47:42,158,서울특별시 은평구,202812,"태풍에 대비하여 표지판, 라바콘, 입간판, 임시시설 등 안전조치 하여 주시고 하천출입 금지, 배수점검, 외출 자제 등 안전사고에 유의하시기 바랍니다.",cbs,은평구,,,"[('안전사고에 유의하시기', 0.7234)]"
2023/08/09 17:47:28,158,서울특별시 은평구,202133,"태풍 카눈 북상에 따라 내일 오전 7시부터 숲길 통제를 실시하오니, 산림 주변 야외활동 자제 및 입산 금지 등 안전에 유의하시기 바랍니다.",cbs,은평구,,,"[('실시하오니 산림 주변 야외활동', 0.6139)]"
2023/07/30 19:25:36,158,서울특별시 은평구,200394,현재 국지성 호우가 내리고 있어 등산로 및 숲길 통제를 실시하오니 인근 주민은 출입을 삼가하시기 바랍니다.,cbs,은평구,,,"[('현재 국지성 호우가', 0.6617)]"
2023/07/28 11:18:24,158,서울특별시 은평구,200041,"폭염(최고기온 34도)이 지속되고 있으니, 가까운 무더위쉼터 이용 및 실외 작업장 안전수칙 지키기(물,그늘,휴식)등 온열질환 발생에 유의하시기 바랍니다.",cbs,은평구,최고기온 34도,,"[('지키기 그늘', 0.6327)]"
2023/07/21 19:44:24,158,서울특별시 은평구,199200,"오늘 관내 미상의 국제우편물이 신고되어 조사 중. 출처가 불분명한 우편물은 개봉하지 마시고, 112나 119에 즉시 신고하여 주시기 바랍니다.",cbs,은평구,,,"[('주시기 바랍니다', 0.6195)]"
2023/07/13 10:58:23,158,서울특별시 은평구,197029,"강한 비가 예상됨에 따라 불광천, 구파발천 출입을 통제하오니, 하천변 접근을 삼가시고 저지대 주택은 배수시설 사전 점검 등 안전에 유의하시기 바랍니다.",cbs,은평구,,,"[('출입을 통제하오니 하천변 접근을', 0.6576)]"
2023/02/21 02:26:52,158,서울특별시 은평구,193115,"오늘 01:52경 진관동 11-0(은평뉴타운 상림마을, 720동뒤 쓰레기장)에 화재발생. 인근주민은 외출을 자제하는 등 안전사고 발생에 유의 바랍니다.",cbs,은평구,"은평뉴타운 상림마을, 720동뒤 쓰레기장",,"[('자제하는 안전사고', 0.5188)]"
2022/12/13 15:00:44,158,서울특별시 은평구,184853,"현재 강설로 도로결빙 우려 및 오늘밤 한파 시작으로 보온유지, 대중교통이용, 야외활동자제, 화재안전, 수도동파예방 등 대비에 만전을 기하시기 바랍니다.",cbs,은평구,,,"[('강설로 도로결빙 우려 오늘밤', 0.6405)]"
2022/11/29 20:01:51,158,서울특별시 은평구,182977,"11.30.부터 한파가 예상되며 야외활동 자제, 따뜻한 옷차림 등 건강에 유의하시고 전기·가스 안전, 수도 동파예방 등 대비에 만전을 기하시기 바랍니다",cbs,은평구,,,"[('안전 수도 동파예방 대비에', 0.5393)]"
