create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/08/23 18:01:25,244,충청북도 음성군,204271,현재 우리 지역에 많은 비로 산사태 주의보 발령 중. 산사태 위험이 있는 산림 주변 접근금지 및 유사시 안전지대로 대피 바랍니다.,cbs,음성군,,,"[('안전지대로 대피 바랍니다', 0.745)]"
2023/08/18 11:34:23,244,충청북도 음성군,203601,"현재 음성지역에 폭염주의보가 발효 중이니, 야외활동 및 작업을 자제하여 주시고 충분한 수분섭취와 그늘 및 무더위쉼터를 이용하여 주시기 바랍니다.",cbs,음성군,,,"[('주시고 충분한 수분섭취와', 0.5946)]"
2023/08/10 11:06:32,244,충청북도 음성군,202659,"태풍경보 발효중. 강풍을 동반한 집중호우가 예상되니, 외출자제 및 하천변 산책로,산사태 취약지역,급경사지 등 위험지역 접근을 금지하여 주시기 바랍니다.",cbs,음성군,,,"[('취약지역 급경사지 위험지역 접근을', 0.772)]"
2023/08/06 11:17:13,244,충청북도 음성군,201395,"폭염경보 발효 중 / 낮 시간 야외활동 자제 / 무더위쉼터(물,그늘,휴식)이용 및 물놀이 시 안전에 유의하시기 바랍니다.",cbs,음성군,"물,그늘,휴식",,"[('야외활동 자제', 0.5918)]"
2023/08/05 11:50:14,244,충청북도 음성군,201219,"현재 전국 대부분 폭염경보. 야외활동 자제. 충분한 수분섭취 등 온열질환 건강관리에 유의. 물놀이 안전수칙 준수(준비운동. 구명조끼착용, 음주수영금지)",cbs,음성군,"준비운동. 구명조끼착용, 음주수영금지",,"[('폭염경보 야외활동 자제 충분한', 0.7711)]"
2023/08/04 11:46:25,244,충청북도 음성군,201041,"음성지역 폭염으로 물 충분히 마시기, 무더위 쉼터 이용, 실외 작업장 폭염 안전 수칙(물, 그늘, 휴식) 지키기 등 안전에 유의 바랍니다.",cbs,음성군,"물, 그늘, 휴식",,"[('작업장 폭염 안전', 0.6745)]"
2023/08/03 10:51:42,244,충청북도 음성군,200867,"음성 지역 폭염으로 물 충분히 마시기, 무더위 쉼터 이용, 실외 작업장 폭염 안전 수칙(물, 그늘, 휴식) 지키기 등 안전에 유의 바랍니다.",cbs,음성군,"물, 그늘, 휴식",,"[('실외 작업장 폭염 안전', 0.6713)]"
2023/08/02 10:10:27,244,충청북도 음성군,200716,"현재 음성지역에 폭염경보가 발효 중이니, 야외활동 및 작업을 자제하여 주시고 충분한 수분섭취와 그늘 및 무더위 쉼터를 이용하여 주시기 바랍니다",cbs,음성군,,,"[('주시고 충분한 수분섭취와', 0.6144)]"
2023/08/01 18:52:37,244,충청북도 음성군,200683,"오늘 밤 강한 소나기 유의, 집중 호우시 하천변, 산책로, 둔치 주차장, 지하 차도 등 침수 위험 지역에 접근을 자제하고 안전한 곳으로 이동 바랍니다.",cbs,음성군,,,"[('산책로 둔치', 0.671)]"
2023/08/01 13:04:02,244,충청북도 음성군,200622,"폭염경보 발효 중 물 충분히 마시기, 무더위쉼터 이용, 작업장 폭염 안전수칙(물, 그늘, 휴식) 지키기 등 안전에 유의 바랍니다.",cbs,음성군,"물, 그늘, 휴식",,"[('그늘 휴식 지키기 안전에', 0.7043)]"
