create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/11/18 06:01:52,64,경상남도 의령군,206818,"금일 새벽 의령군 일부지역에 내린 눈 또는 비로 도로결빙이 예상되오니, 안전운전하시기 바라며 특히 고갯길 통행을 자제(우회)하여 주시기 바랍니다.",cbs,의령군,우회,,"[('통행을 자제 우회', 0.6955)]"
2023/09/01 07:06:46,64,경상남도 의령군,204760,"현재 지방도 1040호선 의령읍 정암리~만천리 구간(정암철교~수협사료 삼거리) 비탈면 토석유출로 전면 통제중이니, 교통정보 확인 후 우회하시기 바랍니다.",cbs,의령군,정암철교~수협사료 삼거리,,"[('수협사료 삼거리', 0.5426)]"
2023/09/01 06:11:37,64,경상남도 의령군,204757,"현재 의령군 의령읍 정암리~만천리 지방도1040호선(정암철교~수협사료 삼거리) 비탈면 토사유출로 전면 통제중이니, 교통정보 확인 후 우회하시기 바랍니다.",cbs,의령군,정암철교~수협사료 삼거리,,"[('수협사료 삼거리 비탈면', 0.5368)]"
2023/08/30 21:28:23,"10480,10484,10485,10486,10487,10488","경상남도 의령군,경상남도 의령군,경상남도 의령군,경상남도 의령군,경상남도 의령군,경상남도 의령군",204699,지속되는 강우로 남강 및 낙동강 수위 상승. 저지대 및 하천변이 위험하므로 접근을 금지하여 주시기 바랍니다. 위험 징후 발견시 안전한 곳으로 대피바랍니다,cbs,의령군,,,"[('저지대 하천변이 위험하므로', 0.6713)]"
2023/08/25 07:03:13,64,경상남도 의령군,204431,현재 의령군 화정면 군도1호선(명주삼거리~새터마을 간) 호우로 인한 토사유실로 전면통제 중이니 교통정보를 확인하고 우회하시기 바랍니다.,cbs,의령군,명주삼거리~새터마을 간,,"[('군도1호선 명주삼거리 새터마을', 0.6878)]"
2023/08/25 06:05:25,64,경상남도 의령군,204430,현재 의령군 화정면 군도1호선(명주삼거리~새터마을 간) 호우로 인한 토사유실로 전면통제 중이니 교통정보를 확인하시고 우회하시기 바랍니다.,cbs,의령군,명주삼거리~새터마을 간,,"[('군도1호선 명주삼거리 새터마을 호우로', 0.6725)]"
2023/08/24 21:08:35,64,경상남도 의령군,204422,호우경보에 따라 20시30분부로 덕교삼거리~화정면사무소구간 양방향(군도 1호선) 전면 교통통제 중입니다. 교통정보를 확인·우회도로를 이용바랍니다.,cbs,의령군,군도 1호선,,"[('화정면사무소구간 양방향 군도 1호선', 0.5593)]"
2023/08/24 19:21:59,64,경상남도 의령군,204411,"현재 의령군 화정면, 칠곡면 지역 많은 비가 내리고 있으니, 산사태 위험지역, 하천변 저지대 출입을 삼가하시고 위험징후 발견시 즉시 대피 바랍니다.",cbs,의령군,,,"[('출입을 삼가하시고 위험징후 발견시', 0.7377)]"
2023/08/24 15:18:30,64,경상남도 의령군,204363,"호우주의보 발효(14시30분). 산사태 위험지역, 하천변 산책로, 계곡, 침수위험지역 등에 접근을 삼가하시고 안전에 유의하여 주시기 바랍니다.",cbs,의령군,14시30분,,"[('접근을 삼가하시고 안전에', 0.7181)]"
2023/08/10 08:50:53,64,경상남도 의령군,202485,태풍의 영향으로 우리군에 9시부터 10시까지 집중호우가 예상됩니다. ▲외출자제 ▲하천변 등 위험지역 접근금지 ▲ 간판 등 낙하물에 주의하시기 바랍니다,cbs,의령군,,,"[('간판 낙하물에 주의하시기 바랍니다', 0.5944)]"
2023/03/29 11:39:21,64,경상남도 의령군,193884,건조한 날씨와 부주의로 인한 산불발생 위험이 높으니▶생활쓰레기 및 논밭두렁 소각금지▶입산 시 화기 소지금지 등 산불예방에 적극 참여하여 주시기 바랍니다.,cbs,의령군,,,"[('부주의로 인한 산불발생 위험이', 0.5865)]"
2022/01/29 12:06:07,64,경상남도 의령군,140427,"1. 29.(토) 12시기준 확진자 1명(의령83번) 발생,접촉자 및 이동동선 조사중. ▲백신3차접종 참여▲유증상시 즉시 코로나19 진단검사 바랍니다.",cbs,의령군,토,,"[('백신3차접종 참여', 0.5573)]"
2021/12/03 12:53:04,64,경상남도 의령군,132018,11.29(월)~12.1(수) 20:00~21:40 해당시간대 의령읍 행복유황사우나 '여탕' 방문자분은 의령군보건소로 금일 17:00까지 방문 바랍니다,cbs,의령군,월,,"[('40 해당시간대 의령읍', 0.514)]"
2021/11/24 11:57:22,64,경상남도 의령군,130762,"11.20(토) 16:25의령출발, 16:55신반경유, 대구서부터미널 도착버스 탑승객은 코로나 검사대상으로 의령군보건소(570-4900)로 연락바랍니다",cbs,의령군,토,,"[('대구서부터미널 도착버스 탑승객은 코로나', 0.6116)]"
2021/08/25 09:24:41,64,경상남도 의령군,119350,8. 25.(수) 09시기준 확진자 3명(관내 확진자 접촉3) 발생. ▶타지역 방문자제▶방역수칙 준수 ▶발열 등 증상시 즉시 보건소에서 검사 바랍니다.,cbs,의령군,수,,"[('방문자제 방역수칙', 0.5544)]"
2021/08/20 11:42:50,64,경상남도 의령군,118424,8. 20.(금) 11시 기준 확진자 1명(외국인/관내 방문 타지역 확진자 접촉) 발생. 접촉자 및 이동동선 조사중. 기본방역수칙 철저 준수 바랍니다.,cbs,의령군,금,,"[('타지역 확진자', 0.5748)]"
2021/08/18 11:54:55,64,경상남도 의령군,118130,"8. 18.(수) 11시 기준 확진자 2명(의령16,17/외국인) 발생, 접촉자 및 이동동선 조사중. 이동·모임·행사 자제 및 방역수칙 준수 바랍니다.",cbs,의령군,수,,"[('외국인 발생 접촉자 이동동선', 0.5772)]"
2021/07/15 08:37:44,64,경상남도 의령군,112683,"7. 15(목) 08시 기준 확진자 2명(의령13,14번) 발생. 해외입국관련 자가격리중 확진. 접촉자 없음. 마스크착용 등 기본방역수칙 준수 바랍니다",cbs,의령군,목,,"[('없음 마스크착용 기본방역수칙', 0.6829)]"
2021/07/14 17:48:33,64,경상남도 의령군,112627,"7. 14(수) 17시 기준 확진자 2명(의령11,12번) 발생. 해외입국후 자가격리 중 확진. 접촉자 없음. 마스크착용 등 기본방역수칙 준수 바랍니다",cbs,의령군,수,,"[('확진자 2명', 0.6587)]"
2021/05/10 18:04:26,64,경상남도 의령군,104899,"고령층 코로나백신접종신청안내:대상:60~74세/기간:~6. 3.까지/콜센터(570- 2871~4),읍면사무소,ncvr.kdca.go.kr로 신청바랍니다",cbs,의령군,570- 2871~4,74세,"[('2871 읍면사무소', 0.5445)]"
2021/03/30 10:07:48,64,경상남도 의령군,100812,"3월29일 17시 기준, 우리군 전 지역에 미세먼지 비상저감조치 발령. 야외활동 및 차량운행을 자제, 충분한 물섭취 권장 등 건강관리에 유의바랍니다.",cbs,의령군,,,"[('자제 충분한 물섭취 권장', 0.6586)]"
2021/03/29 11:28:16,64,경상남도 의령군,100617,3. 29.(월) 진주시 확진자(1명)이 3. 25.(목) 의령군 방문사실이 확인되어 동선 및 접촉자 조사중. 마스크 착용 등 방역수칙 준수 바랍니다,cbs,의령군,월,,"[('의령군 방문사실이', 0.6596)]"
2021/03/18 17:59:26,64,경상남도 의령군,98477,"창원 확진자1명(의령거주) 접촉자 다수로 동선 및 접촉자 조사중이며, 아프면 검사받고 집에서 쉬기, 이동자제 및 마스크착용 등 방역수칙 준수 바랍니다.",cbs,의령군,의령거주,,"[('의령거주 접촉자 다수로 동선', 0.7135)]"
2021/03/16 14:47:21,64,경상남도 의령군,98069,3월 10일(수) 14:10(마산출발) → 14:45(의령도착) 시외버스 탑승객께서는 가까운 선별진료소를 방문하여 코로나19 검사 받으시기 바랍니다.,cbs,의령군,수,,"[('방문하여 코로나19 검사', 0.55)]"
2021/03/15 21:45:29,64,경상남도 의령군,97980,3월 10일(수) 14:10(마산출발) → 14:45(의령도착) 시외버스 탑승객께서는 가까운 선별진료소를 방문하여 코로나19 검사 받으시기 바랍니다.,cbs,의령군,수,,"[('방문하여 코로나19 검사', 0.55)]"
2021/03/02 14:58:01,64,경상남도 의령군,95603,의령형 재난지원금 신청 안내▲신청기간:3.3.~3.31./대상:'21.2.22.이전부터 신청일까지 의령군에 주민등록자/장소:주소지 읍면사무소(신분증지참),cbs,의령군,신분증지참,,"[('의령형 재난지원금', 0.6703)]"
2021/02/14 17:21:02,64,경상남도 의령군,91829,"2. 15.~2. 28. 사회적거리두기 1.5단계로 조정 시행, 5인부터 사적모임 금지(직계가족 등 일부예외) 포함 방역수칙을 철저히 준수 바랍니다.",cbs,의령군,직계가족 등 일부예외,,"[('철저히 준수 바랍니다', 0.536)]"
2021/02/11 12:09:24,64,경상남도 의령군,91101,"설연휴(2. 11.~2. 14.) 5명부터 사적모임 금지(거주지 다른 가족,친지 포함) 등 방역수칙을 준수하여 안전한 설명절이 되도록 협조 바랍니다.",cbs,의령군,2. 11.~2. 14.,,"[('친지 포함 방역수칙을', 0.7013)]"
2021/02/07 16:22:46,64,경상남도 의령군,90354,"2. 8(월)부터 거리두기2단계 일부 조정 ▲식당·카페, 실내체육시설, 노래연습장 운영시간 연장 : 21시→22시 ▲5인부터 사적모임 금지는 유지됩니다",cbs,의령군,월,,"[('노래연습장 운영시간 연장', 0.4704)]"
2021/02/01 08:53:35,64,경상남도 의령군,88946,"2.1.(월)~2.14.(일) 사회적거리두기 2단계 연장 시행(※1주 뒤 재판단 후 조정), 5인이상 사적모임 금지 포함 방역수칙 준수 바랍니다.",cbs,의령군,월,,"[('사회적거리두기 2단계 연장', 0.4875)]"
2021/01/28 12:45:43,64,경상남도 의령군,87943,"금일 13시 의령군 강풍주의보 발효 예정. 기온하강 대비 노약자 외출자제, 옥외간판 및 비닐하우스 등 시설물 파손과 낙하물 피해 주의바랍니다.",cbs,의령군,,,"[('비닐하우스 시설물', 0.6526)]"
2021/01/16 11:28:39,64,경상남도 의령군,84627,"1. 18.(월)~1. 31.(일) 사회적거리두기 2단계 연장 시행 ▲ 5명부터 사적모임 금지 ▲ 유흥,단란주점 집합금지 등 방역수칙 준수 바랍니다.",cbs,의령군,월,,"[('단란주점 집합금지', 0.4701)]"
2021/01/12 06:58:39,64,경상남도 의령군,83459,1월 7일(목) 08:00~12:00 사이 의령 행복사우나를 방문하신 분은 의령군보건소를 방문하여 코로나19 진단검사를 받으시기 바랍니다.,cbs,의령군,목,,"[('의령 행복사우나를 방문하신 분은', 0.586)]"
2021/01/11 22:13:44,64,경상남도 의령군,83456,"1. 11.(월) 진주국제기도원 관련 의령군 확진자 1명 발생, 이동동선 및 접촉자 역학조사 중. 모임 금지, 외출 자제 및 방역수칙 준수 바랍니다.",cbs,의령군,월,,"[('접촉자 역학조사 모임', 0.3735)]"
2020/12/29 15:29:48,64,경상남도 의령군,78698,"12.28.(월) 의령군내 의료기관 코로나19 선제검사에서 의심증상이 발견되어, 오늘(12.29.(화)) 재검사 결과 모두 음성으로 판정되었습니다.",cbs,의령군,월,,"[('의심증상이 발견되어 오늘 12', 0.6054)]"
2020/12/24 11:30:19,64,경상남도 의령군,76780,20.12.24~21.1.3 특별방역 ▲식당 5인이상 동반입장 및 모임금지 ▲종교시설 비대면 ▲숙박시설 50%제한 ▲해맞이행사 금지. 적극 협조바랍니다.,cbs,의령군,,,"[('5인이상 동반입장 모임금지 종교시설', 0.5567)]"
2020/12/18 13:51:12,64,경상남도 의령군,74659,"최근 전국에서 1,000명이상, 대구,부산,울산,창원,김해 등에서 코로나19 집단감염발생.주말 외부이동과 행사모임자제,마스크착용과 방역수칙 준수바랍니다.",cbs,의령군,,,"[('최근 전국에서 000명이상 대구', 0.6689)]"
