create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/11/19 12:11:16,93,경상북도 의성군,206871,"오늘 밤 영하4도 날씨예보 ▲<도로결빙주의>교통안전 주의 ▲농축산피해 및 수도동파 대비 ▲대기건조, 산불 등 화재 주의 ▲외출자제 및 한랭질환에 유의",cbs,의성군청,,,"[('주의 외출자제 한랭질환에', 0.7513)]"
2023/11/17 14:56:11,93,경상북도 의성군,206772,21시부터 한파영향 ▲<도로결빙주의>교통안전 유의 ▲농축산 냉해 및 수도동파 방지 조치 ▲외출자제 및 한랭질환 유의 ▲난방기 화재 주의바랍니다,cbs,의성군청,,,"[('21시부터 한파영향 도로결빙주의 교통안전', 0.7565)]"
2023/11/12 16:25:23,93,경상북도 의성군,206694,16일(목)까지 최저기온이 영하로 떨어질 예정▲농축산물 피해 및 수도동파 방지조치▲난방기기 화재 및 질식사고 주의▲한랭질환 등 건강관리에 유의바랍니다.,cbs,의성군청,목,,"[('떨어질 예정 농축산물 피해', 0.5775)]"
2023/08/22 15:18:45,93,경상북도 의성군,203982,"낮 최고기온30℃ 이상▲차량 내 거동불편자, 아동 방치금지▲수분섭취, 그늘 휴식▲외출자제▲외출시 양산사용 등 온열질환에 유의바랍니다.",cbs,의성군청,,,"[('최고기온30 이상 차량 거동불편자', 0.6156)]"
2023/08/21 14:21:43,93,경상북도 의성군,203909,"8월 말까지 폭염 지속 전망 ▲낮 시간대 야외활동, 실외작업 자제 ▲폭염안전수칙(물, 그늘, 휴식)지키기 등 건강에 유의바랍니다.",cbs,의성군청,"물, 그늘, 휴식",,"[('폭염 지속 전망', 0.5393)]"
2023/08/21 11:06:52,93,경상북도 의성군,203877,"낮 최고기온33℃ 이상 ▲오전9시 이후 논, 밭 야외작업 자제 ▲물 자주 마시기 등 폭염안전수칙을 준수하여 건강에 유의 바랍니다.",cbs,의성군청,,,"[('이후 야외작업 자제', 0.6369)]"
2023/08/20 18:58:37,93,경상북도 의성군,203840,"옥산면 인근 많은 비가 예상되오니, 하천, 저수지 등 위험지역 접근을 자제하고, 불필요한 외출을 삼가는 등 안전에 유의바랍니다.",cbs,의성군청,,,"[('접근을 자제하고 불필요한 외출을', 0.7003)]"
2023/08/20 14:35:18,93,경상북도 의성군,203800,"낮 최고기온30℃ 이상▲차량 내 거동불편자, 아동 방치금지▲수분섭취, 그늘 휴식▲외출자제▲외출시 양산사용 등 온열질환에 유의바랍니다.",cbs,의성군청,,,"[('최고기온30 이상 차량 거동불편자', 0.6156)]"
2023/08/20 10:30:12,93,경상북도 의성군,203752,"8월 말까지 폭염 지속 전망 ▲낮 시간대 야외활동, 실외작업 자제 ▲폭염안전수칙(물, 그늘, 휴식)지키기 등 건강에 유의바랍니다.",cbs,의성군청,"물, 그늘, 휴식",,"[('폭염 지속 전망', 0.5393)]"
2023/08/19 10:27:58,93,경상북도 의성군,203675,"8월 말까지 폭염 지속 전망 ▲낮 시간대 야외활동, 실외작업 자제 ▲폭염안전수칙(물, 그늘, 휴식)지키기 등 건강에 유의바랍니다.",cbs,의성군청,"물, 그늘, 휴식",,"[('폭염 지속 전망', 0.5393)]"
2023/08/15 14:38:13,93,경상북도 의성군,203368,"낮 최고기온30℃ 이상▲차량 내 거동불편자, 아동 방치금지▲수분섭취, 그늘 휴식▲외출자제▲외출시 양산사용 등 온열질환에 유의바랍니다.",cbs,의성군청,,,"[('최고기온30 이상 차량 거동불편자', 0.6156)]"
2023/08/15 11:09:51,93,경상북도 의성군,203326,"8월 말까지 폭염 지속 전망 ▲낮 시간대 야외활동, 실외작업 자제 ▲폭염안전수칙(물, 그늘, 휴식)지키기 등 건강에 유의바랍니다.",cbs,의성군청,"물, 그늘, 휴식",,"[('폭염 지속 전망', 0.5393)]"
2023/08/14 15:20:55,93,경상북도 의성군,203266,"낮 최고기온 30℃ 이상 ▲차량 내 거동불편자, 아동 방치금지 ▲수분섭취, 그늘 휴식 ▲외출자제 ▲외출 시 양산사용 등 온열질환에 유의바랍니다",cbs,의성군청,,,"[('수분섭취 그늘 휴식 외출자제', 0.6252)]"
2023/08/14 10:37:01,93,경상북도 의성군,203217,"8월 말까지 폭염 지속 전망 ▲낮 시간대 야외활동, 실외작업 자제 ▲폭염안전수칙(물,그늘,휴식) 지키기 등 건강에 유의바랍니다",cbs,의성군청,"물,그늘,휴식",,"[('지속 전망', 0.5763)]"
2023/08/13 14:13:50,93,경상북도 의성군,203159,"낮 최고기온 30℃ 이상▲차량 내 거동불편자, 아동 방치금지▲수분 섭취, 그늘 휴식▲외출 자제▲외출 시 양산사용 등 온열질환에 유의바랍니다.",cbs,의성군청,,,"[('방치금지 수분', 0.6105)]"
2023/08/13 10:13:22,93,경상북도 의성군,203113,"8월 말까지 폭염 지속 전망 ▲낮 시간대 야외활동, 실외작업 자제 ▲폭염안전수칙(물, 그늘, 휴식)지키기 등 건강에 유의바랍니다.",cbs,의성군청,"물, 그늘, 휴식",,"[('폭염 지속 전망', 0.5393)]"
2023/08/12 14:11:30,93,경상북도 의성군,203088,"낮 최고기온28℃ 이상▲차량 내 거동불편자, 아동 방치금지▲수분섭취, 그늘 휴식▲외출자제▲외출시 양산사용 등 온열질환에 유의바랍니다.",cbs,의성군청,,,"[('최고기온28 이상 차량 거동불편자', 0.6156)]"
2023/08/12 10:25:16,93,경상북도 의성군,203072,"8월 말까지 폭염 지속 전망 ▲오후6시까지 야외활동, 실외작업 자제 ▲폭염안전수칙(물, 그늘, 휴식)지키기 등 건강에 유의바랍니다.",cbs,의성군청,"물, 그늘, 휴식",,"[('지키기 건강에', 0.5138)]"
2023/08/09 16:29:09,93,경상북도 의성군,202082,"태풍 '카눈' 북상중. 강한 바람과 호우가 예상됩니다. 간판, 창문 등을 고정하여 주시고, 위험지역 접근을 자제하여 주시기 바랍니다.",cbs,의성군청,,,"[('간판 창문 등을', 0.43)]"
2023/08/09 10:05:51,93,경상북도 의성군,201877,"제6호 태풍 '카눈' 영향으로 9~10일 강한 바람과 호우가 예상됩니다▲노후주택, 상습침수지역 주민은 안전한 곳으로 사전 대피, 안전에 유의바랍니다.",cbs,의성군청,,,"[('바람과 호우가 예상됩니다 노후주택', 0.5317)]"
