create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/11/06 16:04:00,45,경기도 의왕시,206554,"의왕지역 강풍주의보 발효 중, 낙하물 안전사고에 유의하시고 옥외광고물, 비닐하우스, 공사장 펜스 등 시설물은 고정하여 주시기 바랍니다.",cbs,의왕시청,,,"[('비닐하우스 공사장 펜스 시설물은', 0.7207)]"
2023/11/06 08:21:07,45,경기도 의왕시,206517,"금일 호우. 강풍이 예상되오니 낙하물 주의, 하천변 산책로, 저지대 출입 자제 등 안전에 유의하시기 바랍니다.",cbs,의왕시청,,,"[('호우 강풍이 예상되오니', 0.7467)]"
2023/09/05 19:56:35,45,경기도 의왕시,204919,"현재 의왕시 국지성 집중호우 중으로, 하천변 산책로 등 위험지역 출입을 금지하여 주시기 바라며, 침수 여부를 수시로 확인하여 주시기 바랍니다.",cbs,의왕시청,,,"[('현재 의왕시', 0.7352)]"
2023/08/22 14:58:00,45,경기도 의왕시,203976,"8.22~24일 호우에 따라 하천변 산책로를 통제하오니, 산책로, 저지대 등 위험지역 출입을 자제하시기 바라며, 주택 침수에 유의하시기 바랍니다.",cbs,의왕시청,,,"[('산책로 저지대 위험지역', 0.5638)]"
2023/08/21 10:40:55,45,경기도 의왕시,203872,"의왕시 폭염주의보 발효 중. 낮시간대 야외·농업활동, 건설현장 실외작업을 자제하고 폭염안전수칙(물,그늘,휴식) 지키기 등 건강에 유의하시기 바랍니다.",cbs,의왕시청,"물,그늘,휴식",,"[('건설현장 실외작업을 자제하고 폭염안전수칙', 0.6845)]"
2023/08/20 10:32:27,45,경기도 의왕시,203753,"의왕시 폭염주의보 발효 중. 낮시간대 야외·농업활동, 건설현장 실외작업을 자제하고 폭염안전수칙(물,그늘,휴식) 지키기 등 건강에 유의하시기 바랍니다.",cbs,의왕시청,"물,그늘,휴식",,"[('건설현장 실외작업을 자제하고 폭염안전수칙', 0.6845)]"
2023/08/19 10:21:01,45,경기도 의왕시,203674,"의왕시 폭염주의보 발효 중. 낮시간대 야외·농업활동, 건설현장 실외작업을 자제하고 폭염안전수칙(물,그늘,휴식) 지키기 등 건강에 유의하시기 바랍니다.",cbs,의왕시청,"물,그늘,휴식",,"[('건설현장 실외작업을 자제하고 폭염안전수칙', 0.6845)]"
2023/08/18 09:05:02,45,경기도 의왕시,203570,"의왕시 폭염주의보 발효 중. 낮시간대 야외·농업활동, 건설현장 실외작업을 자제하고 폭염안전수칙(물,그늘,휴식) 지키기 등 건강에 유의하시기 바랍니다.",cbs,의왕시청,"물,그늘,휴식",,"[('건설현장 실외작업을 자제하고 폭염안전수칙', 0.6845)]"
2023/08/17 09:44:37,45,경기도 의왕시,203485,"의왕시 폭염주의보 발효 중. 낮시간대 야외·농업활동, 건설현장 실외작업을 자제하고 폭염안전수칙(물,그늘,휴식) 지키기 등 건강에 유의하시기 바랍니다.",cbs,의왕시청,"물,그늘,휴식",,"[('건설현장 실외작업을 자제하고 폭염안전수칙', 0.6845)]"
2023/08/16 13:09:19,45,경기도 의왕시,203437,"의왕시 폭염주의보 발효 중. 낮시간대 야외·농업활동, 건설현장 실외작업을 자제하고 폭염안전수칙(물,그늘,휴식) 지키기 등 건강에 유의하시기 바랍니다.",cbs,의왕시청,"물,그늘,휴식",,"[('건설현장 실외작업을 자제하고 폭염안전수칙', 0.6845)]"
2023/08/15 11:13:44,45,경기도 의왕시,203327,"의왕시 폭염주의보 발효 중. 낮시간대 야외·농업활동, 건설현장 실외작업을 자제하고 폭염안전수칙(물,그늘,휴식) 지키기 등 건강에 유의하시기 바랍니다.",cbs,의왕시청,"물,그늘,휴식",,"[('건설현장 실외작업을 자제하고 폭염안전수칙', 0.6845)]"
2023/08/14 11:21:14,45,경기도 의왕시,203226,"의왕시 폭염주의보 발효 중. 낮시간대 야외·농업활동, 건설현장 실외작업을 자제하고, 폭염안전수칙(물,그늘,휴식)지키기 등 건강에 유의바랍니다.",cbs,의왕시청,"물,그늘,휴식",,"[('농업활동 건설현장', 0.7416)]"
2023/08/13 11:52:32,45,경기도 의왕시,203139,"의왕시 폭염주의보 발효 중. 낮시간대 야외·농업활동, 건설현장 실외작업을 자제하고, 폭염안전수칙(물,그늘,휴식)지키기 등 건강에 유의바랍니다.",cbs,의왕시청,"물,그늘,휴식",,"[('농업활동 건설현장', 0.7416)]"
2023/08/09 18:50:59,45,경기도 의왕시,202174,"태풍 카눈 북상에 따라 밤부터 많은 비와 강풍 예보로 하천 출입을 통제하며, 하천변 및 공사장 등 위험지역 출입을 삼가 바랍니다.",cbs,의왕시청,,,"[('출입을 통제하며', 0.6768)]"
2023/08/09 11:23:04,45,경기도 의왕시,201921,"8월9일(수) 11시부로 의왕시 폭염경보 해제 및 폭염주의보 발효. 외출 및 야외 작업 시 안전관리(물, 그늘, 휴식 등)에 유의 바랍니다.",cbs,의왕시청,수,,"[('폭염주의보 발효', 0.482)]"
2023/08/08 13:04:48,45,경기도 의왕시,201728,"폭염경보 발효 중. 낮시간대(13~17시) 야외·농업활동, 건설현장 실외작업을 자제하고, 폭염안전수칙(물,그늘,휴식)지키기 등 건강에 유의바랍니다.",cbs,의왕시청,13~17시,,"[('야외 농업활동 건설현장 실외작업을', 0.6124)]"
2023/08/08 09:33:15,45,경기도 의왕시,201671,"현재 폭염경보 발효 중. ▲농업인 및 실외근로자 야외작업 자제▲특히, 1인 작업 매우 위험▲폭염안전수칙(물,그늘,휴식)지키기 등 안전에 유의바랍니다.",cbs,의왕시청,"물,그늘,휴식",,"[('매우 위험 폭염안전수칙 그늘', 0.6212)]"
2023/08/07 14:22:13,45,경기도 의왕시,201604,"폭염경보 발효 중. 낮시간대(14~17시) 야외·농업활동, 건설현장 실외작업을 자제하고, 폭염안전수칙(물,그늘,휴식)지키기 등 건강에 유의바랍니다.",cbs,의왕시청,14~17시,,"[('그늘 휴식 지키기 건강에', 0.6261)]"
2023/08/07 09:30:29,45,경기도 의왕시,201520,"현재 폭염경보 발효 중. ▲농업인 및 실외근로자 야외작업 자제▲특히, 1인 작업 매우 위험▲폭염안전수칙(물,그늘,휴식)지키기 등 안전에 유의바랍니다.",cbs,의왕시청,"물,그늘,휴식",,"[('매우 위험 폭염안전수칙 그늘', 0.6212)]"
2023/08/06 17:10:43,45,경기도 의왕시,201489,"호우주의보 발효. 많은 비가 예상되오니 하천변, 산책로, 계곡, 산사태위험지역, 상습침수지역 등 위험지역 접근을 자제하여 주시기 바랍니다.",cbs,의왕시청,,,"[('위험지역 접근을 자제하여', 0.7313)]"
2023/08/06 09:57:52,45,경기도 의왕시,201343,"현재 폭염경보 발효 중. ▲농업인 및 실외근로자 야외작업 자제▲특히, 1인 작업 매우 위험▲폭염안전수칙(물,그늘,휴식)지키기 등 안전에 유의바랍니다.",cbs,의왕시청,"물,그늘,휴식",,"[('매우 위험 폭염안전수칙 그늘', 0.6212)]"
2023/08/05 09:23:34,45,경기도 의왕시,201146,"현재 폭염경보 발효 중. ▲농업인 및 실외근로자 야외작업 자제▲특히, 1인 작업 매우 위험▲폭염안전수칙(물,그늘,휴식)지키기 등 안전에 유의바랍니다.",cbs,의왕시청,"물,그늘,휴식",,"[('매우 위험 폭염안전수칙 그늘', 0.6212)]"
2023/08/04 10:18:37,45,경기도 의왕시,201009,"현재 폭염경보 발효 중. ▲농업인 및 실외근로자 야외작업 자제▲특히, 1인 작업 매우 위험▲폭염안전수칙(물,그늘,휴식)지키기 등 안전에 유의바랍니다.",cbs,의왕시청,"물,그늘,휴식",,"[('매우 위험 폭염안전수칙 그늘', 0.6212)]"
2023/08/03 15:41:08,45,경기도 의왕시,200960,"현재 폭염경보 발효 중. ▲농업인 및 실외근로자 야외작업 자제▲특히, 1인 작업 매우 위험▲폭염안전수칙(물,그늘,휴식)지키기 등 안전에 유의바랍니다.",cbs,의왕시청,"물,그늘,휴식",,"[('매우 위험 폭염안전수칙 그늘', 0.6212)]"
