create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/09/16 19:00:59,46,경기도 의정부시,205249,"집중호우 대비 조치로 하천변 산책로를 사전 통제하고 있으니, 출입을 삼가시고 안전에 유의하시기 바랍니다.",cbs,의정부시,,,"[('있으니 출입을 삼가시고 안전에', 0.7182)]"
2023/08/29 12:17:38,46,경기도 의정부시,204541,"많은 비가 내리고 있습니다. 하천변 산책로, 산간지역, 둔치주차장 출입을 금하여 주시고, 반지하주택, 저지대 등 침수에 주의하시기 바랍니다.",cbs,의정부시,,,"[('반지하주택 저지대', 0.6917)]"
2023/08/28 17:20:27,46,경기도 의정부시,204525,"집중호우 대비 조치로 하천변 산책로, 둔치주차장을 사전통제하고 있으니 출입을 삼가시고 안전에 유의하시기 바랍니다.",cbs,의정부시,,,"[('안전에 유의하시기 바랍니다', 0.7388)]"
2023/08/23 11:33:12,46,경기도 의정부시,204155,"의정부시 호우주의보 발효중. 하천변 산책로, 둔치주차장을 통제하고 있으니 출입을 삼가시고, 안전에 유의하시기 바랍니다.",cbs,의정부시,,,"[('통제하고 있으니 출입을 삼가시고', 0.7393)]"
2023/08/23 11:05:10,46,경기도 의정부시,204136,"오늘 23일 14시부터 20분간 민방위 훈련 실시, 대피소 확인(네이버, 카카오) 차량통제(시청 앞, 의정부역 동부, 회룡역, 홈플러스 사거리)",cbs,의정부시,"네이버, 카카오",,"[('카카오 차량통제 시청', 0.6473)]"
2023/08/22 20:10:37,46,경기도 의정부시,204033,"집중호우 대비 조치로 하천변 산책로, 둔치주차장을 사전통제하고 있으니 출입을 삼가시고, 안전에 유의하시기 바랍니다.",cbs,의정부시,,,"[('조치로 하천변', 0.7467)]"
2023/08/22 17:36:43,46,경기도 의정부시,204005,"많은 비가 예보되어 있습니다. 하천변 산책로, 둔치주차장 출입을 금하여 주시고, 반지하주택, 저지대 등 침수에 주의하시기 바랍니다.",cbs,의정부시,,,"[('주시고 반지하주택 저지대', 0.6971)]"
2023/08/22 08:51:15,46,경기도 의정부시,203926,"집중호우 대비 조치로 하천변 산책로, 둔치주차장을 사전통제하고 있으니 출입을 금지하여 주시기 바랍니다.",cbs,의정부시,,,"[('하천변 산책로', 0.7176)]"
2023/08/20 14:24:28,46,경기도 의정부시,203798,"폭염주의보 발효중. 물 충분히 마시기, 무더위 쉼터 이용, 실외작업장 폭염 안전수칙(물, 그늘, 휴식)지키기 등 안전에 유의바랍니다.",cbs,의정부시,"물, 그늘, 휴식",,"[('그늘 휴식 지키기', 0.686)]"
2023/08/14 10:36:59,46,경기도 의정부시,203216,"폭염주의보 발효중. 물 충분히 마시기, 무더위 쉼터 이용, 실외 작업장 폭염 안전수칙(물, 그늘, 휴식) 지키기 등 안전에 유의바랍니다.",cbs,의정부시,"물, 그늘, 휴식",,"[('이용 실외 작업장', 0.6761)]"
2023/08/13 15:29:13,46,경기도 의정부시,203171,"현재 의정부시 체감온도 32도입니다. 충분히 수분섭취, 양산 사용, 실외 작업장 폭염 안전수칙(물, 그늘, 휴식) 지키기 등 안전에 유의바랍니다.",cbs,의정부시,"물, 그늘, 휴식",,"[('휴식 지키기', 0.6433)]"
2023/08/10 17:48:53,46,경기도 의정부시,202974,"태풍 북상 중. 외출을 최대한 자제해주시고, 안전한 장소에 머물러 주시기 바랍니다. 또한 침수, 산사태 등 위험지역의 출입을 삼가주시기 바랍니다.",cbs,의정부시,,,"[('침수 산사태 위험지역의', 0.6463)]"
2023/08/10 15:21:53,46,경기도 의정부시,202892,"의정부시 태풍주의보 발효중. 하천변 산책로 및 침수취약구역 등 출입을 자제하여 주시고, 가급적 대중교통을 이용하시어 빗길 안전에 주의하시기 바랍니다.",cbs,의정부시,,,"[('침수취약구역 출입을 자제하여 주시고', 0.7682)]"
2023/08/10 13:53:15,46,경기도 의정부시,202817,"태풍이 북상중입니다. 외출을 자제해주시고, 안전한 장소에 머물러 주시기 바랍니다. 바람에 날아갈 수 있는 간판, 화분 등은 고정 바랍니다.",cbs,의정부시,,,"[('날아갈 있는 간판 화분', 0.5837)]"
2023/08/09 16:28:10,46,경기도 의정부시,202081,"강풍을 동반한 태풍이 몰려 올 예상이므로 간판, 공사장가림막 등 강풍에 떨어지지 않도록 단단히 고정시켜 주시고 가급적 외출을 자제해 주시기 바랍니다.",cbs,의정부시,,,"[('고정시켜 주시고 가급적 외출을', 0.7504)]"
2023/08/09 11:19:43,46,경기도 의정부시,201919,"8월9일(수) 11시부로 의정부시 폭염경보 해제 및 폭염주의보 발효. 외출 및 야외 작업 시 안전관리(물, 그늘, 휴식 등)에 유의 바랍니다.",cbs,의정부시,수,,"[('폭염주의보 발효', 0.4807)]"
2023/08/09 11:05:13,46,경기도 의정부시,201912,"태풍 대비 조치로 하천변 산책로, 둔치주차장을 사전통제하고 있으니 출입을 금지하여 주시기 바랍니다.",cbs,의정부시,,,"[('출입을 금지하여 주시기 바랍니다', 0.7145)]"
2023/08/09 08:10:39,46,경기도 의정부시,201824,"현재 의정부시 폭염경보 발효중. 야외활동 자제(논, 밭, 공사장 등), 충분한 물 마시기, 무더위 쉼터 이용, 양산 사용 등 건강관리에 유의바랍니다.",cbs,의정부시,"논, 밭, 공사장 등",,"[('폭염경보 발효중 야외활동 자제', 0.6897)]"
