create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2021/01/09 17:19:01,47,경기도 이천시,82880,"이천시190~199번 확진자발생(190~192번 이천시 거주, 193~197번 광주시 거주, 198~199번 이천생활치료센터 동반 입소 후 확진)",cbs,이천시청2-1,"190~192번 이천시 거주, 193~197번 광주시 거주, 198~199번 이천생활치료센터 동반 입소 후 확진",,"[('거주 193 197번 광주시', 0.7403)]"
2021/01/06 17:56:13,47,경기도 이천시,81605,"한파로 인해 7일(내일)부터 10일까지 남부치매안심센터(장호원읍 서동대로8809번길 30-15), 마장건강생활지원센터(마장면 중앙로 87)",cbs,이천시청2-1,내일,,"[('7일 내일 부터', 0.6169)]"
2020/12/28 18:13:16,47,경기도 이천시,78418,이천시151~156번 및 서울시 광진구 번호 미부여 확진자 발생 동선 파악 중입니다. 생활방역수칙을 준수하시기 바랍니다.(031-644-4036),cbs,이천시청2-1,031-644-4036,,"[('동선 파악 중입니다 생활방역수칙을', 0.6016)]"
2020/11/29 17:01:26,47,경기도 이천시,68655,"11.21(토) 뉴스프링빌CC(모가면 사실로 527번길 158) 10:28~10:41, 15:30~16:30 락커룸 이용자 중",cbs,이천시청2-1,토,,"[('30 락커룸', 0.465)]"
2020/11/03 16:32:44,47,경기도 이천시,63210,"평택시140번(80대,광주시곤지암읍 거주),광주219번(40대,광주시초월읍 거주)확진자 이천시동선 역학조사 및 접촉자 파악완료로 공개하지 않습니다",cbs,이천시청2-1,"80대,광주시곤지암읍 거주",,"[('이천시동선 역학조사 접촉자 파악완료로', 0.7211)]"
2020/10/30 17:58:42,47,경기도 이천시,62882,"광주시210번(40대,광주시오포읍 거주), 광주시211번(40대,광주시오포읍 거주)확진자 이천시동선 역학조사 및 접촉자파악완료로 공개하지 않습니다",cbs,이천시청2-1,"40대,광주시오포읍 거주",,"[('이천시동선 역학조사', 0.6134)]"
2020/10/27 10:11:44,47,경기도 이천시,62449,"이천시66번(30대, 남양주 진전읍 거주)확진자 발생. 동선 파악 중에 있음을 알려드립니다. 생활방역수칙을 준수하시기 바랍니다.",cbs,이천시청2-1,"30대, 남양주 진전읍 거주",,"[('동선 파악 중에 있음을', 0.5779)]"
2020/10/26 10:07:27,47,경기도 이천시,62354,"이천시63번(20대, 부발읍 거주)확진자 발생. 동선 파악 중에 있음을 알려드립니다. 생활방역수칙을 준수하시기 바랍니다.",cbs,이천시청2-1,"20대, 부발읍 거주",,"[('확진자 발생 동선 파악', 0.5948)]"
2020/10/16 16:19:23,47,경기도 이천시,61609,"10.10(토)18:00~20:00, 10.11(일)19:00~20:00 세명뼈해장국(부발읍경충대로1834) 방문자 중 유증상자와 (2-2계속)",cbs,이천시청2-1,토,,"[('10 18 00', 0.3284)]"
2020/10/12 17:55:22,47,경기도 이천시,61249,"마포구 181번 확진자(40대, 서울시 마포구 거주) 이천시 동선 파악완료. 안심하시고 생활방역수칙을 지켜서 방문하시길 바랍니다.",cbs,이천시청2-1,"40대, 서울시 마포구 거주",,"[('거주 이천시 동선', 0.6928)]"
2020/10/08 18:13:04,47,경기도 이천시,60796,"서대문구128번 확진자(50대,서울시 서대문구 거주) 이천시 동선 파악완료. 안심하시고 생활방역수칙을 지켜서 방문하시길 바랍니다.",cbs,이천시청2-1,"50대,서울시 서대문구 거주",,"[('서울시 서대문구 거주', 0.6371)]"
2020/09/29 10:30:10,47,경기도 이천시,59325,"구로구180번(50대,서울시 구로구 거주)확진자 이천시동선 및 접촉자 파악. 안심하시고 생활방역수칙을 지켜서 방문바랍니다(031-644-4036)",cbs,이천시청2-1,"50대,서울시 구로구 거주",,"[('서울시 구로구 거주', 0.5931)]"
2020/09/16 15:48:30,47,경기도 이천시,57216,"강북구139번(60대, 강북구 번동 거주)확진자 이천시 접촉자파악 및 소독완료. 안심하시고 생활방역수칙을 지켜서 방문하시길 바랍니다.",cbs,이천시청2-1,"60대, 강북구 번동 거주",,"[('강북구 번동', 0.6787)]"
2020/09/16 14:31:23,47,경기도 이천시,57201,"송파구306번(30대,송파구문정동 거주)확진자 이천시 접촉자파악 및 소독완료. 안심하시고 생활방역수칙을 지켜서 방문하시길 바랍니다.",cbs,이천시청2-1,"30대,송파구문정동 거주",,"[('접촉자파악 소독완료', 0.6196)]"
2020/09/14 12:27:22,47,경기도 이천시,56856,9.8(화)12:30~14:00돌담토종순대국(중리천로14번길12)방문자 및 9.8(화)14:00~15:30판야커피본점(중리천로31번길2) 방문자,cbs,이천시청2-1,화,,"[('00돌담토종순대국 중리천로14번길12', 0.4083)]"
2020/09/13 13:53:39,47,경기도 이천시,56682,"이천시47번(80대, 장호원읍 거주)확진자 이천시 동선파악 및 소독완료 안심하시고 생활방역수칙을 지켜서 방문하시길 바랍니다.",cbs,이천시청2-1,"80대, 장호원읍 거주",,"[('지켜서 방문하시길 바랍니다', 0.7221)]"
2020/09/13 13:22:11,47,경기도 이천시,56674,"이천시45번(50대, 송정동 거주)확진자 이천시 동선파악 및 소독완료 안심하시고 생활방역수칙을 지켜서 방문하시길 바랍니다",cbs,이천시청2-1,"50대, 송정동 거주",,"[('안심하시고 생활방역수칙을 지켜서 방문하시길', 0.7237)]"
2020/09/06 20:05:44,47,경기도 이천시,54733,"이천시 29번 확진자(30대, 중리동 거주) 이천시 동선소독 및 접촉자 파악완료. 안심하시고 생활방역수칙을 지켜서 방문하시길 바랍니다",cbs,이천시청2-1,"30대, 중리동 거주",,"[('동선소독 접촉자', 0.6864)]"
2020/09/06 17:52:10,47,경기도 이천시,54635,"성남시 350번 확진자(30대,성남시 중원구 거주) 이천시 동선소독 및 접촉자 파악완료. 안심하시고 생활방역수칙을 지켜서 방문하시길 바랍니다.",cbs,이천시청2-1,"30대,성남시 중원구 거주",,"[('30대 성남시 중원구 거주', 0.6733)]"
2020/09/03 10:10:03,47,경기도 이천시,53485,"화성시 105번 확진자(80대, 화성시 신장동 거주) 이천시 동선 파악 완료, 안심하시고 생활방역수칙을 지켜서 방문하시기 바랍니다.",cbs,이천시청2-1,"80대, 화성시 신장동 거주",,"[('파악 완료 안심하시고 생활방역수칙을', 0.687)]"
2020/09/01 19:07:19,47,경기도 이천시,52499,"이천시 25번 확진자(80대, 신둔면 거주) 이천시 자가격리 중 확진판정, 역학조사 결과 이천시 이동동선 및 접촉자 없습니다.",cbs,이천시청2-1,"80대, 신둔면 거주",,"[('역학조사 결과 이천시 이동동선', 0.7765)]"
2020/09/01 16:48:51,47,경기도 이천시,52447,"시흥시 87번 확진자(30대,시흥시 논곡동 거주) 이천시동선 밀접접촉자 파악완료. 안심하시고 생활방역수칙을 지켜서 방문하시기 바랍니다",cbs,이천시청2-1,"30대,시흥시 논곡동 거주",,"[('시흥시 87번 확진자', 0.6999)]"
2020/08/28 21:17:19,47,경기도 이천시,51049,"서울시 노원구 168번 확진자(50대,상계동),8.20(목)15:20～15:24 이천롯데프리미엄아울렛 베이커리 매장 밀접접촉자 없습니다.",cbs,이천시청2-1,"50대,상계동",,"[('이천롯데프리미엄아울렛 베이커리 매장', 0.5733)]"
2020/08/28 16:11:43,47,경기도 이천시,50892,"원주시 96번 확진자(김ㅇㅇ, 20대, 원주시 단계동), 8.21(금) 12:10～12:53 장호원읍 소재의 ㅇㅇ음식점 방문",cbs,이천시청2-1,"김ㅇㅇ, 20대, 원주시 단계동",,"[('소재의 ㅇㅇ음식점 방문', 0.6576)]"
