create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/11/17 17:41:42,211,전라북도 익산시,206782,"내일 오전까지 기온 하강과 더불어 비 또는 눈이 예보되어 있습니다. 도로 결빙이 우려되오니 되도록 대중교통을 이용하시고, 운전 시 서행하시기 바랍니다.",cbs,익산시,,,"[('대중교통을 이용하시고', 0.7122)]"
2023/09/20 19:39:50,211,전라북도 익산시,205506,"오늘 19시 15분 호우주의보 발효. 저지대, 침수 우려지역 등 위험지역에서는 가족, 이웃과 정보를 공유하고 안전한 곳으로 대피하시기 바랍니다.",cbs,익산시,,,"[('공유하고 안전한 곳으로', 0.6392)]"
2023/09/16 16:11:38,211,전라북도 익산시,205223,"현재 호우주의보 발효중입니다. 하천변, 저지대, 산사태 위험지역 등 위험지역에 접근하지 마시고 호우피해가 없도록 안전에 유의하시기 바랍니다.",cbs,익산시,,,"[('하천변 저지대', 0.7101)]"
2023/09/16 07:19:14,211,전라북도 익산시,205129,"06:20분 호우주의보 발효. 급경사지, 침수위험지역 등 위험지역에 접근하지 마시고 호우피해가 없도록 안전에 유의하시기 바랍니다.",cbs,익산시,,,"[('06 20분 호우주의보', 0.6735)]"
2023/09/06 13:57:05,211,전라북도 익산시,204939,"현재 익산지역 폭염주의보 발효중으로 무덥습니다. 야외활동 자제(논밭, 공사장 등), 충분한 수분섭취와 휴식 등 건강에 유의하시기 바랍니다.",cbs,익산시,"논밭, 공사장 등",,"[('야외활동 자제', 0.564)]"
2023/09/05 10:24:02,211,전라북도 익산시,204893,"현재 익산지역 폭염주의보 발효중. 야외활동 자제(논밭, 공사장 등), 충분한 수분섭취와 휴식 등 건강에 유의하시기 바랍니다.",cbs,익산시,"논밭, 공사장 등",,"[('충분한 수분섭취와 휴식', 0.7117)]"
2023/08/11 10:28:42,"7441,7443,7444,7445,7446,7447,7448,7449,7455","전라북도 익산시,전라북도 익산시,전라북도 익산시,전라북도 익산시,전라북도 익산시,전라북도 익산시,전라북도 익산시,전라북도 익산시,전라북도 익산시",203047,금일 10시 10분부로 웅포면 송천리 73-2(숭림산태봉골 앞) ~ 송천리 21-16(송천사거리) 도로 통제가 해제되었습니다.,cbs,익산시,숭림산태봉골 앞,,"[('10분부로 웅포면 송천리', 0.5405)]"
2023/08/10 11:03:57,211,전라북도 익산시,202654,"금일 10시 태풍경보 발효 ▲외출 및 하천변 위험지역 출입자제 ▲산사태, 급경사지, 세월교등 위험지역 접근금지 ▲논밭관리 행위자제 ▲낙하물등 주의",cbs,익산시,,,"[('하천변 위험지역 출입자제', 0.7378)]"
2023/08/10 07:48:01,211,전라북도 익산시,202404,"태풍 영향으로 강한 비와 강풍이 불고 있어 산사태 우려지역, 급경사지, 하천변 등 위험지역에 접근을 금지하시고, 출근길 안전 확보를 당부드립니다.",cbs,익산시,,,"[('급경사지 하천변', 0.7651)]"
2023/08/09 23:54:03,"7441,7443,7444,7445,7446,7447,7448,7449,7455","전라북도 익산시,전라북도 익산시,전라북도 익산시,전라북도 익산시,전라북도 익산시,전라북도 익산시,전라북도 익산시,전라북도 익산시,전라북도 익산시",202285,웅포면 송천리 73-2(숭림산태봉골 앞) ~ 송천리 21-16(송천사거리) 도로 차단으로 인해 차량 진입이 불가하오니 다른 도로로 우회하시기 바랍니다.,cbs,익산시,숭림산태봉골 앞,,"[('숭림산태봉골 송천리 21', 0.5683)]"
2023/08/09 14:36:43,211,전라북도 익산시,201999,"태풍이 북상중으로, 외출 자제 부탁드립니다. 또한 옥외광고물, 간판, 현수막, 낙하위험물 등은 미리 고정하는 등 안전조치 바랍니다.",cbs,익산시,,,"[('고정하는 안전조치', 0.6505)]"
2023/08/08 14:45:54,211,전라북도 익산시,201767,"현재 익산지역 폭염경보 발효중입니다. 야외활동 자제(논밭, 공사장 등), 충분한 수분섭취와 휴식 등으로 건강에 유의하시기 바랍니다.",cbs,익산시,"논밭, 공사장 등",,"[('자제 논밭 공사장 충분한', 0.555)]"
2023/08/08 10:29:43,211,전라북도 익산시,201687,"현재 폭염경보 발효중으로 굉장히 무덥습니다. 야외활동 자제(논밭,공사장 등), 충분한 수분 섭취와 휴식 등으로 건강에 유의하시기 바랍니다.",cbs,익산시,"논밭,공사장 등",,"[('건강에 유의하시기', 0.533)]"
2023/08/07 14:53:04,211,전라북도 익산시,201610,"현재 익산지역 폭염경보 발효중입니다. 야외활동 자제(논밭, 공사장 등), 충분한 수분섭취와 휴식 등으로 건강에 유의하시기 바랍니다.",cbs,익산시,"논밭, 공사장 등",,"[('자제 논밭 공사장 충분한', 0.555)]"
2023/08/07 11:11:19,211,전라북도 익산시,201551,"현재 폭염경보 발효중으로 굉장히 무덥습니다. 야외활동 자제(논밭,공사장 등), 충분한 수분 섭취와 휴식 등으로 건강에 유의하시기 바랍니다.",cbs,익산시,"논밭,공사장 등",,"[('건강에 유의하시기', 0.533)]"
2023/08/06 20:43:31,211,전라북도 익산시,201499,"오늘 20:00 호우주의보 발효. 하천변, 급경사지 등 위험지역에 접근하지 마시고 호우피해가 없도록 안전에 유의하여 주시기 바랍니다.",cbs,익산시,,,"[('호우주의보 발효 하천변', 0.6447)]"
2023/08/06 14:30:33,211,전라북도 익산시,201464,"현재 폭염경보 발효중으로 굉장히 무덥습니다. 야외활동 자제(논밭, 공사장 등), 충분한 수분 섭취와 휴식 등으로 건강에 유의바랍니다.",cbs,익산시,"논밭, 공사장 등",,"[('자제 논밭 공사장 충분한', 0.5539)]"
2023/08/06 11:31:33,211,전라북도 익산시,201401,"연이은 폭염경보 상황입니다. 야외활동 자제(논밭,공사장 등), 충분한 수분섭취와 휴식 등 건강에 유의하시기 바랍니다.",cbs,익산시,"논밭,공사장 등",,"[('충분한 수분섭취와', 0.5296)]"
2023/08/05 16:09:20,211,전라북도 익산시,201303,"현재 폭염경보 지속중으로 굉장히 무덥습니다. 야외활동 자제(논밭, 공사장 등), 충분한 수분섭취와 휴식 등 건강에 유의하시기 바랍니다.",cbs,익산시,"논밭, 공사장 등",,"[('수분섭취와 휴식 건강에', 0.5491)]"
