create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2021/05/11 10:57:50,211,전라북도 익산시,104950,만60~74세 코로나19예방접종사전예약 ▶예약기간 ①만70~74세(5/6~6/3)②만65~69세(5/10~6/3)③만60~64세(5/13~6/3),cbs,익산시청1,5/6~6/3,74세,"[('②만65 69세', 0.6065)]"
2021/04/25 15:48:49,211,전라북도 익산시,103277,강화된 사회적 거리두기 1.5단계 시행 일 시 : 2021.04.25 21:00 ~ 2021.05.02 24:00,cbs,익산시청1,,,"[('2021 04 25', 0.438)]"
2021/03/14 16:05:57,211,전라북도 익산시,97723,사회적 거리 두기 1.5단계 연장 시행 (3.15 00:00 ~ 3.28 24:00) ▲유흥시설 영업시간 제한 해제,cbs,익산시청1,3.15 00:00 ~ 3.28 24:00,,"[('시행 15 00', 0.6066)]"
2021/03/13 15:01:21,211,전라북도 익산시,97527,사회적 거리두기 1.5단계 연장 시행 (3.15 00:00 ~ 3.28 24:00) ▲유흥시설 영업시간 제한 해제,cbs,익산시청1,3.15 00:00 ~ 3.28 24:00,,"[('24 00 유흥시설', 0.6103)]"
2021/02/28 21:01:36,211,전라북도 익산시,95279,▣익산202번~204번(전북1196번~1198번)-전북1192번 확진자 접촉 ※역학조사 및 이동동선 파악완료. 의심증상시 보건소 선별진료소 상담바람,cbs,익산시청1,전북1196번~1198번,,"[('역학조사 이동동선', 0.5831)]"
2021/02/07 17:19:43,211,전라북도 익산시,90378,"사회적거리두기2단계 일부조정 시행알림 기간:2/8 00시~2/14 24시 대상:식당,카페,실내체육시설,노래연습장,방문판매업,파티룸<22시이후운영제한>",cbs,익산시청1,,,"[('기간 00시 14 24시', 0.541)]"
2021/02/06 10:43:32,211,전라북도 익산시,90048,사회적 거리두기 조정에 따른 일부 시설 운영 시간 완화 적용기간:2021.02.08(월) 00:00 ~ 2021.02.14(일) 24:00,cbs,익산시청1,월,,"[('조정에 따른 일부', 0.602)]"
2021/01/17 19:19:09,211,전라북도 익산시,85195,사회적 거리두기 2단계 연장 시행(2021.01.18 00:00 ~ 2021.01.31 24:00)카페:매장 내 취식 허용(1시간 이내 머무르기),cbs,익산시청1,2021.01.18 00:00 ~ 2021.01.31 24:00,,"[('시행 2021 01', 0.703)]"
2021/01/17 14:51:17,211,전라북도 익산시,84996,"밤사이 대설로 인하여 도로결빙이 우려되오니, 출근길 서행운전, 내집앞 눈치우기, 노약자 외출자제, 눈길 미끄럼주의 바랍니다.",cbs,익산시청1,,,"[('출근길 서행운전', 0.7094)]"
2021/01/16 13:44:51,211,전라북도 익산시,84685,사회적 거리두기 2단계 연장 시행(2021.01.18 00:00 ~ 2021.01.31 24:00) 카페:매장 내 취식 허용(1시간 이내 머무르기),cbs,익산시청1,2021.01.18 00:00 ~ 2021.01.31 24:00,,"[('시행 2021 01', 0.703)]"
2020/12/29 09:09:57,211,전라북도 익산시,78494,"▣코로나 확진자 발생, 익산158번~169번(전북796번~807번)/12월28일 확진자 관련입니다.",cbs,익산시청1,전북796번~807번,,"[('전북796번 807번', 0.5568)]"
2020/12/17 23:16:49,211,전라북도 익산시,74491,"코로나확진자 6명발생▣익산139번~141번(열린문교회관련 접촉자)▣익산142번,144번(자가격리해제전 확진)▣익산143번(서울 확진자의 접촉자)",cbs,익산시청1,열린문교회관련 접촉자,,"[('접촉자 익산142번 144번', 0.6169)]"
2020/12/17 08:50:24,211,전라북도 익산시,74153,12.1.~12.14. 경북 경산시 열린문기도원(진량읍 대학로 1055)에 방문하신 분은 보건소 및 익산역 선별진료소에서 방문검사 바랍니다.,cbs,익산시청1,진량읍 대학로 1055,,"[('보건소 익산역', 0.5941)]"
2020/12/03 13:49:50,211,전라북도 익산시,69667,"강화된 사회적 거리두기 2단계(12.3 00:00~별도 조치 시 까지) 집합금지시설 1.유흥시설(콜라텍, 유흥주점, 단란주점, 감성주점, 헌팅포차)",cbs,익산시청1,12.3 00:00~별도 조치 시 까지,,"[('유흥주점 단란주점', 0.5902)]"
2020/12/03 10:43:10,211,전라북도 익산시,69622,"(정정)▶익산108,110번(자가격리중 확진으로 이동동선 없음)▶익산109번(현재 역학조사 및 접촉자 검사진행중) 마스크착용 등 방역수칙 준수바랍니다",cbs,익산시청1,정정,,"[('확진으로 이동동선', 0.6628)]"
