create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2022/12/23 17:39:09,12,강원도 인제군,187035,"금일 밤부터 지속되는 한파의 영향이 전망되오니, 도로결빙에 따른 안전사고 유의, 노약자 외출자제, 동파 및 전열 기기 화재 예방 등 적극 유의바랍니다.",cbs,인제군,,,"[('영향이 전망되오니 도로결빙에 따른', 0.6642)]"
2022/09/30 11:03:59,12,강원도 인제군,175088,"▶9.30.(금) 0시기준 확진자 18명▶60세이상,면역저하자 코로나 동절기 추가접종▶사전예약 ncvr.kdca.go.kr ▶인제군보건소460-2516",cbs,인제군,금,60세,"[('18명 60세이상 면역저하자 코로나', 0.5038)]"
2022/09/29 11:33:15,12,강원도 인제군,174956,"▶9.29.(목) 0시기준 확진자 16명▶60세이상,면역저하자 코로나 동절기 추가접종▶사전예약 ncvr.kdca.go.kr ▶인제군보건소460-2516",cbs,인제군,목,60세,"[('사전예약 ncvr', 0.5138)]"
2022/09/28 11:15:30,12,강원도 인제군,174829,9.28.(수) 0시기준 확진자 23명 ▶만50세이상 4차접종 바랍니다. ▶사전예약 ncvr.kdca.go.kr ▶인제군보건소 ☎460-2516,cbs,인제군,수,50세,"[('kr 인제군보건소 460', 0.4934)]"
2022/09/27 10:56:22,12,강원도 인제군,174690,9.27.(화) 0시기준 확진자 16명 ▶만50세이상 4차접종 바랍니다. ▶사전예약 ncvr.kdca.go.kr ▶인제군보건소 ☎460-2516,cbs,인제군,화,50세,"[('만50세이상 4차접종 바랍니다', 0.4916)]"
2022/09/26 11:16:19,12,강원도 인제군,174568,9.26.(월) 0시기준 확진자 16명 ▶만50세이상 4차접종 바랍니다. ▶사전예약 ncvr.kdca.go.kr ▶인제군보건소 ☎460-2516,cbs,인제군,월,50세,"[('0시기준 확진자', 0.4915)]"
2022/09/23 13:24:27,12,강원도 인제군,174190,9.23.(금) 0시기준 확진자 15명 ▶만50세이상 4차접종 바랍니다. ▶사전예약 ncvr.kdca.go.kr ▶인제군보건소 ☎460-2516,cbs,인제군,금,50세,"[('ncvr kdca kr 인제군보건소', 0.4819)]"
2022/09/22 11:13:55,12,강원도 인제군,174053,9.22.(목) 0시기준 확진자 18명 ▶만50세이상 4차접종 바랍니다. ▶사전예약 ncvr.kdca.go.kr ▶인제군보건소 ☎460-2516,cbs,인제군,목,50세,"[('확진자 18명 만50세이상 4차접종', 0.4929)]"
2022/09/21 11:14:14,12,강원도 인제군,173933,9.21.(수) 0시기준 확진자 20명 ▶만50세이상 4차접종 바랍니다. ▶사전예약 ncvr.kdca.go.kr ▶인제군보건소 ☎460-2516,cbs,인제군,수,50세,"[('ncvr kdca kr 인제군보건소', 0.4882)]"
2022/09/20 11:15:33,12,강원도 인제군,173805,9.20.(화) 0시기준 확진자 29명 ▶만50세이상 4차접종 바랍니다. ▶사전예약 ncvr.kdca.go.kr ▶인제군보건소 ☎460-2516,cbs,인제군,화,50세,"[('바랍니다 사전예약 ncvr kdca', 0.4796)]"
