create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/11/04 20:06:26,168,인천광역시 전체,206444,"11.5(일)~11.6(월) 많은 비가 예상됩니다. 반지하·하천변·급경사지 등 위험지역은 기상상황을 확인하시고, 침수 등 위험징후 시 대피바랍니다.",cbs,인천광역시,일,,"[('급경사지 위험지역은 기상상황을', 0.4824)]"
2023/09/30 16:00:07,"169,172,173,175,176,177,178","인천광역시 강화군,인천광역시 남동구,인천광역시 동구,인천광역시 서구,인천광역시 연수구,인천광역시 옹진군,인천광역시 중구",205804,"10.1(일) 04~07,17~20시 인천지역 해수면의 수위차가 큰 대조기로 해안가 및 저지대 침수, 범람 등의 우려가 있으니 안전에 유의 바랍니다.",cbs,인천광역시,일,,"[('해수면의 수위차가 대조기로 해안가', 0.679)]"
2023/09/29 16:01:13,"169,172,173,175,176,177,178","인천광역시 강화군,인천광역시 남동구,인천광역시 동구,인천광역시 서구,인천광역시 연수구,인천광역시 옹진군,인천광역시 중구",205794,"9.30(토) 04~07,16~19시 인천지역 해수면의 수위차가 큰 대조기로 해안가 및 저지대 침수, 범람 등의 우려가 있으니 안전에 유의 바랍니다.",cbs,인천광역시,토,,"[('대조기로 해안가 저지대', 0.6931)]"
2023/09/28 15:35:09,168,인천광역시 전체,205773,갯벌 고립사고 빈번하게 발생. 대조기 관련 야간 해루질 등 해양 활동은 자제하여주시고 특히 위험지역은 접근금지 바랍니다.,cbs,인천광역시,,,"[('활동은 자제하여주시고', 0.7772)]"
2023/09/02 16:00:40,168,인천광역시 전체,204835,"9.3(일) 05~08시 인천지역 해수면의 수위차가 큰 대조기로 해안가 및 저지대 지역 침수, 범람 등의 우려가 있으므로 안전에 유의하시기 바랍니다.",cbs,인천광역시,일,,"[('해수면의 수위차가 대조기로 해안가', 0.661)]"
2023/09/01 15:53:50,"169,172,173,175,176,177,178","인천광역시 강화군,인천광역시 남동구,인천광역시 동구,인천광역시 서구,인천광역시 연수구,인천광역시 옹진군,인천광역시 중구",204779,"9.2(토) 05~08시 인천지역 해수면의 수위차가 큰 대조기로 해안가 및 저지대 지역 침수, 범람 등의 우려가 있으므로 안전에 유의하시기 바랍니다.",cbs,인천광역시,토,,"[('해수면의 수위차가 대조기로 해안가', 0.6712)]"
2023/08/31 15:50:10,"169,172,173,175,176,177,178","인천광역시 강화군,인천광역시 남동구,인천광역시 동구,인천광역시 서구,인천광역시 연수구,인천광역시 옹진군,인천광역시 중구",204723,"9.1(금) 04~07시 인천지역 해수면의 수위차가 큰 대조기로 해안가 및 저지대 지역 침수, 범람 등의 우려가 있으므로 안전에 유의하시기 바랍니다.",cbs,인천광역시,금,,"[('해수면의 수위차가 대조기로 해안가', 0.6414)]"
2023/08/23 10:01:36,168,인천광역시 전체,204098,"오늘(23일) 오후 2시부터 20분간 민방위훈련 실시. 차량은 문학경기장, 만수역, 부평역 일원에서 경찰의 안내에 따라 15분간 통제됩니다.",cbs,인천광역시,23일,,"[('안내에 따라 15분간', 0.6434)]"
2023/08/07 20:10:06,168,인천광역시 전체,201652,"현재 하천변 산책로 출입을 통제중에 있으며, 야간 집중호우시 반지하주택 등 침수가 우려되는 경우 즉시 안전한 곳(지상)으로 대피하시기 바랍니다.",cbs,인천광역시,지상,,"[('산책로 출입을 통제중에', 0.7498)]"
2023/08/04 16:00:57,"169,172,173,175,176,177,178","인천광역시 강화군,인천광역시 남동구,인천광역시 동구,인천광역시 서구,인천광역시 연수구,인천광역시 옹진군,인천광역시 중구",201115,"8.5(토) 06~09시 인천지역 해수면의 수위차가 큰 대조기로 해안가 및 저지대 지역 침수, 범람 등의 우려가 있으므로 안전에 유의하시기 바랍니다.",cbs,인천광역시,토,,"[('해안가 저지대 지역', 0.6883)]"
2023/08/03 14:31:09,"169,171,172,173,175,176,177,178","인천광역시 강화군,인천광역시 미추홀구,인천광역시 남동구,인천광역시 동구,인천광역시 서구,인천광역시 연수구,인천광역시 옹진군,인천광역시 중구",200939,"8.4(금) 05~08시 인천지역 해수면의 수위차가 큰 대조기로 해안가 및 저지대 지역 침수, 범람 등의 우려가 있으므로 안전에 유의하시기 바랍니다.",cbs,인천광역시,금,,"[('범람 등의 우려가', 0.6685)]"
2023/07/30 11:07:41,"170,171,172,173,174,175,176,178","인천광역시 계양구,인천광역시 미추홀구,인천광역시 남동구,인천광역시 동구,인천광역시 부평구,인천광역시 서구,인천광역시 연수구,인천광역시 중구",200282,"인천 폭염경보 발효. 낮시간 야외활동 자제, 물 자주 마시기(외출 시 생수 지참), 작업자 휴식취하기, 부모님 안부전화 등 건강관리에 유의바랍니다.",cbs,인천광역시,외출 시 생수 지참,,"[('지참 작업자', 0.7142)]"
2023/07/29 14:26:47,168,인천광역시 전체,200174,"인천 폭염경보 발효. 낮시간 야외활동 자제, 물 자주 마시기(외출 시 생수 지참), 작업자 휴식취하기, 부모님 안부전화 등 건강관리에 유의바랍니다.",cbs,인천광역시,외출 시 생수 지참,,"[('지참 작업자', 0.7142)]"
2023/07/22 22:04:55,168,인천광역시 전체,199402,"현재 하천변 산책로 출입을 통제중에 있으며, 야간 집중호우시 반지하주택 등 침수가 우려되는 경우 즉시 안전한 곳(지상)으로 대피하시기 바랍니다.",cbs,인천광역시,지상,,"[('산책로 출입을 통제중에', 0.7498)]"
2023/07/21 18:32:27,168,인천광역시 전체,199160,대만 등 해외발송 유해물질로 의심되는 우편물을 수령하였을 경우 개봉하지 마시고 즉시 112 또는 119로 신고하여 주시기 바랍니다.,cbs,인천광역시,,,"[('또는 119로 신고하여', 0.6478)]"
2023/07/15 09:11:47,168,인천광역시 전체,197783,"계속된 장맛비로 산사태·축대(담장) 붕괴 등 위험이 높습니다. 호우 시, 산림·급경사지의 인접한 주택에 머물지 마시고 안전한 곳으로 대피바랍니다.",cbs,인천광역시,담장,,"[('산림 급경사지의', 0.6839)]"
2023/07/13 19:42:13,168,인천광역시 전체,197147,"인천지역 많은 비가 예상됩니다. 하천주변 산책로, 급경사지·침수위험시설 등 접근금지, 산사태우려지역 대피준비, 침수 등 안전에 유의하시기 바랍니다.",cbs,인천광역시,,,"[('접근금지 산사태우려지역 대피준비', 0.7756)]"
2023/07/11 15:35:22,168,인천광역시 전체,196824,"오늘15시 인천지역 호우경보 발효. 야영객 대피, 지하차도·상습침수구역·산사태우려지역 등 재해우려지역 접근주의 및 안전에 유의바랍니다.",cbs,인천광역시,,,"[('재해우려지역 접근주의 안전에', 0.7713)]"
2023/07/04 21:29:09,168,인천광역시 전체,196484,"인천지역 밤 사이 많은 비가 예상됩니다. 지하침수 시 대피, 위험지역 접근금지, 산사태우려지역 대피준비, 불필요한 외출자제 등 안전에 유의바랍니다.",cbs,인천광역시,,,"[('예상됩니다 지하침수 대피 위험지역', 0.7481)]"
2023/07/04 16:00:53,168,인천광역시 전체,196421,"인천지역 천둥·번개를 동반한 많은 비가 예상됩니다. 야영객 대피, 급경사지·침수위험시설 등 위험지역 접근자제 및 안전에 유의하시기 바랍니다.",cbs,인천광역시,,,"[('급경사지 침수위험시설 위험지역 접근자제', 0.7333)]"
2023/04/12 07:37:15,168,인천광역시 전체,194382,4월12일 6시 인천지역 황사 위기경보 주의단계 발령. 보건용 마스크착용 및 실외활동 자제 등 개인건강에 유의하시기 바랍니다(032-440-3520),cbs,인천광역시,032-440-3520,,"[('발령 보건용', 0.5708)]"
2023/04/04 09:58:10,168,인천광역시 전체,194126,"12세 이상 코로나19 기초접종(1차,2차)완료자 추가접종 사전예약 안내(ncvr.kdca.go.kr)",cbs,인천광역시,"1차,2차",12세,"[('완료자 추가접종 사전예약', 0.6037)]"
