create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/03/23 19:53:38,168,인천광역시 전체,193770,3월 23일 18시 인천지역 황사 위기경보 “주의”단계 발령. 보건용 마스크 착용 및 실외활동 자제 등 개인건강에 유의하여 주시기 바랍니다.,cbs,인천광역시청,,,"[('위기경보 주의', 0.6131)]"
2022/10/24 10:00:15,168,인천광역시 전체,178100,10월24일 코로나 확진 937명. 기초접종 완료 60세이상 및 면역저하자 동절기 코로나 추가접종 사전예약 안내(ncvr.kdca.go.kr),cbs,인천광역시청,ncvr.kdca.go.kr,60세,"[('면역저하자 동절기 코로나 추가접종', 0.5396)]"
2021/12/18 12:59:46,168,인천광역시 전체,134433,"오늘 13시 대설주의보 발효. 대중교통을 이용하여 주시고 내 집 앞 눈 치우기, 시설물 피해예방, 낙상 주의 등 안전에 유의 바랍니다.",cbs,인천광역시청,,,"[('주의 안전에 유의', 0.5736)]"
2021/07/21 11:07:14,168,인천광역시 전체,113721,"금일 폭염경보로 임시선별검사소 운영시간이 9~13시, 16~17시로 변경됩니다. 거주지 보건소는 21시까지 코로나19 검사가 가능하니 참고하세요.",cbs,인천광역시청,,,"[('21시까지 코로나19 검사가', 0.63)]"
2021/07/17 10:31:29,"169,170,171,172,173,174,175,176,178","인천광역시 강화군,인천광역시 계양구,인천광역시 미추홀구,인천광역시 남동구,인천광역시 동구,인천광역시 부평구,인천광역시 서구,인천광역시 연수구,인천광역시 중구",113054,인천(옹진군 제외) 폭염주의보 발효 중. 노약자는 밭농사 및 바깥활동을 자제하시고 냉방기를 작동시켜 적정한 실내온도를 유지하시기 바랍니다.,cbs,인천광역시청,옹진군 제외,,"[('제외 폭염주의보 발효 노약자는', 0.659)]"
2021/07/15 16:07:01,168,인천광역시 전체,112802,"인천(옹진군 제외) 폭염주의보 발효 중입니다. 선별검사소 이용 시 고령자께서는 무더운 시간대(11~16시)를 피하고 양산, 음료를 지참바랍니다.",cbs,인천광역시청,옹진군 제외,,"[('인천 옹진군', 0.6299)]"
2021/07/14 10:27:19,168,인천광역시 전체,112478,"코로나19감염이 확산중입니다. 3밀(밀폐, 밀접, 밀집)환경을 피하고 감염의심시에는 신속히 임시선별검사소나 보건소에서 진단검사 받으시기 바랍니다.",cbs,인천광역시청,"밀폐, 밀접, 밀집",,"[('환경을 피하고 감염의심시에는', 0.5775)]"
2021/07/03 12:17:21,168,인천광역시 전체,110776,"오후부터 강풍을 동반한 호우(50~100mm) 예보. 야영객대피, 해안가 등 위험지역 출입자제, 공사장 시설물 안전조치 등 안전에 유의 바랍니다.",cbs,인천광역시청,50~100mm,,"[('오후부터 강풍을', 0.505)]"
2021/04/15 11:18:55,168,인천광역시 전체,102215,4.9.(금) 14시~16시 중구 중산동 소재 고래해물칼국수(은하수로 43) 방문자는 신분증 지참후 주소지 보건소에서 코로나19 검사바랍니다.,cbs,인천광역시청,금,,"[('고래해물칼국수 은하수로 43', 0.5419)]"
2021/03/31 14:36:40,168,인천광역시 전체,101118,인천시에서는 코로나19 방역대책 일환으로 벚꽃 개화 극성수기(4.3.~4.11.) 인천대공원·월미공원·자유공원·수봉공원을 전면 폐쇄 합니다.,cbs,인천광역시청,4.3.~4.11.,,"[('방역대책 일환으로 벚꽃 개화', 0.5696)]"
