create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/08/01 10:36:13,175,인천광역시 서구,200579,"10:35 현재 석남동 223-468 일원 화학물질 유출사고가 수습되어, 주민들께 일상생활 복귀 가능함을 알려드립니다.",cbs,인천서구청,,,"[('주민들께 일상생활 복귀 가능함을', 0.5293)]"
2022/11/17 17:54:43,175,인천광역시 서구,181318,금일(17일) 16시경 수도권매립지내에서 부취제(가스 인식용 첨가제)가 누출되어 검암경서동 일원 악취발생. 추가누출 없도록 조치완료하였습니다.,cbs,인천서구청,17일,,"[('인식용 첨가제 누출되어', 0.6165)]"
2022/06/30 17:22:05,175,인천광역시 서구,161827,"금일 16:14 산사태주의보 발령(공촌동,심곡동,가정동,석남동) 산사태우려지역 접근 자제 및 유사 시 안전한 곳으로 대피바랍니다(0325604796)",cbs,인천서구청,"공촌동,심곡동,가정동,석남동",,"[('가정동 석남동 산사태우려지역 접근', 0.603)]"
2021/11/05 15:14:49,175,인천광역시 서구,128480,"10/25(월)~11/4(목) 천지호24시불가마사우나(검단로502번길18) 여탕 방문자는 가까운 보건소,임시선별진료소에서 코로나검사 받으시기 바랍니다",cbs,인천서구청,월,,"[('가까운 보건소 임시선별진료소에서 코로나검사', 0.5308)]"
2021/09/09 20:55:17,175,인천광역시 서구,121648,"8/30(월)~9/8(수) 쭌이네한식포차김밥(서구 석남동 222-17) 방문자는 보건소,임시선별진료소(검암, 아시아드DT)에서 코로나 검사바랍니다",cbs,인천서구청,월,,"[('검암 아시아드dt 에서', 0.4874)]"
2021/09/09 20:54:42,175,인천광역시 서구,121647,"8/30(월)~9/9(목) 석남혁신물류센터공사현장(서구 석남동 224-20)방문자는 보건소,임시선별진료소(검암, 아시아드DT)에서 코로나 검사바랍니다",cbs,인천서구청,월,,"[('30 석남혁신물류센터공사현장 서구', 0.4652)]"
2021/08/21 16:35:16,175,인천광역시 서구,118699,"8/9(월)~8/20(금) 포차일번지(서구 서달로179번길 12-4) 방문자는 보건소, 임시선별진료소(검암, 아시아드DT)에서 코로나 검사 바랍니다.",cbs,인천서구청,월,,"[('검암 아시아드dt 에서', 0.4031)]"
2021/08/17 11:06:27,175,인천광역시 서구,117964,"8.8~8.16 하모니마트 당하점(고산후로95번길 16)방문자는 보건소, 임시선별진료소(검암역, 아시아드DT)에서 코로나검사를 받으시기 바랍니다",cbs,인천서구청,고산후로95번길 16,,"[('에서 코로나검사를', 0.5807)]"
2021/08/12 15:54:18,175,인천광역시 서구,117247,"8/3 12:00~13:00 가정동식당(서구 봉오재3로 115 2층)방문자는 보건소, 임시선별진료소(검암역,아시아드경기장DT)에서 코로나검사바랍니다",cbs,인천서구청,서구 봉오재3로 115 2층,,"[('봉오재3로 115', 0.4641)]"
2021/08/11 10:11:23,175,인천광역시 서구,117002,"8/5 18:30~21:45 이디야커피검단사거리(서구 검단로 480)방문자는 보건소, 임시선별진료소(검암역, 아시아드DT)에서 코로나검사바랍니다.",cbs,인천서구청,서구 검단로 480,,"[('서구 검단로', 0.4894)]"
