create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/11/06 08:51:25,168,인천광역시 전체,206523,"강풍 대비 건설현장·철탑 등 비산우려시설의 결박·고정을 철저히 해주시고, 비산·낙하물로 인명피해가 발생하지 않도록 가급적 외출을 삼가주시기 바랍니다.",cbs,인천시,,,"[('고정을 철저히 해주시고', 0.7236)]"
2023/09/20 12:50:28,168,인천광역시 전체,205388,"돌풍·번개를 동반한 많은 비가 예상됩니다. 하천변산책로·농수로는 범람·휩쓸림 위험이 있으니 접근하지마시고, 반지하주택은 사전대피·침수에 대비해주세요.",cbs,인천시,,,"[('번개를 동반한', 0.7838)]"
2023/08/29 10:52:45,168,인천광역시 전체,204538,"강풍과 천둥·번개를 동반한 강한비가 예상됩니다. 반지하·하천변 등 위험지역에서는 주변상황(기상 등)을 확인하시고, 위험 징후가 보이면 즉시 대피하세요.",cbs,인천시,기상 등,,"[('동반한 강한비가', 0.7469)]"
2023/08/22 18:00:09,168,인천광역시 전체,204012,"인천지역 많은 비가 예상됩니다. 하천산책로, 산사태우려지역(급경사지) 등 위험지역은 접근하지마시고, 반지하주택 등은 사전대피 및 침수에 대비해 주세요.",cbs,인천시,급경사지,,"[('인천지역 많은 비가', 0.7835)]"
2023/08/10 09:16:38,168,인천광역시 전체,202513,"태풍이 북상중입니다. 불필요한 외출을 자제하시고, 실내에 머물러 주시기바랍니다. 강풍대비 비닐하우스·간판·창문은 미리 고정하고 화분등은 실내로 옮겨주세요",cbs,인천시,,,"[('주시기바랍니다 강풍대비', 0.6272)]"
2023/07/13 09:33:42,168,인천광역시 전체,196988,"인천지역 많은 비가 예상됩니다. 하천주변 산책로, 계곡 등 위험지역 접근금지, 산사태우려지역 대피준비, 침수 등 안전에 유의하시기 바랍니다.",cbs,인천시,,,"[('안전에 유의하시기 바랍니다', 0.7681)]"
2023/06/29 07:25:34,168,인천광역시 전체,196072,"인천지역 천둥·번개 동반한 많은 비가 예상됩니다. 야영객 대피, 위험지역 접근금지, 상습침수구역·산사태우려지역 유사시 대피준비 등 안전에 유의바랍니다.",cbs,인천시,,,"[('번개 동반한 많은', 0.7392)]"
2023/06/12 20:01:14,168,인천광역시 전체,195561,"대기 불안정으로 오늘 늦은밤에서 새벽사이 천둥, 번개를 동반한 소나기가 예상됨에 따라 야외활동 자제/낙뢰 발생시 안전한곳(실내)으로 대피하시기 바랍니다.",cbs,인천시,실내,,"[('대기 불안정으로 오늘', 0.7138)]"
2023/06/11 18:00:11,168,인천광역시 전체,195542,"대기불안정으로 오늘 늦은밤(21~24시) 천둥, 번개를 동반한 소나기가 예상됨에 따라 야외활동 자제/낙뢰 발생시 안전한곳(실내)으로 대피하시기 바랍니다.",cbs,인천시,21~24시,,"[('21 24시 천둥', 0.6766)]"
2023/01/25 18:01:28,168,인천광역시 전체,191846,"대설예비특보 발표. 오늘 늦은 밤부터 많은 눈 예상. 내일 출근길 대중교통 적극이용, 가급적 외출자제, 시설물 피해 등 대설 피해에 유의하시기 바랍니다",cbs,인천시,,,"[('대중교통 적극이용 가급적 외출자제', 0.6626)]"
2022/12/22 17:55:45,168,인천광역시 전체,186706,"인천지역 한파로 기온이 급감하여 야외활동 자제, 외출시 방한용품 착용, 수도계량기 동파 등에 유의 하시기 바랍니다.",cbs,인천시,,,"[('기온이 급감하여 야외활동', 0.6954)]"
2022/12/21 17:01:52,168,인천광역시 전체,186420,"오늘 21시부터 인천지역 한파로 인한 강추위 예상. 야외활동 자제, 외출시 방한용품 착용, 수도계량기 동파 방지 당부드립니다.",cbs,인천시,,,"[('인한 강추위', 0.5869)]"
2022/12/17 11:30:06,168,인천광역시 전체,185612,"금일 대설로 이면도로 및 골목길 등이 미끄러울 수 있습니다. 운전 시 안전주의, 내 집앞 눈 치우기, 빙판길 낙상사고 등 안전에 유의하시기 바랍니다.",cbs,인천시,,,"[('대설로 이면도로 골목길', 0.7209)]"
2022/12/13 17:28:17,168,인천광역시 전체,184897,"오늘 21시부터 인천지역 한파로 인한 강추위 예상. 야외활동 자제, 외출시 방한용품 착용, 농수산물 냉해 방지, 수도계량기 동파 방지 당부드립니다.",cbs,인천시,,,"[('한파로 인한 강추위', 0.6144)]"
2022/10/30 08:38:08,168,인천광역시 전체,178816,"이태원 압사 사고 관련 인천시민들께서는 주말 할로윈 축제를 자제하여주시고, 인천시민 실종자가 있을시 재난상황실로 연락 바랍니다.(440-1880~1)",cbs,인천시,440-1880~1,,"[('축제를 자제하여주시고 인천시민 실종자가', 0.6548)]"
2022/06/28 21:34:49,168,인천광역시 전체,161571,"호우예비특보 발표. 각종 사업장 유해 위험요인 제거 등 안전의무 확보하여 주시고, 산사태 하천범람 등 재해우려지역 주변 주민은 안전사고에 유의바랍니다.",cbs,인천시,,,"[('산사태 하천범람 재해우려지역', 0.692)]"
2022/06/23 10:32:49,168,인천광역시 전체,160919,"금일 10:00 호우주의보 발표. 오후~밤사이 돌풍, 천동, 번개를 동반한 강한 비가 예상되오니 가급적 외출을 삼가시고 피해에 유의바랍니다.",cbs,인천시,,,"[('금일 10 00 호우주의보', 0.6976)]"
2022/04/20 09:57:15,168,인천광역시 전체,152783,"4월20일 0시기준 코로나19 확진 5,435명 발생(시군구 홈페이지 참조).전문가용 신속항원검사(RAT) 병의원에서 상담/진료/처방 받을 수 있습니다.",cbs,인천시,시군구 홈페이지 참조,,"[('4월20일 0시기준', 0.4361)]"
2022/04/19 09:46:36,168,인천광역시 전체,152639,"4월19일 0시기준 코로나19 확진 6,668명 발생(시군구 홈페이지 참조) 다음, 네이버에 ""신속항원검사 병원"" 검색하여 주변 병원 확인 가능합니다.",cbs,인천시,시군구 홈페이지 참조,,"[('시군구 홈페이지 참조 다음', 0.6127)]"
2022/04/18 09:41:30,168,인천광역시 전체,152491,"4월18일 0시기준 코로나19 확진 2,487명 발생(시군구 홈페이지 참조) 다음, 네이버에 ""신속항원검사 병원"" 검색하여 주변 병원 확인 가능합니다.",cbs,인천시,시군구 홈페이지 참조,,"[('병원 확인', 0.6113)]"
2022/04/17 09:44:14,168,인천광역시 전체,152345,"4월17일 0시기준 코로나19확진 4,874명 발생 확진자는 전자식 확진자조사를 작성 제출해야하며, 재택치료안내는 시군구 홈페이지를 참고하시기 바랍니다.",cbs,인천시,,,"[('0시기준 코로나19확진', 0.5914)]"
2022/04/16 09:53:30,168,인천광역시 전체,152202,"4월16일 0시기준 코로나19확진 5,606명 발생 확진자는 전자식 확진자조사를 작성 제출해야하며, 재택치료안내는 시군구 홈페이지를 참고하시기 바랍니다.",cbs,인천시,,,"[('시군구 홈페이지를 참고하시기', 0.5993)]"
