create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2021/09/08 10:13:48,178,인천광역시 중구,121407,코로나19 재확산 방지를 위하여 추석 연휴(9.18.~22.) 영종공설묘지를 전면 폐쇄하오니 협조하여 주시기 바랍니다.,cbs,인천중구청,9.18.~22.,,"[('22 영종공설묘지를 전면 폐쇄하오니', 0.6366)]"
2021/07/20 17:01:50,178,인천광역시 중구,113623,"7월 20일 17시 기준 확진자 11명 발생(확진자접촉7, 증상발현4) 동선은 http://www.icjg.go.kr 참조 바랍니다.",cbs,인천중구청,"확진자접촉7, 증상발현4",,"[('icjg kr 참조', 0.5351)]"
2021/07/19 17:15:15,178,인천광역시 중구,113427,"7월 19일 17시 기준 확진자 6명 발생(확진자접촉3, 증상발현2, 해외입국1) 동선은 http://www.icjg.go.kr 참조 바랍니다.",cbs,인천중구청,"확진자접촉3, 증상발현2, 해외입국1",,"[('19일 17시 기준', 0.5767)]"
2021/07/18 17:14:25,178,인천광역시 중구,113239,7월 18일 17시 기준 확진자 3명 발생(확진자접촉3) 동선은 http://www.icjg.go.kr 참조 바랍니다.,cbs,인천중구청,확진자접촉3,,"[('기준 확진자', 0.5724)]"
2021/07/17 17:01:04,178,인천광역시 중구,113128,"7월 17일 17시 기준 확진자 6명 발생(확진자접촉3, 증상발현2, 해외입국1) 동선은 http://www.icjg.go.kr 참조 바랍니다.",cbs,인천중구청,"확진자접촉3, 증상발현2, 해외입국1",,"[('7월 17일 17시', 0.5868)]"
2021/07/16 17:21:33,178,인천광역시 중구,112975,"7월 16일 17시 기준 확진자 5명 발생(증상발현1, 확진자접촉3, 해외입국1) 동선은 http://www.icjg.go.kr 참조 바랍니다.",cbs,인천중구청,"증상발현1, 확진자접촉3, 해외입국1",,"[('확진자접촉3 해외입국1', 0.5663)]"
2021/07/15 17:00:01,178,인천광역시 중구,112816,"7월 15일 17시 기준 확진자 2명 발생(증상발현1, 확진자접촉1) 동선은 http://www.icjg.go.kr 참조 바랍니다.",cbs,인천중구청,"증상발현1, 확진자접촉1",,"[('발생 증상발현1', 0.5667)]"
2021/07/14 18:30:02,178,인천광역시 중구,112648,55~59세 백신접종사전예약【7.14 20:00 ~7.24까지】 ①홈페이지 ncvr.kdca.go.kr ②콜센터(1339) ③보건소(760-6840),cbs,인천중구청,1339,59세,"[('ncvr kdca kr', 0.4809)]"
2021/07/14 17:00:47,178,인천광역시 중구,112601,7월 14일 17시 기준 확진자 6명 발생(확진자접촉6) 동선은 http://www.icjg.go.kr 참조 바랍니다.,cbs,인천중구청,확진자접촉6,,"[('기준 확진자', 0.6137)]"
2021/07/13 17:03:26,178,인천광역시 중구,112415,"7월 13일 17시 기준 확진자 8명 발생(증상발현2, 확진자접촉4, 해외입국2) 동선은 http://www.icjg.go.kr 참조 바랍니다.",cbs,인천중구청,"증상발현2, 확진자접촉4, 해외입국2",,"[('8명 발생 증상발현2', 0.5594)]"
2021/07/12 17:02:55,178,인천광역시 중구,112277,"7월 12일 17시 기준 확진자 7명 발생(증상발현2, 출국전검사2, 확진자접촉3) 동선은 http://www.icjg.go.kr 참조 바랍니다.",cbs,인천중구청,"증상발현2, 출국전검사2, 확진자접촉3",,"[('확진자접촉3 동선은', 0.5208)]"
2021/07/11 17:04:35,178,인천광역시 중구,112101,7월11일 17시 기준 확진자 3명 발생(확진자접촉3). 동선은 http://www.icjg.go.kr 참조 바랍니다.,cbs,인천중구청,확진자접촉3,,"[('기준 확진자', 0.5627)]"
2021/07/10 16:59:50,178,인천광역시 중구,111952,"7월 10일 17시 기준 확진자 2명 발생(확진자접촉 1, 해외입국 1) 동선은 http://www.icjg.go.kr 참조 바랍니다.",cbs,인천중구청,"확진자접촉 1, 해외입국 1",,"[('www icjg kr 참조', 0.6244)]"
2021/07/09 17:22:05,178,인천광역시 중구,111789,"7월 9일 17시 기준 확진자 3명 발생(확진자접촉2, 해외입국1) 동선은 http://www.icjg.go.kr 참조 바랍니다.",cbs,인천중구청,"확진자접촉2, 해외입국1",,"[('www icjg kr 참조', 0.6078)]"
2021/07/08 17:05:06,178,인천광역시 중구,111642,"7월 8일 17시 기준 확진자 13명 발생(증상발현4, 해외입국9) 동선은 http://www.icjg.go.kr 참조 바랍니다.",cbs,인천중구청,"증상발현4, 해외입국9",,"[('발생 증상발현4 해외입국9 동선은', 0.589)]"
2021/07/07 17:02:01,178,인천광역시 중구,111466,"7월 7일 17시 기준 확진자 3명 발생(출국전검사1, 확진자접촉1, 해외입국1) 동선은 http://www.icjg.go.kr 참조 바랍니다.",cbs,인천중구청,"출국전검사1, 확진자접촉1, 해외입국1",,"[('발생 출국전검사1', 0.6199)]"
2021/07/06 17:01:46,178,인천광역시 중구,111261,7월 6일 17시 기준 확진자 1명 발생(증상발현1) 동선은 http://www.icjg.go.kr 참조 바랍니다.,cbs,인천중구청,증상발현1,,"[('증상발현1 동선은', 0.5825)]"
2021/07/05 17:02:58,178,인천광역시 중구,111034,7월 5일 17시 기준 확진자 1명 발생(증상발현1) 동선은 http://www.icjg.go.kr 참조 바랍니다.,cbs,인천중구청,증상발현1,,"[('증상발현1 동선은', 0.5848)]"
2021/07/04 17:04:47,178,인천광역시 중구,110917,"7월 4일 17시 기준 확진자 6명 발생(확진자접촉5, 증상발현1) 동선은 http://www.icjg.go.kr 참조 바랍니다.",cbs,인천중구청,"확진자접촉5, 증상발현1",,"[('기준 확진자', 0.558)]"
