create_date,location_id,location_name,md101_sn,msg,send_platform,cast,missing,age,keyword
2023/06/18 10:49:49,212,전라북도 임실군,195684,오늘 11시 부로 임실군 폭염주의보 발효. ▲한낮 밭 작업 등 야외 활동 자제 ▲충분한 물 섭취 ▲그늘 및 무더위쉼터 이용 등 안전에 유의 바랍니다.,cbs,임실군청,,,"[('활동 자제 충분한 섭취', 0.5492)]"
2023/01/29 11:21:01,212,전라북도 임실군,192267,"1월29일(일) 11시기준 확진자 3명(군민 1명) / 1.30.부터 실내마스크 착용 의무 해제(권고) / 단, 의료기관, 대중교통 등 의무유지",cbs,임실군청,일,,"[('의무 해제 권고', 0.5895)]"
2023/01/27 11:10:09,212,전라북도 임실군,192073,1월27일(금) 11시기준 확진자 8명(군민 4명) / 동절기 추가접종 사전예약없이 의료기관 확인 후 당일 접종가능,cbs,임실군청,금,,"[('사전예약없이 의료기관 확인 당일', 0.6257)]"
2023/01/26 11:15:20,212,전라북도 임실군,191951,1월26일(목) 11시기준 확진자 6명(군민 5명) / 동절기 추가접종 사전예약없이 의료기관 확인 후 당일 접종가능,cbs,임실군청,목,,"[('확인 당일 접종가능', 0.6521)]"
2023/01/25 11:32:47,212,전라북도 임실군,191812,1월25일(수) 11시기준 확진자 16명(군민 12명) / 동절기 추가접종 사전예약없이 의료기관 확인 후 당일 접종가능,cbs,임실군청,수,,"[('추가접종 사전예약없이 의료기관 확인', 0.647)]"
2023/01/24 11:04:25,212,전라북도 임실군,191620,1월24일(화) 11시기준 확진자 14명(군민 11명) / 설 연휴기간 진료기관 및 약국현황 참고하시기 바랍니다. https://zrr.kr/CyIn,cbs,임실군청,화,,"[('연휴기간 진료기관 약국현황', 0.5103)]"
2023/01/23 11:00:46,212,전라북도 임실군,191368,"1.23(월)10:00 임실군 한파특보 발표(21:00 한파경보발효예정)노약자 야외활동자제, 수도관보온조치, 농축산물피해예방 등 한파에 대비바랍니다.",cbs,임실군청,월,,"[('야외활동자제 수도관보온조치 농축산물피해예방', 0.5736)]"
2023/01/23 10:57:48,212,전라북도 임실군,191362,1월23일(월) 11시기준 확진자 6명(군민2명) / 임실군 설 연휴기간 진료기관 및 약국현황 참고하시기 바랍니다. https://zrr.kr/CyIn,cbs,임실군청,월,,"[('연휴기간 진료기관', 0.4984)]"
2023/01/22 11:03:24,212,전라북도 임실군,191268,1월22일(일) 11시기준 확진자 6명(군민 3명) / 설 연휴기간 진료기관 및 약국현황 참고하시기 바랍니다. https://zrr.kr/CyIn,cbs,임실군청,일,,"[('진료기관 약국현황', 0.4952)]"
2023/01/21 11:06:08,212,전라북도 임실군,191161,1월21일(토) 11시 기준 확진자 21명(군민 15명) / 코로나19 백신접종 참여 / 개인방역수칙 준수바랍니다.,cbs,임실군청,토,,"[('군민 15명 코로나19 백신접종', 0.6123)]"
2023/01/20 11:35:25,212,전라북도 임실군,191027,1월20일(금) 11시기준 확진자 13명(군민 6명) / 코로나19 백신접종 참여 / 개인방역수칙 준수바랍니다.,cbs,임실군청,금,,"[('개인방역수칙 준수바랍니다', 0.6071)]"
2023/01/19 11:40:23,212,전라북도 임실군,190903,1월19일(목) 11시기준 확진자 10명(군민 7명) / 코로나19 백신접종 참여 / 개인방역수칙 준수바랍니다.,cbs,임실군청,목,,"[('개인방역수칙 준수바랍니다', 0.5905)]"
2023/01/18 11:09:06,212,전라북도 임실군,190777,1월18일(수) 11시기준 확진자 19명(군민 13명) / 코로나19 백신접종 참여 / 개인방역수칙 준수바랍니다.,cbs,임실군청,수,,"[('개인방역수칙 준수바랍니다', 0.6101)]"
2023/01/17 11:07:56,212,전라북도 임실군,190651,1월17일(화) 11시기준 확진자 25명(군민 22명) / 코로나19 백신접종 참여 / 개인방역수칙 준수바랍니다.,cbs,임실군청,화,,"[('군민 22명', 0.5543)]"
2023/01/16 10:57:23,212,전라북도 임실군,190513,1월16일(월) 11시기준 확진자 10명(군민 7명) / 코로나19 백신접종 참여 / 개인방역수칙 준수바랍니다.,cbs,임실군청,월,,"[('개인방역수칙 준수바랍니다', 0.5719)]"
2023/01/15 11:02:39,212,전라북도 임실군,190354,1월15일(일) 11시기준 확진자 11명(군민 11명) / 코로나19 백신접종 참여 / 개인방역수칙 준수바랍니다.,cbs,임실군청,일,,"[('코로나19 백신접종 참여', 0.5423)]"
2023/01/14 11:11:55,212,전라북도 임실군,190211,1월14일(토) 11시기준 확진자 19명(군민 12명) / 코로나19 백신접종 참여 / 개인방역수칙 준수바랍니다.,cbs,임실군청,토,,"[('백신접종 참여 개인방역수칙 준수바랍니다', 0.5933)]"
2023/01/13 11:03:22,212,전라북도 임실군,190062,1월13일(금) 11시기준 확진자 15명(군민 12명) / 코로나19 백신접종 참여 / 개인방역수칙 준수바랍니다.,cbs,임실군청,금,,"[('참여 개인방역수칙 준수바랍니다', 0.5955)]"
2023/01/11 11:02:15,212,전라북도 임실군,189782,1월11일(수) 11시기준 확진자 28명(군민 23명) / 코로나19 백신접종 참여 / 개인방역수칙 준수바랍니다.,cbs,임실군청,수,,"[('백신접종 참여', 0.5568)]"
2023/01/10 11:09:13,212,전라북도 임실군,189654,1월10일(화) 11시기준 확진자 35명(군민 29명) / 코로나19 백신접종 참여 / 개인방역수칙 준수바랍니다.,cbs,임실군청,화,,"[('백신접종 참여', 0.5695)]"
2023/01/09 11:11:50,212,전라북도 임실군,189523,1월9일(월) 11시기준 확진자 22명(군민 20명) / 코로나19 백신접종 참여 / 개인방역수칙 준수바랍니다.,cbs,임실군청,월,,"[('백신접종 참여 개인방역수칙 준수바랍니다', 0.5932)]"
2023/01/08 11:05:15,212,전라북도 임실군,189380,1월8일(일) 11시기준 확진자 17명(군민 16명) / 코로나19 백신접종 참여 / 개인방역수칙 준수바랍니다.,cbs,임실군청,일,,"[('코로나19 백신접종 참여 개인방역수칙', 0.5798)]"
2023/01/07 11:31:01,212,전라북도 임실군,189241,1월7일(토) 11시기준 확진자 32명(군민 24명) / 코로나19 백신접종 참여 / 개인방역수칙 준수바랍니다.,cbs,임실군청,토,,"[('24명 코로나19', 0.6063)]"
2023/01/07 09:29:55,212,전라북도 임실군,189183,"금일(1.7.토) 6~21시 미세먼지 비상저감조치 발령/ 실외활동 자제, 마스크 철저, 불법소각 금지 등 개인 건강관리 유의 바람",cbs,임실군청,1.7.토,,"[('불법소각 금지', 0.6465)]"
2023/01/06 11:26:51,212,전라북도 임실군,189063,1월6일(금) 11시기준 확진자 42명(군민 38명) / 코로나19 백신접종 참여 / 개인방역수칙 준수바랍니다.,cbs,임실군청,금,,"[('개인방역수칙 준수바랍니다', 0.6068)]"
2023/01/05 11:06:21,212,전라북도 임실군,188911,1월5일(목) 11시기준 확진자 32명(군민 27명) / 코로나19 백신접종 참여 / 개인방역수칙 준수바랍니다.,cbs,임실군청,목,,"[('참여 개인방역수칙', 0.6037)]"
2023/01/04 11:23:23,212,전라북도 임실군,188780,1월4일(수) 11시기준 확진자 21명(군민 19명) / 코로나19 백신접종 참여 / 개인방역수칙 준수바랍니다.,cbs,임실군청,수,,"[('코로나19 백신접종 참여 개인방역수칙', 0.6039)]"
2023/01/03 11:20:21,212,전라북도 임실군,188641,1월3일(화) 11시기준 확진자 38명(군민 31명) / 코로나19 백신접종 참여 / 개인방역수칙 준수바랍니다.,cbs,임실군청,화,,"[('38명 군민', 0.537)]"
2023/01/02 11:23:25,212,전라북도 임실군,188492,1월2일(월) 11시기준 확진자 26명(군민 22명) / 코로나19 백신접종 참여 / 개인방역수칙 준수바랍니다.,cbs,임실군청,월,,"[('22명 코로나19', 0.5857)]"
